experiment_type,language,task,submetric,control_index,metric,value
finetune,ar,complexity,None,None,loss,0.042425019294023515
finetune,ar,complexity,None,None,mse,0.04214346408843994
finetune,ar,complexity,None,None,rmse,0.20528873346689033
finetune,ar,complexity,None,None,r2,0.27346545457839966
finetune,ar,question_type,None,None,loss,0.7428455591201782
finetune,ar,question_type,None,None,accuracy,0.7402597402597403
finetune,ar,question_type,None,None,f1,0.6875
finetune,ar,question_type,None,None,precision,0.5238095238095238
finetune,ar,question_type,None,None,recall,1.0
finetune,en,complexity,None,None,loss,0.020505619634475027
finetune,en,complexity,None,None,mse,0.02062632143497467
finetune,en,complexity,None,None,rmse,0.1436186667358205
finetune,en,complexity,None,None,r2,0.46478813886642456
finetune,en,question_type,None,None,loss,0.5510337267603193
finetune,en,question_type,None,None,accuracy,0.9181818181818182
finetune,en,question_type,None,None,f1,0.9217391304347826
finetune,en,question_type,None,None,precision,0.8833333333333333
finetune,en,question_type,None,None,recall,0.9636363636363636
finetune,fi,complexity,None,None,loss,0.030095573514699936
finetune,fi,complexity,None,None,mse,0.030247559770941734
finetune,fi,complexity,None,None,rmse,0.173918256002473
finetune,fi,complexity,None,None,r2,0.2339869737625122
finetune,fi,question_type,None,None,loss,0.54856190936906
finetune,fi,question_type,None,None,accuracy,0.9272727272727272
finetune,fi,question_type,None,None,f1,0.9298245614035088
finetune,fi,question_type,None,None,precision,0.8983050847457628
finetune,fi,question_type,None,None,recall,0.9636363636363636
finetune,id,complexity,None,None,loss,0.029883310198783875
finetune,id,complexity,None,None,mse,0.029735727235674858
finetune,id,complexity,None,None,rmse,0.17244050346619513
finetune,id,complexity,None,None,r2,0.27072030305862427
finetune,id,question_type,None,None,loss,0.6024368916239057
finetune,id,question_type,None,None,accuracy,0.7363636363636363
finetune,id,question_type,None,None,f1,0.6666666666666666
finetune,id,question_type,None,None,precision,0.90625
finetune,id,question_type,None,None,recall,0.5272727272727272
finetune,ja,complexity,None,None,loss,0.029252508965631325
finetune,ja,complexity,None,None,mse,0.029344333335757256
finetune,ja,complexity,None,None,rmse,0.17130187779401967
finetune,ja,complexity,None,None,r2,0.43632060289382935
finetune,ja,question_type,None,None,loss,0.5427728245655695
finetune,ja,question_type,None,None,accuracy,0.8804347826086957
finetune,ja,question_type,None,None,f1,0.907563025210084
finetune,ja,question_type,None,None,precision,0.84375
finetune,ja,question_type,None,None,recall,0.9818181818181818
finetune,ko,complexity,None,None,loss,0.030692162790468762
finetune,ko,complexity,None,None,mse,0.030765419825911522
finetune,ko,complexity,None,None,rmse,0.17540074066523073
finetune,ko,complexity,None,None,r2,0.044728100299835205
finetune,ko,question_type,None,None,loss,0.550518946988242
finetune,ko,question_type,None,None,accuracy,0.9181818181818182
finetune,ko,question_type,None,None,f1,0.9108910891089109
finetune,ko,question_type,None,None,precision,1.0
finetune,ko,question_type,None,None,recall,0.8363636363636363
finetune,ru,complexity,None,None,loss,0.045698177335517745
finetune,ru,complexity,None,None,mse,0.04553604498505592
finetune,ru,complexity,None,None,rmse,0.2133917640984673
finetune,ru,complexity,None,None,r2,-0.15179145336151123
finetune,ru,question_type,None,None,loss,0.5275429998125348
finetune,ru,question_type,None,None,accuracy,0.9636363636363636
finetune,ru,question_type,None,None,f1,0.9649122807017544
finetune,ru,question_type,None,None,precision,0.9322033898305084
finetune,ru,question_type,None,None,recall,1.0
finetune,ar,complexity,None,1,loss,0.058346182107925415
finetune,ar,complexity,None,1,mse,0.057651303708553314
finetune,ar,complexity,None,1,rmse,0.24010685893691858
finetune,ar,complexity,None,1,r2,0.00611722469329834
finetune,ar,complexity,None,2,loss,0.05723264068365097
finetune,ar,complexity,None,2,mse,0.05651538446545601
finetune,ar,complexity,None,2,rmse,0.237729645743765
finetune,ar,complexity,None,2,r2,0.025699913501739502
finetune,ar,complexity,None,3,loss,0.05757724642753601
finetune,ar,complexity,None,3,mse,0.05681005120277405
finetune,ar,complexity,None,3,rmse,0.23834859177845807
finetune,ar,complexity,None,3,r2,0.020619988441467285
finetune,ar,question_type,None,1,loss,0.6947960138320923
finetune,ar,question_type,None,1,accuracy,0.7142857142857143
finetune,ar,question_type,None,1,f1,0.0
finetune,ar,question_type,None,1,precision,0.0
finetune,ar,question_type,None,1,recall,0.0
finetune,ar,question_type,None,2,loss,0.6941935896873475
finetune,ar,question_type,None,2,accuracy,0.7402597402597403
finetune,ar,question_type,None,2,f1,0.16666666666666666
finetune,ar,question_type,None,2,precision,1.0
finetune,ar,question_type,None,2,recall,0.09090909090909091
finetune,ar,question_type,None,3,loss,0.6954205274581909
finetune,ar,question_type,None,3,accuracy,0.7142857142857143
finetune,ar,question_type,None,3,f1,0.0
finetune,ar,question_type,None,3,precision,0.0
finetune,ar,question_type,None,3,recall,0.0
finetune,en,complexity,None,1,loss,0.03838132108960833
finetune,en,complexity,None,1,mse,0.03841328248381615
finetune,en,complexity,None,1,rmse,0.19599306743815237
finetune,en,complexity,None,1,r2,0.003252089023590088
finetune,en,complexity,None,2,loss,0.04003453840102468
finetune,en,complexity,None,2,mse,0.04002934321761131
finetune,en,complexity,None,2,rmse,0.2000733445954541
finetune,en,complexity,None,2,r2,-0.0386815071105957
finetune,en,complexity,None,3,loss,0.04064037624214377
finetune,en,complexity,None,3,mse,0.0406411811709404
finetune,en,complexity,None,3,rmse,0.20159658025606586
finetune,en,complexity,None,3,r2,-0.0545574426651001
finetune,en,question_type,None,1,loss,0.6929375273840768
finetune,en,question_type,None,1,accuracy,0.5
finetune,en,question_type,None,1,f1,0.0
finetune,en,question_type,None,1,precision,0.0
finetune,en,question_type,None,1,recall,0.0
finetune,en,question_type,None,2,loss,0.6931214588029044
finetune,en,question_type,None,2,accuracy,0.5
finetune,en,question_type,None,2,f1,0.0
finetune,en,question_type,None,2,precision,0.0
finetune,en,question_type,None,2,recall,0.0
finetune,en,question_type,None,3,loss,0.6917045031275068
finetune,en,question_type,None,3,accuracy,0.5
finetune,en,question_type,None,3,f1,0.0
finetune,en,question_type,None,3,precision,0.0
finetune,en,question_type,None,3,recall,0.0
finetune,fi,complexity,None,1,loss,0.04047184091593538
finetune,fi,complexity,None,1,mse,0.040652479976415634
finetune,fi,complexity,None,1,rmse,0.20162460161502027
finetune,fi,complexity,None,1,r2,-0.029515385627746582
finetune,fi,complexity,None,2,loss,0.039231963721769195
finetune,fi,complexity,None,2,mse,0.03945787623524666
