unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
japanese_content_0,2018年アメリカで一番治安の悪い州はどこ,ja,content,0.584,0.919,0.0,0.0,0.5,2.565,0.0,-0.609,0
japanese_content_1,“ダン” ダニエル・ジャドソン・キャラハンの出身はどこ,ja,content,0.705,-1.081,0.0,0.0,0.5,2.565,0.0,-0.609,0
japanese_content_2,シカゴ・ノースショアー・アンド・ミルウォーキー鉄道の最北端の駅は何？,ja,content,0.967,-0.081,0.0,0.0,0.533,2.833,0.0,-0.609,0
japanese_content_3,位相空間論の提唱者は誰？,ja,content,-0.39,-0.081,0.0,0.0,0.625,2.303,0.0,-0.609,0
japanese_content_4,コック・レーンの幽霊を初めて報道した新聞社は何？,ja,content,-0.27,1.919,1.0,0.333,0.5,2.773,4.615,0.391,0
japanese_content_5,パトロンの起源はいつ,ja,content,-0.462,-0.081,0.0,0.0,0.4,1.792,0.0,-0.609,0
japanese_content_6,一般社団法人日本産業カウンセラー協会の創始者はだれ,ja,content,0.674,-1.081,0.0,0.0,0.75,2.565,0.0,0.391,0
japanese_content_7,西村眞悟弁護士法違反事件で西村が受けた罰則は何？,ja,content,0.838,0.919,1.0,0.333,0.688,2.89,4.615,0.391,0
japanese_content_8,ミンデン＝リュベッケ郡で最古の風車は何？,ja,content,0.149,-0.081,0.0,0.0,0.5,2.485,0.0,-0.609,0
japanese_content_9,森上亜希子の出身はどこ,ja,content,-0.129,-1.081,0.0,0.0,0.571,2.079,0.0,-0.609,0
japanese_content_10,相模原線が開通したのはいつ,ja,content,0.413,-0.081,1.0,0.5,0.333,2.303,4.615,0.391,0
japanese_content_11,ハイレ・ゲブレセラシェがマラソンデビューしたのはいつ,ja,content,0.371,-0.081,1.0,0.5,0.3,2.398,4.615,0.391,0
japanese_content_12,心は心臓にあると広く信じられていた理由は何,ja,content,0.681,0.919,1.5,0.278,0.467,2.773,4.615,2.391,0
japanese_content_13,知的財産権が日本で認められたのはいつ？,ja,content,0.371,0.919,1.0,0.667,0.385,2.708,4.615,0.391,0
japanese_content_14,サー・ジョン・ゴスの宗教は何？,ja,content,0.038,-0.081,0.0,0.0,0.444,2.398,0.0,-0.609,0
japanese_content_15,日本でニュータウンの建設が始まったのはいつ？,ja,content,0.338,0.919,1.0,0.667,0.364,2.565,4.615,0.391,0
japanese_content_16,海底ケーブルが初めて結ばれたのはどこ？,ja,content,0.371,-0.081,1.0,0.667,0.4,2.485,4.615,0.391,0
japanese_content_17,ロシア帝国の初代皇帝はだれ？,ja,content,-0.462,-1.081,0.0,0.0,0.571,2.197,0.0,-0.609,0
japanese_content_18,初代ネルソン子爵ホレーショ・ネルソンの父親の職業は何,ja,content,-0.062,0.919,0.0,0.0,0.545,2.485,0.0,-0.609,0
japanese_content_19,パリ条約が結ばれたのはなぜ,ja,content,0.371,-0.081,1.0,0.5,0.5,2.398,4.615,0.391,0
japanese_content_20,白人至上主義を提唱したのは誰？,ja,content,0.371,-0.081,1.0,0.5,0.4,2.485,4.615,0.391,0
japanese_content_21,日本ボクシングコミッションが設立したのはいつ,ja,content,0.371,-0.081,1.0,0.5,0.4,2.398,4.615,0.391,0
japanese_content_22,イリオモテヤマネコが絶滅危惧種に認定されたのはいつ？,ja,content,0.73,-0.081,1.0,0.667,0.429,2.773,4.615,0.391,0
japanese_content_23,古代エジプトの初代王は誰？,ja,content,-0.462,-0.081,0.0,0.0,0.571,2.197,0.0,-0.609,0
japanese_content_24,リチャード・ロジャースのデビュー作は何,ja,content,-0.39,-1.081,0.0,0.0,0.5,2.197,0.0,-0.609,0
japanese_content_25,フェンダー社が設立されたのはいつ,ja,content,0.816,-0.081,1.0,0.5,0.3,2.398,4.615,0.391,0
japanese_content_26,映画の起源はいつ？,ja,content,-0.562,-0.081,0.0,0.0,0.333,1.946,0.0,-0.609,0
japanese_content_27,水蒸気自動車が初めて開発されたのはいつ,ja,content,0.705,-0.081,1.0,0.667,0.462,2.639,4.615,0.391,0
japanese_content_28,日本で一番長く放送されたSFドラマは何？,ja,content,0.038,0.919,1.0,0.333,0.5,2.639,4.615,0.391,0
japanese_content_29,スペースオペラの起源はいつ,ja,content,-0.162,-1.081,0.0,0.0,0.5,1.946,0.0,-0.609,0
japanese_content_30,.44レミントン・マグナムを開発したのは誰,ja,content,0.438,-1.081,0.0,0.667,0.273,2.565,0.0,0.391,0
japanese_content_31,マーベル・コミックスのサイリーンの髪の色は何？,ja,content,-0.062,0.919,0.0,0.0,0.455,2.565,0.0,-0.609,0
japanese_content_32,フランスで最大多数を占める宗教は何？,ja,content,-0.212,0.919,1.0,0.333,0.556,2.398,4.615,0.391,0
japanese_content_33,梅干しの発祥はどこ,ja,content,-0.162,-0.081,0.0,0.0,0.333,1.946,0.0,-0.609,0
japanese_content_34,桂 銀淑のデビュー曲は何？,ja,content,-0.39,-0.081,0.0,0.0,0.625,2.303,0.0,-0.609,0
japanese_content_35,ノヴィ・ベオグラードの主要産業は何？,ja,content,-0.39,-0.081,0.0,0.0,0.5,2.303,0.0,-0.609,0
japanese_content_36,『ブリタニア列王史』の著者は誰？,ja,content,-0.129,-0.081,0.0,0.0,0.571,2.398,0.0,-0.609,0
japanese_content_37,ベラクルス州の主要産業は何？,ja,content,-0.462,-0.081,0.0,0.0,0.571,2.197,0.0,-0.609,0
japanese_content_38,スポーツにおけるドーピング検査が始まったのはいつ,ja,content,0.129,1.919,1.0,0.25,0.417,2.565,4.615,1.391,0
japanese_content_39,ハンス＝ヨアヒム・ヴァルター・ルドルフ・ジークフリート・マルセイユが乗った戦闘機は何？,ja,content,1.92,0.919,1.0,0.167,0.5,2.996,4.615,0.391,0
japanese_content_40,無性生殖をする最大の生物は何,ja,content,-0.337,-0.081,1.0,0.167,0.556,2.303,4.615,0.391,0
japanese_content_41,『マッシュ』で監督を務めたのは誰,ja,content,0.538,-1.081,0.0,0.833,0.333,2.485,0.0,0.391,0
japanese_content_42,バルトーク・ベーラの性別は何,ja,content,-0.462,-0.081,0.0,0.0,0.429,2.079,0.0,-0.609,0
japanese_content_43,ポケモンGOを開発した会社は何？,ja,content,-0.337,0.919,1.0,0.167,0.444,2.398,4.615,0.391,0
japanese_content_44,レオニード・イリイチ・ブレジネフの出身はどこ,ja,content,0.038,-0.081,0.0,0.0,0.444,2.303,0.0,-0.609,0
japanese_content_45,日本で最大の古墳は何？,ja,content,0.205,-0.081,0.0,0.0,0.429,2.197,0.0,-0.609,0
japanese_content_46,記録される中で日本最古の強盗事件は何？,ja,content,0.22,-0.081,1.0,0.0,0.5,2.639,4.615,0.391,0
japanese_content_47,伊集院光の出身はどこ,ja,content,-0.562,-0.081,0.0,0.0,0.5,1.946,0.0,-0.609,0
japanese_content_48,エドガー・アラン・ポーの処女作は何？,ja,content,0.038,-0.081,0.0,0.0,0.5,2.485,0.0,-0.609,0
japanese_content_49,『シチリアの晩鐘』が初めて演じられた場所はどこ,ja,content,-0.062,1.919,1.0,0.333,0.455,2.639,4.615,0.391,0
japanese_content_50,『桜井一枝&井上雅雄のるんるん土曜リクエスト』のディレクターは誰？,ja,content,0.653,0.919,1.0,0.0,0.571,2.89,4.615,0.391,0
japanese_content_51,ベドルジフ・スメタナの出身はどこ？,ja,content,-0.462,-0.081,0.0,0.0,0.429,2.197,0.0,-0.609,0
japanese_content_52,記録されている最古の列車脱線事故は何？,ja,content,0.493,0.919,1.0,0.083,0.5,2.639,4.615,1.391,0
japanese_content_53,リューリク朝フョードル1世の跡を継いだのは誰？,ja,content,0.205,0.919,1.0,0.5,0.462,2.708,4.615,0.391,0
japanese_content_54,小林一三の出身はどこ,ja,content,-0.162,-1.081,0.0,0.0,0.5,1.946,0.0,-0.609,0
japanese_content_55,キエフ大公国の初代皇帝は誰？,ja,content,-0.39,-0.081,0.0,0.0,0.625,2.303,0.0,-0.609,0
japanese_content_56,細胞培養が初めて成功したのはいつ？,ja,content,0.371,-0.081,1.0,0.667,0.4,2.485,4.615,0.391,0
japanese_content_57,電子工学の先駆者は誰,ja,content,-0.462,-0.081,0.0,0.0,0.571,2.079,0.0,-0.609,0
japanese_content_58,コロンバスは面積何㎢ですか？,ja,content,-0.129,-1.081,0.0,0.0,0.429,2.197,0.0,0.391,0
japanese_content_59,フルーツワインの発祥はどこ,ja,content,-0.562,-0.081,0.0,0.0,0.5,1.946,0.0,-0.609,0
japanese_content_60,モンゴルが建国されたのはいつ,ja,content,1.038,-0.081,1.0,0.5,0.222,2.303,4.615,0.391,0
japanese_content_61,スティーブン・ケヴィン・バノンの出身はどこ,ja,content,0.038,-0.081,0.0,0.0,0.444,2.303,0.0,-0.609,0
japanese_content_62,アルフォンソ8世の出身はどこ,ja,content,-0.129,-1.081,0.0,0.0,0.429,2.079,0.0,-0.609,0
japanese_content_63,BTRONが開始したのはいつ？,ja,content,0.61,-0.081,1.0,0.5,0.25,2.303,4.615,0.391,0
japanese_content_64,うどんの消費量が一番多い県はどこ？,ja,content,-0.406,1.919,0.0,0.0,0.6,2.485,0.0,-0.609,0
