unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type,complexity_score
ja_content_0,犯人は一体誰なのか?,ja,content,-0.436,-1.296,0.0,0.0,0.286,2.197,0.0,-1.13,0,-1.174
ja_content_1,どうするか?,ja,content,-1.27,-2.296,0.0,0.4,0.667,1.609,0.0,-1.13,0,-1.443
ja_content_2,"飲んで頭痛とか出たら,どうしたらいいんですか?",ja,content,-0.039,-0.296,2.0,0.467,0.357,2.833,4.215,0.87,0,0.592
ja_content_3,また、目標についてどんなイメージをお持ちでしょうか。,ja,content,0.549,-0.296,1.0,0.5,0.417,2.708,3.932,-0.13,0,0.309
ja_content_4,責任者は誰ですか?,ja,content,-0.87,-1.296,0.0,0.0,0.333,2.079,0.0,-1.13,0,-1.257
ja_content_5,ぜひ立ち寄ってみてはいかがでしょうか?,ja,content,-0.02,-0.296,1.0,0.4,0.444,2.398,4.615,-0.13,0,0.265
ja_content_6,これがどれだけすごいことなのか。,ja,content,-0.395,-0.296,0.0,0.0,0.222,2.398,0.0,-1.13,0,-0.981
ja_content_7,毎日のことですからなんとか解決していきたいと日々努力していらっしゃるのではないでしょうか。,ja,content,0.73,0.704,1.333,0.5,0.28,3.296,4.394,2.87,0,1.198
ja_content_8,これ以上何を望むというのか?,ja,content,-0.645,-0.296,1.0,0.6,0.333,2.398,3.932,-0.13,0,0.066
ja_content_9,民間に運営を任せてはいかがでしょうか。,ja,content,-0.381,-0.296,1.0,0.8,0.4,2.485,4.615,-1.13,0,0.115
ja_content_10,その審査ではどのような資料と基準で許可されたのでしょうか。,ja,content,0.26,0.704,1.0,0.8,0.278,2.996,3.932,-0.13,0,0.499
ja_content_11,このことに澤田氏はどう弁明するのだろうか?,ja,content,-0.27,-1.296,0.0,1.0,0.417,2.639,0.0,-1.13,0,-0.89
ja_content_12,ではどのような行動によって「細かい男」だと思われるのでしょうか。,ja,content,0.907,-0.296,1.0,0.5,0.333,3.091,4.331,1.87,0,0.81
ja_content_13,いったいどんな話になったのでしょうか。,ja,content,-0.27,-1.296,0.0,0.8,0.333,2.398,0.0,-1.13,0,-0.975
ja_content_14,"なのに,どうして住民が説明会を拒否しているなんて建築指導課に報告するんですか?",ja,content,1.272,-0.296,1.0,0.667,0.4,3.332,4.215,0.87,0,0.764
ja_content_15,「12星座別キーワード」では、あなたがどんな人か?,ja,content,0.367,-1.296,0.0,0.0,0.417,2.833,0.0,-2.13,0,-1.081
ja_content_16,日中間の首脳会談や、民間交流でも停止しているものがあるが、どう手をつけていくのか,ja,content,-0.23,3.704,1.0,0.4,0.538,3.367,4.394,2.87,0,1.515
