unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
id_polar_0,Dibintangi oleh sepuluh orang pemain utama yang didapat melalui proses audisi dan masa karantina dalam acara AAdC?,indonesian,polar,1.6875,6.0,1.0,1.5,0.6470588235294118,18,50.0,2.0
id_polar_1,``Apabila di kemudian hari anak-anakmu bertanya kepada ayahnya: Apakah arti batu-batu ini?,indonesian,polar,2.0714285714285716,4.0,0,5.0,0.4666666666666667,18,0.0,1.0
id_polar_2,Dia terdiam lama kemudian berkata ``Apakah dia itu nabi yang pernah kamu katakan pada kami yang akan membenarkan kebenaran dakwah para nabi terdahulu?,indonesian,polar,2.391304347826087,5.0,1.0,2.75,0.5,26,75.0,4.0
id_polar_3,yang merupakan drama sempalan dari drama televisi Megutan tte Mahou Tsukaeru no?,indonesian,polar,1.2727272727272727,7.0,0,2.0,0.8333333333333334,13,0.0,1.0
id_polar_4,Apa nama lembaga yang akan melayani radio-radio ini?,indonesian,polar,1.7142857142857142,3.0,1.0,2.0,0.5,9,100.0,1.0
id_polar_5,Akankah Mat Bunglon dan Dul Bajing berhasil mendapatkan patung yang diinginkannya?,indonesian,polar,2.5,4.0,1.0,2.0,0.6153846153846154,14,66.66666666666667,3.0
id_polar_6,Akankah kebahagian mereka terwujud?,indonesian,polar,2.5,2.0,0,2.0,0.4,6,0.0,1.0
id_polar_7,Mau tau rute yang dilalui angkutan di jakarta lewat SMS?,indonesian,polar,1.7777777777777777,4.0,1.0,2.5,0.6,11,50.0,2.0
id_polar_8,"Ditanya mengenainya Minogue menjawab, ``Saya pikir BB adalah seorang simbol sex, bukan?",indonesian,polar,2.3333333333333335,4.0,1.0,2.3333333333333335,0.5384615384615384,17,66.66666666666667,4.0
id_polar_9,Apakah orang-orang yang telah engkau tangkap dengan pedang dan panahmu itu harus engkau bunuh?,indonesian,polar,3.4,5.0,1.0,3.0,0.375,17,50.0,2.0
id_polar_10,Apa hubungannya dengan masa lalu Bunga?,indonesian,polar,1.6666666666666667,2.0,0,0,0.5714285714285714,8,0,0.0
id_polar_11,Erlangga yang angkuh dan dicintai mati-matian oleh Janet?,indonesian,polar,1.5714285714285714,4.0,0,3.0,0.625,9,0,1.0
id_polar_12,Dia lalu bertanya apakah negeri kita pernah berperang?,indonesian,polar,2.5,3.0,1.0,3.0,0.6666666666666666,10,50.0,2.0
id_polar_13,"Apakah benar Neo adalah cinta sejatinya, seperti yang selama ini diyakininya?",indonesian,polar,2.5384615384615383,2.0,1.0,5.0,0.5,16,50.0,2.0
id_polar_14,Apakah Anda ingin perilaku besar dari seseorang bernama Gaga?,indonesian,polar,1.4444444444444444,4.0,1.0,2.0,0.6,11,50.0,2.0
id_polar_15,Apa aku harus memukul engkau sampai jatuh?,indonesian,polar,1.8333333333333333,2.0,1.0,2.5,0.42857142857142855,8,50.0,2.0
id_polar_16,Akankah Ajeng dkk bisa melewati itu semua dan dapat terus menjalin persahabatan yang tulus?,indonesian,polar,2.2857142857142856,4.0,0,3.5,0.4666666666666667,16,0.0,2.0
id_polar_17,"Apakah Kevin cs bisa memenangkan pertaruhan dengan Mike, yaitu membawa seorang gadis cantik ke pesta dan mendapatkan hati Jessica kembali?",indonesian,polar,2.25,4.0,1.0,2.75,0.6666666666666666,23,50.0,4.0
id_polar_18,Apakah SAFIRA akan berhasil dengan segala rencana liciknya?,indonesian,polar,1.7777777777777777,3.0,0,3.0,0.5,11,0.0,1.0
id_polar_19,Begitu mudahkah semua itu berdiri di kompleks Regina Pacis?,indonesian,polar,1.5555555555555556,3.0,0,3.0,0.6,11,0.0,1.0
id_polar_20,"Mungkinkah, nama wuku Kuningan mengilhami atau mendorong pemberian nama bagi daerah ini?",indonesian,polar,2.3846153846153846,4.0,0,2.5,0.5714285714285714,16,0.0,2.0
id_polar_21,Apakah ada perkembangan perbaikan?,indonesian,polar,1.25,2.0,0,2.0,0.8,6,0.0,1.0
id_polar_22,"Tetapi Abram berkata, ``Allah Tuhanku, aku mempunyai banyak kekayaan dan kepunyaan tetapi apakah gunanya bagiku?",indonesian,polar,2.1666666666666665,5.0,0,3.0,0.5263157894736842,23,0.0,2.0
id_polar_23,Apakah MAT PEI sampai hati menolak cinta SAFINA yang begitu dekat dengan kedua orang tuanya?,indonesian,polar,1.875,6.0,0,4.0,0.6470588235294118,18,0.0,1.0
id_polar_24,"Dan meskipun aku mungkin tidak dimakamkan secara besar-besaran, haruskah aku mati di atas jalan?",indonesian,polar,2.642857142857143,3.0,1.0,4.5,0.3333333333333333,17,50.0,2.0
id_polar_25,Bau apakah yang tercium olehku?,indonesian,polar,1.6666666666666667,3.0,1.0,2.0,0.42857142857142855,8,100.0,1.0
id_polar_26,Jenis / merk apa?,indonesian,polar,2.5,1.0,0,0,0.6666666666666666,5,0,0.0
id_polar_27,"Mayumi Thyme adalah karakter pendukung dalam Shuffle!, dan salah satu tokoh utama dalam Really?",indonesian,polar,2.230769230769231,3.0,0,0,0.6428571428571429,17,0.0,1.0
id_polar_28,"Titahnya, apakah kabar Juragan?",indonesian,polar,2.0,3.0,0,0,0.6666666666666666,8,0,0.0
id_polar_29,- agak boros ga kira2?,indonesian,polar,1.3333333333333333,1.0,0,0,0.75,6,0,0.0
id_polar_30,Apakah Angkatan Balai Pustaka sama dengasn Angkatan Pujangga Baru?,indonesian,polar,1.7777777777777777,3.0,0,0,0.8,11,0,0.0
id_polar_31,"Ketika ditangkap dan dihadirkannya dalam tenda sang Sheik, dan ditanyai soal namanya, ia menjawabnya dengan kalimat: ``Namaku?",indonesian,polar,2.75,5.0,1.0,3.25,0.47619047619047616,26,50.0,4.0
id_polar_32,"Yesus membuat rujukan pada kalimat-kalimat dari Kitab Kejadian dalam khotbah-khotbahnya mengenai pernikahan di dalam Kitab Matius 19:4-6: ``Tidakkah kamu baca, bahwa Ia yang menciptakan manusia sejak semula menjadikan mereka laki-laki dan perempuan?",indonesian,polar,2.5454545454545454,7.0,1.0,3.0,0.5294117647058824,38,50.0,4.0
id_polar_33,"Tuh, kamu lupa lagi kan? - Lihat, kamu lupa lagi bukan?",indonesian,polar,2.6666666666666665,2.0,0,3.0,0.5,15,0.0,3.0
id_polar_34,Apakah layak sesuatu disebut pengasih akan tetapi sebenarnya merupakan penghukum atau penyiksa?,indonesian,polar,1.9166666666666667,4.0,0,4.0,0.6153846153846154,14,0.0,2.0
id_polar_35,Apakah yang akan terjadi selanjutnya?,indonesian,polar,1.8,2.0,1.0,2.0,0.3333333333333333,7,100.0,1.0
id_polar_36,Gimana toh ini?,indonesian,polar,1.5,1.0,0,0,0.0,4,0,0.0
id_polar_37,Berpalingkah engkau dari kepercayaan dan persembahanku?,indonesian,polar,1.7142857142857142,3.0,0,3.0,0.375,9,0.0,1.0
id_polar_38,"Seperti banyak kaum sofis lain, Hippias mencurahkan perhatian terhadap pertanyaan, ``Apakah yang menentukan tingkah laku manusia?",indonesian,polar,1.875,4.0,1.0,3.0,0.6470588235294118,21,50.0,2.0
id_polar_39,Apakah yang engkau serukan kepada kami?,indonesian,polar,1.8333333333333333,3.0,1.0,3.0,0.14285714285714285,8,100.0,1.0
id_polar_40,``Apakah engkau memperhatikan hamba-Ku Ayub?,indonesian,polar,1.5,2.0,0,3.0,0.5714285714285714,9,0.0,1.0
