sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,Сколько машин в день проезжает по Крымскому мосту?,russian,content,1.7142857142857142,2.0,0,3.0,0.625,9,0.0,1.0
2,Когда начался Кари́бский кризис?,russian,content,1.3333333333333333,2.0,0,2.0,1.0,5,0.0,1.0
3,Когда был спущен на воду первый миноносец «Спокойный»?,russian,content,1.7142857142857142,2.0,0,4.0,0.75,9,0.0,1.0
4,Как называлась Симбирская губерния с 1924?,russian,content,1.8,2.0,0,3.0,0.6666666666666666,7,0.0,1.0
5,Группа The Clash включена в американский зал славы рок-н-рола?,russian,content,1.75,3.0,0,2.0,0.8888888888888888,10,0.0,1.0
6,Какое расстояние от Коло́мны до Москвы?,russian,content,1.4,3.0,0,0,0.5,7,0,0.0
7,"Как долго существовало британское телевизионное игровое шоу ""Хрустальный лабиринт""?",russian,content,2.0,3.0,0,2.0,1.0,12,0.0,1.0
8,Когда был придуман пряник?,russian,content,1.3333333333333333,1.0,0,3.0,0.75,5,0.0,1.0
9,Когда родилась Князева Марина Леонидовна?,russian,content,1.25,2.0,0,2.0,1.0,6,0.0,1.0
10,Сколько автомобилей было выпущено в Турции в 2018?,russian,content,1.7142857142857142,2.0,0,4.0,0.375,9,0.0,1.0
11,На каком языке говорят в Стасбургском суде?,russian,content,1.6666666666666667,2.0,0,2.0,0.5714285714285714,8,0.0,1.0
12,Где был заключен мирный договор Гражданской войны в США?,russian,content,1.5,4.0,0,3.0,0.7777777777777778,10,0.0,1.0
13,"Когда Анна Павлова впервые исполнила партию в балете ""Лебединое озеро""?",russian,content,2.0,3.0,0,5.0,0.8,13,0.0,1.0
14,Кто был главным художником мира Зен?,russian,content,1.6,2.0,0,0,0.6666666666666666,7,0.0,1.0
15,Сколько человек жило в Запретном городе в 19 веке?,russian,content,2.125,2.0,0,3.0,0.6666666666666666,10,0.0,1.0
16,Сколько стоит проездной на месяц в Московской области в 2019 году?,russian,content,2.6,3.0,0,4.0,0.6363636363636364,12,0.0,1.0
17,Как звали предполагаемого убийцу Джона Кеннеди?,russian,content,1.2,3.0,0,1.0,1.0,7,0.0,2.0
18,В каком году была создана группа My Bloody Valentine?,russian,content,1.625,2.0,0,3.0,0.6666666666666666,10,0.0,1.0
19,От чего умерла Мэ́рилин Монро́?,russian,content,1.0,2.0,0,2.0,0.6,6,0.0,1.0
20,Какая протяженность МКАДа?,russian,content,1.0,1.0,0,0,0.6666666666666666,4,0,0.0
21,Сколько династий правило Га́лицко-Волы́нским кня́жеством?,russian,content,1.8,3.0,0,0,0.8333333333333334,8,0,0.0
22,В каком немецком городе родилась Екатерина 2?,russian,content,1.5,2.0,0,2.0,0.5714285714285714,8,0.0,1.0
23,Где находится Лахта центр?,russian,content,1.0,2.0,0,2.0,1.0,5,0.0,1.0
