unique_id,text,language,avg_links_len,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
english_polar_199,Does the character Sentinel Prime appear in any Transformers films?,en,0.424,0.0,0.4,0.6,2.485,1,3.909
english_content_2949,How many moons does Neptune have?,en,-0.548,0.0,0.333,0.833,2.079,0,2.697
english_content_1154,Who was pope before Gregory XIII?,en,-0.748,0.0,0.0,0.333,2.079,0,1.664
english_content_966,What does HTTP stand for?,en,0.352,0.0,0.333,0.4,1.946,0,3.031
english_content_1895,What was the biggest typhoon?,en,-0.148,0.0,0.0,0.4,1.946,0,2.198
english_polar_675,Are fish artificially introduced to man-made lakes?,en,0.551,0.0,0.5,0.75,2.398,1,4.199
english_polar_1182,Can you use conch in ceviche?,en,-0.42,0.0,0.6,0.5,2.079,1,2.759
english_content_4118,How large is Wichita Falls?,en,-0.648,0.0,0.0,0.8,1.946,0,2.098
english_content_4361,Who gets credit for inventing a new medicine?,en,-0.577,1.0,0.333,0.625,2.303,0,3.684
english_content_2259,Who first developed embryonic stem cells?,en,-0.348,0.0,0.5,0.833,2.079,0,3.064
english_content_6602,How long does it take to boil water in Denver?,en,-0.481,1.0,0.5,0.6,2.485,0,4.104
english_polar_374,Are leeches still used as therapy in modern medicine?,en,0.105,0.0,1.0,0.667,2.398,1,4.17
english_content_6775,Who was the first owner of the Brooklyn Nets?,en,0.352,0.0,0.0,0.444,2.398,0,3.194
english_content_3401,How many species use magnetoreception?,en,-1.148,0.0,0.333,1.0,1.946,0,2.131
english_content_3209,Where is Walt Disney?,en,-0.815,0.0,0.0,0.75,1.792,0,1.727
english_content_204,When was Boku wa Tomodachi ga Sukunai get released?,en,1.852,0.0,0.667,0.778,2.398,0,5.695
english_polar_547,Can greed be a good thing?,en,0.98,0.0,0.0,0.5,2.079,1,3.559
english_content_6265,What is the air quality in Los Angeles?,en,-0.434,0.0,0.0,0.5,2.303,0,2.369
english_content_2047,When did the story of David and Goliath take place?,en,0.963,0.0,0.5,0.6,2.485,0,4.548
english_polar_375,Did mammals exist alongside dinosaurs?,en,-0.52,0.0,0.4,0.6,1.946,1,2.426
english_polar_616,Is there a cure for human herpesvirus 6?,en,-0.306,0.0,0.4,0.5,2.303,1,2.897
english_content_5991,How tall are most Buddha statues?,en,-0.348,0.0,0.0,0.833,2.079,0,2.564
english_polar_646,Is Austin a tech city?,en,0.48,0.0,0.0,0.6,1.946,1,3.026
english_polar_873,Is Obsessive Compulsive Disorder an anxiety disorder?,en,0.48,0.0,0.0,0.714,2.197,1,3.391
english_content_1390,Why is Google Fiber pulling out of some towns?,en,0.227,0.0,0.5,0.556,2.398,0,3.681
english_content_5534,What was Darcy's estate called in Pride and Prejudice?,en,-0.273,0.0,0.667,0.556,2.398,0,3.348
english_polar_1078,Did Sheev Palpatine die in Star Wars?,en,-0.02,0.0,0.4,0.714,2.197,1,3.291
english_polar_432,Is Genoa a country?,en,-0.02,0.0,0.0,0.5,1.792,1,2.272
english_content_8265,What is the largest rail yard in the New York City Subway system?,en,0.769,0.0,0.0,0.615,2.708,0,4.092
english_content_5057,How is cocaine grown?,en,-0.148,0.0,0.5,0.75,1.792,0,2.894
english_polar_532,Did Catalonia do trade with France?,en,-0.22,0.0,0.4,0.5,2.079,1,2.759
english_polar_528,Can AI build cars?,en,-0.687,0.0,0.4,0.5,1.792,1,2.005
english_polar_1,Does plastic decompose at all?,en,-0.52,0.0,0.4,0.4,1.946,1,2.226
english_polar_707,Did Jane Austen publish Pride and Prejudice?,en,-0.353,0.0,0.4,0.714,2.197,1,2.958
english_polar_826,Do blind people see black?,en,-0.52,0.0,0.4,0.8,1.946,1,2.626
english_polar_846,Is the Thames a canal?,en,-0.02,0.0,0.0,0.4,1.946,1,2.326
english_content_833,What does a shipyard do?,en,0.102,0.0,0.333,0.4,1.946,0,2.781
english_content_557,Where was the first sex change operation performed?,en,0.281,1.0,0.0,0.75,2.303,0,4.334
english_content_1537,What is the most common species of Lentivirus that causes HIV?,en,-0.148,1.0,0.333,0.545,2.565,0,4.295
english_content_2686,Where is the adrenal gland located in the human body?,en,0.408,0.0,0.667,0.6,2.485,0,4.16
english_polar_170,Can children buy vape?,en,-0.687,0.0,0.4,0.75,1.792,1,2.255
english_polar_465,Are there any red wolves in the wild in Texas?,en,0.647,0.0,0.6,0.5,2.485,1,4.232
english_content_496,When is the Peach Bowl held?,en,0.452,0.0,0.5,0.667,2.079,0,3.698
english_polar_1027,Is euthanasia covered by universal health care in Canada?,en,0.48,0.0,0.8,0.667,2.398,1,4.345
english_content_1596,What years was the Hundred Years' War?,en,-0.148,0.0,0.0,0.5,2.303,0,2.655
english_polar_421,Are there medications for Tourettes?,en,-0.52,0.0,0.4,0.6,1.946,1,2.426
english_content_8037,How many wives did Muhammad have?,en,-0.548,0.0,0.333,0.833,2.079,0,2.697
english_polar_686,Are there sharks in Galapagos?,en,-0.52,0.0,0.4,0.6,1.946,1,2.426
english_content_586,What are the practical applications of linear algebra?,en,-0.148,0.0,0.0,0.5,2.303,0,2.655
english_content_2499,When was France taken back from Germany?,en,-0.315,0.0,0.833,0.714,2.197,0,3.429
english_polar_364,Do smart thermostats require wifi connection?,en,-0.42,0.0,0.4,0.833,2.079,1,2.892
english_polar_1008,Is Tsalagi a Iroquoian language?,en,0.48,0.0,0.0,0.6,1.946,1,3.026
english_polar_1132,Does Donna Troy have any superpowers?,en,-0.02,0.0,0.6,0.571,2.197,1,3.348
english_polar_704,Is all extremism violent?,en,-0.353,0.0,0.0,0.5,1.792,1,1.939
english_content_21,How much did the Chicago Central Area Transit Plan cost?,en,0.963,0.0,0.333,0.8,2.485,0,4.581
english_polar_296,Can you turn silver from mercury poisoning?,en,-0.187,0.0,0.6,0.571,2.197,1,3.181
english_content_5775,In what book of the Bible does the story of David and Goliath happen?,en,0.852,0.0,0.333,0.429,2.773,0,4.387
english_polar_932,Do some countries have compulsory voting?,en,-0.42,0.0,0.4,0.667,2.079,1,2.726
english_polar_93,Did England participate in the Thirty Years War?,en,0.408,0.0,0.4,0.625,2.303,1,3.736
english_content_943,How many episodes do Last Exile have?,en,-0.315,0.0,0.333,0.857,2.197,0,3.072
english_polar_1131,Can you survive a crucifixion?,en,-0.52,0.0,0.4,0.4,1.946,1,2.226
english_content_6692,What is the culture of Asia?,en,-0.548,0.0,0.0,0.333,2.079,0,1.864
english_polar_448,Is amnesia real?,en,-0.52,0.0,0.0,0.667,1.609,1,1.756
english_content_1258,When was economist James Tobin born?,en,0.852,0.0,0.667,0.833,2.079,0,4.431
english_polar_1109,Does Yasumi Matsuno have a wife?,en,-0.22,0.0,0.4,0.667,2.079,1,2.926
english_content_7218,When was Belfast founded?,en,-0.148,0.0,0.5,0.75,1.792,0,2.894
english_content_2524,How many days is the orbit of Mars?,en,-0.719,0.0,0.0,0.625,2.303,0,2.209
english_content_4722,What key is Tchaikovsky's 1812 Overture in?,en,0.185,0.0,0.0,0.571,2.197,0,2.953
english_content_1078,How many episodes of CBS's The Early Show were there?,en,-0.037,0.0,0.0,0.7,2.485,0,3.148
english_content_8875,What organization did the terrorists on 9/11 belong to?,en,1.102,0.0,0.333,0.333,2.398,0,4.166
english_content_6799,What is the largest telecommunications company in the world?,en,0.102,0.0,0.0,0.444,2.398,0,2.944
english_content_9074,What is the oldest newspaper still in print?,en,0.423,0.0,0.0,0.5,2.303,0,3.226
english_polar_239,Can you buy Fright Night on dvd?,en,-0.187,0.0,0.6,0.571,2.197,1,3.181
english_content_4661,How old are the biblical apocrypha?,en,-0.348,0.0,0.0,0.667,2.079,0,2.398
english_polar_242,Are there different sects of Judaism?,en,-0.42,0.0,0.4,0.667,2.079,1,2.726
english_polar_7,Does China own Singapore?,en,-0.687,0.0,0.4,0.75,1.792,1,2.255
english_polar_4,Was there a year 0?,en,-0.52,0.0,0.4,0.4,1.946,1,2.226
english_content_2625,When did Syngman Rhee become Head of State of the Provisional Government of the Republic of Korea?,en,0.04,0.0,0.5,0.588,2.944,0,4.072
english_polar_729,Can you insert videos in HTML5?,en,-0.42,0.0,0.6,0.5,2.079,1,2.759
english_polar_1137,Do Lebanese women have alot of rights?,en,-0.52,0.0,0.4,0.714,2.197,1,2.791
english_content_7858,How much did Titanfall make?,en,-0.398,0.0,0.333,0.8,1.946,0,2.681
english_polar_957,Is certyl alcohol a fatty alcohol?,en,0.38,0.0,0.0,0.667,2.079,1,3.126
english_content_8977,When was the first computer invented?,en,0.452,0.0,0.5,0.667,2.079,0,3.698
english_polar_230,Is Scarlet fever lethal?,en,-0.353,0.0,0.0,0.75,1.792,1,2.189
english_polar_171,Do water rails migrate?,en,-0.353,0.0,0.2,0.75,1.792,1,2.389
english_polar_244,Is Zeus the King of the Greek pantheon?,en,0.266,0.0,0.0,0.5,2.303,1,3.069
english_content_8384,What is the surface area of Lake Baikal?,en,-0.291,0.0,0.0,0.5,2.303,0,2.512
english_polar_146,Did Alita place in any manga poles?,en,0.147,0.0,0.4,0.571,2.197,1,3.315
english_content_8564,When did Frank Russell Dancevic turn pro?,en,0.519,0.0,0.5,0.857,2.197,0,4.073
english_polar_1134,Is SOX 404 top–down risk assessment required by law?,en,0.758,1.0,0.2,0.6,2.565,1,5.123
english_polar_1026,Did James Thomas Aubrey Jr. have a wife?,en,0.551,0.0,0.4,0.75,2.303,1,4.004
english_content_5198,What are the symptoms of Fibromyalgia?,en,-0.548,0.0,0.0,0.333,2.079,0,1.864
english_content_4030,What is there to do in Thailand?,en,-0.648,1.0,0.417,0.429,2.197,0,3.395
english_polar_766,Was the Ottoman Empire primarily Islamic?,en,0.18,0.0,0.0,0.667,2.079,1,2.926
english_polar_581,Is Korean phonetic?,en,-0.52,0.0,0.0,0.667,1.609,1,1.756
english_polar_772,Do migraines slow down motor skills?,en,-0.42,0.0,0.6,0.667,2.079,1,2.926
english_polar_817,Does every living thing have DNA?,en,-0.22,0.0,0.4,0.667,2.079,1,2.926
english_content_884,Who created the name Killer Frost?,en,-0.748,0.0,0.333,0.667,2.079,0,2.331
english_content_8017,What is the oldest vineyard in Champagne?,en,-0.315,0.0,0.0,0.429,2.197,0,2.311
english_content_2789,Who was the one that computed the math to get the lander to the moon?,en,-0.148,2.0,0.5,0.4,2.833,0,5.585
english_polar_879,Is a child born on a military base in a foreign country a US citizen?,en,1.051,0.0,1.0,0.533,2.833,1,5.417
english_content_2545,Who first measured the speed of light?,en,-0.648,0.0,0.5,0.571,2.197,0,2.62
english_polar_86,Did Germany have a stealth bomber prototyped during WW2?,en,-0.02,1.0,0.4,0.667,2.398,1,4.445
english_content_1930,How many countries are in Asia?,en,-0.548,0.0,0.0,0.667,2.079,0,2.198
english_polar_553,Can endometriosis effect fertility?,en,-0.687,0.0,0.4,0.75,1.792,1,2.255
english_polar_842,Do Sikhs drink alcohol?,en,-0.687,0.0,0.4,0.75,1.792,1,2.255
english_content_8018,How much does a sumo wrestler make?,en,0.185,0.0,0.333,0.714,2.197,0,3.429
english_content_5161,How fast is NASA WIFI?,en,-0.648,0.0,0.0,0.8,1.946,0,2.098
english_content_2056,What are proton pump inhibitors used to treat?,en,-0.005,1.0,0.417,0.625,2.303,0,4.34
english_polar_337,Is the name ʿAbd al-Malik ibn Marwān ibn al-Ḥakam Arabic?,en,2.798,0.0,0.0,0.833,2.773,1,6.404
english_content_240,How heavy is olive oil?,en,-0.648,0.0,0.0,0.8,1.946,0,2.098
english_content_6168,How long does a degree in evolutionary psychology take?,en,0.977,0.0,0.333,0.667,2.398,0,4.375
english_polar_221,Is spotting on the mini pill normal?,en,1.48,0.0,0.0,0.571,2.197,1,4.248
english_content_627,What's the meaning of NBC?,en,-0.548,0.0,0.0,0.333,2.079,0,1.864
english_polar_615,Can too much protein be harmful?,en,-0.02,0.0,0.0,0.667,2.079,1,2.726
english_polar_81,Is a college and a university the same thing?,en,0.98,0.0,0.0,0.444,2.398,1,3.822
english_content_256,Who were Petar II Petrović-Njegoš parents?,en,1.352,0.0,0.0,0.571,2.303,0,4.226
english_content_6401,How many calvary regiments does the US have?,en,-0.291,0.0,0.333,0.75,2.303,0,3.095
english_content_8340,How do you put out a grease fire?,en,-0.148,0.0,0.667,0.5,2.303,0,3.322
