unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
en_polar_0,Does anybody use it for anything else?,english,polar,-0.69,2.00,0.00,0.50,0.29,2.20,0.00,1.00
en_polar_1,Is that a money maker?,english,polar,0.31,1.00,0.00,0.00,0.40,1.95,0.00,1.00
en_polar_2,But will diplomacy work?,english,polar,-0.19,1.00,0.00,0.33,0.50,1.79,0.00,1.00
en_polar_3,And can anyone use military pressure without proof?,english,polar,-0.19,2.00,0.00,0.67,0.50,2.30,0.00,1.00
en_polar_4,Wtf is this?,english,polar,-0.69,1.00,0.00,0.00,0.00,1.61,0.00,1.00
en_polar_5,"This is the organization that bombed our Marine barracks in 1983, took Americans hostage throughout the 80's and now they should be considered a legitimate organization?",english,polar,1.01,4.00,1.00,0.67,0.46,3.37,3.93,4.00
en_polar_6,want to go to dinner with me before you have your 'matt time'?,english,polar,0.22,4.00,2.00,0.44,0.46,2.83,4.21,3.00
en_polar_7,did you hook up with that blonde chick saturday night?,english,polar,0.36,2.00,0.00,0.67,0.50,2.48,0.00,1.00
en_polar_8,are you lying?,english,polar,-0.69,1.00,0.00,0.17,0.33,1.61,0.00,1.00
en_polar_9,is it for guitar?,english,polar,-0.19,1.00,0.00,0.00,0.25,1.79,0.00,1.00
en_polar_10,We have this report?,english,polar,-0.86,2.00,0.00,0.33,0.50,1.79,0.00,1.00
en_polar_11,Have you seen the materials from the press conference that he launched today?,english,polar,-0.28,4.00,1.00,0.42,0.46,2.71,3.93,2.00
en_polar_12,Can you pass this along to Elizabeth to ensure Sanders is on board as well?,english,polar,-0.05,4.00,2.00,0.58,0.53,2.83,4.21,3.00
en_polar_13,By using collateral to pay these bills are we not keeping required levels available?,english,polar,0.11,4.00,2.00,0.42,0.57,2.77,4.21,4.00
en_polar_14,Are you free for lunch some day this week?,english,polar,-0.44,3.00,0.00,0.00,0.44,2.40,0.00,1.00
en_polar_15,"Also, I have an extra ticket for the Comets game on Sat. you said you wanted to go?",english,polar,0.22,4.00,2.00,0.38,0.56,3.04,4.21,4.00
en_polar_16,Could one of you please email me a copy of the standard template you use for Enfolio gas purchase agreements?,english,polar,0.17,6.00,1.00,0.50,0.45,3.09,3.93,2.00
en_polar_17,Today is good 12:30 ?,english,polar,-0.86,2.00,1.00,0.00,0.50,1.79,4.62,1.00
en_polar_18,Are you free for lunch some day this week?,english,polar,-0.44,3.00,0.00,0.00,0.44,2.40,0.00,1.00
en_polar_19,"Also, I have an extra ticket for the Comets game on Sat. you said you wanted to go?",english,polar,0.22,4.00,2.00,0.38,0.56,3.04,4.21,4.00
en_polar_20,Today is good 12:30 ?,english,polar,-0.86,2.00,1.00,0.00,0.50,1.79,4.62,1.00
en_polar_21,I wish I had the capital to open my own shop?,english,polar,-0.59,5.00,1.00,0.33,0.55,2.56,4.21,3.00
en_polar_22,I'll ask around?,english,polar,-0.86,1.00,0.00,0.33,0.50,1.79,0.00,1.00
en_polar_23,you guys have any job opening for ex natural gas traders that made their now almost defunctc ompany over 40 million in the last two years?,english,polar,0.69,6.00,1.00,0.50,0.58,3.33,3.93,2.00
en_polar_24,"Attached are clean and blacklined drafts of the Enron guaranties to be made in support of EPMI's obligations under the Indian Mesa II Renewable Energy Purchase Agreement (""PPA"") and Green Premium Sharing Agreement (""GSPA"").?",english,polar,0.98,7.00,1.00,0.39,0.63,3.81,3.93,3.00
en_polar_25,Do you have any current info on deal status?,english,polar,-0.32,3.00,0.00,0.33,0.56,2.40,0.00,1.00
en_polar_26,Are you going to be able to make the power VAR meeting on Thursday?,english,polar,-0.35,5.00,2.00,0.33,0.50,2.77,4.21,3.00
en_polar_27,Did you have a chance to take a look at the resume I sent you?,english,polar,-0.62,6.00,1.00,0.33,0.40,2.83,4.21,3.00
en_polar_28,Any feedback from Rick Buy?,english,polar,-0.94,2.00,0.00,0.00,0.60,1.95,0.00,0.00
en_polar_29,Would this be fine?,english,polar,-0.19,1.00,0.00,0.00,0.25,1.79,0.00,1.00
en_polar_30,Are there any new developments in the trader world?,english,polar,0.56,2.00,0.00,0.50,0.56,2.40,0.00,1.00
en_polar_31,Has that gone anywhere or are the other possibilities you had better?,english,polar,0.99,4.00,1.00,0.33,0.50,2.64,3.93,3.00
en_polar_32,"If you would be so kind, could you possibly let me know of your status over the next couple of days?",english,polar,0.36,4.00,1.00,0.58,0.43,3.18,4.21,3.00
en_polar_33,Could you run those additional post-id's?,english,polar,0.64,2.00,0.00,0.33,0.57,2.30,0.00,1.00
en_polar_34,could you also CC me the first few times you send it?,english,polar,-0.19,3.00,1.00,0.50,0.50,2.64,3.93,2.00
en_polar_35,Is good or bad?,english,polar,-0.86,2.00,0.00,0.00,0.50,1.79,0.00,1.00
en_polar_36,Tired of spam?,english,polar,-0.69,2.00,0.00,0.00,0.67,1.61,0.00,0.00
en_polar_37,Green Tea Or White Tea?,english,polar,-0.44,2.00,0.00,0.00,0.80,1.95,0.00,0.00
en_polar_38,Does anyone know any good restaurants in cordoba?,english,polar,-0.48,3.00,0.00,0.33,0.50,2.30,0.00,1.00
en_polar_39,Does anyone know of any good food in iguazu?,english,polar,-0.19,3.00,0.00,0.33,0.44,2.40,0.00,1.00
en_polar_40,Do you know the online streaming link for Red FM 93.5 delhi ?,english,polar,-0.19,3.00,0.00,0.33,0.58,2.64,0.00,1.00
en_polar_41,any format url ?,english,polar,-0.69,1.00,0.00,0.00,0.67,1.61,0.00,0.00
en_polar_42,in n out of the chicago area?,english,polar,0.31,2.00,0.00,0.00,0.57,2.20,0.00,0.00
en_polar_43,Do you think there are any koreans in Miramar?,english,polar,-0.44,3.00,1.00,0.42,0.44,2.40,3.93,2.00
en_polar_44,Can you use the 'find my phone' feature to track someone else's phone?,english,polar,1.11,4.00,1.00,0.33,0.50,2.89,4.21,3.00
en_polar_45,Is Hank Green Awesome?,english,polar,-0.19,2.00,0.00,0.00,0.75,1.79,0.00,1.00
en_polar_46,weather in december in Tremblant?,english,polar,-0.19,2.00,0.00,0.00,0.60,1.95,0.00,0.00
en_polar_47,jay is it necessary to varnish my oil paintings or just leave them be ?,english,polar,-0.12,3.00,1.00,0.58,0.50,2.77,3.93,3.00
en_polar_48,thx for your ans.?,english,polar,-0.19,2.00,0.00,0.00,0.50,1.79,0.00,0.00
en_polar_49,"Do you prefer ham, bacon or sausages with your breakfast?",english,polar,0.25,3.00,0.00,0.50,0.50,2.56,0.00,1.00
en_polar_50,Can police trace a cell phone even if it is switched off?,english,polar,0.35,2.00,1.00,0.67,0.50,2.64,3.93,2.00
en_polar_51,Can police trace a cell phone even if it is switched off?,english,polar,0.35,2.00,1.00,0.67,0.50,2.64,3.93,2.00
en_polar_52,mazzoni's deli best italian food in phila pa?,english,polar,-0.57,3.00,0.00,0.00,0.78,2.40,0.00,0.00
en_polar_53,Dinner and dancing in Chicago?,english,polar,-0.19,2.00,0.00,0.00,0.60,1.95,0.00,0.00
en_polar_54,Courage the cowardly dog?,english,polar,-0.19,2.00,0.00,0.00,0.75,1.79,0.00,0.00
en_polar_55,Name something you find at a carnival that comes on a stick?,english,polar,-0.01,4.00,1.00,0.28,0.42,2.64,4.21,3.00
en_polar_56,if i preorder a game at gamestop can someone else pick it up for me?,english,polar,0.16,3.00,1.00,0.75,0.33,2.83,3.93,2.00
en_polar_57,Has anyone ever worked for steiner leisure cruises?,english,polar,0.09,2.00,0.00,0.50,0.62,2.30,0.00,1.00
en_polar_58,Best POS system in Philadelphia ?,english,polar,-0.69,2.00,0.00,0.00,0.80,1.95,0.00,0.00
en_polar_59,"USPS Delivery in Auckland,NZ?",english,polar,-0.69,2.00,0.00,0.00,0.80,2.08,0.00,0.00
en_polar_60,24 hour fast resturants near by?,english,polar,-0.79,2.00,0.00,0.00,0.83,2.08,0.00,0.00
en_polar_61,"Loop, North Side, South Side, near suburbs, far suburbs?",english,polar,2.06,2.00,0.00,0.00,1.00,2.71,0.00,0.00
en_polar_62,And has this changed from previous years?,english,polar,-0.19,2.00,0.00,0.50,0.43,2.20,0.00,1.00
en_polar_63,Bay of Plenty- Are you even old enough to vote?,english,polar,0.14,3.00,1.00,0.17,0.60,2.56,3.93,2.00
en_polar_64,Arriving in Auckland on a direct flight from Canada.?,english,polar,0.06,3.00,0.00,0.33,0.56,2.40,0.00,1.00
en_polar_65,Will we be allowed to take duty free bottles onto our connecting flight to Christchurch?,english,polar,-0.05,4.00,1.00,0.33,0.53,2.83,3.93,3.00
en_polar_66,In our hand luggage or do we have to put it into our checked luggage?,english,polar,0.02,4.00,1.00,0.33,0.40,2.83,4.62,3.00
en_polar_67,"Studying in Quebec,Canada?",english,polar,-0.53,2.00,0.00,0.17,0.75,1.95,0.00,1.00
en_polar_68,would I be able to go back to school after a year break at a university to get a Bachelors degree in business administration?,english,polar,0.35,5.00,2.00,0.50,0.48,3.30,4.21,3.00
en_polar_69,Will USB cell phone chargers still charge even if they're hooked up to a computer that is turned off?,english,polar,0.12,4.00,1.00,0.67,0.50,3.09,4.21,3.00
en_polar_70,I need creative art ideas?,english,polar,-0.44,2.00,0.00,0.33,0.80,1.95,0.00,1.00
en_polar_71,Does a pacman absolutely need a uv lamp?,english,polar,-0.19,2.00,0.00,0.50,0.62,2.30,0.00,1.00
en_polar_72,Or maybe something humid or heat?,english,polar,-0.79,3.00,0.00,0.00,0.50,2.08,0.00,0.00
en_polar_73,surprise romantic cheap date night san francisco?,english,polar,-0.36,2.00,0.00,0.00,1.00,2.20,0.00,0.00
en_polar_74,i would like to have one of those super random surprisingly nice nights out...suggestions?,english,polar,1.02,5.00,1.00,0.42,0.60,2.89,3.93,2.00
en_polar_75,my lhasa apso hind legs are not working?,english,polar,-0.48,3.00,0.00,0.33,0.62,2.30,0.00,1.00
en_polar_76,I need suggestions for San Francisco restaurants with good food and good catering service.?,english,polar,-0.04,5.00,0.00,0.33,0.71,2.77,0.00,1.00
en_polar_77,need help finding irish music?,english,polar,-0.94,4.00,1.00,0.17,1.00,1.95,3.93,2.00
en_polar_78,I have a Nacho Libre question.?,english,polar,0.01,3.00,0.00,0.33,0.67,2.08,0.00,1.00
en_polar_79,is there any good places to get an ice-cream sundae from in Invercargill New Zealand?,english,polar,0.94,5.00,1.00,0.50,0.62,2.94,3.93,2.00
en_polar_80,you live in NZ and you eat McDonalds ice cream?,english,polar,-0.09,4.00,0.00,0.50,0.55,2.56,0.00,2.00
en_polar_81,best burger chain in the Chicago area?,english,polar,-0.03,2.00,0.00,0.00,0.71,2.20,0.00,0.00
en_polar_82,Does 5 make a chain?,english,polar,-0.69,2.00,0.00,0.33,0.40,1.95,0.00,1.00
en_polar_83,Should I be concerned?,english,polar,-0.19,1.00,0.00,0.00,0.25,1.79,0.00,1.00
en_polar_84,Name of specific Hibachi restaurant in Chicago?,english,polar,-0.03,3.00,0.00,0.00,0.71,2.20,0.00,0.00
en_polar_85,canon t2i stops working?,english,polar,-1.19,2.00,1.00,0.17,1.00,1.79,3.93,2.00
en_polar_86,did anyone have this issue?,english,polar,-0.69,2.00,0.00,0.33,0.40,1.95,0.00,1.00
en_polar_87,is it worthy to send in for warranty repair?,english,polar,-0.44,3.00,1.00,0.50,0.56,2.40,3.93,2.00
en_polar_88,Cheapest airline ticket from Raleigh to Philippines?,english,polar,-0.36,2.00,0.00,0.00,0.71,2.20,0.00,0.00
en_polar_89,I was thinking cichlids?,english,polar,-0.86,1.00,0.00,0.33,0.50,1.79,0.00,1.00
en_polar_90,"I know saltwater is a possibility, can you give me a possible stocking option for that too?",english,polar,0.18,4.00,1.00,0.50,0.47,3.00,3.93,3.00
en_polar_91,Out of business?,english,polar,-0.69,1.00,0.00,0.00,0.33,1.61,0.00,0.00
en_polar_92,Remember the old shoe sizing machines that was a form of radiation xray?,english,polar,0.31,4.00,1.00,0.17,0.62,2.71,4.21,3.00
en_polar_93,"Have they, however, actually weakened Israeli security?",english,polar,0.81,2.00,0.00,0.67,0.71,2.40,0.00,1.00
en_polar_94,"In all this so-called controversy, has anyone considered that perhaps George Bush just wanted to fly jets?",english,polar,0.69,3.00,2.00,0.46,0.61,3.09,4.21,4.00
en_polar_95,"For example, did you know that George Bush spent considerably more time in uniform than John Kerry?",english,polar,-0.13,5.00,1.00,0.50,0.65,3.00,3.93,2.00
en_polar_96,That he didn’t show up for duty in Alabama?,english,polar,0.14,2.00,0.00,1.00,0.30,2.48,0.00,1.00
en_polar_97,That he missed a physical?,english,polar,-0.69,2.00,0.00,0.50,0.40,1.95,0.00,1.00
en_polar_98,That his daddy got him in?,english,polar,-0.59,2.00,0.00,0.67,0.50,2.08,0.00,1.00
en_polar_99,Did you know that?,english,polar,-0.86,1.00,0.00,0.33,0.25,1.79,0.00,1.00
en_polar_100,Remember Luis Posada Carriles ?,english,polar,-0.86,2.00,0.00,0.17,1.00,1.79,0.00,1.00
en_polar_101,But will Posada be given up?,english,polar,0.01,1.00,0.00,0.67,0.33,2.08,0.00,1.00
en_polar_102,Have you sent this to congress yet?,english,polar,-0.19,2.00,0.00,0.67,0.43,2.20,0.00,1.00
en_polar_103,Maybe because they hint at a larger conspiracy/network of abusers/satanic underground?,english,polar,0.09,4.00,0.00,0.67,0.53,2.83,0.00,1.00
en_polar_104,"So we ""lost"" some weapon?",english,polar,0.06,2.00,0.00,0.50,0.60,2.20,0.00,1.00
en_polar_105,"They really are milking the incompetence angle though, aren't they?",english,polar,0.31,2.00,0.00,0.83,0.45,2.64,0.00,1.00
en_polar_106,"Just another big Iraq whoopsie daisy, huh?",english,polar,0.64,1.00,0.00,0.00,0.71,2.30,0.00,0.00
en_polar_107,The freaky thing here is that these bozos are seriously claiming the moral high ground ? ? ? ? ?,english,polar,0.66,2.00,0.00,1.00,0.60,3.04,0.00,1.00
en_polar_108,"Do you really think GWB, and neocons in general are representative of true followers of Jesus of Nazareth?",english,polar,0.22,5.00,1.00,0.50,0.56,3.04,3.93,2.00
en_polar_109,Are the adherent of 'Crowleyan Thelema' and others of similar ilk appropriating or appropriating from the appropriators to redirect 'energy?',english,polar,1.17,4.00,1.00,0.39,0.55,3.26,3.93,3.00
en_polar_110,Does this reappropriation lead to or originate from the same place?,english,polar,-0.09,2.00,0.00,0.50,0.45,2.56,0.00,2.00
en_polar_111,Is the distinction accurate and valid?,english,polar,-0.59,2.00,0.00,0.00,0.50,2.08,0.00,1.00
en_polar_112,Does the distinction actually exist?,english,polar,-0.19,2.00,0.00,0.33,0.60,1.95,0.00,1.00
en_polar_113,Has anyone read the letter purportedly from Ahmadinejad to George Bush?,english,polar,-0.29,3.00,0.00,0.33,0.55,2.56,0.00,1.00
en_polar_114,"For example, is the system of Crowleyan Thelema a failed alchemical process?",english,polar,1.53,3.00,0.00,0.00,0.58,2.71,0.00,2.00
en_polar_115,Or was it supposed to initially be a process of alchemical appropriation?,english,polar,0.26,3.00,1.00,0.67,0.42,2.64,3.93,2.00
en_polar_116,"Similarly, is invoking ancient Egyptian gods and goddesses a reaffirmation of an oppressive and hierarchical system?",english,polar,1.54,4.00,1.00,0.17,0.62,2.94,3.93,2.00
en_polar_117,Shall we censor the works of poet Charles Baudelaire as well?,english,polar,-0.09,3.00,0.00,0.50,0.64,2.56,0.00,1.00
en_polar_118,"Wouldn't you expect some of the religious leaders to do it themselves, or to talk their sons into doing it, if this is truly a supreme act of religious fervor?",english,polar,1.11,4.00,1.00,0.62,0.39,3.56,4.33,5.00
en_polar_119,Aren't they interested in the benefits of going to Heaven?,english,polar,-0.39,4.00,1.00,0.33,0.36,2.56,3.93,2.00
en_polar_120,Can a policeman open fire on someone trying to kill him?,english,polar,-0.69,4.00,2.00,0.33,0.45,2.56,4.21,3.00
en_polar_121,Can a government listen to phone conversations of terrorists and drug dealers?,english,polar,-0.38,4.00,0.00,0.33,0.58,2.64,0.00,1.00
en_polar_122,"Should there be death penalty, for deliberate multiple murders?",english,polar,-0.07,3.00,0.00,0.33,0.67,2.48,0.00,1.00
en_polar_123,"Do you return fire, if you are attacked from a hospital?",english,polar,0.01,3.00,1.00,0.58,0.36,2.64,3.93,2.00
en_polar_124,Do you search every ambulance after a few suicide murderers use ambulances to reach their targets?,english,polar,0.07,4.00,2.00,0.50,0.56,2.89,4.21,3.00
en_polar_125,Do you strip every woman because one pretended to be pregnant and carried a suicide bomb on her belly?,english,polar,0.08,4.00,2.00,0.56,0.42,3.04,4.21,4.00
en_polar_126,"Do you shoot back at someone trying to kill you, standing deliberately behind a group of children?",english,polar,-0.32,5.00,1.50,0.33,0.47,3.00,4.33,4.00
en_polar_127,"Do you raid terrorist headquarters, hidden in a mental hospital?",english,polar,-0.19,4.00,1.00,0.25,0.60,2.56,3.93,2.00
en_polar_128,Is the solution a democratic Arab world?,english,polar,0.64,2.00,0.00,0.00,0.57,2.20,0.00,1.00
en_polar_129,"In October 2001, did the FBI profilers know of the draft message Khalid Mohammed had on the seized laptop (from 1995) that was signed ""Khalid Sheik Bojinka""?",english,polar,0.69,4.00,1.00,0.38,0.56,3.53,4.21,4.00
en_polar_130,Have you had an opportunity to consider the invitation yet?,english,polar,-0.08,4.00,1.00,0.42,0.50,2.48,3.93,2.00
en_polar_131,Will you drive on that day?,english,polar,-0.39,2.00,0.00,0.33,0.33,2.08,0.00,1.00
en_polar_132,"At some point, I'd like to talk about the diversification strategy in more detail -- perhaps over dinner or a quick meeting after the markets close?",english,polar,0.45,6.00,1.00,0.50,0.50,3.40,4.21,3.00
en_polar_133,are you going to the NYMEX candidate cocktail hour Tuesday?,english,polar,1.03,3.00,0.00,0.50,0.60,2.48,0.00,1.00
en_polar_134,are you going to the NYMEX candidate cocktail hour Tuesday?,english,polar,1.03,3.00,0.00,0.50,0.60,2.48,0.00,1.00
en_polar_135,Did you happen to sign your employment agreement?,english,polar,-0.48,3.00,1.00,0.33,0.50,2.30,3.93,2.00
en_polar_136,Are we going to attend?,english,polar,-0.69,2.00,1.00,0.25,0.40,1.95,3.93,2.00
en_polar_137,Do you concur?,english,polar,-0.69,1.00,0.00,0.17,0.33,1.61,0.00,1.00
en_polar_138,"If possible, can you also give an indication of the rank - 1 through 5?",english,polar,-0.19,5.00,0.00,0.67,0.36,2.89,0.00,1.00
en_polar_139,Do you concur?,english,polar,-0.69,1.00,0.00,0.17,0.33,1.61,0.00,1.00
en_polar_140,"If possible, can you also give an indication of the rank - 1 through 5?",english,polar,-0.19,5.00,0.00,0.67,0.36,2.89,0.00,1.00
en_polar_141,Is there 1 available?,english,polar,-0.86,2.00,0.00,0.33,0.50,1.79,0.00,1.00
en_polar_142,"Do we intend to reference a particular manufacturer, or should this be more generic?",english,polar,0.81,3.00,1.00,0.42,0.43,2.83,3.93,3.00
en_polar_143,"Do we expect to have ONE EPC contract, or several?",english,polar,-0.42,4.00,1.00,0.33,0.50,2.56,3.93,2.00
en_polar_144,"Do we intend to reference a particular manufacturer, or should this be more generic?",english,polar,0.81,3.00,1.00,0.42,0.43,2.83,3.93,3.00
en_polar_145,"Do we expect to have ONE EPC contract, or several?",english,polar,-0.42,4.00,1.00,0.33,0.50,2.56,3.93,2.00
en_polar_146,Are we expecting that the portion attributable to each project will be paid as the individual EPC contracts are signed?,english,polar,1.07,5.00,2.00,0.50,0.45,3.09,4.21,3.00
