unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
finnish_polar_285,Onko Tornion joessa kova virtaus?,fi,polar,-0.252,-0.015,0.0,0.0,0.8,1.946,0.0,0.003,1
finnish_polar_310,Onko Sagaholmin hautakumpu rakennettu pronssista?,fi,polar,-0.252,-0.015,0.0,0.5,0.8,1.946,0.0,0.003,1
finnish_polar_0,Tarvitaanko neutroneja radioaktiivisten aineiden valmistamiseen?,fi,polar,-0.002,0.985,0.0,0.333,1.0,1.946,0.0,0.003,1
finnish_polar_1141,Onko Malakan asukasluku noin 800 000?,fi,polar,0.248,-0.015,0.0,0.0,0.6,1.946,0.0,-0.997,1
finnish_polar_41,Onko pastori Russelilla yksi vaimo?,fi,polar,-0.252,-0.015,0.0,0.0,0.6,1.946,0.0,-0.997,1
finnish_polar_1325,Onko Bermudan kolmion alueella maanjäristyksiä?,fi,polar,-0.252,-0.015,0.0,0.0,0.8,1.946,0.0,0.003,1
finnish_polar_2131,Onko Suomen jääkäriliike vieläkin olemassa?,fi,polar,0.248,-0.015,0.0,0.333,0.8,1.946,0.0,0.003,1
finnish_polar_1544,Onko latina on lääketieteellinen kieli?,fi,polar,0.748,-1.015,0.0,0.0,0.6,1.946,0.0,0.003,1
finnish_polar_2266,Voiko neste jäätyä ihmisen sisällä?,fi,polar,-0.502,-0.015,0.0,0.333,0.6,1.946,0.0,0.003,1
finnish_polar_111,Käytetäänkö helikoptereita paljon sotilaallisissa tehtävissä?,fi,polar,0.248,-0.015,0.0,0.5,1.0,1.946,0.0,0.003,1
finnish_polar_719,Onko uittoperinnettä muualla kuin Suomessa?,fi,polar,-0.252,-0.015,0.0,0.0,0.6,1.946,0.0,0.003,1
finnish_polar_919,Onko Yhdysvaltain senaatissa 100 senaattoria?,fi,polar,-0.252,-0.015,0.0,0.0,0.6,1.946,0.0,0.003,1
