unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens
arabic_polar_0,هل عدم القيام بجهد جسماني ممكن ان يسبب الأرق؟,arabic,polar,2.0,4.0,1.0,2.0,0.7777777777777778,10
arabic_polar_1,هل هندسة التقنيات الطبية تدرّس في جامعة فلوريدا؟,arabic,polar,1.8571428571428572,3.0,0,3.0,0.5,9
arabic_polar_2,هل يمكن ان ينقل البعوض الامراض ؟,arabic,polar,1.4,2.0,1.0,2.0,0.5,7
arabic_polar_3,هل مصرهي دولة نامية؟,arabic,polar,1.0,2.0,0,0,0.75,5
arabic_polar_4,هل دمرت القنبلة الذرية مدينة هيروشيما؟,arabic,polar,1.4,2.0,0,2.0,0.6666666666666666,7
arabic_polar_5,هل القرآن من حافظ علي اللغة العربية ليومنا هذا ؟,arabic,polar,1.8888888888888888,4.0,0,0,0.5,11
arabic_polar_6,هل تعد النعامة أكبر الطيورحجماً في العالم؟,arabic,polar,1.5,3.0,0,3.0,0.5714285714285714,8
arabic_polar_7,هل رسالة بطرس الثانية هي أحد أسفار العهد الجديد؟,arabic,polar,2.0,3.0,0,0,0.6666666666666666,10
arabic_polar_8,هل يسبب نقص فيتامين K خلل في تخثر الدم؟,arabic,polar,1.5,3.0,0,2.0,0.5555555555555556,10
arabic_polar_9,هل القصف الذرّي على هيروشيما وناجازاكي هو السبب الرئيسي لإنهاء الحرب العالمية الثانية؟,arabic,polar,2.230769230769231,3.0,0,0,0.5714285714285714,15
arabic_polar_10,هل النساء أكثر عرضة للإصابة بهشاشة العظام؟,arabic,polar,1.5,2.0,0,0,0.5714285714285714,8
arabic_polar_11,هل يمثل الأفارقة أكثر اللّاجئين في العالم؟,arabic,polar,1.5,3.0,0,2.0,0.7142857142857143,8
arabic_polar_12,هل تعد الانجليزية من اللغات الرسمية في الهند؟,arabic,polar,1.5714285714285714,3.0,0,3.0,0.625,9
arabic_polar_13,الستيرويد هو مركب عضوي؟,arabic,polar,1.3333333333333333,1.0,0,0,0.5,5
arabic_polar_14,هل يجب فصل الدين عن السياسة ؟,arabic,polar,1.4,3.0,0,1.0,0.6666666666666666,7
arabic_polar_15,هل يعد ثاني أكسيد الكبريت أحد مكونات الأمطار الحامضية؟,arabic,polar,1.375,4.0,0,3.0,0.7777777777777778,10
arabic_polar_16,هل الحكم للأقليّة في النظام الديكتاتوري؟,arabic,polar,1.4,2.0,0,0,0.6666666666666666,7
arabic_polar_17,هل توجد احصائية رسيمة لعدد اليهود في المغرب ؟,arabic,polar,2.0,3.0,0,3.0,0.6666666666666666,10
arabic_polar_18,هل ينتقل مرض السكري بالوراثة؟,arabic,polar,1.5,2.0,0,2.0,0.8,6
arabic_polar_19,هل تنتج شجرة السماء ثماراً ؟,arabic,polar,1.5,2.0,0,2.0,0.8,6
arabic_polar_20,هل الهيروغليفية لغة محكية؟,arabic,polar,1.3333333333333333,1.0,0,0,0.75,5
