unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
en_content_0,What if Google Morphed Into GoogleOS?,english,content,1.8,3.0,1.0,3.0,0.5,7,100.0,1.0
en_content_1,What if Google expanded on its search-engine (and now e-mail) wares into a full-fledged operating system?,english,content,5.0,5.0,1.0,4.0,0.6111111111111112,23,100.0,1.0
en_content_2,"(And, by the way, is anybody else just a little nostalgic for the days when that was a good thing?)",english,content,3.473684210526316,3.0,1.0,0,0.45,25,50.0,2.0
en_content_3,why do you think i should get one of those?,english,content,1.7777777777777777,4.0,1.0,2.5,0.3,11,50.0,2.0
en_content_4,what do you think?,english,content,2.0,1.0,0,2.0,0.25,5,0.0,1.0
en_content_5,what happened to you?,english,content,1.3333333333333333,2.0,0,2.0,0.25,5,0.0,1.0
en_content_6,why is enron blowing up?,english,content,1.75,1.0,0,3.0,0.6,6,0.0,1.0
en_content_7,"We just did a deal for the rest of the month for 10,000/d at meter # 1552 QE-1 @ $4.355 .... can you let me and Robert Lloyd know what the sitara # is?",english,content,2.9166666666666665,5.0,2.0,2.6666666666666665,0.35135135135135137,40,66.66666666666667,4.0
en_content_8,What's going on with the UBS weather position?,english,content,2.5,2.0,0,3.0,0.4444444444444444,10,0.0,1.0
en_content_9,what's your opinion?,english,content,2.0,1.0,0,0,0.25,5,0.0,1.0
en_content_10,"""What?"" asks Winston, ""isn't there any one here who can give me an example of a tragedy?""",english,content,2.1176470588235294,6.0,1.0,3.0,0.3888888888888889,25,50.0,3.0
en_content_11,"And can you tell me WHY that would be a tragedy?""",english,content,2.9,2.0,1.0,4.0,0.2727272727272727,13,50.0,2.0
en_content_12,What language is talked in Iguazu?,english,content,1.4,2.0,0,3.0,0.5,7,0.0,1.0
en_content_13,What is this Miramar?,english,content,1.6666666666666667,2.0,0,0,0.25,5,0.0,1.0
en_content_14,Which wonderful contact of mine is thumbs upping all my best answers ^^?,english,content,2.4166666666666665,3.0,0,4.0,0.46153846153846156,14,0.0,1.0
en_content_15,What are some Major land forms in Ireland?,english,content,2.142857142857143,3.0,0,0,0.5,9,0.0,1.0
en_content_16,how fare of kolkatta?,english,content,1.3333333333333333,2.0,0,0,0.75,5,0,0.0
en_content_17,Which do you prefer Crab or Shrimp?,english,content,2.1666666666666665,4.0,0,2.0,0.42857142857142855,8,0.0,1.0
en_content_18,how much does it cost to join world resorts international?,english,content,1.7777777777777777,3.0,1.0,2.5,0.7,11,50.0,2.0
en_content_19,Who is artist Gunther Uecker;explain?,english,content,2.4,2.0,0,0.0,0.6666666666666666,8,0.0,2.0
en_content_20,How much does it cost to buy a Big Mac meal in your area?,english,content,2.3846153846153846,4.0,1.0,3.0,0.5714285714285714,15,50.0,2.0
en_content_21,which burger chain do you think is as good as in n out or better in the chicago area besides five guys and smashburger?,english,content,2.869565217391304,4.0,1.0,2.0,0.5416666666666666,25,50.0,2.0
en_content_22,Where to buy bodybuilding supplements in Delhi?,english,content,1.8333333333333333,2.0,0,4.0,0.7142857142857143,8,0.0,1.0
en_content_23,"Besides eating good foods, what else do people do in Miramar?",english,content,2.3,3.0,1.0,3.0,0.6363636363636364,13,50.0,2.0
en_content_24,how do you mold silicone or rubber into a mermaid tail?,english,content,2.3,3.0,0,4.0,0.5454545454545454,12,0.0,1.0
en_content_25,"In the Episode ""So in Louvre Are We Two"", How many diffrent painting/scupltures are their and who are the artists?",english,content,2.380952380952381,4.0,0,4.0,0.5,26,0.0,2.0
en_content_26,What country are we talking about?,english,content,2.2,2.0,0,2.0,0.3333333333333333,7,0.0,1.0
