unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
korean_polar_0,로마의 면적은 서울시의 2배인가요?,korean,polar,-0.68,2.00,0.00,0.50,1.00,1.79,0.00,1.00
korean_polar_1,현대의 물리학이 고찰할 수 있는 최초의 우주는 대폭발 이후 10−43초 부터인가요?,korean,polar,-0.32,4.00,1.00,0.62,1.00,2.56,3.93,2.00
korean_polar_2,페르시아인은 이란계인가요?,korean,polar,-1.02,1.00,0.00,0.25,1.00,1.39,0.00,1.00
korean_polar_3,한국에서는 배아줄기세포를 만들기 위해 생명체로 자랄 수 있는 배아를 이용하는 행위를 금지하고 있나요?,korean,polar,0.07,7.00,1.00,0.44,0.85,2.71,4.33,4.00
korean_polar_4,리투아니아는 발트 3국 가운데 가장 인구가 넓나요?,korean,polar,0.32,3.00,0.00,1.00,1.00,2.20,0.00,1.00
korean_polar_5,도솔가는 고대 시가 중 최초의 정형시인가요?,korean,polar,-0.02,3.00,0.00,0.75,1.00,2.08,0.00,1.00
korean_polar_6,"대법원의 판례공보 인용은, 미국, 독일과 같은 방식을 사용하나요?",korean,polar,0.84,3.00,0.00,0.50,0.88,2.48,0.00,1.00
korean_polar_7,독점규제법에서는 누구든지 직접 또는 특수관계인을 통하여 다른 회사와의 합병을 함으로써 일정한 거래분야에서 경쟁을 실질적으로 제한하는 행위를 제한하나요?,korean,polar,1.61,7.00,1.00,0.58,0.88,2.94,3.93,3.00
korean_polar_8,파리는 프랑스의 경제 중심지인가요?,korean,polar,-0.02,1.00,0.00,0.75,1.00,1.79,0.00,1.00
korean_polar_9,양산시는 경상남도에 속해있나요?,korean,polar,-0.52,1.00,0.00,0.50,1.00,1.61,0.00,1.00
korean_polar_10,"상시 4륜구동(full-time 4WD, 풀 타임 4WD)는 항상 4륜으로 주행하는 것으로 전/후륜의 동력비율을 가변적으로 조절하도록 되어 있는 방식인가요?",korean,polar,0.87,4.00,1.00,0.50,0.68,3.14,4.21,3.00
korean_polar_11,말레이시아에서는 사형제도가 시행되고 있는가?,korean,polar,-0.68,1.00,0.00,0.50,0.75,1.79,0.00,1.00
korean_polar_12,도마뱀은 난생을 하는 동물인가요?,korean,polar,-0.35,2.00,1.00,0.38,1.00,1.79,3.93,2.00
korean_polar_13,아서왕 이야기는 실제로 있었던 이야기인가?,korean,polar,-0.52,2.00,0.00,0.50,1.00,1.95,0.00,1.00
korean_polar_14,은은 금속인가?,korean,polar,-1.02,1.00,0.00,0.25,1.00,1.39,0.00,1.00
korean_polar_15,2D의 직교 좌표계를 좌표평면이라고 하나요?,korean,polar,-0.77,2.00,0.00,0.25,0.80,1.95,0.00,2.00
korean_polar_16,알루미늄은 좋은 전기 도체인가?,korean,polar,-0.02,1.00,0.00,0.75,1.00,1.79,0.00,1.00
korean_polar_17,1991년 이후 현재 대한민국 민법은 배우자를 포함한 친족의 범위를 8촌 이내의 혈족과 4촌 이내의 인척으로 규정하고 있나요?,korean,polar,1.86,4.00,1.00,0.75,0.88,2.94,3.93,2.00
korean_polar_18,교토는 일본의 역사적인 도시인가요?,korean,polar,-0.02,1.00,1.00,0.38,1.00,1.79,3.93,2.00
korean_polar_19,금속결합은 금속에 고르게 퍼져있는 전자와 이온들 간의 전기적인 인력인가요?,korean,polar,0.23,6.00,1.00,0.33,0.78,2.40,4.21,3.00
korean_polar_20,미토콘드리아는 자체적인 유전물질을 가지고 있나요?,korean,polar,-0.52,2.00,1.00,0.25,0.80,1.95,3.93,2.00
korean_polar_21,영국은 모병제를 실시하고 있나요?,korean,polar,-0.68,1.00,0.00,0.50,0.75,1.79,0.00,1.00
