unique_id,text,language,avg_links_len,avg_max_depth,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
en_content_152,What do I need to do?,en,-0.144,-1.199,0.333,0.333,2.079,0,1.402
en_polar_80,you live in NZ and you eat McDonalds ice cream?,en,-0.093,0.966,0.5,0.545,2.565,1,4.483
ar_content_3,فإذن أين يكمن الخلاف؟!,ar,-0.305,-3.095,0.6,0.6,2.079,0,-0.121
ko_polar_48,그런데 과연 기본 가격만으로 재정 조건을 충족시킬 수 있을까?,ko,0.335,-1.635,0.833,0.889,2.398,1,2.82
fi_content_18,Miksi meidän pitäisi sitten osata olla niin vapaita seksuaalisesti?,fi,0.004,-0.743,0.8,0.667,2.398,0,3.126
ko_content_84,그러면 소설 속에서 적극적 주인공이 필요없다면 어떻게 전형성을 통해 작품의 주제를 이끌어 낼 수 있을까?,ko,0.513,-0.467,0.0,0.8,2.833,0,3.679
ar_content_40,ما معنى هذا الكلام؟,ar,-0.722,-2.095,0.0,0.5,1.792,0,-0.525
ko_content_67,"그럼, 이 종자돈 300만 원을 어떻게 활용하면 좋을 것인가?",ko,-0.076,-0.467,0.0,0.556,2.485,0,2.498
en_polar_302,Do you have a tel # for Mike?,en,-0.479,-0.034,0.333,0.375,2.303,1,2.498
ko_content_140,그런데 이 여인이 존재라는 속성을 갖지 않는다면 어떻게 되겠습니까?,ko,-0.076,-1.467,0.208,0.667,2.398,0,1.73
ru_polar_12,Подскажите нужно ли обращаться за помощью?,ru,-0.764,0.397,0.2,0.667,2.079,1,2.579
en_polar_464,Should I just settle and book on line?,en,-0.622,-0.034,0.417,0.5,2.303,1,2.564
id_polar_251,"Engkau telah berzinah dengan banyak kekasih, dan mau kembali kepada-Ku?",id,0.002,-0.362,0.417,0.364,2.639,1,3.06
en_polar_472,and will these antibiotics help?,en,0.057,-1.034,0.333,0.4,1.946,1,1.702
fi_content_44,Miten sitä enää jaksaa?,fi,-0.121,-1.743,0.6,1.0,1.792,0,1.528
ja_polar_40,最高裁と大マスコミはネット表現の敵ですか?,ja,-0.484,-0.273,0.0,0.583,2.639,1,2.465
ja_content_22,"自分たちの会員であるホメオパシー信者の活動の中で人が一人亡くなっているのに,“HOMOEOPATHYYES”とは,日本ホメオパシー医学協会は,いったい,どういう神経をしているのでしょうか。",ja,0.709,3.61,0.233,0.575,3.871,0,8.998
ru_polar_64,Аоезда скорые или автобусы идут ли?,ru,-0.164,-0.603,0.4,0.667,2.079,1,2.379
ru_polar_191,Будем ли мы вместе несмотря на запрет?,ru,-0.164,-0.603,0.0,0.429,2.197,1,1.859
id_content_255,Yaksa: Siapakah yang benar-benar berbahagia?,id,0.122,-0.226,0.4,0.5,2.197,0,2.993
ar_content_11, ما هي التهم التي ستوجه إلى صدام حسين وأعضاء قيادته؟,ar,-0.389,-0.095,0.6,0.308,2.773,0,3.197
fi_content_61,"Jos roolit ovat toisinpäin, ajattelee ""Mitä vittua?""",fi,-0.287,-0.743,0.4,0.571,2.485,0,2.426
ru_polar_164,"Если мне будет мастурбировать чувак, пока я буду смотреть на нюдесы его девушки, будет ли он считаться куколдом?",ru,0.365,-0.603,0.8,0.389,3.091,1,4.042
ko_polar_71,그대가 왕인 나에게 복종하기를 거부하는 것은 그대가 자기자신을 너무 과신하고 있기 때문이 아니겠는가?,ko,0.043,1.365,0.278,0.692,2.708,1,5.086
ja_polar_63,またはそれは高価な基準または前払関税なのか？,ja,0.711,-0.273,0.0,0.286,2.773,1,3.497
en_content_262,What could be the issue and can I try some home remedies first?,en,0.156,-0.199,0.667,0.385,2.708,0,3.717
id_content_246,"Jadi Abah Buyut sendiri merupakan sebuah misteri terpisah, darimana beliau belajar Maenpo ini, apakah hasil perenungan sendiri atau ada yang mengajari?",id,0.17,2.774,0.44,0.591,3.258,0,7.233
ar_polar_15,وأبدى شيخ الأزهر دهشته ممن يقولون إنه لا يؤمن بالرأي الآخر وقال: إن بابي مفتوح يدخله العامل والشحات وإنني قلت لمكتبي: لا تمنعوا أحداً من الدخول، وقال ساخراً من هؤلاء: هل هناك حرية رأي أكثر من ذلك؟,ar,1.007,3.375,0.533,0.451,4.043,1,9.409
en_content_275,"My Snake's meal is TOO big, what can I do?",en,-0.244,-0.199,0.333,0.455,2.639,0,2.984
ar_content_9, ما هي طبيعة المحكمة الخاصة التي شكلها مجلس الحكم لمحاكمة صدام حسين وأعضاء النظام السابق؟,ar,-0.644,3.905,0.6,0.556,3.045,0,7.462
en_polar_503,would You like going for *coffee* with him?,en,0.092,-0.034,0.333,0.375,2.485,1,3.251
en_content_305,When you feed him how many pinkies do you feed him?,en,-0.344,-0.199,0.583,0.545,2.565,0,3.15
ru_polar_46,"И видел ли хоть кто-то, что кого-то не пускают из-за температуры?",ru,0.136,-0.603,0.8,0.273,2.639,1,3.245
ja_content_20,削除しないのはなぜだろう?,ja,0.273,-1.39,0.4,0.286,2.197,0,1.766
en_content_19,Who is artist Gunther Uecker;explain?,en,0.056,-1.199,0.0,0.667,2.197,0,1.721
en_content_46,how many ounces in a pint in ireland?,en,-0.344,-1.199,0.0,0.625,2.303,0,1.385
en_polar_442,Can rabbits and chickens live together?,en,0.007,-0.034,0.333,0.667,2.079,1,3.052
en_content_75,"so, enemy, what's your point?",en,1.256,-2.199,0.0,0.5,2.303,0,1.86
en_polar_370,The Canadian Regenesis actress Mayko Nguyen has Japanese connection or is it her fake name?,en,0.449,-0.034,0.5,0.667,2.833,1,4.415
id_polar_135,``Kalau begitu kamu memang bermaksud membohongiku?,id,-0.098,-1.362,0.5,0.571,2.303,1,1.914
en_polar_200,"Ben Taub hospital is located at 1504 Taub Loop, Houston, Texas, phone number: 713-793-2000.?",en,0.422,-0.034,0.667,0.714,2.996,1,4.765
fi_polar_0,Onko ammatillinen uskottavuuteni noin pientä..?,fi,-0.008,-0.664,0.0,0.8,2.079,1,2.207
ru_polar_121,"В интернете это написано, но правда ли это?",ru,-0.021,-0.603,0.6,0.375,2.398,1,2.749
id_polar_81,"Bukankah (keadaannya) sama kami dengan anda, tidak bisa jauh dari air?",id,0.235,-0.362,0.0,0.308,2.89,1,3.071
fi_content_88,"Kysyipä joku epähienotunteisesti, että miten lienee sosialidemokraattien laita?",fi,0.022,0.257,0.6,0.75,2.398,0,4.027
ar_content_45,"ترتيبات للقاء بين مبارك وشارون بعد ""تقارب"" مصري ـ إسرائيلي؟",ar,0.345,-1.095,0.0,0.455,2.773,0,2.478
id_content_216,Isteri yang cakap siapakah akan mendapatkannya?,id,0.265,-0.226,0.6,0.375,2.303,0,3.317
id_polar_34,Apakah layak sesuatu disebut pengasih akan tetapi sebenarnya merupakan penghukum atau penyiksa?,id,-0.182,0.638,0.667,0.615,2.708,1,4.446
fi_polar_80,Onko tosiaan näin?,fi,-0.508,-1.664,0.0,0.667,1.609,1,0.104
id_polar_111,Lalu berkatalah Yakub kepada Laban: ``Apakah yang kauperbuat terhadap aku ini?,id,-0.015,0.638,0.583,0.308,2.833,1,4.347
en_content_367,"What is the nearest National Park to Birmingham, UK?",en,-0.219,-0.199,0.0,0.556,2.485,0,2.623
fi_content_42,"On vain yksi, miksi?",fi,0.213,-0.743,0.4,0.75,1.946,0,2.566
fi_polar_64,Tuleeko hän varmasti?,fi,-0.508,-1.664,0.4,0.667,1.609,1,0.504
id_content_268,Di manakah harta raja itu sekarang?,id,-0.211,-1.226,0.0,0.429,2.197,0,1.189
ru_polar_20,Опасно ли если ребёнок откусил яблочного червя с яблоком?,ru,-0.164,-0.603,0.8,0.667,2.398,1,3.098
ja_polar_30,そんな夏にぴったり?,ja,-0.878,-1.273,0.0,0.5,1.792,1,0.141
ar_polar_2,رئيس الجمعية موافق وقسم هام من الاعضاء رافضون والاختلاف محوره هذه المرة قضية التطبيع وتداعياتها المعقدة المحمولة على اجنحة متعددة بين السياسي والثقافي والفكري والعلمي مشدودة الى الاشكال الحارق الوحيد: هل نقبل باسرائيل ام نصمد على خط القطيعة؟,ar,0.537,6.375,0.0,0.596,3.912,1,11.42
fi_content_55,"”Tietävätköhän Jumalat nyt, mitä ovat tekemässä?”",fi,0.279,-0.743,0.4,0.667,2.398,0,3.001
fi_content_30,"Mitä tapahtuu, jos itäeurooppalaiset ja keskieurooppalaiset vallan keskukset kerran siirtyvät?",fi,0.99,2.257,0.5,0.7,2.565,0,7.012
fi_polar_31,"Kääntäisikö Se mahtavan Ahterinsa Nielun kansalle, ja siunaisi sitä ruskealla sukkulalla ja kultaisella sateella, vai laskisiko Se alas kauhistuttavan Kätensä mukanaan sininen kaikentuhoava tulva?",fi,1.079,1.336,0.867,0.708,3.332,1,7.322
ar_content_14, ربما أم مؤكد؟,ar,-0.555,-3.095,0.0,0.333,1.792,0,-1.525
en_polar_582,Was the iPhone the first Smart Phone?,en,0.64,-1.034,0.0,0.571,2.197,1,2.374
ko_content_14,과연 이럴 때 우리 성도들은 어떻게 처신해야 좋겠습니까?,ko,0.084,-1.467,0.0,0.625,2.303,0,1.545
fi_content_23,- ... Mutta miten ne ei ole vieläkään saanut rakennettua sitä Lepuskin tornia?,fi,0.679,0.257,0.6,0.545,2.708,0,4.789
ko_content_144,고령화 사회가 도래하면 우리사회에는 어떤 문제가 발생할 것인가?,ko,-0.487,-0.467,0.333,0.625,2.303,0,2.307
fi_content_41,"Miten mies voisikaan tietää, ettei Pekulla enää edes ole puhelintaan?",fi,0.179,-0.743,0.6,0.636,2.639,0,3.311
ja_polar_35,未来の英雄?,ja,-0.712,-1.273,0.0,0.667,1.609,1,0.291
ko_content_197,우주에 관해서 우리는 무엇을 알고 있으며 또 어떻게 그것을 알게 되었을까?,ko,0.799,-1.467,0.056,0.364,2.565,0,2.317
ko_content_81,도대체 왜 고르비는 리슈꼬프와 빠블로프 등 매우 단견적인 인물들에 의해 경제정책을 입안하게 했는가?,ko,0.632,1.533,0.417,0.769,2.708,0,6.059
ru_polar_167,Можно ли прийти в турагентство и спросить набирают ли они группу для такого полета?,ru,-0.087,1.397,0.5,0.5,2.773,1,5.083
ja_content_26,一連の事態をどのように理解すればいいのでしょうか。,ja,-0.24,-0.39,1.0,0.286,2.773,0,3.429
ru_content_340,"Я ничего не понял, как понять, обучили меня смешарики чему-то?",ru,0.288,-0.955,0.5,0.5,2.639,0,2.972
id_polar_87,``Kang mas apa menangis?,id,-0.432,-1.362,0.333,1.0,1.946,1,1.485
en_polar_204,Just wanted to know were we stand on the ETA and PA for Argentina?,en,-0.347,1.966,0.389,0.571,2.773,1,5.352
en_content_38,Which Compact System Camera Should I Get...?,en,-0.511,-0.199,0.333,0.571,2.303,0,2.497
fi_polar_75,"Mistä tiedetään, paljonko työtä tietty kurssi on opiskelijalta vaatinut?",fi,0.742,0.336,0.5,0.778,2.485,1,4.841
ja_polar_16,知恵とアイディアを結集させたこの「推し面メーカー」は、最初から公開予定だったのだろうか。,ja,0.312,1.727,0.125,0.409,3.296,1,5.869
ru_content_377,И почему друзей разрешается иметь только до десяти тысяч включительно?,ru,0.066,0.045,0.417,0.6,2.485,0,3.613
ja_content_39,民間企業において宗教的信念に関する発言を妨げる危険のある制限は何であるか？,ja,-0.203,4.61,0.08,0.545,3.178,0,8.21
fi_content_103,Mikä siis avuksi?,fi,-0.621,-1.743,0.0,0.667,1.609,0,-0.088
en_content_362,What influenced Picasso's cubism style of painting?,en,-0.487,-0.199,0.333,0.625,2.303,0,2.575
id_polar_225,Adakah gelombang P?,id,-0.765,-1.362,0.333,0.75,1.792,1,0.748
ar_content_0,ويعود الصائم، بعد افطاره الشهي، الى حيث تستقبله، في كل الفضائيات العربية، مشاهد المآسي التي تجري في فلسطين، والمجازر التي يرتكبها العدو الصهيوني ضد شعبنا العربي المسلم في هذه الارض العربية المغتصبة والمدماة... فماذا يفعل؟,ar,1.373,4.905,0.6,0.535,3.97,0,11.383
ru_polar_155,Не нужно ли мне будет сидеть потом 2х недельный карантин дома?,ru,0.236,-0.603,0.6,0.545,2.565,1,3.343
ko_content_43,왜 노동자의 꾸가에서 노동자의 상태개선이 아니라 농민의 상태개선인가?,ko,0.084,-0.467,0.5,0.875,2.303,0,3.295
ko_polar_56,그렇다면 뻬레스트로이카의 어떠한 측면이 그 반동적 성격을 강화했으며 또 어떠한 측면이 고르비를 뿌치의 반동으로부터 구해낼 수 있었는가?,ko,1.085,-0.635,0.0,0.824,2.944,1,4.218
id_content_59,Mengapa Kanade ada lebih dulu di dunia Afterlife?,id,-0.163,-1.226,0.8,0.875,2.303,0,2.589
ja_polar_51,すごくそういうところを引っかかる感じですか?,ja,-0.462,0.727,0.375,0.667,2.398,1,3.705
ko_polar_28,그렇다면 사회주의적 생산에서는 어떠한 변화를 겪게 되는가?,ko,-0.04,-1.635,0.222,0.857,2.197,1,1.601
ar_content_26,"وماذا عن المكتبات؟. عن هذا السؤال اجاب ستيف ريجيو المسؤول عن مكتبة ""بارنيساندنوبل.كوم"" الاميركية على شبكة الانترنت بالقول ""خلال 20 عاما، ستدخل مكتبة ما وتلقم المؤلفات التى تريد على كتابك الالكتروني"".",ar,0.667,1.905,0.5,0.432,3.85,0,7.354
id_content_13,Kemana impian jiwa muda ini membawa mereka?,id,0.456,-0.226,0.6,0.714,2.197,0,3.741
id_content_256,(C) Di mana kita saat ini?,id,0.722,-0.226,0.0,0.333,2.303,0,3.132
ja_polar_43,一番希望するのは?,ja,-0.462,-2.273,0.75,0.4,1.946,1,0.361
id_polar_108,"Ia bertanya, “Bisakah kita membuat sebuah mobil mewah terbaik di dunia?” Pertanyaan Eiji ini membuat Toyota memulai sebuah proyek super - rahasia yang diberi kode F1 (“Flagship” (Unggulan) + “No. 1 vehicle” (Mobil No. 1)).",id,0.813,6.638,0.4,0.657,3.989,1,12.497
ar_content_32,اذاً، انتصرت السلطة او هكذا تعتقد. انتصرت على المعارضة؟ لا، بل هي على الدولة انتصرت. فمع انتهاء ما بدا فصلاً من معركتها مع المعارضة، بات جلياً ان مفهوم الدولة سقط، بل ان الممارسات الدؤوبة للسلطة ومحاسيبها قد اسقطته.,ar,2.224,2.905,0.45,0.523,3.97,0,10.072
ar_content_42,ماذا سيفعل عندما سيعود إليها باسم الانتقام؟,ar,-0.055,-1.095,0.5,0.364,2.565,0,2.279
fi_content_112,Mitä ihmettä tämä tarkoittaa?,fi,-0.454,-0.743,0.4,0.5,1.792,0,1.495
fi_content_99,"Ensinnäkin sen sijaan, että työntekijöitä komennettaisiin milloin mihinkin projektiin, saa usein kuulla kysymystä ”mitä haluaisit tehdä?”, ja työntekijän toiveita myös oikeasti kuunnellaan.",fi,1.356,2.257,0.533,0.727,3.401,0,8.274
fi_polar_112,"Voisitko itse paremmin, jos seksielämäsi jatkuisi?”",fi,0.392,-0.664,0.5,0.833,2.303,1,3.364
ru_polar_49,Легко ли найти жилье и работу?,ru,-0.764,0.397,0.2,0.667,2.079,1,2.579
id_content_117,Fadil bilang apa benar Kamila belum ditemukan?,id,-0.211,-0.226,0.2,0.857,2.197,0,2.817
ko_content_231,러시아 땅에 전기와 기계가 소나기처럼 퍼부어졌는데도 낙원의 여왕은 왜 오지 않았을까?,ko,-0.301,-0.467,0.5,0.818,2.565,0,3.115
ko_polar_18,그렇다고 멀쩡한 아내와 어린 두 아들을 권총으로 쏴 죽인 후에 자살을 해야 직성이 풀린단 말입니까?,ko,0.674,3.365,0.389,0.667,2.833,1,7.928
id_content_180,"Lalu, mengapa para pengembang menggunakan nama ``Catfiz''?",id,0.289,-1.226,0.8,0.714,2.485,0,3.062
ko_polar_191,과연 영국에는 패션이 없는가?,ko,-0.04,-2.635,0.0,1.0,1.792,1,0.117
en_polar_334,Would you recommend living in Limerick as a student?,en,-0.318,-0.034,0.333,0.444,2.398,1,2.823
fi_polar_57,Suostutteko keskustapuolueen uudeksi puheenjohtajaksi?,fi,-0.008,-0.664,0.2,1.0,1.792,1,2.32
ja_content_18,"信者の人権を守るために身体の自由をどの程度侵してもやむを得ないと言えるのか,という議論ではないでしょうか。",ja,0.058,2.61,0.5,0.375,3.555,0,7.098
ru_content_464,"В общем как вы считаете, это нормально?",ru,-0.212,-0.955,0.667,0.571,2.303,0,2.374
id_content_271,Bagaimanakah kisah selanjutnya?,id,-0.544,-1.226,0.0,0.75,1.792,0,0.772
en_content_204,"We have the technology; if you are going to spend billions of dollars touting ""FREEDOM"" why not spend those billions making all of us free?",en,0.614,2.801,0.472,0.52,3.401,0,7.808
en_polar_73,surprise romantic cheap date night san francisco?,en,-0.36,-1.034,0.0,1.0,2.197,1,1.803
id_polar_150,Mereka berkata kepada Nabi Yunus: ``Apakah kata-kata yang engkau ucapkan itu dan kedustaan apakah yang engkau anjurkan kepada kami tentang agama barumu itu?,id,0.182,2.638,0.556,0.385,3.401,1,7.162
id_polar_120,Kemudian muridnya itu bertanya: ``Didaerah mana Mama ingin mendirikan Pesantren itu?,id,0.538,-0.362,0.583,0.417,2.773,1,3.949
id_content_174,Bagaimana kalau pemberian lain sebagai hadiah untukmu?,id,-0.306,-0.226,0.0,0.5,2.303,0,2.271
ar_content_21, ما هو الوقت الذي ستستغرقه هذه المحاكمات؟,ar,-0.305,-2.095,0.6,0.333,2.485,0,1.018
en_polar_560,PS- Were you having phone system problems this morning?,en,0.057,-0.034,0.667,0.667,2.485,1,3.842
ar_polar_0,هل تتعمق الأزمة السياسية والاقتصادية في لبنان؟,ar,-0.379,-0.625,0.2,0.625,2.303,1,2.124
ar_polar_23,هل يسمح للعاملين بإبقاء أغراض دينية على مكاتبهم؟,ar,-0.393,-1.625,0.6,0.545,2.565,1,1.692
ja_content_33,幸いなことに、ソニー・オーストラリアにいた誰かは、「おい、ところで、君たちはこれに気づいたかい？」という様子だった、とポールは言った。,ja,1.665,1.61,0.15,0.314,3.807,0,7.546
id_content_79,"Apabila didengarnya segala kedursilaan yang dilakukan anak-anaknya, berkatalah ia kepada mereka: ``Mengapa kamu melakukan hal-hal yang begitu, sehingga kudengar dari segenap bangsa ini tentang perbuatan-perbuatanmu yang jahat itu?",id,0.435,2.774,0.68,0.394,3.664,0,7.947
ar_polar_6, هل ستكون أنت ضمن القضاة باعتبارك قاضياً وعضواً في مجلس الحكم؟,ar,0.121,-1.625,1.0,0.467,2.89,1,2.853
fi_content_80,Mitä se tähän kuuluu?,fi,-0.121,-1.743,0.6,0.25,1.792,0,0.778
ar_content_48,وهل سيمتد هذا التأثير على الاحتياطي النقدي الدولاري في البنك المركزي المصري؟,ar,-0.132,-1.095,0.6,0.571,2.773,0,2.717
