unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type,complexity_score
english_polar_364,Do smart thermostats require wifi connection?,en,polar,-0.532,-0.529,0.0,0.333,0.833,2.079,0.0,-0.083,1,-0.53
english_polar_733,Did the Vikings ever come back?,en,polar,-0.332,-0.529,0.0,0.5,0.667,2.079,0.0,-0.083,1,-0.454
english_polar_329,Do any Chaldean buildings still exist?,en,polar,0.068,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.365
english_polar_333,Is everything an object in Ruby?,en,polar,-0.332,-0.529,0.0,0.0,0.333,2.079,0.0,-0.083,1,-0.772
english_polar_853,Is Fort Yellowstone still in use?,en,polar,0.268,-0.529,0.0,0.0,0.667,2.079,0.0,-0.083,1,-0.416
english_polar_689,Are bananas a Genetically Modified Organism?,en,polar,0.668,-0.529,0.0,0.167,0.667,2.079,0.0,0.917,1,0.182
english_polar_955,Did Georges Sagnac have a wife?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_883,Is ecologist Michael Rosenzweig still alive?,en,polar,0.068,-0.529,0.0,0.0,0.833,2.079,0.0,-0.083,1,-0.429
english_polar_263,Is Chinese food considered fast food?,en,polar,-0.532,-0.529,0.0,0.5,0.833,2.079,0.0,-0.083,1,-0.467
english_polar_499,Is email a form of telecommunication?,en,polar,-0.332,-0.529,0.0,0.0,0.5,2.079,0.0,-0.083,1,-0.708
english_polar_897,Do cardiologists have to do surgery?,en,polar,-0.732,-0.529,1.0,0.333,0.667,2.079,3.932,0.917,1,1.591
english_polar_936,Could Jor-El also fly?,en,polar,0.868,-0.529,0.0,0.333,0.8,2.079,0.0,-0.083,1,-0.009
english_polar_587,Is Death in the Discworld series?,en,polar,0.868,-1.529,0.0,0.0,0.5,2.079,0.0,-0.083,1,-0.251
english_polar_484,Is there an actor's union?,en,polar,-0.132,0.471,0.0,0.333,0.5,2.079,0.0,-0.083,1,-0.505
english_polar_886,Is Welsh a dialect of English?,en,polar,-0.332,-0.529,0.0,0.0,0.5,2.079,0.0,-0.083,1,-0.708
english_polar_1122,Is the great horned owl endangered?,en,polar,0.268,-0.529,0.0,0.0,0.667,2.079,0.0,-0.083,1,-0.416
english_polar_1098,Can you eat a black wildebeest?,en,polar,-0.332,-0.529,0.0,0.333,0.5,2.079,0.0,-0.083,1,-0.581
english_polar_1077,Is there a cure for legionellosis?,en,polar,-0.532,0.471,0.0,0.333,0.5,2.079,0.0,-0.083,1,-0.657
english_polar_44,Is Master Chief in Halo Wars?,en,polar,0.268,-0.529,0.0,0.0,0.667,2.079,0.0,-1.083,1,-0.797
english_polar_949,Did the CoRot space find anything?,en,polar,-0.332,-0.529,0.0,0.333,0.5,2.079,0.0,-0.083,1,-0.581
english_polar_59,Do chimps shun members who cheat?,en,polar,-0.732,0.471,1.0,0.25,0.667,2.079,3.932,0.917,1,1.56
english_polar_750,Is there a cure for Tourettes?,en,polar,-0.532,0.471,0.0,0.333,0.5,2.079,0.0,-0.083,1,-0.657
english_polar_41,Do brains heal themselves after strokes?,en,polar,-0.532,-0.529,0.0,0.5,0.5,2.079,0.0,-0.083,1,-0.594
english_polar_122,Is Iftah Ya Simsim still alive?,en,polar,0.468,-0.529,0.0,0.0,0.833,2.079,0.0,-0.083,1,-0.276
english_polar_1186,Has London even been under attack?,en,polar,0.868,-1.529,0.0,0.0,0.5,2.079,0.0,-0.083,1,-0.251
english_polar_179,Did Benefits Street get a sequel?,en,polar,-0.532,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.594
english_polar_1059,Does the technology for cloning exist?,en,polar,0.268,0.471,0.0,0.167,0.5,2.079,0.0,-0.083,1,-0.416
english_polar_696,Is Rob Zombie a rock star?,en,polar,0.468,-0.529,0.0,0.0,0.667,2.079,0.0,-0.083,1,-0.339
english_polar_684,Can you fix traumatic brain injury?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_794,Is Nest considered a smart thermostats?,en,polar,-0.332,-0.529,0.0,0.5,0.667,2.079,0.0,-0.083,1,-0.454
english_polar_932,Do some countries have compulsory voting?,en,polar,-0.532,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.594
english_polar_941,Is there a cure for amnesia?,en,polar,-0.532,0.471,0.0,0.333,0.5,2.079,0.0,-0.083,1,-0.657
english_polar_202,Can you die from an ulcer?,en,polar,-0.332,-0.529,0.0,0.333,0.333,2.079,0.0,-0.083,1,-0.645
english_polar_734,Does Thomas & Friends still air?,en,polar,0.468,0.471,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.213
english_polar_968,Does Buffy end up with Angel?,en,polar,-0.532,-0.529,0.0,0.5,0.5,2.079,0.0,-0.083,1,-0.594
english_polar_464,Does it snow in New Orleans?,en,polar,-0.332,-0.529,0.0,0.333,0.5,2.079,0.0,-0.083,1,-0.581
english_polar_1159,Did Emmylou Harris go to college?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_765,Is Total War a RTS game?,en,polar,0.268,-0.529,0.0,0.0,0.667,2.079,0.0,-0.083,1,-0.416
english_polar_841,Does Canada have universal health care?,en,polar,-0.332,-0.529,0.0,0.333,0.833,2.079,0.0,-0.083,1,-0.454
english_polar_62,Does the Netherlands have universal healthcare?,en,polar,-0.532,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.594
english_polar_34,Is there a cure for agnosia?,en,polar,-0.532,0.471,0.0,0.333,0.5,2.079,0.0,-0.083,1,-0.657
english_polar_669,Did the Spanish invade the Philippines?,en,polar,-0.532,-0.529,0.0,0.333,0.5,2.079,0.0,-0.083,1,-0.657
english_polar_1109,Does Yasumi Matsuno have a wife?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_690,Is rhetoric used in sales tactics?,en,polar,-0.332,-0.529,0.0,0.5,0.667,2.079,0.0,-0.083,1,-0.454
english_polar_1139,Was Slovenia ever under Roman rule?,en,polar,0.868,-1.529,0.0,0.0,0.667,2.079,0.0,-0.083,1,-0.187
english_polar_609,Does Japan have a football team?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_742,Does TLC have a hit single?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_551,Is the Panama Canal American territory?,en,polar,0.468,-0.529,0.0,0.0,0.667,2.079,0.0,-0.083,1,-0.339
english_polar_1178,Does the universe have a center?,en,polar,-0.532,-0.529,0.0,0.333,0.5,2.079,0.0,-0.083,1,-0.657
english_polar_648,Is it safe to chew aspirin?,en,polar,-0.732,-0.529,1.0,0.333,0.5,2.079,3.932,0.917,1,1.528
english_polar_379,Did Francesco Bonsignori have formal training?,en,polar,-0.332,-0.529,0.0,0.333,0.833,2.079,0.0,-0.083,1,-0.454
english_polar_98,Did Lou Lombardo have a wife?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_536,Do Puerto Ricans have US citizenship?,en,polar,-0.332,-0.529,0.0,0.333,0.833,2.079,0.0,-0.083,1,-0.454
english_polar_425,Does Destiny 2 have any DLC?,en,polar,-0.332,-0.529,0.0,0.333,0.5,2.079,0.0,-0.083,1,-0.581
english_polar_159,Does Stephen King have a degree?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_998,Does Gone have a movie adaptation?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_161,Did Amtrak make money last year?,en,polar,-0.532,-0.529,0.0,0.5,0.833,2.079,0.0,-0.083,1,-0.467
english_polar_436,Has Spike Lee won an Oscar?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_823,Do English saddles fit all horses?,en,polar,-0.532,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.594
english_polar_645,Is pankration still an Olympic sport?,en,polar,0.868,-1.529,0.0,0.0,0.667,2.079,0.0,-0.083,1,-0.187
english_polar_96,Is there treatment for phytophthora ramorum?,en,polar,-0.332,0.471,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_937,Do the Philippines have night markets?,en,polar,-0.532,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.594
english_polar_728,Was Alita made into a movie?,en,polar,-0.332,-0.529,0.0,0.5,0.5,2.079,0.0,-0.083,1,-0.517
english_polar_133,Is Patience based on a book?,en,polar,-0.332,-0.529,0.0,0.5,0.5,2.079,0.0,-0.083,1,-0.517
english_polar_1000,Is Byzantine Octoechos a musical system?,en,polar,0.268,-0.529,0.0,0.0,0.667,2.079,0.0,-0.083,1,-0.416
english_polar_1154,Is popcorn lung linked to vaping?,en,polar,-0.532,-0.529,0.0,0.5,0.667,2.079,0.0,-0.083,1,-0.53
english_polar_5,Can you prevent traumatic brain injury?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_1118,Did American Epic play in theaters?,en,polar,-0.532,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.594
english_polar_260,Is Phoenix required for Elixir sites?,en,polar,-0.332,-0.529,0.0,0.5,0.667,2.079,0.0,-0.083,1,-0.454
english_polar_1072,Do cranberries grow in the wild?,en,polar,-0.332,-0.529,0.0,0.333,0.5,2.079,0.0,-0.083,1,-0.581
english_polar_341,Are foxes closely related to dogs?,en,polar,-0.332,-0.529,0.0,0.0,0.667,2.079,0.0,-0.083,1,-0.644
english_polar_402,Did Gundam Wing win any awards?,en,polar,-0.532,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.594
english_polar_245,Does Canada have a reservation system?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_988,"Is San Rafael, California safe?",en,polar,1.118,-0.529,0.0,0.0,0.8,2.079,0.0,-0.083,1,-0.041
english_polar_817,Does every living thing have DNA?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_339,Is a catapult a siege weapon?,en,polar,0.268,-0.529,0.0,0.0,0.5,2.079,0.0,-0.083,1,-0.479
english_polar_760,Does the Catholic Church pay taxes?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1,-0.517
english_polar_958,Is Dragon Booster still on going?,en,polar,0.268,-0.529,0.0,0.5,0.667,2.079,0.0,-0.083,1,-0.225
english_polar_807,Are all manga black and white?,en,polar,-0.332,-0.529,0.0,0.0,0.667,2.079,0.0,-0.083,1,-0.644
english_polar_904,Are there different colors to henna?,en,polar,0.068,-0.529,0.0,0.5,0.667,2.079,0.0,-0.083,1,-0.301
english_polar_0,Is Creole a pidgin of French?,en,polar,-0.332,-0.529,0.0,0.0,0.5,2.079,0.0,-0.083,1,-0.708
