unique_id,text,language,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
ru_content_196,Как можно купить это?,ru,-0.955,1.0,0.25,0.75,1.792,0,2.837
ru_content_478,Единственными насущными вопросами были: как противостоять влиянию ночи?,ru,0.045,0.0,0.333,0.875,2.398,0,3.651
ru_polar_134,"Мне отправляют антидепрессант, будут ли в сдэк проверять содержимое?",ru,-0.603,0.0,0.6,0.556,2.485,1,3.038
ru_content_684,Что это и как от него избавиться?,ru,0.045,0.0,0.5,0.286,2.197,0,3.028
ru_polar_121,"В интернете это написано, но правда ли это?",ru,-0.603,0.0,0.6,0.375,2.398,1,2.77
ru_polar_162,"Подскажите, у кошки болит лапа, хромает, есть ли на снимке отклонения?",ru,0.397,0.0,0.4,0.727,2.773,1,4.297
ru_content_621,Что помогло Гарри получить зелье Удачи?,ru,0.045,1.0,0.333,0.833,2.079,0,4.29
ru_content_473,"Во время первого раза почти все даже взрослые женщины обычно не испытывают оргазм, что уж говорить о 13 летней?",ru,0.045,0.0,0.667,0.579,3.091,0,4.382
ru_content_162,А как же защита персональных данных?,ru,0.045,0.0,0.0,0.667,2.079,0,2.791
ru_polar_188,И есть ли у вас знакомые?,ru,-1.603,0.0,0.8,0.333,2.079,1,1.609
ru_polar_16,Отмечались ли случаи заражения бешенством от белки?,ru,0.397,0.0,0.4,0.714,2.197,1,3.708
ru_polar_52,"Подскажите, будут ли проблемы с этим, или сейчас можно спокойно съездить туда-назад без всякий самоизоляций?",ru,0.397,1.0,0.533,0.562,3.045,1,5.537
ru_polar_59,"Могут ли у меня отобрать гражданство, если буду более года отсутвовать?",ru,-0.603,1.0,0.467,0.545,2.639,1,4.048
ru_content_377,И почему друзей разрешается иметь только до десяти тысяч включительно?,ru,0.045,1.0,0.417,0.6,2.485,0,4.547
ru_polar_136,"Если просто разбавить водой, останется ли цвет на одежде?",ru,-1.603,1.0,0.7,0.556,2.485,1,3.138
ru_content_371,"Вот теперь, спустя ещё месяц стояния в шкафу, мне стало интересно: ""А что собственно за субстанция у меня поселилась?""",ru,2.045,0.0,0.5,0.526,3.258,0,6.329
ru_content_111,А что вы могли бы посоветовать для нормализации стула?,ru,0.045,1.0,0.417,0.444,2.398,0,4.304
ru_polar_46,"И видел ли хоть кто-то, что кого-то не пускают из-за температуры?",ru,-0.603,1.0,0.8,0.273,2.639,1,4.109
