unique_id,text,language,avg_links_len,avg_max_depth,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
ru_content_196,Как можно купить это?,ru,-1.045,-0.955,0.25,0.75,1.792,0,0.792
ru_content_478,Единственными насущными вопросами были: как противостоять влиянию ночи?,ru,-0.474,0.045,0.333,0.875,2.398,0,3.177
ru_polar_134,"Мне отправляют антидепрессант, будут ли в сдэк проверять содержимое?",ru,0.211,-0.603,0.6,0.556,2.485,1,3.249
ru_content_684,Что это и как от него избавиться?,ru,0.621,0.045,0.5,0.286,2.197,0,3.649
ru_polar_121,"В интернете это написано, но правда ли это?",ru,-0.021,-0.603,0.6,0.375,2.398,1,2.749
ru_polar_162,"Подскажите, у кошки болит лапа, хромает, есть ли на снимке отклонения?",ru,0.236,0.397,0.4,0.727,2.773,1,4.533
ru_content_621,Что помогло Гарри получить зелье Удачи?,ru,-0.845,0.045,0.333,0.833,2.079,0,2.445
ru_content_473,"Во время первого раза почти все даже взрослые женщины обычно не испытывают оргазм, что уж говорить о 13 летней?",ru,0.177,0.045,0.667,0.579,3.091,0,4.559
ru_content_162,А как же защита персональных данных?,ru,-0.645,0.045,0.0,0.667,2.079,0,2.146
ru_polar_188,И есть ли у вас знакомые?,ru,-0.164,-1.603,0.8,0.333,2.079,1,1.445
ru_polar_16,Отмечались ли случаи заражения бешенством от белки?,ru,-0.664,0.397,0.4,0.714,2.197,1,3.044
ru_polar_52,"Подскажите, будут ли проблемы с этим, или сейчас можно спокойно съездить туда-назад без всякий самоизоляций?",ru,0.236,0.397,0.533,0.562,3.045,1,4.773
ru_polar_59,"Могут ли у меня отобрать гражданство, если буду более года отсутвовать?",ru,0.836,-0.603,0.467,0.545,2.639,1,3.884
ru_content_377,И почему друзей разрешается иметь только до десяти тысяч включительно?,ru,0.066,0.045,0.417,0.6,2.485,0,3.613
ru_polar_136,"Если просто разбавить водой, останется ли цвет на одежде?",ru,-0.289,-1.603,0.7,0.556,2.485,1,1.849
ru_content_371,"Вот теперь, спустя ещё месяц стояния в шкафу, мне стало интересно: ""А что собственно за субстанция у меня поселилась?""",ru,0.955,2.045,0.5,0.526,3.258,0,7.284
ru_content_111,А что вы могли бы посоветовать для нормализации стула?,ru,-0.17,0.045,0.417,0.444,2.398,0,3.134
ru_polar_46,"И видел ли хоть кто-то, что кого-то не пускают из-за температуры?",ru,0.136,-0.603,0.8,0.273,2.639,1,3.245
