sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,2019년까지 월드컵은 몇개국에서 개최되었는가?,korean,content,2.0,1.0,0,3.0,1.0,5,0.0,1.0
2,헤이안 시대는 몇 년간 지속되었는가?,korean,content,1.5,2.0,0,2.0,1.0,6,0.0,1.0
3,로마 가톨릭교회 초대 추기경은 누구인가?,korean,content,1.25,3.0,0,1.0,1.0,6,0.0,1.0
4,N2게임즈 창립일은 언제인가요?,korean,content,1.0,2.0,0,1.0,1.0,4,0.0,1.0
5,한국에서 가장 많은 이용자를 기록한 웹사이트는 무엇인가?,korean,content,1.5,5.0,1.0,1.5,1.0,8,50.0,2.0
6,예루살렘 도시 면적은 얼마나 되나요?,korean,content,1.25,3.0,0,2.0,1.0,6,0.0,1.0
7,동아시아에는 총 몇개읜 ㅏ라가 있나요?,korean,content,1.75,3.0,0,2.0,1.0,6,0.0,1.0
8,합성생물학을 연구하는 방식은 탑다운 외 다른 방식은 무엇이 있나요?,korean,content,1.75,4.0,1.0,2.0,0.8888888888888888,10,50.0,2.0
9,철학적 자연주의의 이론이 처음으로 등장한 것은 언제인가요?,korean,content,1.1666666666666667,5.0,1.0,1.5,1.0,8,50.0,2.0
10,이릉 대전에서 누가 패배했나요?,korean,content,1.3333333333333333,2.0,0,2.0,0.75,5,0.0,1.0
11,Tcl은 무엇인가?,korean,content,1.0,1.0,0,1.0,1.0,3,0.0,1.0
12,2019년 애완으로 가장 많이 키워지는 야생동물은 무엇인가?,korean,content,2.0,4.0,1.0,2.0,1.0,8,50.0,2.0
13,세상에서 가장 반응성이 적은 금속은 무엇인가?,korean,content,1.6,3.0,0,1.0,1.0,7,0.0,1.0
14,러시아의 국립 발레단은 몇개인가요?,korean,content,1.3333333333333333,2.0,0,1.0,1.0,5,0.0,1.0
15,로비 윌리엄스는 언제 가수로 데뷔했나요?,korean,content,2.0,2.0,0,3.0,1.0,6,0.0,1.0
16,성경은 몇 권으로 이루어져있는가?,korean,content,1.6666666666666667,2.0,0,2.0,1.0,5,0.0,1.0
17,애드호크라시가 처음 조직된 해는 언제인가?,korean,content,1.25,3.0,1.0,1.5,1.0,6,50.0,2.0
18,세상에서 가장 오랫동안 촬영된 사진은 무엇인가?,korean,content,1.6,3.0,1.0,2.0,1.0,7,50.0,2.0
19,마릉 전투는 언제 종료되나요?,korean,content,1.3333333333333333,2.0,0,2.0,1.0,5,0.0,1.0
20,1865년 이탈리아 대통령은 누구인가요?,korean,content,1.6666666666666667,2.0,0,2.0,1.0,5,0.0,1.0
21,룩셈부르크의 수도는 어디인가?,korean,content,1.0,2.0,0,1.0,1.0,4,0.0,1.0
22,미국이 건국된 년도는 언제인가?,korean,content,1.0,3.0,1.0,1.0,1.0,5,50.0,2.0
23,오대호의 크기는?,korean,content,1.0,1.0,0,0,1.0,3,0,0.0
24,제 1차 아편전쟁은 언제 일었났나요?,korean,content,1.25,3.0,0,2.0,1.0,6,0.0,1.0
25,히틀러는 몇 년도에 사망했는가?,korean,content,1.6666666666666667,2.0,0,2.0,1.0,5,0.0,1.0
26,세계 최초의 온라인 쇼핑몰은 무엇인가?,korean,content,1.25,3.0,0,1.0,1.0,6,0.0,1.0
27,임진왜란은 언제 끝나나요?,korean,content,1.5,1.0,0,2.0,1.0,4,0.0,1.0
28,2018년 일본에서 가장 많이 판매된 음료수는 무엇인가?,korean,content,2.0,4.0,1.0,2.0,1.0,8,50.0,2.0
29,세계 은행의 위치는 어디인가?,korean,content,1.0,3.0,0,1.0,1.0,5,0.0,1.0
30,맷 스톤은 어느 나라 사람인가?,korean,content,1.5,2.0,0,2.0,0.8,6,0.0,1.0
31,중화인민공화국의 수도는 어디인가요?,korean,content,1.0,2.0,0,1.0,1.0,4,0.0,1.0
32,동아시아에서 가장 인구밀도가 높은 나라는 무엇인가?,korean,content,1.6,3.0,0,1.0,1.0,7,0.0,1.0
33,중국의 전통악기는 몇 개가 있는가?,korean,content,1.5,2.0,0,0,1.0,6,0,0.0
34,사우스 파크는 몇 년도에 방영을 시작했는가?,korean,content,1.8,2.0,0,3.0,1.0,7,0.0,1.0
35,건담 시리즈의 주인공 이름은 무엇인가?,korean,content,1.25,3.0,0,1.0,1.0,6,0.0,1.0
36,2019년 기준 세상에서 가장 많은 직업을 가진 사람은 누구인가?,korean,content,1.875,5.0,1.0,2.0,1.0,10,50.0,2.0
37,"2019년 기준, 가장 많은 동성부부가 있는 나라는 어디인가?",korean,content,1.8571428571428572,5.0,0,2.0,1.0,10,0.0,1.0
38,"2019년 5월 기준, 가장 많이 사용되고있는 소셜 미디어는 무엇인가?",korean,content,2.0,4.0,1.0,1.5,1.0,11,50.0,2.0
39,당태종의 업적은 무엇인가?,korean,content,1.0,2.0,0,1.0,1.0,4,0.0,1.0
40,이스라엘 민족의 역사적인 내용들이 기록되어 있는 역사서는 무엇인가요?,korean,content,1.2857142857142858,5.0,1.0,0.6666666666666666,0.875,9,66.66666666666667,3.0
41,일본 역사상 가장 큰 전쟁은 무엇인가?,korean,content,1.2,4.0,0,1.0,1.0,7,0.0,1.0
42,가장 많은 잠수함을 보유한 국가는 무엇인가?,korean,content,1.0,5.0,1.0,1.0,1.0,7,50.0,2.0
43,지구와 가장 가까운 행성은 무엇인가요?,korean,content,1.75,4.0,0,1.0,0.8,6,0.0,1.0
44,피드나 전투는 언제 종결되나요?,korean,content,1.3333333333333333,2.0,0,2.0,1.0,5,0.0,1.0
45,G단백질은 인체에 어떤 영향을 미치는가?,korean,content,2.25,2.0,0,3.0,0.8,6,0.0,1.0
46,유전자 가위를 처음 개발한 국가는 어디인가?,korean,content,1.2,4.0,1.0,1.5,1.0,7,50.0,2.0
47,존 스튜어트 밀은 언제 사망했나요?,korean,content,1.5,3.0,0,2.0,1.0,6,0.0,1.0
48,최초의 원자력 발전소는 무엇인가?,korean,content,1.3333333333333333,2.0,0,1.0,1.0,5,0.0,1.0
49,벨기에의 GDP는 무엇인가?,korean,content,1.0,2.0,0,1.0,1.0,4,0.0,1.0
50,스페인의 국화는 무엇인가?,korean,content,1.0,2.0,0,1.0,1.0,4,0.0,1.0
51,세상에서 가장 큰 사막은 어디인가?,korean,content,1.25,3.0,0,1.0,1.0,6,0.0,1.0
52,한국 전쟁은 언제 일어났나요?,korean,content,1.3333333333333333,2.0,0,2.0,1.0,5,0.0,1.0
53,방사능의 치사 수치는 얼마인가?,korean,content,1.3333333333333333,2.0,0,1.0,1.0,5,0.0,1.0
54,프랑스의 제 1대 대통령은 누구인가요?,korean,content,1.5,3.0,0,1.0,1.0,6,0.0,1.0
55,오스만 제국은 언제 세워졌는가?,korean,content,1.3333333333333333,2.0,0,2.0,1.0,5,0.0,1.0
56,2018년 캐나다에서 영주권을 취득한 한국인은 몇명인가?,korean,content,1.6,3.0,1.0,2.0,1.0,7,50.0,2.0
57,쿠바에서 가장 높은 산은 무엇인가?,korean,content,1.25,3.0,0,1.0,1.0,6,0.0,1.0
58,한국에서 가장 많은 전력을 생산하는 발전소는 어디인가?,korean,content,1.5,5.0,1.0,1.5,1.0,8,50.0,2.0
59,미국헌법 효력일은 언제인가요?,korean,content,1.0,2.0,0,1.0,1.0,4,0.0,1.0
60,2018년 가장 많은 관광객이 방문한 국립공원은 어디인가?,korean,content,1.5,5.0,1.0,1.5,1.0,8,50.0,2.0
61,쿠바는 역사상 몇 개국의 식민지배를 받았는가?,korean,content,2.4,3.0,0,3.0,1.0,7,0.0,1.0
62,일본의 최초 천황은 누구인가?,korean,content,1.3333333333333333,2.0,0,1.0,1.0,5,0.0,1.0
63,역사상 가장 규모가 큰 전투는 무엇인가?,korean,content,1.6,3.0,0,1.0,1.0,7,0.0,1.0
64,한국에서 가장 큰 예식장은 무엇인가?,korean,content,1.25,3.0,0,1.0,1.0,6,0.0,1.0
65,한국의 법적 상속세는 몇프로인가?,korean,content,1.3333333333333333,2.0,0,1.0,1.0,5,0.0,1.0
66,2018년 하와이에서 가장 높은 빌딩은 무엇인가?,korean,content,1.2,4.0,0,1.0,1.0,7,0.0,1.0
67,여섯점의 나폴레옹 상의 내용은 무엇인가?,korean,content,1.5,3.0,0,1.0,0.8,6,0.0,1.0
68,독일의 최대 도시는 어디인가요?,korean,content,1.3333333333333333,2.0,0,1.0,1.0,5,0.0,1.0
69,메소포타미아 문명은 어느지역에서 발생하였는가?,korean,content,1.3333333333333333,2.0,0,2.0,1.0,5,0.0,1.0
