unique_id,text,language,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
indonesian_polar_265,Apakah istilah Boys' Love hanya ditujukan pada wanita?,id,0.518,0.0,1.0,0.778,2.485,1,4.781
indonesian_content_1413,Kapan Uni Soviet memulai industri pembuatan nuklir ?,id,0.219,0.0,0.5,1.0,2.197,0,3.916
indonesian_content_9093,dimanakah Mojokerto ?,id,-1.781,0.0,0.0,0.667,1.609,0,0.495
indonesian_content_4481,Siapakah tokoh villain dalam Harry Potter ?,id,0.219,0.0,0.0,0.571,2.197,0,2.987
indonesian_content_5762,Siapa penguasa pertama Mesopotamia?,id,-0.781,0.0,0.0,0.75,1.792,0,1.761
indonesian_polar_29,Apakah lagenda Robin Hood berasal dari Nottingham?,id,0.518,0.0,0.75,0.75,2.303,1,4.321
indonesian_content_10900,Berapakah UMR Jakarta tahun 2018 ?,id,-0.781,0.0,0.0,0.667,2.079,0,1.965
indonesian_content_5738,Kapan Kongres Fasis Internasional diadakan?,id,0.219,0.0,0.333,1.0,1.946,0,3.498
indonesian_content_7437,kapankah Deforestasi pertama kali terjadi di malaysia?,id,-0.781,0.0,0.667,0.75,2.303,0,2.939
indonesian_polar_357,apakah mayoritas Iran adalah Syi'ah?,id,-0.482,0.0,0.0,0.714,2.197,1,2.429
indonesian_polar_45,Apakah Islam Nusantara mempertimbangkan unsur budaya Indonesia dalam merumuskan fikih?,id,0.518,1.0,0.75,0.818,2.565,1,5.651
indonesian_polar_198,Adakah Flash disk termasuk teknologi Informasi?,id,0.518,1.0,0.5,0.857,2.197,1,5.072
indonesian_polar_411,Apakah kenosis terdapat di dalam alkitab?,id,-0.482,0.0,0.75,0.571,2.197,1,3.036
indonesian_content_2606,Berapa populasi Roma tahun 2017?,id,-0.781,0.0,0.0,0.8,1.946,0,1.965
indonesian_content_6050,siapakah pendiri merek ban dunlop?,id,1.219,0.0,0.0,0.667,2.079,0,3.965
indonesian_content_2532,Berapakah populasi penduduk Kampung Naga tahun 2010 ?,id,0.219,0.0,0.0,0.75,2.303,0,3.272
indonesian_content_4574,Kapan Determinisme biologis pertama diterapkan?,id,-0.781,0.0,0.333,1.0,1.946,0,2.498
indonesian_content_3247,Apa yang dimaksud dengan Zaman Viking Eropa?,id,1.219,1.0,0.333,0.571,2.197,0,5.32
indonesian_content_2365,tahun berapakah Li Baoyu dilairkan?,id,-0.781,0.0,0.5,0.833,2.079,0,2.631
indonesian_content_6782,Dimana letak daerah Jepara ?,id,0.219,0.0,0.0,0.75,1.792,0,2.761
indonesian_polar_224,apakah homoseksualitas di thailand di legalkan?,id,0.518,0.0,0.75,0.571,2.197,1,4.036
indonesian_content_5227,Dari mana kata gilda berasal ?,id,-0.781,0.0,0.333,0.6,1.946,0,2.098
indonesian_polar_222,Apakah Seni Jaranan menggunakan musik latar?,id,-0.482,0.0,0.75,0.857,2.197,1,3.322
indonesian_polar_231,apakah Indonesia terlibat dalam Perang Dunia II?,id,0.518,0.0,0.75,0.625,2.303,1,4.196
indonesian_polar_3,Apakah ular sanca termasuk hewan yang dilindungi?,id,0.518,1.0,0.5,0.75,2.303,1,5.071
indonesian_polar_146,apakah Minangkabau suku yang berasal dari Pulau Sumatra?,id,1.518,1.0,0.5,0.667,2.398,1,6.083
indonesian_polar_331,Apakah buah melinjo baik untuk kesehatan ?,id,-0.482,0.0,1.0,0.714,2.197,1,3.429
indonesian_content_303,dimanakah Abdullah Said dilahirkan?,id,-0.781,0.0,0.333,0.8,1.946,0,2.298
indonesian_content_1782,berapakah luas negara palestina di tahun 2009?,id,-0.781,0.0,0.0,0.625,2.303,0,2.147
indonesian_content_4675,dimanakah Konstantinus Agung dilahirkan?,id,-0.781,0.0,0.333,0.8,1.946,0,2.298
indonesian_polar_37,apakah Edmontosaurus pemakan tumbuhan?,id,-0.482,0.0,0.0,0.8,1.946,1,2.264
indonesian_polar_111,Apakah pemerintah menyediakan pekerjaan bagi peserta transmigrasi di daerah tujuan ?,id,1.518,0.0,0.75,0.727,2.565,1,5.56
indonesian_content_10737,berapa lamakah Perjalanan Nabi Muhammad SAW ke Tai'f?,id,1.219,0.0,0.0,0.875,2.303,0,4.397
indonesian_content_386,Dimana kekaisaran Jepang dibentuk?,id,-0.781,0.0,0.333,1.0,1.792,0,2.344
indonesian_content_11438,kapan teknologi nuklir pertama kali diciptakan?,id,-0.781,0.0,0.5,1.0,2.079,0,2.798
indonesian_polar_58,apakah WWE sebuah pertunjukan Gulat?,id,-0.482,0.0,0.0,0.667,2.079,1,2.264
indonesian_polar_232,apakah ada standar pisau yang di gunakan dalam seni Lempar pisau?,id,2.518,1.0,0.625,0.667,2.639,1,7.449
indonesian_polar_227,Apakah wabah demam Zika dapat menyebabkan kematian?,id,-0.482,0.0,0.75,0.75,2.303,1,3.321
indonesian_content_1387,Bagaimanakah sistem pemerintahan di Lebanon ?,id,-0.781,0.0,0.0,0.667,2.079,0,1.965
indonesian_polar_22,Apakah Enzim restriksi bersifat asam?,id,-0.482,0.0,0.75,0.833,2.079,1,3.18
indonesian_content_9069,Siapa raja pertama Kekaisaran Persia?,id,0.219,0.0,0.0,0.8,1.946,0,2.965
indonesian_content_2384,Berapa luas provinsi Aceh?,id,-0.781,0.0,0.0,1.0,1.792,0,2.011
indonesian_polar_135,apakah ada cacing pipih yang hidup di air?,id,1.518,1.0,0.5,0.667,2.398,1,6.083
indonesian_polar_426,Apakah kota Atambua masih ada?,id,-0.482,0.0,0.75,0.833,2.079,1,3.18
indonesian_content_3778,Mengapa badan terasa sakit pada saat PMS?,id,-0.781,0.0,0.667,0.857,2.197,0,2.94
indonesian_polar_369,Apakah Raymond IV pernah menikah?,id,-0.482,0.0,0.75,0.667,2.079,1,3.014
indonesian_content_3689,Kapan Bandara Juanda dibangun ?,id,-0.781,0.0,0.333,1.0,1.792,0,2.344
indonesian_content_3463,Berasal dari manakah grup musik Bee Gees?,id,0.219,0.0,0.333,0.625,2.303,0,3.48
indonesian_polar_278,apakah MSDM mencakup ilmu komunikasi?,id,-0.482,0.0,0.75,0.833,2.079,1,3.18
indonesian_polar_238,apakah Mahabharata dari kepercayaan Hindu?,id,-0.482,0.0,0.0,0.667,2.079,1,2.264
indonesian_content_99,Siapa pendiri Gereja Asiria Timur?,id,1.219,0.0,0.0,0.8,1.946,0,3.965
indonesian_content_8777,siapakah sutradara dari serial animasi Phineas dan Ferb?,id,3.219,0.0,0.0,0.556,2.398,0,6.173
indonesian_polar_401,Apakah Learning Management System memerlukan jaringan internet?,id,-0.482,0.0,0.75,0.875,2.303,1,3.446
indonesian_content_8507,Ada berapa dewa yang dipercaya oleh masyrakat Hindu ?,id,1.219,1.0,0.25,0.75,2.303,0,5.522
indonesian_content_9759,Berapa jenis Asteroid?,id,-1.781,0.0,0.0,1.0,1.609,0,0.828
indonesian_content_6925,siapakah karakter utama pada Naamkarann ?,id,0.219,0.0,0.0,0.5,2.079,0,2.798
indonesian_content_10017,Kapan Adobe Illustrator dirilis?,id,-0.781,0.0,0.333,1.0,1.792,0,2.344
indonesian_polar_375,apakah ospek di indonesia pernah memakan korban?,id,0.518,0.0,1.0,0.75,2.303,1,4.571
indonesian_polar_33,apakah Teori modernisasi adalah teori dari Ilmu sosial?,id,-0.482,0.0,0.0,0.667,2.398,1,2.583
indonesian_content_3199,Dimanakah Formula Satu pertama diadakan ?,id,-0.781,0.0,0.333,0.667,2.079,0,2.298
indonesian_content_4795,berapakah luas Tivoli ?,id,-0.781,0.0,0.0,0.75,1.792,0,1.761
indonesian_content_1950,siapakah orang tua Saleh Partaonan Daulay?,id,1.219,0.0,0.0,0.714,2.197,0,4.13
indonesian_polar_220,Apakah penyakit Herpes bisa disembuhkan ?,id,-0.482,0.0,0.5,0.667,2.079,1,2.764
indonesian_content_5027,Kapan musik pop-punk masuk ke Indonesia?,id,-0.781,0.0,0.5,0.833,2.079,0,2.631
indonesian_polar_108,Apakah internet sudah digunakan sebagai medium pembelajaran di sekolah dasar?,id,0.518,0.0,0.75,0.636,2.565,1,4.469
indonesian_content_2516,Kapan agama kristen masuk ke kota Medan ?,id,-0.781,0.0,0.5,0.857,2.197,0,2.773
indonesian_polar_419,Apakah sampah yang tidak dikelola penyebab utama banjir?,id,1.518,1.0,0.75,0.556,2.398,1,6.222
indonesian_content_11810,Berapa jumlah siswa SMK Negeri 1 Cikampek tahun pertama didirikan?,id,1.219,0.0,0.167,0.9,2.485,0,4.771
indonesian_content_7948,kapankah Serikat Yesus didirikan?,id,-0.781,0.0,0.333,0.8,1.946,0,2.298
indonesian_polar_210,Apakah Myanmar dulunya disebut Burma ?,id,0.518,0.0,0.75,0.714,2.197,1,4.179
indonesian_polar_422,apakah sastra Jawa Kuno ditulis menggunakan Sanskerta?,id,0.518,1.0,0.5,0.875,2.303,1,5.196
indonesian_content_7363,berapakah umur Konstantinus Agung saat dia meninggal?,id,-0.781,1.0,0.333,0.625,2.303,0,3.48
indonesian_content_4616,Berapakah suhu planet Mars ?,id,-0.781,0.0,0.0,0.6,1.946,0,1.765
indonesian_polar_120,Pernahkah Michael Gerard Tyson kalah dalam pertarungan tinju ?,id,0.518,0.0,0.75,0.778,2.398,1,4.444
indonesian_content_3146,Siapakah yang dikenal sebagai bapak ekonomi ?,id,0.219,1.0,0.333,0.429,2.197,0,4.178
indonesian_polar_100,apakah Plutarkhos nama seorang dewa?,id,1.518,0.0,0.0,0.5,2.079,1,4.097
indonesian_polar_121,Apakah Jepara menghasilkan kayu jati?,id,-0.482,0.0,0.75,0.833,2.079,1,3.18
indonesian_polar_169,apakah seorang detektif harus mempelajari dasar ilmu Kimia forensik?,id,1.518,0.0,0.75,0.7,2.485,1,5.453
indonesian_polar_349,Apakah Pemasaran Internasional dapat menyebabkan inflasi?,id,-0.482,0.0,0.75,0.714,2.197,1,3.179
indonesian_polar_229,apakah Prof. Dr. Sutan Remy Sjahdeini mempunyai anak?,id,1.518,0.0,0.75,0.889,2.565,1,5.722
indonesian_polar_161,Apakah keris termasuk senjata?,id,-0.482,0.0,0.75,0.8,1.946,1,3.014
indonesian_content_11288,Kapan Crest Animation Productions berdiri ?,id,0.219,0.0,0.333,1.0,1.946,0,3.498
indonesian_content_11618,Siapakah ketua Mahkamah Konstitusi Republik Indonesia yang pertama?,id,2.219,0.0,0.0,0.667,2.398,0,5.284
indonesian_polar_400,apakah cahaya lebih cepat dari suara?,id,0.518,0.0,0.0,0.571,2.197,1,3.286
indonesian_content_6995,berapakah jumlah kecamatan yang ada di Yogyakarta?,id,0.219,1.0,0.333,0.625,2.303,0,4.48
indonesian_polar_340,Apakah Buster dan Babs sejenis binatang ?,id,-0.482,0.0,0.0,0.714,2.197,1,2.429
indonesian_content_6549,Berapa panjang usus besar manusia dewasa,id,0.219,0.0,0.0,1.0,1.946,0,3.165
indonesian_content_11747,Kapan Karavan pertama Amerika Tengah terjadi?,id,0.219,0.0,0.333,1.0,2.079,0,3.631
indonesian_content_2873,Siapakah yang memproduksi kapal U-Boot?,id,0.219,1.0,0.333,0.5,2.079,0,4.131
indonesian_polar_436,Apakah Yesus seorang nabi dalam Islam?,id,0.518,0.0,0.0,0.571,2.197,1,3.286
indonesian_content_4484,Kapan Christopher Johnson lulus perguruan tinggi ?,id,-0.781,0.0,0.5,1.0,2.079,0,2.798
indonesian_polar_418,Apakah Alkitab Ibrani adalah Alkitab Yahudi?,id,-0.482,0.0,0.0,0.714,2.197,1,2.429
indonesian_content_7519,Kapan karya pertama yang ditulis Fujiko F. Fujio ?,id,1.219,1.0,0.333,0.875,2.398,0,5.825
indonesian_content_345,kapankah Sugondo Djojopuspito dilahirkan?,id,-0.781,0.0,0.333,0.8,1.946,0,2.298
indonesian_content_2298,Ada berapa cara pemrosesan transaksi kartu debit?,id,2.219,0.0,0.167,1.0,2.197,0,5.583
indonesian_content_2283,Kapan senter pertama kali diciptakan ?,id,-0.781,0.0,0.5,1.0,1.946,0,2.665
indonesian_content_10656,kapankah grup musik Disturbed mengeluarkan album pertama nya?,id,0.219,0.0,0.5,0.778,2.398,0,3.895
indonesian_content_6305,Berapakah luas wilayah Pompeii ?,id,-0.781,0.0,0.0,0.8,1.946,0,1.965
indonesian_content_3167,Vitamin apa yang dapat membantu saluran pencernaan ?,id,0.219,1.0,0.333,0.571,2.197,0,4.32
indonesian_content_1993,Siapakah nama presiden Israel tahun 2010 ?,id,0.219,0.0,0.0,0.571,2.197,0,2.987
indonesian_polar_410,apakah Syi'ah legal di Indonesia?,id,-0.482,0.0,0.0,0.714,2.303,1,2.535
indonesian_content_9275,tahun berapakah Belanda menginvasi Indonesia?,id,-0.781,0.0,0.667,0.833,2.079,0,2.798
indonesian_content_11501,Kapan Sunan Ampel meninggal?,id,-0.781,0.0,0.333,1.0,1.792,0,2.344
indonesian_polar_158,Apakah buah kosambi bisa dimakan ?,id,-0.482,0.0,0.5,0.667,2.079,1,2.764
indonesian_content_1736,Siapa istri kedua Kaisar Gojong?,id,0.219,0.0,0.0,0.8,1.946,0,2.965
indonesian_content_8491,Sejak kapan tradisi penamaan dalam suku bali dimulai?,id,0.219,0.0,0.333,0.75,2.303,0,3.605
indonesian_content_6309,siapakah raja pertama Kasunanan Kartasura?,id,0.219,0.0,0.0,0.667,2.079,0,2.965
indonesian_polar_8,"apakah Joseph Patrick ""Joe"" Kennedy masih hidup?",id,-0.482,1.0,0.25,0.875,2.485,1,4.128
indonesian_content_10788,Kapan majalah Saikyou Jump berdiri ?,id,0.219,0.0,0.333,1.0,1.946,0,3.498
indonesian_content_763,Kapan Gardner Fox pertama ditulis?,id,-0.781,0.0,0.5,1.0,1.946,0,2.665
indonesian_polar_156,Apakah ada upacara untuk memperingati Hari Anzac?,id,0.518,1.0,0.625,0.75,2.303,1,5.196
indonesian_polar_273,Apakah Hindu mempercayai Kehidupan setelah kematian?,id,0.518,0.0,0.75,0.714,2.197,1,4.179
indonesian_polar_336,Apakah Anikonisme bertentangan dengan ajaran agama Islam?,id,0.518,0.0,0.75,0.75,2.303,1,4.321
indonesian_content_318,berapakah luas kota jepara?,id,-0.781,0.0,0.0,0.8,1.946,0,1.965
indonesian_polar_407,Apakah asam deoksiribonukleat terdapat ditubuh manusia?,id,-0.482,1.0,0.5,0.857,2.197,1,4.072
indonesian_polar_425,apakah Ehud Olmert pernah menikah?,id,-0.482,0.0,0.75,0.833,2.079,1,3.18
indonesian_polar_243,Apakah komik sama dengan manga?,id,-0.482,0.0,0.0,0.667,2.079,1,2.264
indonesian_polar_408,Apakah Freiherr von Münchhausen pernah menikah ?,id,0.518,0.0,0.75,0.857,2.197,1,4.322
indonesian_polar_279,apakah Garuda Indonesia mempunyai kerja sama dengan Airbus S.A.S?,id,-0.482,0.0,1.0,0.8,2.485,1,3.803
indonesian_content_7667,Dimana Albatros pertama ditemukan?,id,-0.781,0.0,0.333,1.0,1.792,0,2.344
indonesian_polar_12,apakah Kriptografi digunakan untuk sistem firewall sebuah situs web?,id,0.518,0.0,0.75,0.7,2.485,1,4.453
indonesian_polar_104,apakah Karabin banyak digunakan pada PD II?,id,-0.482,0.0,1.0,0.625,2.303,1,3.446
indonesian_polar_170,apakah John Winston Lennon mempunyai anak?,id,0.518,0.0,0.75,0.857,2.197,1,4.322
indonesian_content_807,Dimana kantor pusat Partai Demokrasi Rakyat Afganistan?,id,3.219,0.0,0.0,0.857,2.197,0,6.273
indonesian_content_4446,Siapa yang membawa islam pertama kali ke Yunani ?,id,0.219,1.0,0.667,0.625,2.303,0,4.814
indonesian_content_4617,berapakah jumlah bahasa daerah di Filipina?,id,-0.781,0.0,0.0,0.714,2.197,0,2.13
indonesian_polar_432,apakah Koko Liem seorang muallaf?,id,-0.482,0.0,0.0,0.667,2.079,1,2.264
indonesian_content_11627,Kapan Katolik masuk ke Roma ?,id,-0.781,0.0,0.5,0.8,1.946,0,2.465
indonesian_polar_417,Apakah tumbuhan Gambir dapat dimakan?,id,-0.482,0.0,0.5,0.667,2.079,1,2.764
indonesian_polar_134,apakah kerajaan tertua di kepulauan maluku?,id,0.518,0.0,0.0,0.571,2.197,1,3.286
indonesian_content_10322,Siapa raja Raja Hongaria pertama?,id,1.219,0.0,0.0,0.8,1.946,0,3.965
indonesian_content_7335,Kapan Komputer ditemukan ?,id,-1.781,0.0,0.333,1.0,1.609,0,1.161
indonesian_content_3780,siapakah orang tua Vishal Karwal?,id,0.219,0.0,0.0,0.667,2.079,0,2.965
indonesian_content_7828,dari manakah asal kata sakramental?,id,0.219,0.0,0.0,0.5,2.079,0,2.798
indonesian_polar_167,bisakah ratu inggris mendeklarasikan perang?,id,-0.482,0.0,0.75,0.667,2.079,1,3.014
indonesian_polar_376,pernahkah Putri Di Dalam Petung menikah?,id,0.518,0.0,0.5,0.571,2.197,1,3.786
indonesian_content_9255,Kapan Nani Wartabone lahir ?,id,-0.781,0.0,0.333,1.0,1.792,0,2.344
indonesian_content_4932,Dimana Kazimierz II meninggal?,id,-0.781,0.0,0.333,0.75,1.792,0,2.094
indonesian_content_3826,berapakah jumlah korban Peristiwa Kapal Tujuh Provinsi?,id,2.219,0.0,0.0,0.75,2.303,0,5.272
