unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
arabic_content_0,ما هي المسألة الشرقية ؟,ar,content,-0.042,-0.796,0.0,0.0,0.5,1.792,0.0,-0.535,0
arabic_content_1,كم تبعد بيت لحم على القدس؟,ar,content,0.225,-0.796,0.0,0.5,0.667,2.079,0.0,0.465,0
arabic_content_2,ما كان أول موديل صنعته شركة فورد؟,ar,content,-0.089,2.204,1.0,0.333,0.5,2.303,4.615,1.465,0
arabic_content_3,متى ظهرت جماعة الاخوان المسلمين في سوريا؟,ar,content,0.292,0.204,0.0,0.5,0.571,2.197,0.0,0.465,0
arabic_content_4,متى تاسست السلفية الجهادبة في مصر ؟,ar,content,0.225,-0.796,0.0,0.5,0.5,2.079,0.0,0.465,0
arabic_content_5,من هو ريتشارد دوكينز؟,ar,content,-0.042,-0.796,0.0,0.0,0.0,1.792,0.0,-0.535,0
arabic_content_6,متى تم إعتماد قانون حرية الهوية الجندرية في ولاية أريزونا ؟,ar,content,0.069,2.204,0.0,0.333,0.7,2.485,0.0,0.465,0
arabic_content_7,إلى من تعود ملكية إقليم جبل طارق؟,ar,content,-0.375,2.204,1.0,0.167,0.429,2.197,4.615,0.465,0
arabic_content_8,متى إنتهت حرب نورماندي ؟,ar,content,-0.375,-0.796,0.0,0.333,0.5,1.792,0.0,0.465,0
arabic_content_9,ما هي ضريبة الدخل ؟,ar,content,-0.042,-0.796,0.0,0.0,0.5,1.792,0.0,-0.535,0
arabic_content_10,ماهي وظيفة الهايبوثالامس ؟,ar,content,-0.375,-0.796,0.0,0.0,0.667,1.609,0.0,-0.535,0
arabic_content_11,متى بدأت سياسة الطفل الواحد في الصين؟,ar,content,0.292,0.204,0.0,0.5,0.714,2.197,0.0,0.465,0
arabic_content_12,ما هي أكبر المقاطعات الكندية؟,ar,content,-0.125,0.204,0.0,0.0,0.6,1.946,0.0,-0.535,0
arabic_content_13,كم دولة يضم الشرق الأوسط؟,ar,content,-0.375,0.204,1.0,0.167,0.8,1.946,4.615,0.465,0
arabic_content_14,ما هو الدوبامين ؟,ar,content,0.125,-0.796,0.0,0.0,0.333,1.609,0.0,-0.535,0
arabic_content_15,ما اللغات الرسمية لليونيسكو؟,ar,content,-0.042,-0.796,0.0,0.0,0.5,1.792,0.0,-0.535,0
arabic_content_16,من هي المغنية العربية التي قامت بأداء شارة مسلسل الرسوم المتحركة (حكايات عالمية) لأول مرة؟,ar,content,0.625,4.204,1.0,0.5,0.75,2.996,4.615,0.465,0
arabic_content_17,متى أصدرت أغنية كاتيوشا الروسية؟,ar,content,-0.125,-0.796,0.0,0.333,0.6,1.946,0.0,0.465,0
arabic_content_18,متى نشأ حزب العمال الكردستاني؟,ar,content,-0.125,-0.796,0.0,0.333,0.8,1.946,0.0,0.465,0
arabic_content_19,اين توجد حمامات جارف الساخنة؟,ar,content,-0.125,-0.796,0.0,0.333,0.6,1.946,0.0,0.465,0
arabic_content_20,ما اسم أبناء سيدنا نوح ؟,ar,content,-0.175,1.204,0.0,0.0,0.5,2.079,0.0,-0.535,0
arabic_content_21,متى تولى البابا فرنسيس المنصب؟,ar,content,0.125,-0.796,0.0,0.5,0.4,1.946,0.0,0.465,0
arabic_content_22,ماهو الأمن البشري ؟,ar,content,0.292,-0.796,0.0,0.0,0.5,1.792,0.0,-0.535,0
arabic_content_23,ما هي درجة حموضة التربة؟,ar,content,0.025,0.204,0.0,0.0,0.667,2.079,0.0,-0.535,0
arabic_content_24,أين يقع نهر سانت لورانس؟,ar,content,-0.375,0.204,0.0,0.333,0.4,1.946,0.0,0.465,0
arabic_content_25,كم يبلغ ارتقاع مأذنة مسجد الحسن الثاني؟,ar,content,-0.375,2.204,0.0,0.333,0.857,2.197,0.0,0.465,0
arabic_content_26,من هو الممثل الذي قام تمثيل دور التاجر الجشع في فيلم تاجر البندقية؟,ar,content,0.125,2.204,1.0,0.333,0.692,2.708,4.615,0.465,0
arabic_content_27,ما هي حساسية الجلوتين؟,ar,content,-0.042,-0.796,0.0,0.0,0.5,1.792,0.0,-0.535,0
arabic_content_28,أين وقعت معركة المنصورة؟,ar,content,-0.375,-0.796,0.0,0.333,0.75,1.792,0.0,0.465,0
arabic_content_29,ما هي اللغة الرسمية في إمارة أندورا؟,ar,content,0.125,0.204,0.0,0.0,0.429,2.197,0.0,-0.535,0
arabic_content_30,من هو أول الحكام دولة المرابطين؟,ar,content,-0.175,0.204,0.0,0.0,0.667,2.079,0.0,-0.535,0
arabic_content_31,متى ولد المغني دكتور دري؟,ar,content,-0.125,0.204,0.0,0.333,0.4,1.946,0.0,0.465,0
arabic_content_32,ماهي أشهر أنواع فيروس الإنفلونزا؟,ar,content,-0.375,1.204,0.0,0.0,0.8,1.946,0.0,-0.535,0
arabic_content_33,ماهو تعداد سكان موريتانيا ؟,ar,content,-0.375,0.204,0.0,0.0,0.5,1.792,0.0,-0.535,0
arabic_content_34,كيف يصنع حديد الزهر ؟,ar,content,-0.375,-0.796,0.0,0.333,0.75,1.792,0.0,0.465,0
arabic_content_35,في أي عام توفي العالم هايزنبيرغ؟,ar,content,-0.175,-0.796,0.0,0.333,0.667,2.079,0.0,0.465,0
arabic_content_36,أين تقع منظمة حقوق الإنسان؟,ar,content,-0.375,0.204,0.0,0.333,0.8,1.946,0.0,0.465,0
arabic_content_37,ما عاصمة إسبانيا؟,ar,content,-0.375,-0.796,0.0,0.0,0.333,1.609,0.0,-0.535,0
arabic_content_38,ما هي الهندسة الداخلية؟,ar,content,-0.042,-0.796,0.0,0.0,0.5,1.792,0.0,-0.535,0
arabic_content_39,من هو مؤسس الاحمدية؟,ar,content,-0.042,-1.796,0.0,0.0,0.5,1.792,0.0,-0.535,0
arabic_content_40,ما هو الأرخبيل ؟,ar,content,0.125,-1.796,0.0,0.0,0.333,1.609,0.0,-0.535,0
arabic_content_41,ما مساحة قطاع بولندا ؟,ar,content,-0.375,0.204,0.0,0.0,0.5,1.792,0.0,-0.535,0
arabic_content_42,ما هي منظمة الاوبك ؟,ar,content,-0.042,-0.796,0.0,0.0,0.25,1.792,0.0,-0.535,0
arabic_content_43,ماهي لغة الإكوادور الرسمية؟,ar,content,-0.042,-0.796,0.0,0.0,0.5,1.792,0.0,-0.535,0
arabic_content_44,متى تأسست شركة الفودافون؟,ar,content,-0.375,-0.796,0.0,0.333,0.5,1.792,0.0,0.465,0
arabic_content_45,من يصادق على ميزانية الدولة في كندا؟,ar,content,0.125,0.204,0.0,0.333,0.429,2.197,0.0,0.465,0
arabic_content_46,متى عاش إبن الهيثم ؟,ar,content,-0.375,-0.796,0.0,0.333,0.75,1.792,0.0,0.465,0
arabic_content_47,من هو الممثل التركي الملقب ببقلاوة؟,ar,content,0.025,0.204,0.0,0.0,0.5,2.079,0.0,-0.535,0
arabic_content_48,ما هي القومية التي تشكل غالبية سكان محافظة دياربكر؟,ar,content,-0.125,3.204,1.0,0.333,0.556,2.398,4.615,0.465,0
arabic_content_49,كيف يتم تحديد عمر المخطوطات القديمة؟,ar,content,-0.208,1.204,0.0,0.333,0.714,2.197,0.0,0.465,0
arabic_content_50,متى توفيت فاتن حمامة؟,ar,content,-0.375,-0.796,0.0,0.333,0.25,1.792,0.0,0.465,0
arabic_content_51,متى عقدت الجمعية البرلمانية لمجلس أوروبا دورتها الأولى؟,ar,content,0.514,0.204,0.0,0.5,0.6,2.485,0.0,0.465,0
arabic_content_52,متى تأسست أكاديمية التنمية التعليمية؟,ar,content,-0.375,0.204,0.0,0.333,0.8,1.946,0.0,0.465,0
arabic_content_53,متى وقع انقلاب أديب الشيشكلي في سوريا؟,ar,content,0.292,0.204,0.0,0.5,0.286,2.197,0.0,0.465,0
arabic_content_54,ما هي المسافة بين مكّة و المدينة؟,ar,content,0.125,1.204,0.0,0.0,0.429,2.197,0.0,-0.535,0
arabic_content_55,أين تقع أفغانيستان ؟,ar,content,-0.375,-1.796,0.0,0.333,0.667,1.609,0.0,0.465,0
arabic_content_56,متى تأسست منظمة سوفرجت الأمريكية؟,ar,content,-0.125,-0.796,0.0,0.333,0.6,1.946,0.0,0.465,0
arabic_content_57,من هو مبعوث الامم المتحدة إلى سوريا ؟,ar,content,0.292,-0.796,0.0,0.0,0.429,2.197,0.0,-0.535,0
arabic_content_58,متى ولد تشارلز داروين ؟,ar,content,-0.375,-0.796,0.0,0.333,0.25,1.792,0.0,0.465,0
arabic_content_59,ما هو المدفع الجيني؟,ar,content,-0.042,-0.796,0.0,0.0,0.5,1.792,0.0,-0.535,0
arabic_content_60,متى تم انتاج اول محرك نفاث؟,ar,content,-0.375,1.204,0.0,0.333,0.833,2.079,0.0,0.465,0
arabic_content_61,من هو امل دنقل ؟,ar,content,-0.042,-0.796,0.0,0.0,0.25,1.792,0.0,-0.535,0
