unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type,complexity_score
en_polar_0,Does anybody use it for anything else?,en,polar,-0.753,-1.1,0.0,0.5,0.286,2.197,0.0,-0.781,1,-0.947
en_polar_1,Is that a money maker?,en,polar,0.247,-2.1,0.0,0.0,0.4,1.946,0.0,-0.781,1,-1.06
en_polar_2,But will diplomacy work?,en,polar,-0.253,-2.1,0.0,0.333,0.5,1.792,0.0,-0.781,1,-1.098
en_polar_3,And can anyone use military pressure without proof?,en,polar,-0.253,-1.1,0.0,0.667,0.5,2.303,0.0,-0.781,1,-0.773
en_polar_4,Wtf is this?,en,polar,-0.753,-2.1,0.0,0.0,0.0,1.609,0.0,-0.781,1,-1.366
en_polar_5,"This is the organization that bombed our Marine barracks in 1983, took Americans hostage throughout the 80's and now they should be considered a legitimate organization?",en,polar,0.947,0.9,1.0,0.667,0.462,3.367,3.932,2.219,1,1.372
en_polar_6,want to go to dinner with me before you have your 'matt time'?,en,polar,0.163,0.9,2.0,0.444,0.462,2.833,4.215,1.219,1,1.151
en_polar_7,did you hook up with that blonde chick saturday night?,en,polar,0.302,-1.1,0.0,0.667,0.5,2.485,0.0,-0.781,1,-0.643
en_polar_8,are you lying?,en,polar,-0.753,-2.1,0.0,0.167,0.333,1.609,0.0,-0.781,1,-1.278
en_polar_9,is it for guitar?,en,polar,-0.253,-2.1,0.0,0.0,0.25,1.792,0.0,-0.781,1,-1.201
en_polar_10,We have this report?,en,polar,-0.92,-1.1,0.0,0.333,0.5,1.792,0.0,-0.781,1,-1.04
en_polar_11,Have you seen the materials from the press conference that he launched today?,en,polar,-0.337,0.9,1.0,0.417,0.462,2.708,3.932,0.219,1,0.633
en_polar_12,Can you pass this along to Elizabeth to ensure Sanders is on board as well?,en,polar,-0.111,0.9,2.0,0.583,0.533,2.833,4.215,1.219,1,1.14
en_polar_13,By using collateral to pay these bills are we not keeping required levels available?,en,polar,0.054,0.9,2.0,0.417,0.571,2.773,4.215,2.219,1,1.312
en_polar_14,Are you free for lunch some day this week?,en,polar,-0.503,-0.1,0.0,0.0,0.444,2.398,0.0,-0.781,1,-0.751
en_polar_15,"Also, I have an extra ticket for the Comets game on Sat. you said you wanted to go?",en,polar,0.158,0.9,2.0,0.375,0.556,3.045,4.215,2.219,1,1.368
en_polar_16,Could one of you please email me a copy of the standard template you use for Enfolio gas purchase agreements?,en,polar,0.115,2.9,1.0,0.5,0.45,3.091,3.932,0.219,1,1.145
en_polar_17,Today is good 12:30 ?,en,polar,-0.92,-1.1,1.0,0.0,0.5,1.792,4.615,-0.781,1,-0.108
en_polar_18,Are you free for lunch some day this week?,en,polar,-0.503,-0.1,0.0,0.0,0.444,2.398,0.0,-0.781,1,-0.751
en_polar_19,"Also, I have an extra ticket for the Comets game on Sat. you said you wanted to go?",en,polar,0.158,0.9,2.0,0.375,0.556,3.045,4.215,2.219,1,1.368
en_polar_20,Today is good 12:30 ?,en,polar,-0.92,-1.1,1.0,0.0,0.5,1.792,4.615,-0.781,1,-0.108
en_polar_21,I wish I had the capital to open my own shop?,en,polar,-0.653,1.9,1.0,0.333,0.545,2.565,4.215,1.219,1,0.954
en_polar_22,I'll ask around?,en,polar,-0.92,-2.1,0.0,0.333,0.5,1.792,0.0,-0.781,1,-1.216
en_polar_23,you guys have any job opening for ex natural gas traders that made their now almost defunctc ompany over 40 million in the last two years?,en,polar,0.627,2.9,1.0,0.5,0.577,3.332,3.932,0.219,1,1.301
en_polar_24,"Attached are clean and blacklined drafts of the Enron guaranties to be made in support of EPMI's obligations under the Indian Mesa II Renewable Energy Purchase Agreement (""PPA"") and Green Premium Sharing Agreement (""GSPA"").?",en,polar,0.923,3.9,1.0,0.389,0.629,3.807,3.932,1.219,1,1.779
en_polar_25,Do you have any current info on deal status?,en,polar,-0.378,-0.1,0.0,0.333,0.556,2.398,0.0,-0.781,1,-0.651
en_polar_26,Are you going to be able to make the power VAR meeting on Thursday?,en,polar,-0.407,1.9,2.0,0.333,0.5,2.773,4.215,1.219,1,1.203
en_polar_27,Did you have a chance to take a look at the resume I sent you?,en,polar,-0.682,2.9,1.0,0.333,0.4,2.833,4.215,1.219,1,1.147
en_polar_28,Any feedback from Rick Buy?,en,polar,-1.003,-1.1,0.0,0.0,0.6,1.946,0.0,-1.781,1,-1.245
en_polar_29,Would this be fine?,en,polar,-0.253,-2.1,0.0,0.0,0.25,1.792,0.0,-0.781,1,-1.201
en_polar_30,Are there any new developments in the trader world?,en,polar,0.497,-1.1,0.0,0.5,0.556,2.398,0.0,-0.781,1,-0.643
en_polar_31,Has that gone anywhere or are the other possibilities you had better?,en,polar,0.928,0.9,1.0,0.333,0.5,2.639,3.932,1.219,1,1.012
en_polar_32,"If you would be so kind, could you possibly let me know of your status over the next couple of days?",en,polar,0.297,0.9,1.0,0.583,0.429,3.178,4.215,1.219,1,1.077
en_polar_33,Could you run those additional post-id's?,en,polar,0.58,-1.1,0.0,0.333,0.571,2.303,0.0,-0.781,1,-0.672
en_polar_34,could you also CC me the first few times you send it?,en,polar,-0.253,-0.1,1.0,0.5,0.5,2.639,3.932,0.219,1,0.48
