unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type,complexity_score
arabic_content_20588,أين تقع بحيرة تنجانيقا؟,ar,content,-0.375,-0.796,0.0,0.333,0.5,1.792,0.0,0.465,0,-0.62
arabic_content_15407,كيف تحسب الكثافة السكانية ؟,ar,content,-0.375,-0.796,0.0,0.333,0.75,1.792,0.0,0.465,0,-0.519
arabic_content_6893,أين يقع مضيق تيران؟,ar,content,-0.375,-0.796,0.0,0.333,0.75,1.792,0.0,0.465,0,-0.519
arabic_content_2855,متى تاسست الإمبراطورية النمساوية؟,ar,content,-0.375,-0.796,0.0,0.333,0.75,1.792,0.0,0.465,0,-0.519
arabic_content_6026,من هو مجدي يعقوب ؟,ar,content,0.292,-0.796,0.0,0.0,0.0,1.792,0.0,-0.535,0,-1.093
arabic_content_17157,اين توجد مدينة قم ؟,ar,content,-0.375,-0.796,0.0,0.333,0.75,1.792,0.0,0.465,0,-0.519
arabic_content_12472,اين توجد بحيرة سيفان؟,ar,content,-0.375,-0.796,0.0,0.333,0.5,1.792,0.0,0.465,0,-0.62
arabic_content_18719,أين سكن شعب الفور؟,ar,content,-0.375,-0.796,0.0,0.333,0.5,1.792,0.0,0.465,0,-0.62
arabic_content_10960,من هو رامز جلال ؟,ar,content,0.292,-0.796,0.0,0.0,0.0,1.792,0.0,-0.535,0,-1.093
arabic_content_5001,متى ولد ليوناردو ديفنشي؟,ar,content,-0.042,-0.796,0.0,0.333,0.25,1.792,0.0,0.465,0,-0.587
arabic_content_18926,أين تقع مدينة مرد؟,ar,content,-0.375,-0.796,0.0,0.333,0.75,1.792,0.0,0.465,0,-0.519
arabic_content_3816,اين تعيش افعى الكبرى ؟,ar,content,-0.375,-0.796,0.0,0.333,0.25,1.792,0.0,0.465,0,-0.722
arabic_content_9263,اين يوجد معبد أسكليبيوس؟,ar,content,-0.375,-0.796,0.0,0.333,0.5,1.792,0.0,0.465,0,-0.62
arabic_content_11605,ماهو رقم الماغنيسيوم الذري ؟,ar,content,-0.375,0.204,0.0,0.0,0.5,1.792,0.0,-0.535,0,-0.755
arabic_content_11131,من هو العميل 007 ؟,ar,content,-0.042,-0.796,0.0,0.0,0.25,1.792,0.0,-0.535,0,-1.127
arabic_content_16970,ما يعني الإضراب العام؟,ar,content,-0.375,-0.796,0.0,0.333,0.75,1.792,0.0,0.465,0,-0.519
arabic_content_21637,من هو فاضل الجلالي ؟,ar,content,-0.042,-0.796,0.0,0.0,0.25,1.792,0.0,-0.535,0,-1.127
arabic_content_15948,من هم الغساسنة؟,ar,content,-0.375,-1.796,0.0,0.0,0.0,1.609,0.0,-0.535,0,-1.841
arabic_content_888,اين عاش ابو حنيفة؟,ar,content,-0.375,-0.796,0.0,0.333,0.25,1.792,0.0,0.465,0,-0.722
