unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
indonesian_content_6978,berapakah jumlah episode serial animasi Bleach?,id,content,-0.474,1.235,0.0,0.0,0.857,2.197,0.0,-0.614,0
indonesian_content_9877,Siapa yang memproduksi acara Britain's Got Talent?,id,content,-0.474,2.235,1.0,0.333,0.714,2.197,4.615,0.386,0
indonesian_content_3246,Berapa jumpah penduduk Tapanuli Tengah tahun 2018?,id,content,-0.14,0.235,0.0,0.0,0.857,2.197,0.0,-0.614,0
indonesian_content_8121,Mengapa García Ramírez dijuluki sebagai sang Pemulih?,id,content,0.36,-0.765,0.0,0.5,0.714,2.197,0.0,0.386,0
indonesian_content_1282,Dari agama apakah Dewi Danu berasal ?,id,content,0.693,-0.765,0.0,0.5,0.714,2.197,0.0,0.386,0
indonesian_content_6379,Siapa yang mendirikan Eli Lilly and Company?,id,content,-0.307,2.235,1.0,0.333,0.571,2.197,4.615,0.386,0
indonesian_content_1898,Kapan Albus Percival Wulfric Brian Dumbledore dirilis?,id,content,0.86,2.235,0.0,0.333,1.0,2.197,0.0,0.386,0
indonesian_content_6656,Dimanakah jembatan gantung terpanjang di Indonesia?,id,content,0.026,0.235,0.0,0.0,0.571,2.197,0.0,-0.614,0
indonesian_content_11896,berapakah jumlah karakter/huruf dalam Tōyō Kanji?,id,content,-0.14,-0.765,0.0,0.0,0.714,2.197,0.0,-0.614,0
indonesian_content_10908,Ada berapa klub dansa di Amerika Serikat?,id,content,-0.14,0.235,0.0,0.167,0.857,2.197,0.0,0.386,0
indonesian_content_3845,Berapa proses yang dilakukan dalam Identifikasi forensik?,id,content,-0.307,0.235,1.0,0.333,0.714,2.197,4.615,0.386,0
indonesian_content_1302,Berapa jumlah pembalap Grand Prix Brasil 2007?,id,content,-0.474,1.235,0.0,0.0,0.857,2.197,0.0,-0.614,0
indonesian_content_4404,kapankah manga Naruto pertama kali dirilis?,id,content,0.693,-0.765,0.0,0.5,0.857,2.197,0.0,0.386,0
indonesian_content_2564,Siapakah dalang pertama Wayang Golek Menak?,id,content,-0.307,1.235,0.0,0.0,0.714,2.197,0.0,-0.614,0
indonesian_content_7751,Kapan kompetisi Spelling bee pertama kali dilakukan ?,id,content,0.86,0.235,0.0,0.5,1.0,2.197,0.0,0.386,0
indonesian_content_6990,berapakah jumlah ayat dalam Alkitab Ibrani?,id,content,-0.14,-0.765,0.0,0.0,0.714,2.197,0.0,-0.614,0
indonesian_content_7649,Ada berapa pulau di Kepulauan Bangka Belitung?,id,content,-0.307,1.235,0.0,0.167,0.857,2.197,0.0,0.386,0
indonesian_content_11504,kapankah Syi'ah Ismailiyah dibentuk?,id,content,1.16,0.235,0.0,0.333,0.833,2.197,0.0,0.386,0
indonesian_content_10801,Siapakah pengembang Left 4 Dead 2 ?,id,content,-0.307,1.235,0.0,0.0,0.429,2.197,0.0,-0.614,0
indonesian_content_6948,berapakah luas Universitas Islam Negeri Antasari?,id,content,-0.307,0.235,0.0,0.0,0.857,2.197,0.0,-0.614,0
indonesian_content_8641,berapakah populasi Dayak Iban tahun 2015?,id,content,-0.14,-0.765,0.0,0.0,0.714,2.197,0.0,-0.614,0
