unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
ar_polar_0,هل تتعمق الأزمة السياسية والاقتصادية في لبنان؟,arabic,polar,-0.38,4.00,0.00,0.20,0.62,2.30,0.00,1.00
ar_polar_1,هل دفعت الخلافات العائلية الشيخ إلى الانتحار؟,arabic,polar,-0.09,2.00,0.00,0.80,0.71,2.20,0.00,1.00
ar_polar_2,رئيس الجمعية موافق وقسم هام من الاعضاء رافضون والاختلاف محوره هذه المرة قضية التطبيع وتداعياتها المعقدة المحمولة على اجنحة متعددة بين السياسي والثقافي والفكري والعلمي مشدودة الى الاشكال الحارق الوحيد: هل نقبل باسرائيل ام نصمد على خط القطيعة؟,arabic,polar,0.54,11.00,0.00,0.00,0.60,3.91,0.00,0.00
ar_polar_3,هل حدد القانون عدد القضاة؟,arabic,polar,-0.84,2.00,0.00,0.60,0.80,2.08,0.00,1.00
ar_polar_4,هل سيكون القضاة عراقيين؟,arabic,polar,-0.59,1.00,0.00,0.60,0.60,2.08,0.00,1.00
ar_polar_5,هل تم تعيين القضاة؟,arabic,polar,-1.09,2.00,0.00,0.40,0.75,1.95,0.00,1.00
ar_polar_6,هل ستكون أنت ضمن القضاة باعتبارك قاضياً وعضواً في مجلس الحكم؟,arabic,polar,0.12,3.00,0.00,1.00,0.47,2.89,0.00,1.00
ar_polar_7,هل سيقف صدام حسين في قصف الاتهام؟,arabic,polar,-0.38,2.00,0.00,0.60,0.25,2.40,0.00,1.00
ar_polar_8,هل تتوقع أن يحكم صدام حسين بالإعدام؟,arabic,polar,-0.38,3.00,0.00,0.40,0.25,2.40,0.00,1.00
ar_polar_9,هل ستشارك الأمم المتحدة في محاكمات صدام حسين وبقية أعضاء النظام السابق؟,arabic,polar,-0.63,6.00,0.00,0.60,0.57,2.83,0.00,1.00
ar_polar_10,هل زرتم أنتم أو أي من القضاة صدام حسين أو أياً من أعضاء نظامه؟,arabic,polar,-0.74,8.00,0.00,0.40,0.40,2.89,0.00,1.00
ar_polar_11,ما دام لا خلاف بين أميركا وسوريا حول لبنان هل يُعقل أن يراهن مسيحيون على واشنطن؟,arabic,polar,0.09,5.00,1.00,0.33,0.35,2.94,4.21,3.00
ar_polar_12,"هل هناك في هذه ""اللحظة"" مشروع تغييري آخر في المنطقة؟",arabic,polar,1.24,2.00,0.00,0.00,0.40,2.64,0.00,0.00
ar_polar_13,"هل لا تزال ""الوطنية العربية"" قادرة على الخروج من رجعيتها الحالية كمجرد قوة دفاع عن اوضاع قائمة مفلسة... لكي يكون ممكنا مواجهة السياسة الاميركية بما هو قادر على كسر وحدانية مشروعها التغييري؟",arabic,polar,0.19,8.00,1.00,0.80,0.47,3.76,3.93,2.00
ar_polar_14,"ولولا قوة شخصية الريحاني، وفرضه نفسه ""بطريركا"" على وسطه وبيئته، لكان غرق في تفاهات الناس العاديين الذين خشيهم جبران (وهو على حق) في رسالته الى ذلك الـ ""منصور"" صديقه (هل من يعرف من هو؟).",arabic,polar,1.35,10.00,1.00,0.55,0.35,4.08,4.62,4.00
ar_polar_15,وأبدى شيخ الأزهر دهشته ممن يقولون إنه لا يؤمن بالرأي الآخر وقال: إن بابي مفتوح يدخله العامل والشحات وإنني قلت لمكتبي: لا تمنعوا أحداً من الدخول، وقال ساخراً من هؤلاء: هل هناك حرية رأي أكثر من ذلك؟,arabic,polar,1.01,8.00,2.00,0.53,0.45,4.04,4.62,6.00
ar_polar_16,وقال للمذيع بلغة عتاب: هل فهمت كلامي ولا لسه؟,arabic,polar,0.14,4.00,1.00,0.60,0.43,2.83,4.62,2.00
ar_polar_17,هل تشهد سيناء حرباً جديدة بين مصر وإسرائيل؟,arabic,polar,-0.59,5.00,0.00,0.40,0.67,2.40,0.00,1.00
ar_polar_18,حتمالات الحرب ولكن هل يمكن أن تجازف إسرائيل بشن حرب ضد مصر برغم السلام الموقع بينهما ووجود سفارة إسرائيلية في القاهرة؟,arabic,polar,0.07,6.00,1.00,0.60,0.58,3.40,4.62,2.00
ar_polar_19,"يقول بال: ""لحسن الحظ, قال أحدهم في سوني أستراليا: 'بالمناسبة, هل لاحظتم هذا؟'"".",arabic,polar,0.64,4.00,2.00,0.60,0.56,3.30,4.21,3.00
ar_polar_20,هل بات حقهم الإلهي بارتداء عباءة أفضل فريقٍ في العالم غير مضمون؟,arabic,polar,1.91,6.00,0.00,0.60,0.64,2.77,0.00,1.00
ar_polar_21,هل المسلسل الثاني ناجحٌ حتى الآن؟,arabic,polar,-0.29,2.00,0.00,0.00,0.67,2.08,0.00,0.00
ar_polar_22,هل تقرع المنبه الخاص بك؟,arabic,polar,-0.89,4.00,0.00,0.40,0.50,2.08,0.00,1.00
ar_polar_23,هل يسمح للعاملين بإبقاء أغراض دينية على مكاتبهم؟,arabic,polar,-0.39,3.00,0.00,0.60,0.55,2.56,0.00,1.00
