unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens
ja_content_0,犯人は一体誰なのか?,japanese,content,1.8333333333333333,2.0,0,0,0.2857142857142857,8
ja_content_1,どうするか?,japanese,content,1.0,1.0,0,2.0,0.6666666666666666,4
ja_content_2,"飲んで頭痛とか出たら,どうしたらいいんですか?",japanese,content,2.230769230769231,3.0,2.0,2.3333333333333335,0.35714285714285715,16
ja_content_3,また、目標についてどんなイメージをお持ちでしょうか。,japanese,content,2.8181818181818183,3.0,1.0,2.5,0.4166666666666667,14
ja_content_4,責任者は誰ですか?,japanese,content,1.4,2.0,0,0,0.3333333333333333,7
ja_content_5,ぜひ立ち寄ってみてはいかがでしょうか?,japanese,content,2.25,3.0,1.0,2.0,0.4444444444444444,10
ja_content_6,これがどれだけすごいことなのか。,japanese,content,1.875,3.0,0,0,0.2222222222222222,10
ja_content_7,毎日のことですからなんとか解決していきたいと日々努力していらっしゃるのではないでしょうか。,japanese,content,3.0,4.0,1.3333333333333333,2.5,0.28,26
ja_content_8,これ以上何を望むというのか?,japanese,content,1.625,3.0,1.0,3.0,0.3333333333333333,10
ja_content_9,民間に運営を任せてはいかがでしょうか。,japanese,content,1.8888888888888888,3.0,1.0,4.0,0.4,11
ja_content_10,その審査ではどのような資料と基準で許可されたのでしょうか。,japanese,content,2.5294117647058822,4.0,1.0,4.0,0.2777777777777778,19
ja_content_11,このことに澤田氏はどう弁明するのだろうか?,japanese,content,2.0,2.0,0,5.0,0.4166666666666667,13
ja_content_12,ではどのような行動によって「細かい男」だと思われるのでしょうか。,japanese,content,3.176470588235294,3.0,1.0,2.5,0.3333333333333333,21
ja_content_13,いったいどんな話になったのでしょうか。,japanese,content,2.0,2.0,0,4.0,0.3333333333333333,10
ja_content_14,"なのに,どうして住民が説明会を拒否しているなんて建築指導課に報告するんですか?",japanese,content,3.5416666666666665,3.0,1.0,3.3333333333333335,0.4,27
ja_content_15,「12星座別キーワード」では、あなたがどんな人か?,japanese,content,2.6363636363636362,2.0,0,0,0.4166666666666667,16
ja_content_16,日中間の首脳会談や、民間交流でも停止しているものがあるが、どう手をつけていくのか,japanese,content,2.04,7.0,1.0,2.0,0.5384615384615384,28
ja_content_17,"で,どんな顔だった?",japanese,content,1.75,1.0,0,0,0.2,7
ja_content_18,"信者の人権を守るために身体の自由をどの程度侵してもやむを得ないと言えるのか,という議論ではないでしょうか。",japanese,content,2.4516129032258065,6.0,2.5,2.5,0.375,34
ja_content_19,これからの日本ラグビー史にどれだけの栄光を刻むのか。,japanese,content,2.2142857142857144,3.0,0,4.0,0.3333333333333333,16
ja_content_20,削除しないのはなぜだろう?,japanese,content,2.6666666666666665,2.0,1.0,2.0,0.2857142857142857,8
ja_content_21,具体的には、どのようなことが行われるのか。,japanese,content,2.4166666666666665,3.0,1.0,4.0,0.3076923076923077,15
ja_content_22,"自分たちの会員であるホメオパシー信者の活動の中で人が一人亡くなっているのに,“HOMOEOPATHYYES”とは,日本ホメオパシー医学協会は,いったい,どういう神経をしているのでしょうか。",japanese,content,3.1025641025641026,7.0,1.0,1.1666666666666667,0.575,47
ja_content_23,じゃあ次はどうなるのか?,japanese,content,2.0,2.0,0,5.0,0.42857142857142855,8
ja_content_24,霊はいつ肉体から離れていくのか?,japanese,content,2.3333333333333335,2.0,1.0,3.0,0.4,11
ja_content_25,"どういう人のどういう夢かはさておき,夢の中に出てくる寺社って,こんな感じなんじゃないだろうか?",japanese,content,2.3846153846153846,5.0,1.0,1.0,0.48148148148148145,30
ja_content_26,一連の事態をどのように理解すればいいのでしょうか。,japanese,content,2.1538461538461537,3.0,1.0,5.0,0.2857142857142857,15
ja_content_27,皆さんもインドアエンタメを楽しむ際のお供に、いかがですか?,japanese,content,2.2142857142857144,5.0,1.0,1.0,0.6,17
ja_content_28,中日の次期監督に決まっている高木守道氏からラブコールを送られている福留に、巨人も再び手を伸ばすことになるかどうか。,japanese,content,2.21875,8.0,1.0,1.8333333333333333,0.6060606060606061,35
ja_content_29,そのモサは今何をしているか。,japanese,content,1.7777777777777777,2.0,1.0,2.0,0.4,11
ja_content_30,"いったい,“次世紀ファーム研究所”とは何なのか。",japanese,content,3.272727272727273,2.0,0,0,0.5,16
ja_content_31,文書をどのようにファイルするか。,japanese,content,1.8571428571428572,2.0,1.0,3.0,0.375,9
ja_content_32,彼らは誰ですか。,japanese,content,1.4,2.0,0,0,0.16666666666666666,7
ja_content_33,幸いなことに、ソニー・オーストラリアにいた誰かは、「おい、ところで、君たちはこれに気づいたかい？」という様子だった、とポールは言った。,japanese,content,4.0588235294117645,5.0,1.3333333333333333,0.75,0.3142857142857143,44
ja_content_34,誰がこのオーストラリアサイドを止めることができるのか？,japanese,content,2.3636363636363638,2.0,0,5.0,0.3333333333333333,13
ja_content_35,また、オーストラリアの位置づけはどうなのか？,japanese,content,2.3333333333333335,3.0,0,0,0.4,12
ja_content_36,彼女の全エネルギーはどこから来ているのだろうか。もしくは、衝撃波を引き起こす力を以って打ちのめすことのできるあの声？,japanese,content,3.111111111111111,5.0,1.0,1.3333333333333333,0.4642857142857143,31
ja_content_37,しかし、グレンダに素晴らしい技を披露させたとして、誰がそれを咎めることができるだろうか。,japanese,content,3.3181818181818183,4.0,2.0,3.6666666666666665,0.30434782608695654,26
ja_content_38,警官は私に作者Günter de Bruynを知っているか？同業者なのか？と、極めて言葉少なに質問した。,japanese,content,4.125,4.0,1.5,2.3333333333333335,0.48,29
ja_content_39,民間企業において宗教的信念に関する発言を妨げる危険のある制限は何であるか？,japanese,content,2.1904761904761907,8.0,1.0,0.4,0.5454545454545454,23
ja_content_40,党内のどこに歴史的正当性があるのだろうか？,japanese,content,2.5833333333333335,3.0,0,4.0,0.38461538461538464,14
