unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,question_type,complexity_score
en_polar_442,Can rabbits and chickens live together?,en,0.007,-0.034,0.0,0.333,0.667,1,0.973
en_polar_302,Do you have a tel # for Mike?,en,-0.479,-0.034,0.0,0.333,0.375,1,0.195
en_content_376,What is the dress code for females at Del Frisco's Philadelphia?,en,-0.344,-0.199,0.0,0.0,0.5,0,-0.043
en_polar_526,I personally provided the request on four separate occasions and they claim there is a glitch in their systems ?,en,0.14,1.966,1.0,0.556,0.474,1,4.136
en_content_165,How are you making out on the revised version of the LOC?,en,-0.162,-0.199,0.0,0.333,0.417,0,0.389
en_content_156,Have you decided who will be assisting tax-wise for these two countries?,en,0.239,-0.199,1.0,0.417,0.385,0,1.842
en_polar_459,In the United States?,en,-0.193,-2.034,0.0,0.0,0.5,1,-1.727
en_polar_472,and will these antibiotics help?,en,0.057,-1.034,0.0,0.333,0.4,1,-0.244
en_polar_455,Royal Caribbean or Carnival cruise?,en,-0.443,-0.034,0.0,0.0,0.8,1,0.323
en_content_147,"What correlation are you assuming, 15% flat for twenty years?",en,-0.444,-0.199,0.0,0.5,0.364,0,0.221
en_content_116,What about 7:00 at the office or breakfast meeting at 7:00?,en,-0.244,0.801,0.0,0.0,0.273,0,0.83
en_content_208,"Besides from Pacquiao, what else is The Philipines famous for?",en,0.656,-1.199,0.0,0.0,0.4,0,-0.143
en_content_253,What are some fun things I could do while in Japan?,en,-0.344,0.801,1.0,0.333,0.364,0,2.154
en_polar_73,surprise romantic cheap date night san francisco?,en,-0.36,-1.034,0.0,0.0,1.0,1,-0.394
en_content_89,"If mistaken, how did those reports first come about?",en,0.406,-1.199,0.0,0.833,0.556,0,0.596
en_polar_401,And do you get charged for it?,en,-0.027,-1.034,0.0,0.667,0.143,1,-0.251
en_polar_496,2. Have we kept up with partial water changes?,en,0.182,-1.034,0.0,0.667,0.444,1,0.259
en_content_154,What do you think?,en,-0.344,-2.199,0.0,0.333,0.25,0,-1.96
en_polar_347,Is there any cure for mouse poison?,en,-0.36,-0.034,0.0,0.333,0.571,1,0.51
en_content_358,Is this how your clients usually evaluate these properties?,en,-0.594,-0.199,1.0,0.5,0.556,0,1.263
en_polar_464,Should I just settle and book on line?,en,-0.622,-0.034,0.0,0.417,0.5,1,0.261
en_polar_341,my new OLYMPUS X940 DIGITAL CAMERA...?,en,0.807,-2.034,0.0,0.0,0.833,1,-0.394
en_content_362,What influenced Picasso's cubism style of painting?,en,-0.487,-0.199,0.0,0.333,0.625,0,0.272
en_content_206,What manner of maniac would undertake such a dangerous course?,en,-0.233,-0.199,0.0,0.333,0.5,0,0.401
en_content_395,whose better looking ?,en,-0.344,-2.199,0.0,0.0,0.5,0,-2.043
en_content_348,What's going on dude?,en,-0.844,-2.199,0.0,0.5,0.4,0,-2.143
en_polar_84,Name of specific Hibachi restaurant in Chicago?,en,-0.027,-0.034,0.0,0.0,0.714,1,0.653
en_polar_453,"I've stayed in a more expensive hotel there, but you can check some travelguides or tripadvisor?",en,0.682,0.966,0.0,0.583,0.471,1,2.702
en_polar_478,Have I just fallen victim in a cultural trap?,en,0.057,-1.034,0.0,0.667,0.556,1,0.246
en_polar_481,*gasps* So I wouldn't make a good prostitute?,en,0.557,-1.034,0.0,0.417,0.556,1,0.496
en_polar_358,If you can?,en,-0.693,-2.034,0.0,0.0,0.0,1,-2.727
en_content_286,What countries are the best to travel to?,en,-0.915,-0.199,1.0,0.333,0.375,0,0.594
en_content_299,What to feed my dog after gastroenteritis?,en,-0.511,-1.199,0.0,0.667,0.429,0,-0.614
en_polar_392,Do I need a protein skimmer or any other equipment?,en,-0.082,-0.034,0.0,0.333,0.5,1,0.717
en_content_24,how do you mold silicone or rubber into a mermaid tail?,en,-0.044,-0.199,0.0,0.667,0.545,0,0.969
en_content_295,How do I train him to feel comfortable in his crate?,en,-0.444,-0.199,1.0,0.583,0.455,0,1.395
en_polar_283,Do you think we need to do more?,en,-0.765,-0.034,2.0,0.333,0.5,1,2.034
en_content_13,What is this Miramar?,en,-0.677,-1.199,0.0,0.0,0.25,0,-1.626
en_content_392,How are strangers supposed to know why YOU want to do that sort of job?,en,-0.63,2.801,3.0,0.458,0.6,0,6.229
en_content_192,How much money does the USA give NASA per year?,en,-0.566,-0.199,0.0,0.667,0.7,0,0.602
en_content_251,What are good places to eat brunch at? ?,en,-0.63,-1.199,1.0,0.5,0.5,0,0.171
en_content_145,What volatilities are you using to value the options - monthly volatilities or intra-day volatilities or a blend of the two (if blending please show me what formula you using to blend the two vols)?,en,0.353,1.801,1.333,0.444,0.441,0,4.372
en_content_352,"Your father never listens to me, what can I say?",en,-0.122,-1.199,0.0,0.5,0.4,0,-0.421
en_content_46,how many ounces in a pint in ireland?,en,-0.344,-1.199,0.0,0.0,0.625,0,-0.918
en_polar_323,Has the disaster affected the way other countries view the US?,en,-0.593,0.966,1.0,0.333,0.636,1,2.342
en_polar_497,3. Is there too much mineral in the water?,en,-0.318,-0.034,0.0,0.5,0.556,1,0.704
en_content_359,are there any sadists out there who share the same tastes as i do ?,en,-0.113,2.801,1.0,0.417,0.5,0,4.605
en_polar_96,That he didn’t show up for duty in Alabama?,en,0.14,-1.034,0.0,1.0,0.3,1,0.406
en_polar_278,Are we ready to execute?,en,-0.693,-1.034,1.0,0.167,0.4,1,-0.16
en_content_184,And who are you?,en,-1.011,-2.199,0.0,0.0,0.0,0,-3.21
en_content_19,Who is artist Gunther Uecker;explain?,en,0.056,-1.199,0.0,0.0,0.667,0,-0.476
