sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,キリスト教はユダヤ人を迫害した？,japanese,polar,1.75,2.0,0,2.0,0.5555555555555556,10,0.0,1.0
2,ミシシッピ川はミズーリ州に面していますか？,japanese,polar,2.0,2.0,1.0,2.0,0.5454545454545454,12,50.0,2.0
3,インフルエンザの予防接種は強制ですか？,japanese,polar,1.5,3.0,0,0,0.5555555555555556,10,0.0,1.0
4,泥火山でマグマの噴出はありますか？,japanese,polar,1.8888888888888888,3.0,0,3.0,0.5,11,0.0,1.0
5,『ボラット 栄光ナル国家カザフスタンのためのアメリカ文化学習』はカザフスタンで公開された？,japanese,polar,2.0625,4.0,0,2.0,0.5882352941176471,20,0.0,1.0
6,ソシエテ・ジェネラルは日本に支社を持つ？,japanese,polar,2.25,2.0,0,3.0,0.5555555555555556,10,0.0,1.0
7,スウェーデン映画『ぼくのエリ 200歳の少女』の少女は人間ですか？,japanese,polar,1.7857142857142858,6.0,0,0,0.5333333333333333,18,0.0,1.0
8,劇用車も車検を受けた車でないと使えないのか？,japanese,polar,2.357142857142857,4.0,2.0,2.5,0.4,16,66.66666666666667,3.0
9,サイトカイン放出症候群は最悪死に至る？,japanese,polar,2.0,2.0,0,2.0,0.7777777777777778,10,0.0,1.0
10,ニシネズミザメは肉食？,japanese,polar,1.3333333333333333,2.0,0,0,0.75,5,0,0.0
11,ラジウム・ガールズは会社から賠償金を受けた？,japanese,polar,2.2,2.0,0,3.0,0.5454545454545454,12,0.0,1.0
12,先物取引をするのに資格は必要ですか？,japanese,polar,1.8,3.0,1.0,3.0,0.45454545454545453,12,100.0,1.0
13,日本のアイヌ語を話せる人はいますか？ ＧＡＰの本社はアメリカ合衆国ですか？,japanese,polar,2.0526315789473686,6.0,1.0,1.5,0.55,22,66.66666666666667,3.0
14,日本の道産子馬は競馬で走りますか？,japanese,polar,1.75,3.0,0,3.0,0.4444444444444444,10,0.0,1.0
15,「ザ・ニューヨーク・パケット」は現在も発刊していますか？,japanese,polar,2.5384615384615383,2.0,1.0,2.0,0.42857142857142855,17,50.0,2.0
16,アルカンは自然界に存在する？,japanese,polar,1.8333333333333333,2.0,0,2.0,0.5714285714285714,8,0.0,1.0
17,イアペトゥスに水はある？,japanese,polar,2.0,2.0,0,2.0,0.6,6,0.0,1.0
18,日本でミドルネームをつけることはできる？,japanese,polar,1.75,4.0,1.0,1.5,0.6666666666666666,10,50.0,2.0
19,画家のゴッホはフランスの「ベル・エポック」の時代に生きていましたか？ 鉄道を地方自治体が経営することはある？,japanese,polar,2.8214285714285716,5.0,1.0,2.0,0.5172413793103449,33,75.0,4.0
20,現存する ロングシップはある？,japanese,polar,1.6,3.0,1.0,0.5,0.6666666666666666,7,50.0,2.0
21,シェパーズ・ブッシュにカトリック教会はある？,japanese,polar,1.8571428571428572,2.0,0,2.0,0.625,9,0.0,1.0
22,マーチ・792は人が乗れるマシンですか？,japanese,polar,1.7777777777777777,3.0,1.0,1.0,0.4,11,50.0,2.0
23,農耕社会に法律は存在した？,japanese,polar,1.7142857142857142,2.0,0,2.0,0.5,9,0.0,1.0
24,日本の公立小学校の行事の参加は義務ですか？,japanese,polar,1.6666666666666667,5.0,0,0,0.5384615384615384,14,0.0,1.0
25,文化財保護法は有形のものだけに適応されますか？,japanese,polar,2.357142857142857,3.0,0,3.0,0.4666666666666667,16,0.0,1.0
26,ビルバオ・グッゲンハイム美術館は彫刻も所有する？,japanese,polar,2.4,2.0,0,2.0,0.6363636363636364,12,0.0,1.0
27,フョードル・ドストエフスキーはカラマーゾフの兄弟を完成させた？,japanese,polar,2.0,3.0,0,2.0,0.4166666666666667,13,0.0,1.0
28,米国ユタ州はモルモン教路が築いた？,japanese,polar,1.75,2.0,0,2.0,0.6666666666666666,10,0.0,1.0
29,日本には近衛兵はいますか？,japanese,polar,2.0,2.0,0,3.0,0.4444444444444444,10,0.0,1.0
30,日本は国民国家？,japanese,polar,1.6666666666666667,2.0,0,0,0.75,5,0,0.0
31,カトリック信仰は植民地化する際の道具として使われたか ケネス・アール・ウィルバー・ジュニアの著作は日本語にも翻訳されていますか？,japanese,polar,3.5555555555555554,4.0,1.0,1.6,0.43243243243243246,38,80.0,5.0
32,タイムマシンは存在しますか？,japanese,polar,1.6666666666666667,2.0,0,2.0,0.42857142857142855,8,0.0,1.0
33,日本選手権優勝チームに賞金は出る？,japanese,polar,2.25,2.0,0,2.0,0.7777777777777778,10,0.0,1.0
34,アベノミクスはＧＤＰ成長に貢献した？,japanese,polar,1.8571428571428572,2.0,0,2.0,0.5,9,0.0,1.0
35,ロバート・オウエンは政治家にはならなかった？,japanese,polar,2.0,2.0,0,2.0,0.45454545454545453,12,0.0,1.0
36,急行形車両には車両数に対するトイレの数が決められていますか？,japanese,polar,2.375,5.0,1.0,1.3333333333333333,0.47058823529411764,18,66.66666666666667,3.0
