unique_id,text,language,avg_links_len,avg_max_depth,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
ko_polar_173,김영삼 정부는 한국 자본주의병을 치료할 수 있을까?,ko,-0.707,-1.635,0.5,1.0,2.197,1,1.355
ko_polar_63,혹시 훔친 것이 아닐까?,ko,-0.374,-1.635,0.0,1.0,1.792,1,0.783
ko_content_50,그러면 무엇을 전하는 신앙인가?,ko,-0.535,-1.467,0.25,0.5,1.792,0,0.54
ko_polar_17,우리 사회의 안녕과 질서를 지키기 위해서 부름을 받고 존재하야 하는 경찰이 이래서 되겠습니까?,ko,-0.457,5.365,0.222,0.538,2.708,1,8.376
ko_content_72,옐친의 포고령에 대해서는 어떻게 생각하는가?,ko,-0.951,-0.467,0.333,0.8,1.946,0,1.661
ko_content_233,신나는 혁명 권력을 장악한 볼셰비키는 그것으로 무슨 일을 하였던가?,ko,-0.451,0.533,0.222,0.889,2.398,0,3.591
ko_polar_152,우리가 그릇된 결론을 끌어내도록 결정할 수도 있지 않을까?,ko,-0.469,-0.635,0.167,0.625,2.303,1,1.991
ko_polar_54,"아니면 그들은 정말로 자신들이 주장하듯, 그들이 정당한 일을 하고 있는 것으로 생각했는가?",ko,1.869,0.365,0.333,0.583,2.708,1,5.858
ko_polar_34,어떠한 계급과 어떠한 계급과의 평등이냐?,ko,-0.29,-0.635,0.056,0.8,1.946,1,1.877
ko_content_99,그렇다면 대체 노자의 진짜 성은 무엇이었을까?,ko,0.399,-1.467,0.5,0.833,2.079,0,2.344
ko_content_52,우리는 어떤 근거에서 그들을 광신이라고 말할 수 있는가?,ko,-0.201,-0.467,0.278,0.75,2.303,0,2.663
ko_content_206,그런데 우리들은 왜 지구와 지구의 생물들을 함께 다루어야만 할까?,ko,1.174,-0.467,0.0,0.556,2.398,0,3.661
ko_content_28,나 자신의 가치관이 변화되지 않고 어떻게 타인의 가치관을 변화시킬 수 있겠습니까?,ko,-0.601,0.533,0.417,0.727,2.565,0,3.641
ko_polar_30,그것은 사회의 공적 기관으로서 사회로부터 발생하였으나 그 위에 올라서서 사회와는 더욱 더 멀어져 가는 권력이 아니던가?,ko,0.426,2.365,0.25,0.75,2.89,1,6.681
ko_content_67,"그럼, 이 종자돈 300만 원을 어떻게 활용하면 좋을 것인가?",ko,-0.076,-0.467,0.0,0.556,2.485,0,2.498
ko_polar_142,아니라면 애초부터 한국 역사의 독자성을 처음부터 무시할 목적으로 위와 같은 잘못을 범한 것인가?,ko,0.543,1.365,0.389,0.846,2.708,1,5.851
ko_polar_25,비평의 기술방식에 따라 비평은 어떠한 방식으로 기술할 것인가?,ko,-0.326,-0.635,0.222,0.875,2.303,1,2.439
