unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,question_type,complexity_score
id_polar_209,Ingin menikmati foto di layar yang lebih besar?,id,-0.527,0.638,0.0,0.167,0.625,1,0.903
id_polar_219,Apakah hubungan Rado Habeahan dan Intan berlangsung dengan mulus?,id,0.346,0.638,0.0,0.667,0.7,1,2.351
id_content_116,- Apa yang Disebut Berpikir?,id,-0.544,-1.226,2.0,0.2,0.5,0,0.93
id_polar_108,"Ia bertanya, “Bisakah kita membuat sebuah mobil mewah terbaik di dunia?” Pertanyaan Eiji ini membuat Toyota memulai sebuah proyek super - rahasia yang diberi kode F1 (“Flagship” (Unggulan) + “No. 1 vehicle” (Mobil No. 1)).",id,0.813,6.638,1.333,0.4,0.657,1,9.841
id_content_144,"Pada saat itu, ia mempertanyakan apa arti MASOVU?",id,-0.449,-0.226,0.0,0.6,0.5,0,0.425
id_content_180,"Lalu, mengapa para pengembang menggunakan nama ``Catfiz''?",id,0.289,-1.226,0.0,0.8,0.714,0,0.577
id_polar_213,Konstankah interval PR?,id,-0.765,-1.362,0.0,0.0,0.75,1,-1.377
id_polar_40,``Apakah engkau memperhatikan hamba-Ku Ayub?,id,-0.598,-1.362,0.0,0.5,0.571,1,-0.889
id_polar_39,Apakah yang engkau serukan kepada kami?,id,-0.265,-0.362,1.0,0.5,0.143,1,1.016
id_content_149,Namun apa yang terjadi?,id,-0.544,-1.226,1.0,0.2,0.5,0,-0.07
id_content_221,"Jika aku tidak menangis untuknya, lalu siapa lagi?",id,0.122,-1.226,0.0,1.0,0.222,0,0.118
id_content_3,Siapakah sebenarnya gadis yang mirip si Cemong?,id,-0.021,-0.226,0.0,0.0,0.5,0,0.253
id_content_111,"Sekarang, siapa yang menolak Partai Komunis ini?",id,-0.378,-0.226,1.0,0.4,0.571,0,1.367
id_polar_98,Apa urusan NU?,id,-1.098,-1.362,0.0,0.0,0.667,1,-1.793
id_content_131,Sampai kapankah Aladin sanggup mempertahankan lampu ajaib tersebut di tangannya?,id,-0.06,-1.226,0.0,1.0,0.583,0,0.297
id_polar_84,Apakah Azzam mampu menyelamatkan rumah tangga Husna dan Ilyas?,id,-0.432,0.638,0.0,0.5,0.7,1,1.406
id_polar_4,Apa nama lembaga yang akan melayani radio-radio ini?,id,-0.384,-0.362,1.0,0.333,0.5,1,1.087
id_content_269,Kan kamu yang bilang? - Bukankah kamu yang bilang demikian?,id,0.122,-0.226,1.0,0.3,0.2,0,1.396
id_polar_178,"Pergilah masak segera, apa digaduhkan masak nasi ransom?",id,-0.348,-0.362,1.0,0.333,0.778,1,1.401
id_content_123,"Kenapa marah, kenapa murka?",id,-0.211,-1.226,0.0,0.3,1.0,0,-0.137
id_polar_235,"Bisakah Superboy mendapati cinta, menyembuhkan penyakit adiknya dan sekaligus menyelamatkan jakarta dari kejahatan?",id,-0.17,0.638,0.0,0.556,0.667,1,1.691
id_polar_206,"Lalu, ia juga mengasuh siaran kuis lain seperti Herkent u deze melodie?",id,-0.28,0.638,0.0,0.0,0.75,1,1.108
id_content_174,Bagaimana kalau pemberian lain sebagai hadiah untukmu?,id,-0.306,-0.226,0.0,0.0,0.5,0,-0.032
id_content_258,``Mengapa tidak memakai piano?,id,-0.544,-2.226,0.0,0.6,0.75,0,-1.42
id_content_160,``Mengapakah kamu tidak mau menyembah Allah SWT?,id,0.122,-1.226,0.0,0.8,0.5,0,0.196
id_content_18,"Pak Douw, anda telah berusaha untuk maju menjadi Bupati, bagaimana kalau seandainya nanti anda gagal mendapatkan dukungan dan tidak terpilih di PILKADA Nabire?",id,0.622,0.774,1.5,0.6,0.652,0,4.148
id_polar_25,Bau apakah yang tercium olehku?,id,-0.432,-0.362,1.0,0.333,0.429,1,0.968
id_polar_120,Kemudian muridnya itu bertanya: ``Didaerah mana Mama ingin mendirikan Pesantren itu?,id,0.538,-0.362,1.0,0.583,0.417,1,2.176
id_polar_96,"Bukankah kami ini dianggapnya sebagai orang asing, karena ia telah menjual kami?",id,0.209,-1.362,1.0,0.667,0.286,1,0.8
id_polar_251,"Engkau telah berzinah dengan banyak kekasih, dan mau kembali kepada-Ku?",id,0.002,-0.362,0.0,0.417,0.364,1,0.421
id_polar_225,Adakah gelombang P?,id,-0.765,-1.362,0.0,0.333,0.75,1,-1.044
