unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
korean_polar_16,알루미늄은 좋은 전기 도체인가?,ko,polar,0.514,-1.807,0.0,0.6,1.0,1.792,0.0,-0.256,1
korean_polar_195,산스크리트어는 베다 산스크리트어의 발전형인가요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_92,날다람쥐가 날 수 있을까?,ko,polar,-0.486,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_22,기독교는 아브라함 계열의 종교인가요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_196,인도는 의원내각제를 채택하고 있나요?,ko,polar,-0.153,-1.807,0.0,0.4,0.75,1.792,0.0,-0.256,1
korean_polar_361,우리 민법은 유류분제도를 인정하나요?,ko,polar,-0.153,-0.807,0.0,0.4,0.75,1.792,0.0,-0.256,1
korean_polar_156,왜구란 일본인 해적을 뜻하는가?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_189,반증이 불가능한 명제가 있는가?,ko,polar,-0.486,0.193,0.0,0.2,1.0,1.792,0.0,-0.256,1
korean_polar_356,상형문자는 그림으로 이루어진 문자인가요?,ko,polar,0.181,-0.807,1.0,0.3,1.0,1.792,3.932,0.744,1
korean_polar_322,신토는 일본의 민속 신앙인가요?,ko,polar,0.514,-1.807,0.0,0.6,1.0,1.792,0.0,-0.256,1
korean_polar_0,로마의 면적은 서울시의 2배인가요?,ko,polar,-0.153,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_24,라소는 르네상스 시대 음악가인가요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_167,한국의 군대는 국방부가 관리하나요?,ko,polar,-0.153,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_181,코뿔소는 멸종위기에 처한 종인가?,ko,polar,0.181,-0.807,1.0,0.3,1.0,1.792,3.932,0.744,1
korean_polar_247,손빈은 손무의 5대 손인가요?,ko,polar,0.514,-1.807,0.0,0.6,1.0,1.792,0.0,-0.256,1
korean_polar_8,파리는 프랑스의 경제 중심지인가요?,ko,polar,0.514,-1.807,0.0,0.6,1.0,1.792,0.0,-0.256,1
korean_polar_275,공기는 지구를 둘러싼 기체인가요?,ko,polar,0.181,-0.807,1.0,0.3,1.0,1.792,3.932,0.744,1
korean_polar_316,엘라 피츠제럴드는 재즈 가수인가요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_93,스케테의 본질은 수도원 체계인가요?,ko,polar,-0.153,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_35,마켓 가든 작전은 독일이 승리했나요,ko,polar,-0.236,0.193,1.0,0.3,1.0,1.792,3.932,0.744,1
korean_polar_321,하이에나는 암컷이 무리에서 우두머리인가요?,ko,polar,0.514,-1.807,0.0,0.6,1.0,1.792,0.0,-0.256,1
korean_polar_56,신구약 성경의 원본은 존재하는가?,ko,polar,-0.486,0.193,0.0,0.2,1.0,1.792,0.0,-0.256,1
korean_polar_270,프랑스어는 로망스어군에 속하는 언어인가요?,ko,polar,0.181,-0.807,1.0,0.3,1.0,1.792,3.932,0.744,1
korean_polar_216,워싱턴 DC는 계획 도시인가요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_227,한국은 핵무기를 가지고 있는가?,ko,polar,-0.153,-1.807,0.0,0.4,0.75,1.792,0.0,-0.256,1
korean_polar_67,인도는 원자력을 가지고 있는가?,ko,polar,-0.153,-1.807,0.0,0.4,0.75,1.792,0.0,-0.256,1
korean_polar_377,매스 이펙트는 캐나다 회사인가요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_298,엔트로피는 평균 정보량을 의미하나요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_18,교토는 일본의 역사적인 도시인가요?,ko,polar,0.514,-1.807,1.0,0.3,1.0,1.792,3.932,0.744,1
korean_polar_21,영국은 모병제를 실시하고 있나요?,ko,polar,-0.153,-1.807,0.0,0.4,0.75,1.792,0.0,-0.256,1
korean_polar_89,손빈병법은 손빈이 저작한 병법인가요?,ko,polar,0.181,-0.807,1.0,0.3,1.0,1.792,3.932,0.744,1
korean_polar_126,단당류는 수용성의 결정성 고체인가요?,ko,polar,0.514,-1.807,0.0,0.6,1.0,1.792,0.0,-0.256,1
korean_polar_59,리투아니아는 빙하로 조각된 나라인가요?,ko,polar,0.181,-0.807,1.0,0.3,1.0,1.792,3.932,0.744,1
korean_polar_339,경국대전은 조선 최고의 법전인가요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_147,미국은 원자력을 가지고 있는가?,ko,polar,-0.153,-1.807,0.0,0.4,0.75,1.792,0.0,-0.256,1
korean_polar_269,일본에서는 사형제도가 시행되고 있는가?,ko,polar,-0.153,-1.807,0.0,0.4,0.75,1.792,0.0,-0.256,1
korean_polar_358,바니시는 무색의 투명 물질인가요?,ko,polar,0.514,-1.807,0.0,0.6,1.0,1.792,0.0,-0.256,1
korean_polar_240,미국은 핵무기를 가지고 있는가?,ko,polar,-0.153,-1.807,0.0,0.4,0.75,1.792,0.0,-0.256,1
korean_polar_218,혜성의 본체는 핵으로 불리나요?,ko,polar,-0.153,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_11,말레이시아에서는 사형제도가 시행되고 있는가?,ko,polar,-0.153,-1.807,0.0,0.4,0.75,1.792,0.0,-0.256,1
korean_polar_301,가부장제란 아버지의 지배를 뜻하나요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_238,구지가는 고대 시가의 하나인가요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_73,피에르 플랑타르는 귀족가문에서 태어났나요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_12,도마뱀은 난생을 하는 동물인가요?,ko,polar,0.181,-0.807,1.0,0.3,1.0,1.792,3.932,0.744,1
korean_polar_369,목탁수구리는 점토질 지형을 좋아하나요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_257,일본은 양원제를 채택하고 있나요?,ko,polar,-0.153,-1.807,0.0,0.4,0.75,1.792,0.0,-0.256,1
korean_polar_231,초전도는 양자 역학적인 현상인가요?,ko,polar,0.181,-0.807,1.0,0.3,1.0,1.792,3.932,0.744,1
korean_polar_45,심리극의 창시자는 유대인의 후손인가요?,ko,polar,-0.153,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_152,구리는 자기적 특성이 있는가?,ko,polar,0.181,-0.807,0.0,0.0,1.0,1.792,0.0,-1.256,1
korean_polar_209,HIV를 치료할 수 있는가?,ko,polar,-0.486,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_236,독일의 프랑스 침공은 성공하였는가?,ko,polar,-0.153,-0.807,0.0,0.2,1.0,1.792,0.0,-0.256,1
korean_polar_213,계보학은 가계도를 연구하는 학문인가요?,ko,polar,0.181,-0.807,1.0,0.3,1.0,1.792,3.932,0.744,1
korean_polar_368,ROM 이미지는 임베디드 컴퓨터용인가요?,ko,polar,-0.153,-0.807,0.0,0.4,0.75,1.792,0.0,-0.256,1
korean_polar_144,리튬이온전지는 이차 전지의 일종인가요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_308,한국은 단일 민족 국가인가?,ko,polar,0.514,-1.807,0.0,0.6,1.0,1.792,0.0,-0.256,1
korean_polar_122,렙톤은 물리학에서 스핀이 ½인가요?,ko,polar,0.514,-1.807,0.0,0.6,1.0,1.792,0.0,-0.256,1
korean_polar_347,김대중 납치한 사건은 미제사건인가?,ko,polar,-0.486,0.193,1.0,0.2,1.0,1.792,3.932,0.744,1
korean_polar_160,미토콘드리아에는 호흡 사슬이 있나요?,ko,polar,0.181,-0.807,0.0,0.4,1.0,1.792,0.0,-0.256,1
korean_polar_263,덴마크는 의원내각제를 채택하고 있나요?,ko,polar,-0.153,-1.807,0.0,0.4,0.75,1.792,0.0,-0.256,1
korean_polar_29,하와이주는 미국의 최남단 주인가요?,ko,polar,0.514,-1.807,0.0,0.6,1.0,1.792,0.0,-0.256,1
