unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
finnish_polar_0,Tarvitaanko neutroneja radioaktiivisten aineiden valmistamiseen?,fi,polar,-0.002,0.985,0.0,0.333,1.0,1.946,0.0,0.003,1
finnish_polar_1,Onko Kalervo Kummola toiminut kansanedustajana?,fi,polar,-0.002,-0.015,0.0,0.333,0.8,1.946,0.0,0.003,1
finnish_polar_2,Elääkö Yellowstonen kansallispuistossa susia?,fi,polar,0.248,-0.015,0.0,0.333,1.0,1.792,0.0,0.003,1
finnish_polar_3,Onko Marsissa happea?,fi,polar,-0.752,-1.015,0.0,0.0,0.667,1.609,0.0,-0.997,1
finnish_polar_4,Oliko William,fi,polar,-0.752,-1.015,0.0,0.0,0.5,1.099,0.0,-0.997,1
finnish_polar_5,Pitt menestynyt Britannian pääministeri?,fi,polar,-0.419,-0.015,1.0,0.167,1.0,1.792,4.615,0.003,1
finnish_polar_6,Onko elinkelpoisia kuita?,fi,polar,-0.252,-0.015,0.0,0.0,0.667,1.609,0.0,-0.997,1
finnish_polar_7,Monenneksiko suurin maa Kiina on pinta-alaltaan?,fi,polar,-0.552,1.985,0.0,0.0,0.833,2.079,0.0,0.003,1
finnish_polar_8,Oliko tyttöpop-ryhmä t.A.T.u. venäläinen?,fi,polar,-0.086,-1.015,0.0,0.0,0.75,1.946,0.0,-0.997,1
finnish_polar_9,Onko merivesi aina suolaista?,fi,polar,0.248,-1.015,0.0,0.0,0.75,1.792,0.0,0.003,1
finnish_polar_10,Onko Eldorado oikea kaupunki?,fi,polar,0.248,-1.015,0.0,0.0,0.75,1.792,0.0,0.003,1
finnish_polar_11,Näytteleekö Winona Ryder Stranger Things jännityssarjassa?,fi,polar,0.848,-0.015,0.0,0.5,1.0,2.079,0.0,0.003,1
finnish_polar_12,Valloittiko Saksa koko Norjan vuonna 1940?,fi,polar,0.248,-0.015,0.0,0.5,0.833,2.079,0.0,0.003,1
finnish_polar_13,Ovatko pikkuruskosiipat erittäin uhanalaisia?,fi,polar,0.248,-1.015,0.0,0.0,0.75,1.792,0.0,0.003,1
finnish_polar_14,Onko Elafónisoksen saarella asutusta?,fi,polar,-0.419,-1.015,0.0,0.0,0.75,1.792,0.0,0.003,1
finnish_polar_15,Onko sopraano kaikista äänialoista korkein?,fi,polar,0.498,-0.015,0.0,0.0,0.6,1.946,0.0,0.003,1
