sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,2018年アメリカで一番治安の悪い州はどこ 嗜好する音楽のジャンルと学業パフォーマンスに関連性はある？,japanese,content,3.28,4.0,1.0,3.0,0.5769230769230769,27,50.0,2.0
2,“ダン” ダニエル・ジャドソン・キャラハンの出身はどこ シカゴ・ノースショアー・アンド・ミルウォーキー鉄道の最北端の駅は何？,japanese,content,3.5833333333333335,3.0,0,0,0.52,28,0,0.0
3,リビアはいつ建国した サー・マイケル・フィリップ・ジャガーの出身は？ 位相空間論の提唱者は誰？,japanese,content,3.652173913043478,4.0,1.0,1.0,0.5,26,100.0,1.0
4,コック・レーンの幽霊を初めて報道した新聞社は何？,japanese,content,1.6923076923076923,5.0,1.0,2.0,0.5,15,100.0,1.0
5,日本哺乳類学会はいつ創設されましたか？,japanese,content,2.3636363636363638,2.0,0,3.0,0.4166666666666667,13,0.0,1.0
6,パトロンの起源はいつ 『テキサス・チェーンソー ビギニング』はホラー映画？,japanese,content,3.5833333333333335,3.0,0,0,0.6153846153846154,16,0,0.0
7,イングランドに土着信仰はある？,japanese,content,2.0,2.0,0,2.0,0.6666666666666666,7,0.0,1.0
8,ラオス王国の王族の名前はなんですか？,japanese,content,1.4444444444444444,4.0,0,0,0.4,11,0.0,1.0
9,日本テレビ系列『ZIP!』の初代の司会は誰ですか？,japanese,content,2.6363636363636362,3.0,0,0,0.5,16,0.0,1.0
10,ブランディステーションの戦いで戦いを仕掛けたのはどっち バダ・ハリの身長は？,japanese,content,2.25,4.0,1.0,4.0,0.47058823529411764,18,100.0,1.0
11,一般社団法人日本産業カウンセラー協会の創始者はだれ 西村眞悟弁護士法違反事件で西村が受けた罰則は何？,japanese,content,3.75,4.0,1.0,2.0,0.7241379310344828,30,100.0,1.0
12,日本の義務教育で歴史が教えられるのはどの学年から？,japanese,content,2.0,4.0,1.0,4.0,0.42857142857142855,15,100.0,1.0
13,ジャン・アレジの、妻との出会いは？,japanese,content,2.125,2.0,0,0,0.4444444444444444,11,0,0.0
14,ミンデン＝リュベッケ郡で最古の風車は何？,japanese,content,2.111111111111111,3.0,0,0,0.5,11,0,0.0
15,フォークランド紛争の戦死者は？,japanese,content,1.4,2.0,0,0,0.6666666666666666,7,0,0.0
16,森上亜希子の出身はどこ 相模原線が開通したのはいつ タッチストーン・ピクチャーズの映画『パール・ハーバー』の主人公の名前は？,japanese,content,3.310344827586207,5.0,1.0,3.0,0.5,33,100.0,1.0
17,ロジャー・フェデラーはいつ生まれた ジョージ・ローレンス・マイカンはいつ生まれた？,japanese,content,2.6666666666666665,3.0,1.0,2.0,0.4375,17,50.0,2.0
18,ユーティカの主要産業は ハイレ・ゲブレセラシェがマラソンデビューしたのはいつ 心は心臓にあると広く信じられていた理由は何 イギリス王室属国のマン島の面積は？,japanese,content,2.8378378378378377,5.0,1.3333333333333333,2.5,0.47368421052631576,39,100.0,4.0
19,発見された中で最大のクロトガリザメの大きさは？,japanese,content,2.230769230769231,3.0,1.0,0.0,0.42857142857142855,15,100.0,1.0
20,ティベリウス・ユリウス・カエサルの宗教は何だった？,japanese,content,1.9,3.0,0,0,0.36363636363636365,12,0.0,1.0
21,知的財産権が日本で認められたのはいつ？,japanese,content,2.3333333333333335,4.0,1.0,4.0,0.38461538461538464,14,100.0,1.0
22,サー・ジョン・ゴスの宗教は何？,japanese,content,2.0,3.0,0,0,0.4444444444444444,10,0,0.0
23,日本でニュータウンの建設が始まったのはいつ？,japanese,content,2.3,4.0,1.0,4.0,0.36363636363636365,12,100.0,1.0
24,海底ケーブルが初めて結ばれたのはどこ？,japanese,content,2.3333333333333335,3.0,1.0,4.0,0.4,11,100.0,1.0
25,漫画『ファイブスター物語』の主人公は神？,japanese,content,1.875,3.0,0,0,0.6666666666666666,11,0,0.0
26,ロシア帝国の初代皇帝はだれ？,japanese,content,1.5,2.0,0,0,0.5714285714285714,8,0,0.0
