unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens
ru_polar_0,"ветра, духа ли печного сумрак стоны растерял?",russian,polar,2.6666666666666665,4.0,0,2.0,0.8571428571428571,9
ru_polar_1,"Знаешь, милая, нельзя ли Воску ярого принесть Да про новые печали Года нового развесть?",russian,polar,2.6923076923076925,6.0,1.0,2.0,0.7857142857142857,17
ru_polar_2,"Ты помнишь ли, что я Еще живу в сем мире?",russian,polar,2.2222222222222223,3.0,1.0,3.5,0.4,12
ru_polar_3,"Не сошлись во внешности, что ли?",russian,polar,1.8,2.0,0,3.0,0.3333333333333333,8
ru_polar_4,Не пора ли просыпаться господа?,russian,polar,1.75,1.0,1.0,0.0,0.6,6
ru_polar_5,Есть ли крыша над головой?,russian,polar,1.5,3.0,0,2.0,0.6,6
ru_polar_6,"""Пора!""— не с таким ли понуждением она когда-то исторгла его из собственного чрева?",russian,polar,2.9166666666666665,4.0,0,5.0,0.46153846153846156,18
ru_polar_7,"""От волка, что ли?""— Ирина округлила глаза.",russian,polar,2.3333333333333335,2.0,0,2.0,0.5714285714285714,13
ru_polar_8,"Уж не трусишка ли он, спросила она насмешливо, коли не хочет подождать ее десять минут на улице?",russian,polar,2.375,5.0,2.0,3.0,0.4117647058823529,20
ru_polar_9,"Ведь ты уже взрослый, не так ли?""",russian,polar,1.8333333333333333,2.0,0,0,0.2857142857142857,10
ru_polar_10,"Все, что осталось Петровичу,— это затверженные инструкции (спасут ли они его?) да одуряющий запах Генрихова одеколона, побившего напрочь Иринины и Катины духи.",russian,polar,2.619047619047619,7.0,1.0,1.4,0.6363636363636364,30
ru_polar_11,"Ах, сей ли гроб твой взор мятет, Где ляжет токмо плоть и кровь?",russian,polar,2.3333333333333335,5.0,1.0,2.5,0.5384615384615384,16
ru_polar_12,Подскажите нужно ли обращаться за помощью?,russian,polar,1.4,4.0,1.0,1.0,0.6666666666666666,7
ru_polar_13,Как его поить и можно ли воду чем-то заменить или она обязательна в чистом виде?,russian,polar,2.142857142857143,4.0,1.0,3.0,0.5333333333333333,16
ru_polar_14,Стоит ли пытаться снова и снова давать ей эти молочные продукты и фрукты?,russian,polar,2.0,5.0,2.0,2.0,0.6153846153846154,14
ru_polar_15,И лечится ли это вообще?,russian,polar,1.75,1.0,0,4.0,0.4,6
ru_polar_16,Отмечались ли случаи заражения бешенством от белки?,russian,polar,1.5,4.0,0,2.0,0.7142857142857143,8
ru_polar_17,"Скажите, до консультации с врачом, какими доступными средствами можно поддержать желудок и облегчить боли, можно ли есть заваренные овсяные хлопья?",russian,polar,2.3684210526315788,5.0,1.5,1.7142857142857142,0.75,24
ru_polar_18,Используете ли пустышку?,russian,polar,1.5,1.0,0,2.0,0.6666666666666666,4
ru_polar_19,Допаиваете ли водой?,russian,polar,1.5,1.0,0,2.0,0.6666666666666666,4
ru_polar_20,Опасно ли если ребёнок откусил яблочного червя с яблоком?,russian,polar,2.0,3.0,1.0,4.0,0.6666666666666666,10
ru_polar_21,Не заведутся ли от этого червячки?,russian,polar,2.0,2.0,0,4.0,0.3333333333333333,7
ru_polar_22,Можно ли лечить пищевую аллергию?,russian,polar,1.5,3.0,1.0,1.5,0.8,6
ru_polar_23,"Насколько есть вероятность заражения в этой ситуации и можно ли сдать какой-то анализ, чтобы убедиться, что вируса нет, и успокоиться?",russian,polar,2.263157894736842,6.0,3.0,2.1666666666666665,0.6,24
ru_polar_24,Так можно ли это все назвать аллергией?,russian,polar,1.6666666666666667,3.0,1.0,2.5,0.5714285714285714,8
ru_polar_25,"В данный момент я беременна, не передастся ли эта моему малышу?",russian,polar,1.8,3.0,0,4.0,0.45454545454545453,13
ru_polar_26,Нужно ли идти на прием к гастроэнтерологу?,russian,polar,1.8333333333333333,3.0,1.0,2.0,0.5714285714285714,8
ru_polar_27,Нормально ли это?,russian,polar,1.5,1.0,0,0,0.3333333333333333,4
ru_polar_28,"У меня вопрос по этому поводу, может ли из-за антибиотиков и новобисмола быть сильная тошнота и слабость?",russian,polar,2.25,6.0,2.0,2.0,0.5294117647058824,19
ru_polar_29,"Можно ли предположить, что у меня обострился давний сигмоидит?",russian,polar,2.0,4.0,2.0,2.0,0.5555555555555556,11
ru_polar_30,"Стоит ли сейчас принимать Омез, ведь в инструкции написано, что он показан при гастритах?",russian,polar,2.3846153846153846,4.0,1.5,2.75,0.5714285714285714,17
ru_polar_31,"Скажите, пожалуйста, стоит ли мне пить ципрофлоксацин?",russian,polar,2.1666666666666665,3.0,1.0,2.0,0.5714285714285714,10
ru_polar_32,"Действительно ли нормально, когда так сильно и непрекращаемо болит зуб?",russian,polar,3.3333333333333335,4.0,1.0,2.0,0.7,12
ru_polar_33,Стоит ли волноваться?,russian,polar,1.5,1.0,1.0,1.0,0.6666666666666666,4
ru_polar_34,"Скажите пожалуйста, стоит ли мне идти к врачу, и чем нужно это лечить?",russian,polar,2.4166666666666665,4.0,1.5,2.25,0.46153846153846156,16
ru_polar_35,"Вопросы следующие: усваивается ли овсянка в таком виде и может ли это быть полноценной заменой каши; нет ли проблем с тем, что ем сырые яйца ежедневно (предварительно мою); как в целом такой вариант завтрака, хорош ли?",russian,polar,3.4857142857142858,6.0,1.0,3.6,0.6111111111111112,44
ru_polar_36,Могу ли я есть финики после такой операции?,russian,polar,2.0,3.0,1.0,2.5,0.5,9
ru_polar_37,Можно ли принимать Лаксигал?,russian,polar,1.3333333333333333,2.0,1.0,1.5,0.75,5
ru_polar_38,Как вы думаете будет ли снова самоизоляция и дистанционно обучение в школах и вузах ?,russian,polar,1.6153846153846154,6.0,1.0,3.0,0.6428571428571429,15
ru_polar_39,Посадят ли его на самолёт? и что его ждёт по прилёту?,russian,polar,2.6,3.0,0,4.0,0.36363636363636365,13
ru_polar_40,"Если я являюсь гражданином Израиля, могу ли я получить ПМЖ или ВНЖ в странах ЕС?",russian,polar,1.8571428571428572,4.0,1.0,3.0,0.6,17
ru_polar_41,"Для проезда в пригородных поездах (электричка, ласточка) в 16 лет можно купить билет без разрешения родителей (могуь ли его попросить)?",russian,polar,2.4210526315789473,4.0,1.0,2.25,0.65,26
ru_polar_42,"Подозрительно низкие цены,не подделки ли?",russian,polar,1.4,2.0,0,0,0.6666666666666666,8
ru_polar_43,Нужна ли страховка при ПОДАЧЕ документов на визу?,russian,polar,2.4285714285714284,2.0,0,0,0.625,9
ru_polar_44,Летал ли кто-то с такой температурой недавно?,russian,polar,2.5,3.0,0,3.0,0.42857142857142855,8
ru_polar_45,Нормально ли пропустили?,russian,polar,1.5,2.0,0,1.0,0.6666666666666666,4
ru_polar_46,"И видел ли хоть кто-то, что кого-то не пускают из-за температуры?",russian,polar,2.3,3.0,1.0,4.0,0.2727272727272727,13
ru_polar_47,"Вопрос собственно так, те кто уже пробовал, не пожалели ли?",russian,polar,2.7777777777777777,4.0,1.0,2.5,0.6,13
ru_polar_48,Возможно ли это вообще в данный момент?,russian,polar,2.5,2.0,0,0,0.5714285714285714,8
ru_polar_49,Легко ли найти жилье и работу?,russian,polar,1.4,4.0,1.0,1.0,0.6666666666666666,7
ru_polar_50,Нормально ли будет в нём спать без палатки?,russian,polar,1.8571428571428572,3.0,1.0,2.0,0.375,9
ru_polar_51,И возможно ли купить хорошую модель в районе 5тыс руб?,russian,polar,1.5,6.0,1.0,1.0,0.6363636363636364,12
ru_polar_52,"Подскажите, будут ли проблемы с этим, или сейчас можно спокойно съездить туда-назад без всякий самоизоляций?",russian,polar,2.4,4.0,1.0,2.6666666666666665,0.5625,20
ru_polar_53,"Можно ли сейчас на авто, на пару дней сьездить в Калининград из Литвы?",russian,polar,2.9166666666666665,3.0,1.0,3.5,0.6153846153846154,15
ru_polar_54,Обязаны ли меня поселить по ксероксу?,russian,polar,1.6,3.0,1.0,2.0,0.5,7
ru_polar_55,Возможно ли выжить спрыгнув с парашютом с пассажирского самолета?,russian,polar,1.875,4.0,2.0,1.5,0.6666666666666666,10
ru_polar_56,"ВОПРОС: к тем, кто в недавно вылетал через Внуково, примут ли там справку из поликлиники?",russian,polar,2.142857142857143,6.0,1.0,3.5,0.5333333333333333,19
ru_polar_57,"Суть вопроса такова, хочу слетать со своей девушкой в Сочи но ей нет 18 пропустят ли?",russian,polar,2.8,4.0,1.0,2.25,0.5,18
