sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,ما هي المسألة الشرقية ؟ كم تبعد بيت لحم على القدس؟,arabic,content,2.0,3.0,0,3.0,0.6,12,0,1.0
2,ما كان أول موديل صنعته شركة فورد؟,arabic,content,1.2857142857142858,5.0,1.0,2.0,0.5,9,100.0,2.0
3,متى ظهرت جماعة الاخوان المسلمين في سوريا؟,arabic,content,1.6666666666666667,3.0,0,3.0,0.5714285714285714,8,0.0,1.0
4,متى تاسست السلفية الجهادبة في مصر ؟ من هو ريتشارد دوكينز؟,arabic,content,2.5555555555555554,3.0,0,4.0,0.3,12,0.0,1.0
5,متى تم إعتماد قانون حرية الهوية الجندرية في ولاية أريزونا ؟ إلى من تعود ملكية إقليم جبل طارق؟,arabic,content,1.875,6.0,1.0,2.0,0.5882352941176471,19,50.0,2.0
6,متى إنتهت حرب نورماندي ؟ ما هي ضريبة الدخل ؟ ماهي وظيفة الهايبوثالامس ؟ متى بدأت سياسة الطفل الواحد في الصين؟,arabic,content,2.9411764705882355,4.0,0,4.5,0.6111111111111112,22,0.0,2.0
7,ما هي أكبر المقاطعات الكندية؟,arabic,content,1.25,3.0,0,0,0.6,6,0,0.0
8,كم دولة يضم الشرق الأوسط؟,arabic,content,1.0,3.0,1.0,1.0,0.8,6,100.0,1.0
9,ما هو الدوبامين ؟ ما اللغات الرسمية لليونيسكو؟,arabic,content,2.5,2.0,0,0,0.42857142857142855,9,0,0.0
10,من هي المغنية العربية التي قامت بأداء شارة مسلسل الرسوم المتحركة (حكايات عالمية) لأول مرة؟,arabic,content,2.0,7.0,1.0,3.0,0.75,19,100.0,1.0
11,متى أصدرت أغنية كاتيوشا الروسية؟,arabic,content,1.25,2.0,0,2.0,0.6,6,0.0,1.0
12,متى نشأ حزب العمال الكردستاني؟,arabic,content,1.25,2.0,0,2.0,0.8,6,0.0,1.0
13,اين توجد حمامات جارف الساخنة؟,arabic,content,1.25,2.0,0,2.0,0.6,6,0.0,1.0
14,ما اسم أبناء سيدنا نوح ؟ متى تولى البابا فرنسيس المنصب؟,arabic,content,2.0,4.0,0,3.0,0.45454545454545453,13,0,1.0
15,ماهو الأمن البشري ؟,arabic,content,1.6666666666666667,2.0,0,0,0.5,5,0,0.0
16,ما هي درجة حموضة التربة؟,arabic,content,1.4,3.0,0,0,0.6666666666666666,7,0,0.0
17,أين يقع نهر سانت لورانس؟,arabic,content,1.0,3.0,0,2.0,0.4,6,0.0,1.0
18,كم يبلغ ارتقاع مأذنة مسجد الحسن الثاني؟,arabic,content,1.0,5.0,0,2.0,0.8571428571428571,8,0.0,1.0
19,من هو الممثل الذي قام تمثيل دور التاجر الجشع في فيلم تاجر البندقية؟,arabic,content,1.5,5.0,1.0,2.0,0.6923076923076923,14,100.0,1.0
20,ما هي حساسية الجلوتين؟,arabic,content,1.3333333333333333,2.0,0,0,0.5,5,0,0.0
21,أين وقعت معركة المنصورة؟,arabic,content,1.0,2.0,0,2.0,0.75,5,0.0,1.0
22,ما هي اللغة الرسمية في إمارة أندورا؟,arabic,content,1.5,3.0,0,0,0.42857142857142855,8,0,0.0
23,من هو أول الحكام دولة المرابطين؟,arabic,content,1.2,3.0,0,0,0.6666666666666666,7,0,0.0
24,متى ولد المغني دكتور دري؟,arabic,content,1.25,3.0,0,2.0,0.4,6,0.0,1.0
25,ماهي أشهر أنواع فيروس الإنفلونزا؟,arabic,content,1.0,4.0,0,0,0.8,6,0,0.0
26,ماهو تعداد سكان موريتانيا ؟ كيف يصنع حديد الزهر ؟ في أي عام توفي العالم هايزنبيرغ؟,arabic,content,2.6153846153846154,3.0,0,2.0,0.6428571428571429,17,0,2.0
27,أين تقع منظمة حقوق الإنسان؟,arabic,content,1.0,3.0,0,2.0,0.8,6,0.0,1.0
28,ما عاصمة إسبانيا؟,arabic,content,1.0,2.0,0,0,0.3333333333333333,4,0,0.0
29,ما هي الهندسة الداخلية؟,arabic,content,1.3333333333333333,2.0,0,0,0.5,5,0,0.0
30,من هو مؤسس الاحمدية؟,arabic,content,1.3333333333333333,1.0,0,0,0.5,5,0,0.0
31,ما هو الأرخبيل ؟ ما مساحة قطاع بولندا ؟ ما هي منظمة الاوبك ؟ ماهي لغة الإكوادور الرسمية؟,arabic,content,3.857142857142857,3.0,0,0,0.4,19,0,0.0
32,متى تأسست شركة الفودافون؟,arabic,content,1.0,2.0,0,2.0,0.5,5,0.0,1.0
33,من يصادق على ميزانية الدولة في كندا؟,arabic,content,1.5,3.0,0,2.0,0.42857142857142855,8,0.0,1.0
34,متى عاش إبن الهيثم ؟ من هو الممثل التركي الملقب ببقلاوة؟,arabic,content,1.7777777777777777,3.0,0,3.0,0.6,12,0.0,1.0
35,ما هي القومية التي تشكل غالبية سكان محافظة دياربكر؟,arabic,content,1.25,6.0,1.0,2.0,0.5555555555555556,10,100.0,1.0
36,كيف يتم تحديد عمر المخطوطات القديمة؟,arabic,content,1.1666666666666667,4.0,0,2.0,0.7142857142857143,8,0.0,1.0
37,متى توفيت فاتن حمامة؟,arabic,content,1.0,2.0,0,2.0,0.25,5,0.0,1.0
38,متى عقدت الجمعية البرلمانية لمجلس أوروبا دورتها الأولى؟,arabic,content,1.8888888888888888,3.0,0,3.0,0.6,11,0.0,1.0
39,متى تأسست أكاديمية التنمية التعليمية؟,arabic,content,1.0,3.0,0,2.0,0.8,6,0.0,1.0
40,متى وقع انقلاب أديب الشيشكلي في سوريا؟,arabic,content,1.6666666666666667,3.0,0,3.0,0.2857142857142857,8,0.0,1.0
41,ما هي المسافة بين مكّة و المدينة؟,arabic,content,1.5,4.0,0,0,0.42857142857142855,8,0,0.0
42,أين تقع أفغانيستان ؟ متى تأسست منظمة سوفرجت الأمريكية؟,arabic,content,1.5714285714285714,3.0,0,2.5,0.625,10,0.0,2.0
43,من هو مبعوث الامم المتحدة إلى سوريا ؟ متى ولد تشارلز داروين ؟ ما هو المدفع الجيني؟,arabic,content,2.142857142857143,5.0,0,3.0,0.4,18,0,1.0
44,متى تم انتاج اول محرك نفاث؟,arabic,content,1.0,4.0,0,2.0,0.8333333333333334,7,0.0,1.0
45,من هو امل دنقل ؟ متى تم إختراع الغبار الكاشف للبصمات ؟,arabic,content,1.5555555555555556,5.0,0,2.0,0.4,12,0,1.0
46,أين تقع بلدة شونينغن؟,arabic,content,1.0,2.0,0,2.0,0.5,5,0.0,1.0
47,متى عاش بريمو دي ريفيرا؟,arabic,content,1.75,2.0,0,2.0,0.2,6,0.0,1.0
48,من اخترع لغة البايثون؟,arabic,content,1.0,2.0,0,2.0,0.5,5,0.0,1.0
49,متى تأسس إتحاد كأس العالم لكرة القدم ؟ من هو مؤسس الفكر العلماني ؟ في أي عام تم إسقاط القنبلة النووية علي مدينة هيروشيما ؟ من هو مخرج فيلم شغف المسيح ؟ كم دام الاحتلال العثماني لدولة المجر ؟ ماهي الدول المجاورة لي بلغاريا؟,arabic,content,2.575,7.0,1.0,3.0,0.6341463414634146,47,50.0,3.0
50,كم وقتاً تستغرق نبتة الثوم للنمو ؟ كم آية في القرآن؟,arabic,content,2.727272727272727,3.0,0,4.0,0.5833333333333334,14,0.0,1.0
51,كم طول السواحل الأردنية؟,arabic,content,1.0,3.0,0,0,0.75,5,0,0.0
52,متى تأسست شركة إرماتشي الإيطالية؟,arabic,content,1.25,2.0,0,2.0,0.6,6,0.0,1.0
53,ما نسبة المسيحيين في التشيك؟,arabic,content,1.5,3.0,0,0,0.6,6,0,0.0
54,ما هي المدرسة الطبيعية ؟ ماهو أكبر الشرايين حجما ًفي جسم الإنسان؟,arabic,content,2.1,3.0,0,0,0.6363636363636364,13,0,0.0
55,أين تقع الغدة الزعترية؟,arabic,content,1.0,2.0,0,2.0,0.75,5,0.0,1.0
56,من هو مؤلف سلسلة حرب النجوم؟,arabic,content,1.2,3.0,0,0,0.6666666666666666,7,0,0.0
57,ماهي مساحة الـجمهورية البولندية؟,arabic,content,1.0,3.0,0,0,0.75,5,0,0.0
58,متى حصل ثيودور روزفلت على جائزة نوبل للسلام؟,arabic,content,1.625,3.0,0,3.0,0.4444444444444444,10,0.0,1.0
59,ما هو الجهاز الهضمي ؟ ما هي الديانة الصابئية؟,arabic,content,2.5714285714285716,2.0,0,0,0.5,10,0,0.0
60,ما لغة التعليم في السودان؟,arabic,content,1.5,3.0,0,0,0.6,6,0,0.0
61,متى تم انفصال سوريا و مصر ؟ من هو إسحق النينوي؟,arabic,content,2.4444444444444446,4.0,0,4.0,0.3,12,0.0,1.0
62,ما هي اكبر مدن أوزبكستان؟,arabic,content,1.25,3.0,0,0,0.6,6,0,0.0
63,متى توفي الامير محروت بن فهد ؟ متى تم تهجير يهود اليمن الى اسرائيل ؟ متى طردت إسبانيا الأندلس؟,arabic,content,2.5625,4.0,0,3.0,0.5882352941176471,20,0.0,3.0
64,ما هي عاصمة تيمور الشرقية؟,arabic,content,1.25,3.0,0,0,0.4,6,0,0.0
65,من مؤسس الكنيسة القبطية ؟ متى ولدة فراوكه بيتري ؟,arabic,content,2.142857142857143,3.0,0,0,0.5,10,0,0.0
66,تحت سيطرة من كانت الشام قبل دخول العرب المسلمين إليها؟,arabic,content,1.6,4.0,1.0,3.0,0.45454545454545453,12,100.0,1.0
67,متى ولد بيل غيتس؟,arabic,content,1.3333333333333333,2.0,0,2.0,0.25,5,0.0,1.0
68,"في أي عام تم إنتاج فيلم "" ستيب مام "" ؟ من مكتشف متلازمة الفم الجاف ؟ ما هو أقدم متحف في العالم ؟ متى تم اغتيال الصحفي والإعلامي السعودي جمال خاشقجي؟",arabic,content,3.4615384615384617,5.0,0,4.0,0.5925925925925926,33,0.0,2.0
69,ما هي مقدونيا القديمة ؟ من هو رئيس منظمة اليونسكو ؟ كم دام حكم عبد العزيز الأول ابن السلطان محمود الثاني؟,arabic,content,2.3333333333333335,5.0,0,2.0,0.47368421052631576,22,0,1.0
70,ما أول مؤلفات القاضي أبو بكر الباقلاني؟,arabic,content,1.5,6.0,0,0,0.42857142857142855,8,0,0.0
71,ماهو اسم أول صحيفة عربية؟,arabic,content,1.0,4.0,0,0,0.8,6,0,0.0
72,كم يوم يصوم المسلمون في رمضان؟,arabic,content,1.4,4.0,1.0,2.0,0.6666666666666666,7,100.0,1.0
73,متى حدثت فضيحة بنوك بنما عبر الويكيليكس؟,arabic,content,1.6666666666666667,3.0,0,3.0,0.5714285714285714,8,0.0,1.0
74,متى ولد ابن النفيس ؟ في أي عام صدرت رواية وداعا للسلاح للكاتب الأمريكي إرنست هيمنجواي؟,arabic,content,2.0,4.0,0,3.0,0.6875,18,0.0,2.0
75,لماذا يوجد الكثير من الترهيب في الدين الإسلامي؟,arabic,content,1.7142857142857142,3.0,0,3.0,0.625,9,0.0,1.0
76,اين يوجد متحف سفينة الفاسا؟,arabic,content,1.0,3.0,0,2.0,0.6,6,0.0,1.0
77,من هو منشئ المملكة المجرية ؟,arabic,content,1.25,2.0,0,0,0.6,6,0,0.0
78,كم تبلغ اقصى درجة حرارة في الصيف في الاردن؟,arabic,content,2.25,3.0,0,4.0,0.5555555555555556,10,0.0,1.0
79,كم إمتدت الحضارة الإغريقية القديمة؟,arabic,content,1.4,2.0,0,3.0,0.6666666666666666,7,0.0,1.0
80,في أي عام قام الفنان العالمي ياني بإنتاج أول حفلة موسيقية؟,arabic,content,1.5454545454545454,4.0,0,3.0,0.75,13,0.0,1.0
81,"كيف توفي الممثل الامريكي ""هيث ليدجر؟",arabic,content,1.6,3.0,0,2.0,0.5,8,0.0,1.0
82,أين يقع وادي مِنى؟,arabic,content,1.0,2.0,0,2.0,0.25,5,0.0,1.0
83,مدرسة طليطلة للمترجمين؟,arabic,content,1.5,1.0,0,0,0.6666666666666666,4,0,0.0
84,أين ولد نابليون بونابرت الأول ؟,arabic,content,1.5,2.0,0,3.0,0.4,6,0.0,1.0
85,كم بلغت أعداد المهاجرين الأفارقة عبر المغرب العربي إلى إسبانيا ؟ كم هو معدل عيش فرس النهر؟,arabic,content,3.0,4.0,0,6.0,0.5882352941176471,19,0.0,1.0
86,متى تأسس حزب الاستقلال الفلسطيني؟,arabic,content,1.25,2.0,0,2.0,0.8,6,0.0,1.0
87,كم متر يوجد في واحد كيلومتر ؟ متى وقعت حرب فيتنام ؟ متى تأسست الجمهورية المجرية السوفييتية؟,arabic,content,2.2857142857142856,3.0,0,2.6666666666666665,0.6,18,0.0,3.0
88,متى حدثة المحرقة ؟ ما هو اكبر ميناء بحري في تركيا؟,arabic,content,2.0,3.0,0,0,0.5,12,0,0.0
89,من هو الممثل الفائز بجائزة الاوسكار لدور رئيسي في 2016؟,arabic,content,1.8888888888888888,3.0,0,0,0.6,11,0,0.0
90,من أول الخلفاء الراشدين؟,arabic,content,1.0,2.0,0,0,0.75,5,0,0.0
91,في أية سورة توجد أية الكرسي؟,arabic,content,1.2,2.0,0,2.0,0.6666666666666666,7,0.0,1.0
92,من رئيس الولايات المتحدة الأميريكية الذي غزى العراق؟,arabic,content,1.7142857142857142,2.0,1.0,2.0,0.75,9,100.0,1.0
93,ماهي رائداة الشركة الأوروبية للصناعات الجوية في عام 2009 ؟ متي ولد المسيح أبن مريم؟,arabic,content,2.357142857142857,4.0,0,0,0.4666666666666667,17,0,0.0
94,أي معركة قادها موحا أوحمو الزياني التي أباد فيها الكثير من قوات الجيش الفرنسي؟,arabic,content,1.5333333333333334,7.0,1.0,2.5,0.4375,17,100.0,2.0
95,ماهى كيمياء الكم التقديرة ؟,arabic,content,1.3333333333333333,2.0,0,0,0.75,5,0,0.0
96,من قام بإجاد الجماهيرية العربية الليبية الشعبية الإشتراكية ؟ كم يبلغ عمر الديانة اليهودية ؟ من هي اقدم القبائل العربية؟,arabic,content,2.764705882352941,4.0,0,3.0,0.7777777777777778,21,0.0,2.0
97,كم عدد أعضاء مجلس الأمة الكويتي؟,arabic,content,1.2,4.0,0,0,0.8333333333333334,7,0,0.0
98,اين تقع جزر السيشل؟,arabic,content,1.0,2.0,0,2.0,0.75,5,0.0,1.0
99,متى تأسست شركة أتاري لإنتاج أجهزة الالعاب الإلكترونية؟,arabic,content,1.25,5.0,0,2.0,0.6666666666666666,10,0.0,1.0
100,متى تم اعدام عمر المختار ؟ متى تم إنشاء نظام تشغيل الأوبنتو التابع لي شركة لينيكس ؟ ما هي عاصمة مونتينيغرو ؟ متى إندلعت معركة مراوي ؟ كم بلغت الثروة الحيوانية للصومال في 1986؟,arabic,content,4.310344827586207,6.0,0,1.75,0.5,35,0.0,4.0
101,أين تقع جبال الألب؟,arabic,content,1.0,2.0,0,2.0,0.75,5,0.0,1.0
102,ماهى أعلى قمة لجبال الهيملايا ؟ كم عدد الدول التي شاركت في الحرب العالمية الثانية؟,arabic,content,1.6153846153846154,6.0,1.0,2.0,0.7142857142857143,16,100.0,1.0
103,متى هاجر الرسول محمد من مكة إلى المدينة ؟ ما هو مرض الكوليرا ؟ ما هي الوان علم البوسنة و الهرسك ؟ كيف يتم توليد الطاقة بالرياح ؟ ما هو الحثّ الكهرومغناطيسي ؟ كيف توفي مالكوم إكس؟,arabic,content,4.580645161290323,7.0,0,1.3333333333333333,0.53125,38,0.0,3.0
104,متى ولد أوتو إدوارد بسمارك ؟ ما معنى كلمة الهاجاناه بالعبرية؟,arabic,content,2.6,5.0,0,4.0,0.36363636363636365,13,0.0,1.0
105,متى استقلت لبنان ؟ ما هو الاكتشاف الذي نتج عنه اختراع القنبلة الذرية التي ألقيت على هيروشيما عام 1945؟,arabic,content,1.8333333333333333,7.0,1.0,3.3333333333333335,0.47368421052631576,21,66.66666666666667,3.0
106,ما هو الموطن الأصلي للنعامة؟,arabic,content,1.5,2.0,0,0,0.6,6,0,0.0
107,من هو أول نائب عربي في الكونغرس الأمريكي؟,arabic,content,1.5714285714285714,3.0,0,0,0.5,9,0,0.0
108,متى تولت أول إمرأة الرئاسة في دولة إفريقية؟,arabic,content,1.5714285714285714,3.0,0,3.0,0.75,9,0.0,1.0
109,كم عدد الطوائف في العراق ؟ من هو ياقوت الحموي؟,arabic,content,2.75,3.0,0,0,0.3333333333333333,11,0,0.0
110,في أي دولة تقع مدينة ميناب؟,arabic,content,1.2,2.0,0,2.0,0.6666666666666666,7,0.0,1.0
111,ما الدور الذي لعبه الإتحاد السوفياتي في الحرب العالمية الثانية؟,arabic,content,1.7,4.0,1.0,4.0,0.6363636363636364,12,100.0,1.0
112,ما اسم رئيس المكسيك لعام 2018 ؟ متى ولد الملك الناصر ناصر الدين محمد بن قلاوون ؟,arabic,content,2.2,4.0,0,2.0,0.4375,18,0,1.0
113,ماهى الطبقة المتأثرة بالبطالة التكنولوجية ؟,arabic,content,1.25,3.0,0,0,0.6,6,0,0.0
