unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
japanese_content_0,2018年アメリカで一番治安の悪い州はどこ,japanese,content,0.58,4.00,0.00,0.00,0.50,2.56,0.00,0.00
japanese_content_1,“ダン” ダニエル・ジャドソン・キャラハンの出身はどこ,japanese,content,0.70,2.00,0.00,0.00,0.50,2.56,0.00,0.00
japanese_content_2,シカゴ・ノースショアー・アンド・ミルウォーキー鉄道の最北端の駅は何？,japanese,content,0.96,3.00,0.00,0.00,0.53,2.83,0.00,0.00
japanese_content_3,位相空間論の提唱者は誰？,japanese,content,-0.39,3.00,0.00,0.00,0.62,2.30,0.00,0.00
japanese_content_4,コック・レーンの幽霊を初めて報道した新聞社は何？,japanese,content,-0.27,5.00,1.00,0.33,0.50,2.77,4.62,1.00
japanese_content_5,パトロンの起源はいつ,japanese,content,-0.46,3.00,0.00,0.00,0.40,1.79,0.00,0.00
japanese_content_6,一般社団法人日本産業カウンセラー協会の創始者はだれ,japanese,content,0.67,2.00,0.00,0.00,0.75,2.56,0.00,1.00
japanese_content_7,西村眞悟弁護士法違反事件で西村が受けた罰則は何？,japanese,content,0.84,4.00,1.00,0.33,0.69,2.89,4.62,1.00
japanese_content_8,ミンデン＝リュベッケ郡で最古の風車は何？,japanese,content,0.15,3.00,0.00,0.00,0.50,2.48,0.00,0.00
japanese_content_9,森上亜希子の出身はどこ,japanese,content,-0.13,2.00,0.00,0.00,0.57,2.08,0.00,0.00
japanese_content_10,相模原線が開通したのはいつ,japanese,content,0.41,3.00,1.00,0.50,0.33,2.30,4.62,1.00
japanese_content_11,ハイレ・ゲブレセラシェがマラソンデビューしたのはいつ,japanese,content,0.37,3.00,1.00,0.50,0.30,2.40,4.62,1.00
japanese_content_12,心は心臓にあると広く信じられていた理由は何,japanese,content,0.68,4.00,1.50,0.28,0.47,2.77,4.62,3.00
japanese_content_13,知的財産権が日本で認められたのはいつ？,japanese,content,0.37,4.00,1.00,0.67,0.38,2.71,4.62,1.00
japanese_content_14,サー・ジョン・ゴスの宗教は何？,japanese,content,0.04,3.00,0.00,0.00,0.44,2.40,0.00,0.00
japanese_content_15,日本でニュータウンの建設が始まったのはいつ？,japanese,content,0.34,4.00,1.00,0.67,0.36,2.56,4.62,1.00
japanese_content_16,海底ケーブルが初めて結ばれたのはどこ？,japanese,content,0.37,3.00,1.00,0.67,0.40,2.48,4.62,1.00
japanese_content_17,ロシア帝国の初代皇帝はだれ？,japanese,content,-0.46,2.00,0.00,0.00,0.57,2.20,0.00,0.00
japanese_content_18,初代ネルソン子爵ホレーショ・ネルソンの父親の職業は何,japanese,content,-0.06,4.00,0.00,0.00,0.55,2.48,0.00,0.00
japanese_content_19,パリ条約が結ばれたのはなぜ,japanese,content,0.37,3.00,1.00,0.50,0.50,2.40,4.62,1.00
japanese_content_20,白人至上主義を提唱したのは誰？,japanese,content,0.37,3.00,1.00,0.50,0.40,2.48,4.62,1.00
japanese_content_21,日本ボクシングコミッションが設立したのはいつ,japanese,content,0.37,3.00,1.00,0.50,0.40,2.40,4.62,1.00
japanese_content_22,イリオモテヤマネコが絶滅危惧種に認定されたのはいつ？,japanese,content,0.73,3.00,1.00,0.67,0.43,2.77,4.62,1.00
japanese_content_23,古代エジプトの初代王は誰？,japanese,content,-0.46,3.00,0.00,0.00,0.57,2.20,0.00,0.00
japanese_content_24,リチャード・ロジャースのデビュー作は何,japanese,content,-0.39,2.00,0.00,0.00,0.50,2.20,0.00,0.00
japanese_content_25,フェンダー社が設立されたのはいつ,japanese,content,0.81,3.00,1.00,0.50,0.30,2.40,4.62,1.00
japanese_content_26,映画の起源はいつ？,japanese,content,-0.56,3.00,0.00,0.00,0.33,1.95,0.00,0.00
japanese_content_27,水蒸気自動車が初めて開発されたのはいつ,japanese,content,0.70,3.00,1.00,0.67,0.46,2.64,4.62,1.00
japanese_content_28,日本で一番長く放送されたSFドラマは何？,japanese,content,0.04,4.00,1.00,0.33,0.50,2.64,4.62,1.00
japanese_content_29,スペースオペラの起源はいつ,japanese,content,-0.16,2.00,0.00,0.00,0.50,1.95,0.00,0.00
japanese_content_30,.44レミントン・マグナムを開発したのは誰,japanese,content,0.44,2.00,0.00,0.67,0.27,2.56,0.00,1.00
japanese_content_31,マーベル・コミックスのサイリーンの髪の色は何？,japanese,content,-0.06,4.00,0.00,0.00,0.45,2.56,0.00,0.00
japanese_content_32,フランスで最大多数を占める宗教は何？,japanese,content,-0.21,4.00,1.00,0.33,0.56,2.40,4.62,1.00
japanese_content_33,梅干しの発祥はどこ,japanese,content,-0.16,3.00,0.00,0.00,0.33,1.95,0.00,0.00
japanese_content_34,桂 銀淑のデビュー曲は何？,japanese,content,-0.39,3.00,0.00,0.00,0.62,2.30,0.00,0.00
japanese_content_35,ノヴィ・ベオグラードの主要産業は何？,japanese,content,-0.39,3.00,0.00,0.00,0.50,2.30,0.00,0.00
japanese_content_36,『ブリタニア列王史』の著者は誰？,japanese,content,-0.13,3.00,0.00,0.00,0.57,2.40,0.00,0.00
japanese_content_37,ベラクルス州の主要産業は何？,japanese,content,-0.46,3.00,0.00,0.00,0.57,2.20,0.00,0.00
japanese_content_38,スポーツにおけるドーピング検査が始まったのはいつ,japanese,content,0.13,5.00,1.00,0.25,0.42,2.56,4.62,2.00
japanese_content_39,ハンス＝ヨアヒム・ヴァルター・ルドルフ・ジークフリート・マルセイユが乗った戦闘機は何？,japanese,content,1.92,4.00,1.00,0.17,0.50,3.00,4.62,1.00
japanese_content_40,無性生殖をする最大の生物は何,japanese,content,-0.34,3.00,1.00,0.17,0.56,2.30,4.62,1.00
japanese_content_41,『マッシュ』で監督を務めたのは誰,japanese,content,0.54,2.00,0.00,0.83,0.33,2.48,0.00,1.00
japanese_content_42,バルトーク・ベーラの性別は何,japanese,content,-0.46,3.00,0.00,0.00,0.43,2.08,0.00,0.00
japanese_content_43,ポケモンGOを開発した会社は何？,japanese,content,-0.34,4.00,1.00,0.17,0.44,2.40,4.62,1.00
japanese_content_44,レオニード・イリイチ・ブレジネフの出身はどこ,japanese,content,0.04,3.00,0.00,0.00,0.44,2.30,0.00,0.00
japanese_content_45,日本で最大の古墳は何？,japanese,content,0.20,3.00,0.00,0.00,0.43,2.20,0.00,0.00
japanese_content_46,記録される中で日本最古の強盗事件は何？,japanese,content,0.22,3.00,1.00,0.00,0.50,2.64,4.62,1.00
japanese_content_47,伊集院光の出身はどこ,japanese,content,-0.56,3.00,0.00,0.00,0.50,1.95,0.00,0.00
japanese_content_48,エドガー・アラン・ポーの処女作は何？,japanese,content,0.04,3.00,0.00,0.00,0.50,2.48,0.00,0.00
japanese_content_49,『シチリアの晩鐘』が初めて演じられた場所はどこ,japanese,content,-0.06,5.00,1.00,0.33,0.45,2.64,4.62,1.00
japanese_content_50,『桜井一枝&井上雅雄のるんるん土曜リクエスト』のディレクターは誰？,japanese,content,0.65,4.00,1.00,0.00,0.57,2.89,4.62,1.00
japanese_content_51,ベドルジフ・スメタナの出身はどこ？,japanese,content,-0.46,3.00,0.00,0.00,0.43,2.20,0.00,0.00
japanese_content_52,記録されている最古の列車脱線事故は何？,japanese,content,0.49,4.00,1.00,0.08,0.50,2.64,4.62,2.00
japanese_content_53,リューリク朝フョードル1世の跡を継いだのは誰？,japanese,content,0.20,4.00,1.00,0.50,0.46,2.71,4.62,1.00
japanese_content_54,小林一三の出身はどこ,japanese,content,-0.16,2.00,0.00,0.00,0.50,1.95,0.00,0.00
japanese_content_55,キエフ大公国の初代皇帝は誰？,japanese,content,-0.39,3.00,0.00,0.00,0.62,2.30,0.00,0.00
japanese_content_56,細胞培養が初めて成功したのはいつ？,japanese,content,0.37,3.00,1.00,0.67,0.40,2.48,4.62,1.00
japanese_content_57,電子工学の先駆者は誰,japanese,content,-0.46,3.00,0.00,0.00,0.57,2.08,0.00,0.00
japanese_content_58,コロンバスは面積何㎢ですか？,japanese,content,-0.13,2.00,0.00,0.00,0.43,2.20,0.00,1.00
japanese_content_59,フルーツワインの発祥はどこ,japanese,content,-0.56,3.00,0.00,0.00,0.50,1.95,0.00,0.00
japanese_content_60,モンゴルが建国されたのはいつ,japanese,content,1.04,3.00,1.00,0.50,0.22,2.30,4.62,1.00
japanese_content_61,スティーブン・ケヴィン・バノンの出身はどこ,japanese,content,0.04,3.00,0.00,0.00,0.44,2.30,0.00,0.00
japanese_content_62,アルフォンソ8世の出身はどこ,japanese,content,-0.13,2.00,0.00,0.00,0.43,2.08,0.00,0.00
japanese_content_63,BTRONが開始したのはいつ？,japanese,content,0.61,3.00,1.00,0.50,0.25,2.30,4.62,1.00
japanese_content_64,うどんの消費量が一番多い県はどこ？,japanese,content,-0.41,5.00,0.00,0.00,0.60,2.48,0.00,0.00
japanese_content_65,ぶどうの生産量が一番多い国はどこ？,japanese,content,-0.41,5.00,0.00,0.00,0.60,2.48,0.00,0.00
japanese_content_66,第一次カッペル戦争でミルクスープを提供したのはどちら,japanese,content,0.57,3.00,1.00,0.67,0.43,2.71,4.62,1.00
japanese_content_67,カントリー・ミュージックの起源はいつ？,japanese,content,-0.54,3.00,0.00,0.00,0.38,2.20,0.00,0.00
japanese_content_68,日本最大の多目的ダムは何,japanese,content,-0.63,3.00,0.00,0.00,0.57,2.20,0.00,0.00
japanese_content_69,シネマライズで初めて公開された映画は何？,japanese,content,0.04,4.00,1.00,0.33,0.40,2.48,4.62,1.00
japanese_content_70,摂津国を築いたのは誰？,japanese,content,0.20,3.00,1.00,0.50,0.29,2.20,4.62,1.00
japanese_content_71,トリスタンダクーニャに初めて人が住み始めたのはいつ？,japanese,content,0.58,3.00,2.00,0.50,0.50,2.64,4.62,2.00
japanese_content_72,北海道が日本の一部になったのはいつ,japanese,content,0.94,3.00,1.00,0.67,0.36,2.48,4.62,1.00
japanese_content_73,ジョセフ・スティーヴ・サキックの引退後の職業は何,japanese,content,-0.06,4.00,0.00,0.00,0.50,2.56,0.00,0.00
japanese_content_74,雇用保険法が成立したのはいつ,japanese,content,0.41,3.00,1.00,0.50,0.33,2.30,4.62,1.00
japanese_content_75,名鉄1000系電車が初めて運用されたのはいつ,japanese,content,0.70,3.00,1.00,0.67,0.38,2.64,4.62,1.00
japanese_content_76,アルコール中毒が初めて診断されたのはいつ？,japanese,content,0.67,3.00,1.00,0.67,0.42,2.64,4.62,1.00
japanese_content_77,ディベートが日本の就職活動に導入されたのはいつ,japanese,content,0.88,4.00,1.00,0.67,0.36,2.71,4.62,1.00
japanese_content_78,『ポケットモンスター』がアニメ化され放送されたのはいつ,japanese,content,0.73,4.00,1.00,0.50,0.36,2.83,4.62,1.00
japanese_content_79,アーベル多様体を発見したのは誰,japanese,content,0.37,2.00,0.00,0.67,0.40,2.40,0.00,1.00
japanese_content_80,哲学の起源はいつ,japanese,content,-0.46,3.00,0.00,0.00,0.40,1.79,0.00,0.00
japanese_content_81,『ジョジョの奇妙な冒険』のジャンルは何,japanese,content,0.04,4.00,0.00,0.00,0.44,2.48,0.00,0.00
japanese_content_82,世界初の脳神経外科医は誰？,japanese,content,0.04,3.00,0.00,0.00,0.67,2.40,0.00,0.00
japanese_content_83,清水 宗徳の起こした事業は何？,japanese,content,-0.54,4.00,1.00,0.17,0.50,2.30,4.62,1.00
japanese_content_84,リチャード・レイヴァ・ラミレスの出身はどこ,japanese,content,0.04,3.00,0.00,0.00,0.44,2.30,0.00,0.00
japanese_content_85,FCA US LLCが初めて開発した製品は何？,japanese,content,-0.26,4.00,1.00,0.33,0.55,2.56,4.62,1.00
japanese_content_86,刑法における責任能力を判断するのは誰？,japanese,content,0.13,5.00,1.00,0.25,0.42,2.64,4.62,2.00
japanese_content_87,人類が貯金を始めたのはいつ,japanese,content,0.29,3.00,1.00,0.67,0.33,2.30,4.62,1.00
japanese_content_88,航空母艦 ホーネットが初めて用いられた戦闘は何？,japanese,content,-0.26,4.00,1.00,0.33,0.55,2.56,4.62,1.00
japanese_content_89,オートファジーを発見したのは誰,japanese,content,0.61,3.00,1.00,0.50,0.25,2.20,4.62,1.00
japanese_content_90,スズキの創始者は誰？,japanese,content,-0.36,3.00,0.00,0.00,0.50,2.08,0.00,0.00
japanese_content_91,『メイベリー110番』の監督は誰？,japanese,content,-0.13,3.00,0.00,0.00,0.43,2.40,0.00,0.00
japanese_content_92,プラスキ砦の戦いで南軍を指揮したのは誰？,japanese,content,0.29,4.00,1.00,0.67,0.38,2.71,4.62,1.00
japanese_content_93,議論学が誕生したのはいつ,japanese,content,0.41,3.00,1.00,0.50,0.33,2.30,4.62,1.00
japanese_content_94,日本の自衛隊の 軍艦旗のデザインは何,japanese,content,-0.36,4.00,0.00,0.00,0.55,2.48,0.00,0.00
japanese_content_95,フランソワ・アシル・バゼーヌの出身はどこ,japanese,content,0.04,3.00,0.00,0.00,0.44,2.30,0.00,0.00
japanese_content_96,「アフタヌーンショー」の初代司会者は誰？,japanese,content,0.04,3.00,0.00,0.00,0.62,2.48,0.00,0.00
japanese_content_97,エロ・グロ・ナンセンスという言葉を生んだのは誰？,japanese,content,0.19,5.00,1.00,0.25,0.43,2.77,4.62,2.00
japanese_content_98,アイザック・アシモフの処女作は何？,japanese,content,-0.39,3.00,0.00,0.00,0.50,2.30,0.00,0.00
japanese_content_99,ディヴィッド・マレルの出身はどこ,japanese,content,-0.46,3.00,0.00,0.00,0.43,2.08,0.00,0.00
japanese_content_100,「宇宙戦艦ヤマトシリーズ」の考案者は誰？,japanese,content,0.04,3.00,0.00,0.00,0.67,2.56,0.00,0.00
