unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
english_polar_0,Is Creole a pidgin of French?,english,polar,-0.22,2.00,0.00,0.00,0.50,2.08,0.00,1.00
english_polar_1,Does plastic decompose at all?,english,polar,-0.52,2.00,0.00,0.40,0.40,1.95,0.00,1.00
english_polar_2,Can you tour The Château de Brest?,english,polar,0.15,3.00,0.00,0.40,0.57,2.20,0.00,1.00
english_polar_3,Does Valdosta State have a lacrosse team?,english,polar,-0.19,2.00,0.00,0.40,0.71,2.20,0.00,1.00
english_polar_4,Was there a year 0?,english,polar,-0.52,2.00,0.00,0.40,0.40,1.95,0.00,1.00
english_polar_5,Can you prevent traumatic brain injury?,english,polar,-0.22,2.00,0.00,0.40,0.67,2.08,0.00,1.00
english_polar_6,Have the Colorado Rockies won a title?,english,polar,-0.19,2.00,0.00,0.40,0.57,2.20,0.00,1.00
english_polar_7,Does China own Singapore?,english,polar,-0.69,1.00,0.00,0.40,0.75,1.79,0.00,1.00
english_polar_8,Do The Rough Riders have a special patch?,english,polar,-0.02,2.00,0.00,0.40,0.62,2.30,0.00,1.00
english_polar_9,Are steam locomotives more powerful than diesel?,english,polar,-0.19,2.00,0.00,0.00,0.71,2.20,0.00,1.00
english_polar_10,Can the DC character Nightwing fly?,english,polar,0.18,2.00,0.00,0.20,0.67,2.08,0.00,1.00
english_polar_11,Did Camminetz hold an aristocratic position before being a military official?,english,polar,0.68,2.00,1.00,0.60,0.55,2.56,3.93,2.00
english_polar_12,Does Belgium have a mayor?,english,polar,-0.52,2.00,0.00,0.40,0.60,1.95,0.00,1.00
english_polar_13,Is the USS Hobson still in use?,english,polar,0.48,2.00,0.00,0.00,0.57,2.20,0.00,1.00
english_polar_14,Are wolves good pets?,english,polar,-0.02,1.00,0.00,0.00,0.75,1.79,0.00,1.00
english_polar_15,Are relics considered icons?,english,polar,-0.69,1.00,0.00,0.60,0.75,1.79,0.00,1.00
english_polar_16,Did Lindsay Wagner audition for her role in The Bionic Woman?,english,polar,0.18,3.00,0.00,0.40,0.55,2.56,0.00,1.00
