unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,question_type,complexity_score
ja_content_9,民間に運営を任せてはいかがでしょうか。,ja,-0.505,-0.39,1.0,0.8,0.4,0,1.305
ja_content_33,幸いなことに、ソニー・オーストラリアにいた誰かは、「おい、ところで、君たちはこれに気づいたかい？」という様子だった、とポールは言った。,ja,1.665,1.61,1.333,0.15,0.314,0,5.072
ja_polar_24,"きちんと説明し,堂々と市長として頑張ったらいいじゃないですか。",ja,0.655,-0.273,1.0,0.625,0.312,1,2.319
ja_polar_9,警察は摘発しないのか?,ja,-0.045,-1.273,0.0,0.75,0.286,1,-0.282
ja_polar_27,"彼が誠実であれ不誠実であれ,摂理を出た以上,摂理とからめる必要があるのでしょうか?",ja,0.561,1.727,1.0,0.4,0.522,1,4.21
ja_polar_35,未来の英雄?,ja,-0.712,-1.273,0.0,0.0,0.667,1,-1.318
ja_content_14,"なのに,どうして住民が説明会を拒否しているなんて建築指導課に報告するんですか?",ja,1.148,-0.39,1.0,0.667,0.4,0,2.825
ja_content_8,これ以上何を望むというのか?,ja,-0.769,-0.39,1.0,0.6,0.333,0,0.774
ja_content_16,日中間の首脳会談や、民間交流でも停止しているものがあるが、どう手をつけていくのか,ja,-0.354,3.61,1.0,0.4,0.538,0,5.194
ja_content_10,その審査ではどのような資料と基準で許可されたのでしょうか。,ja,0.136,0.61,1.0,0.8,0.278,0,2.824
ja_content_39,民間企業において宗教的信念に関する発言を妨げる危険のある制限は何であるか？,ja,-0.203,4.61,1.0,0.08,0.545,0,6.032
ja_polar_7,1議席で連立するか?,ja,-0.812,-1.273,0.0,0.5,0.333,1,-1.252
ja_polar_38,"特に個人ページに関して言えば,今後ユビキタス社会が進んでいけば,リアルの世界の行動タイムラインに集約されていくんじゃないでしょうか。",ja,0.97,0.727,1.25,0.542,0.5,1,3.989
ja_content_36,彼女の全エネルギーはどこから来ているのだろうか。もしくは、衝撃波を引き起こす力を以って打ちのめすことのできるあの声？,ja,0.717,1.61,1.0,0.267,0.464,0,4.058
ja_content_27,皆さんもインドアエンタメを楽しむ際のお供に、いかがですか?,ja,-0.179,1.61,1.0,0.2,0.6,0,3.231
ja_polar_51,すごくそういうところを引っかかる感じですか?,ja,-0.462,0.727,1.0,0.375,0.667,1,2.307
ja_polar_33,スポーツを頑張っている子供たちにランクをつけるような言動ができるのでしょうか?,ja,-0.434,2.727,1.0,0.438,0.474,1,4.205
ja_polar_41,もっと良く撮れた写真はなかったのか?,ja,-0.656,0.727,1.0,0.25,0.5,1,1.821
ja_polar_40,最高裁と大マスコミはネット表現の敵ですか?,ja,-0.484,-0.273,0.0,0.0,0.583,1,-0.174
ja_polar_58,企業経営者の、そして企業人一人ひとりの意識改革ではないだろうか。,ja,0.255,-1.273,0.0,0.0,0.5,1,-0.518
ja_polar_26,思わずつまんでみたくなるぷっくり出たおなか。,ja,0.01,-0.273,1.667,0.25,0.6,1,2.254
ja_polar_62,世界の最良の状態がもはや是認されていない時分に、彼らの聖職者たちは自身のマントに対して正しかったか？,ja,0.455,1.727,1.0,0.25,0.484,1,3.916
ja_content_24,霊はいつ肉体から離れていくのか?,ja,-0.06,-1.39,1.0,0.6,0.4,0,0.55
ja_polar_13,一点突破したものがあなたにあるか。,ja,0.188,-0.273,1.0,0.5,0.364,1,1.779
ja_content_35,また、オーストラリアの位置づけはどうなのか？,ja,-0.06,-0.39,0.0,0.0,0.4,0,-0.05
ja_polar_15,直径30cmはあるかな?,ja,-0.712,-1.273,0.0,0.75,0.429,1,-0.806
ja_polar_17,仕事では孤独、プライベートは意外と華やかということか。,ja,-0.045,0.727,1.0,0.0,0.538,1,2.22
ja_content_7,毎日のことですからなんとか解決していきたいと日々努力していらっしゃるのではないでしょうか。,ja,0.606,0.61,1.333,0.5,0.28,0,3.329
ja_polar_18,"宗教であるから,詐欺罪には当たらない?",ja,0.233,-0.273,1.0,0.25,0.5,1,1.71
ja_content_26,一連の事態をどのように理解すればいいのでしょうか。,ja,-0.24,-0.39,1.0,1.0,0.286,0,1.656
ja_polar_42,玉置氏は信者ではないのか?,ja,-0.087,-1.273,0.0,0.0,0.333,1,-1.027
ja_polar_52,"“鶴”は統一教会教祖・文鮮明の妻,韓鶴子が由来か。",ja,0.86,0.727,0.0,0.0,0.667,1,2.254
ja_content_31,文書をどのようにファイルするか。,ja,-0.537,-1.39,1.0,0.6,0.375,0,0.048
ja_polar_14,こんなことできない?,ja,-1.212,-1.273,0.0,0.25,0.5,1,-1.735
ja_content_2,"飲んで頭痛とか出たら,どうしたらいいんですか?",ja,-0.163,-0.39,2.0,0.467,0.357,0,2.271
ja_content_32,彼らは誰ですか。,ja,-0.994,-1.39,0.0,0.0,0.167,0,-2.217
ja_content_22,"自分たちの会員であるホメオパシー信者の活動の中で人が一人亡くなっているのに,“HOMOEOPATHYYES”とは,日本ホメオパシー医学協会は,いったい,どういう神経をしているのでしょうか。",ja,0.709,3.61,1.0,0.233,0.575,0,6.127
ja_polar_3,そうですか。,ja,-0.712,-2.273,0.0,0.0,0.333,1,-2.652
ja_polar_30,そんな夏にぴったり?,ja,-0.878,-1.273,0.0,0.0,0.5,1,-1.651
ja_polar_50,"抗議デモの継続を宣言した統一教会,日本でも韓国東亜日報の様に襲撃事件が起こる惧れはないのか?",ja,0.381,1.727,1.5,0.5,0.571,1,4.679
ja_content_11,このことに澤田氏はどう弁明するのだろうか?,ja,-0.394,-1.39,0.0,1.0,0.417,0,-0.367
ja_polar_16,知恵とアイディアを結集させたこの「推し面メーカー」は、最初から公開予定だったのだろうか。,ja,0.312,1.727,1.0,0.125,0.409,1,3.573
ja_polar_63,またはそれは高価な基準または前払関税なのか？,ja,0.711,-0.273,0.0,0.0,0.286,1,0.724
ja_polar_34,同日開会の都議会で、石原氏は施政方針演説に臨むが、一歩踏み込むか。,ja,0.01,0.727,1.0,0.875,0.632,1,3.244
ja_polar_37,ではJBSには“統一教会”との認識はあったということか?,ja,0.913,0.727,1.0,0.5,0.412,1,3.552
ja_content_21,具体的には、どのようなことが行われるのか。,ja,0.023,-0.39,1.0,0.8,0.308,0,1.741
ja_polar_8,"“シャクブくん”や“池田小作”にいたっては,別のカルト団体のネタではないでしょうか。",ja,0.42,-0.273,1.0,0.0,0.45,1,1.597
ja_content_5,ぜひ立ち寄ってみてはいかがでしょうか?,ja,-0.144,-0.39,1.0,0.4,0.444,0,1.31
