unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens
ko_polar_0,유리나 도자기 같은 것은 부분에 따라 온도 차가 심하면 곧 깨지지 않는가?,korean,polar,2.1818181818181817,4.0,0,3.0,0.6666666666666666,13
ko_polar_1,그것 때문에 배달원의 월급을 밀리게 하면 되겠느냐?,korean,polar,1.5,3.0,1.0,1.5,0.7142857142857143,8
ko_polar_2,여자가 두꺼운 안경을 쓰면 남보기에 좋겠니?,korean,polar,1.6,2.0,0,0,0.8333333333333334,7
ko_polar_3,자녀를 위해서 젖은 앞치마로 반평생을 사시지 않았느냐?,korean,polar,1.6666666666666667,2.0,1.0,1.5,0.7142857142857143,8
ko_polar_4,너희 집은 음식점이 아니잖니?,korean,polar,1.3333333333333333,2.0,0,2.0,0.75,5
ko_polar_5,네가 받을 때 기뻐하지 않았느냐?,korean,polar,1.0,3.0,1.0,1.0,0.6,6
ko_polar_6,기왕이면 다홍치마가 아니니?,korean,polar,1.5,1.0,0,0,1.0,4
ko_polar_7,그 마음의 자세가 예쁘지 않느냐?,korean,polar,1.0,3.0,0,0,0.6,6
ko_polar_8,하지만 구더기 무서워서 장 못 담그겠습니까?,korean,polar,2.4,2.0,0,4.0,0.6666666666666666,7
ko_polar_9,민주화를 열망하는 국민의 한 사람으로서 과연 이래도 괜찮겠습니까?,korean,polar,1.5714285714285714,4.0,1.0,1.0,0.875,9
ko_polar_10,정말 이래서 되겠습니까?,korean,polar,1.5,1.0,0,2.0,0.6666666666666666,4
ko_polar_11,우리 정부의 능력으로는 도저히 할 수 없는 일도 해낼 수 있다고 말도 안되는 헛소리를 하는 사람이 대통령이 돼서 되겠습니까?,korean,polar,1.8333333333333333,8.0,1.0,1.5,0.8947368421052632,20
ko_polar_12,개혁의 깃발 아래 모인 깨끗한 장관들의 재산목록이 복부인의 재산목록과 별로 다를 것이 없어서 되겠습니까?,korean,polar,1.5384615384615385,10.0,1.0,1.0,0.8571428571428571,15
ko_polar_13,우리나라 국회의원들이 이래서 되겠습니까?,korean,polar,1.0,3.0,0,1.0,0.75,5
ko_polar_14,수권정당임을 자부하는 제1야당이 이래서 되겠습니까?,korean,polar,1.0,4.0,1.0,1.0,0.6,6
ko_polar_15,타락한 선거에는 아예 참여조차 하지 않는 것이 옳은 일이겠습니까?,korean,polar,1.625,4.0,1.0,1.6666666666666667,0.8888888888888888,10
ko_polar_16,여러분은 지난 1년 동안 가난하고 헐벗고 굶주린 우리의 이웃에게 따뜻한 사랑을 나누어 주신 적이 있습니까?,korean,polar,3.2142857142857144,5.0,1.0,1.0,0.6666666666666666,16
ko_polar_17,우리 사회의 안녕과 질서를 지키기 위해서 부름을 받고 존재하야 하는 경찰이 이래서 되겠습니까?,korean,polar,1.5833333333333333,9.0,1.0,1.3333333333333333,0.5384615384615384,14
ko_polar_18,그렇다고 멀쩡한 아내와 어린 두 아들을 권총으로 쏴 죽인 후에 자살을 해야 직성이 풀린단 말입니까?,korean,polar,2.7142857142857144,7.0,1.0,2.3333333333333335,0.6666666666666666,16
ko_polar_19,이와 같이 오늘날 우리 주변에는 작은 것을 소홀히 여기고 작은 일에 충성하지 못하는 모습들이 곳곳에서 드러나고 있습니까?,korean,polar,3.75,5.0,1.0,2.3333333333333335,0.7058823529411765,18
ko_polar_20,정말 이래서 되겠습니까?,korean,polar,1.5,1.0,0,2.0,0.6666666666666666,4
ko_polar_21,도대체 이게 어찌된 일입니까?,korean,polar,1.3333333333333333,2.0,1.0,1.5,0.75,5
ko_polar_22,여러분이 지금까지 살아온 삶이 주는 자의 삶이었습니까?,korean,polar,1.5,3.0,1.0,1.3333333333333333,0.8571428571428571,8
ko_polar_23,받는 자의 삶이었습니까?,korean,polar,1.0,2.0,1.0,0.5,1.0,4
ko_polar_24,세계 각국이 간통죄를 없앤다고 우리마저 그래서 되겠습니까?,korean,polar,1.5,3.0,0,2.0,0.8571428571428571,8
