unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
ru_polar_0,"ветра, духа ли печного сумрак стоны растерял?",russian,polar,0.50,4.00,0.00,0.40,0.86,2.30,0.00,1.00
ru_polar_1,"Знаешь, милая, нельзя ли Воску ярого принесть Да про новые печали Года нового развесть?",russian,polar,0.53,6.00,1.00,0.40,0.79,2.89,3.93,4.00
ru_polar_2,"Ты помнишь ли, что я Еще живу в сем мире?",russian,polar,0.06,3.00,1.00,0.70,0.40,2.56,3.93,2.00
ru_polar_3,"Не сошлись во внешности, что ли?",russian,polar,-0.36,2.00,0.00,0.60,0.33,2.20,0.00,1.00
ru_polar_4,Не пора ли просыпаться господа?,russian,polar,-0.41,1.00,1.00,0.00,0.60,1.95,4.62,1.00
ru_polar_5,Есть ли крыша над головой?,russian,polar,-0.66,3.00,0.00,0.40,0.60,1.95,0.00,1.00
ru_polar_6,"""Пора!""— не с таким ли понуждением она когда-то исторгла его из собственного чрева?",russian,polar,0.75,4.00,0.00,1.00,0.46,2.94,0.00,1.00
ru_polar_7,"""От волка, что ли?""— Ирина округлила глаза.",russian,polar,0.17,2.00,0.00,0.40,0.57,2.64,0.00,1.00
ru_polar_8,"Уж не трусишка ли он, спросила она насмешливо, коли не хочет подождать ее десять минут на улице?",russian,polar,0.21,5.00,2.00,0.60,0.41,3.04,4.21,3.00
ru_polar_9,"Ведь ты уже взрослый, не так ли?""",russian,polar,-0.33,2.00,0.00,0.00,0.29,2.40,0.00,0.00
ru_polar_10,"Все, что осталось Петровичу,— это затверженные инструкции (спасут ли они его?) да одуряющий запах Генрихова одеколона, побившего напрочь Иринины и Катины духи.",russian,polar,0.45,7.00,1.00,0.28,0.64,3.43,4.62,5.00
ru_polar_11,"Ах, сей ли гроб твой взор мятет, Где ляжет токмо плоть и кровь?",russian,polar,0.17,5.00,1.00,0.50,0.54,2.83,3.93,2.00
ru_polar_12,Подскажите нужно ли обращаться за помощью?,russian,polar,-0.76,4.00,1.00,0.20,0.67,2.08,3.93,2.00
ru_polar_13,Как его поить и можно ли воду чем-то заменить или она обязательна в чистом виде?,russian,polar,-0.02,4.00,1.00,0.60,0.53,2.83,3.93,3.00
ru_polar_14,Стоит ли пытаться снова и снова давать ей эти молочные продукты и фрукты?,russian,polar,-0.16,5.00,2.00,0.40,0.62,2.71,4.21,3.00
ru_polar_15,И лечится ли это вообще?,russian,polar,-0.41,1.00,0.00,0.80,0.40,1.95,0.00,1.00
ru_polar_16,Отмечались ли случаи заражения бешенством от белки?,russian,polar,-0.66,4.00,0.00,0.40,0.71,2.20,0.00,1.00
ru_polar_17,"Скажите, до консультации с врачом, какими доступными средствами можно поддержать желудок и облегчить боли, можно ли есть заваренные овсяные хлопья?",russian,polar,0.20,5.00,1.50,0.34,0.75,3.22,4.33,7.00
ru_polar_18,Используете ли пустышку?,russian,polar,-0.66,1.00,0.00,0.40,0.67,1.61,0.00,1.00
