unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
finnish_polar_0,Tarvitaanko neutroneja radioaktiivisten aineiden valmistamiseen?,finnish,polar,-0.04,3.00,0.00,0.33,1.00,1.95,0.00,1.00
finnish_polar_1,Onko Kalervo Kummola toiminut kansanedustajana?,finnish,polar,-0.04,2.00,0.00,0.33,0.80,1.95,0.00,1.00
finnish_polar_2,Elääkö Yellowstonen kansallispuistossa susia?,finnish,polar,0.21,2.00,0.00,0.33,1.00,1.79,0.00,1.00
finnish_polar_3,Onko Marsissa happea?,finnish,polar,-0.79,1.00,0.00,0.00,0.67,1.61,0.00,0.00
finnish_polar_4,Oliko William,finnish,polar,-0.79,1.00,0.00,0.00,0.50,1.10,0.00,0.00
finnish_polar_5,Pitt menestynyt Britannian pääministeri?,finnish,polar,-0.45,2.00,1.00,0.17,1.00,1.79,4.62,1.00
finnish_polar_6,Onko elinkelpoisia kuita?,finnish,polar,-0.29,2.00,0.00,0.00,0.67,1.61,0.00,0.00
finnish_polar_7,Monenneksiko suurin maa Kiina on pinta-alaltaan?,finnish,polar,-0.59,4.00,0.00,0.00,0.83,2.08,0.00,1.00
finnish_polar_8,Oliko tyttöpop-ryhmä t.A.T.u. venäläinen?,finnish,polar,-0.12,1.00,0.00,0.00,0.75,1.95,0.00,0.00
finnish_polar_9,Onko merivesi aina suolaista?,finnish,polar,0.21,1.00,0.00,0.00,0.75,1.79,0.00,1.00
finnish_polar_10,Onko Eldorado oikea kaupunki?,finnish,polar,0.21,1.00,0.00,0.00,0.75,1.79,0.00,1.00
finnish_polar_11,Näytteleekö Winona Ryder Stranger Things jännityssarjassa?,finnish,polar,0.81,2.00,0.00,0.50,1.00,2.08,0.00,1.00
finnish_polar_12,Valloittiko Saksa koko Norjan vuonna 1940?,finnish,polar,0.21,2.00,0.00,0.50,0.83,2.08,0.00,1.00
finnish_polar_13,Ovatko pikkuruskosiipat erittäin uhanalaisia?,finnish,polar,0.21,1.00,0.00,0.00,0.75,1.79,0.00,1.00
finnish_polar_14,Onko Elafónisoksen saarella asutusta?,finnish,polar,-0.45,1.00,0.00,0.00,0.75,1.79,0.00,1.00
finnish_polar_15,Onko sopraano kaikista äänialoista korkein?,finnish,polar,0.46,2.00,0.00,0.00,0.60,1.95,0.00,1.00
finnish_polar_16,Oliko Gunnar Nordströmilla vaimoa?,finnish,polar,-0.45,1.00,0.00,0.00,0.75,1.79,0.00,0.00
finnish_polar_17,Perustuuko pokemon sarja mangaan?,finnish,polar,0.21,2.00,0.00,0.33,1.00,1.79,0.00,1.00
finnish_polar_18,Onko Tampereen linja-autoasemaa remontoitu?,finnish,polar,-0.12,2.00,0.00,0.33,0.75,1.79,0.00,1.00
finnish_polar_19,Onko Dima Bilan venäläinen?,finnish,polar,0.21,2.00,0.00,0.00,0.75,1.79,0.00,1.00
finnish_polar_20,Onko jumalana tunnettu Shiva ollut oikea henkilö?,finnish,polar,0.55,3.00,0.00,0.00,0.71,2.20,0.00,1.00
finnish_polar_21,Onko tunkioliero vaarallinen ihmiselle?,finnish,polar,-0.45,1.00,0.00,0.00,0.75,1.79,0.00,1.00
finnish_polar_22,Onko Seeley Booth erikoisagentti Bones -sarjassa?,finnish,polar,0.81,2.00,0.00,0.00,0.83,2.08,0.00,1.00
finnish_polar_23,Ovatko nokkasiilin piikit teräviä?,finnish,polar,-0.12,2.00,0.00,0.00,0.75,1.79,0.00,1.00
finnish_polar_24,Ovatko Japani ja Venäjä sotineet?,finnish,polar,0.71,3.00,0.00,0.17,0.60,1.95,0.00,1.00
finnish_polar_25,Onko Kolmisoppinen -järvellä saaria?,finnish,polar,-0.45,1.00,0.00,0.00,0.75,1.79,0.00,1.00
finnish_polar_26,Onko Käärmeimuri -romaani absurdi?,finnish,polar,0.21,1.00,0.00,0.00,0.75,1.79,0.00,1.00
finnish_polar_27,Onko Rachel Berry adoptoitu?,finnish,polar,0.21,2.00,0.00,0.33,0.75,1.79,0.00,1.00
finnish_polar_28,Onko Ídan luola yksi Kreetan merkittävimmistä luolapyhäköistä?,finnish,polar,-0.12,3.00,0.00,0.00,0.71,2.20,0.00,1.00
finnish_polar_29,Ovatko Resurrection Bandin jäsenet sukua toisilleen?,finnish,polar,0.01,3.00,0.00,0.00,0.67,2.08,0.00,1.00
finnish_polar_30,Oliko Martin Heidegger Hannah Arendtin opettajana?,finnish,polar,0.81,2.00,0.00,0.00,0.83,2.08,0.00,1.00
finnish_polar_31,Pystyykö banaanikärpänen talvehtimaan Suomessa?,finnish,polar,-0.45,2.00,1.00,0.25,1.00,1.79,3.93,2.00
finnish_polar_32,Monesko planeetta maa on auringosta?,finnish,polar,-0.04,1.00,0.00,0.00,0.60,1.95,0.00,1.00
finnish_polar_33,Voiko unilääkkeillä hoitaa unettomuutta?,finnish,polar,-0.45,1.00,0.00,0.33,0.75,1.79,0.00,1.00
finnish_polar_34,Voiko vesikauhua varten rokottaa?,finnish,polar,0.21,2.00,0.00,0.17,0.50,1.79,0.00,1.00
