unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
indonesian_polar_265,Apakah istilah Boys' Love hanya ditujukan pada wanita?,id,0.548,0.5,0.0,1.0,0.63,0.7,1,3.378
indonesian_content_1413,Kapan Uni Soviet memulai industri pembuatan nuklir ?,id,0.092,0.222,0.0,0.5,1.0,0.235,0,2.05
indonesian_content_9093,dimanakah Mojokerto ?,id,0.092,0.0,0.0,0.0,0.556,0.0,0,0.648
indonesian_content_4481,Siapakah tokoh villain dalam Harry Potter ?,id,0.092,0.222,0.0,0.0,0.429,0.235,0,0.978
indonesian_content_5762,Siapa penguasa pertama Mesopotamia?,id,0.061,0.111,0.0,0.0,0.667,0.059,0,0.898
indonesian_polar_29,Apakah lagenda Robin Hood berasal dari Nottingham?,id,0.337,0.5,0.0,0.75,0.583,0.5,1,2.671
indonesian_content_10900,Berapakah UMR Jakarta tahun 2018 ?,id,0.074,0.111,0.0,0.0,0.556,0.176,0,0.917
indonesian_content_5738,Kapan Kongres Fasis Internasional diadakan?,id,0.23,0.222,0.0,0.333,1.0,0.118,0,1.903
indonesian_content_7437,kapankah Deforestasi pertama kali terjadi di malaysia?,id,0.184,0.111,0.0,0.667,0.667,0.294,0,1.923
indonesian_polar_357,apakah mayoritas Iran adalah Syi'ah?,id,0.337,0.25,0.0,0.0,0.524,0.4,1,1.511
indonesian_polar_45,Apakah Islam Nusantara mempertimbangkan unsur budaya Indonesia dalam merumuskan fikih?,id,0.253,0.5,0.5,0.75,0.697,0.8,1,3.5
indonesian_polar_198,Adakah Flash disk termasuk teknologi Informasi?,id,0.197,0.5,0.5,0.5,0.762,0.4,1,2.859
indonesian_polar_411,Apakah kenosis terdapat di dalam alkitab?,id,0.267,0.25,0.0,0.75,0.286,0.4,1,1.953
indonesian_content_2606,Berapa populasi Roma tahun 2017?,id,0.046,0.111,0.0,0.0,0.733,0.118,0,1.008
indonesian_content_6050,siapakah pendiri merek ban dunlop?,id,0.037,0.333,0.0,0.0,0.556,0.176,0,1.102
indonesian_content_2532,Berapakah populasi penduduk Kampung Naga tahun 2010 ?,id,0.105,0.222,0.0,0.0,0.667,0.294,0,1.288
indonesian_content_4574,Kapan Determinisme biologis pertama diterapkan?,id,0.276,0.111,0.0,0.333,1.0,0.118,0,1.838
indonesian_content_3247,Apa yang dimaksud dengan Zaman Viking Eropa?,id,0.061,0.333,0.5,0.333,0.429,0.235,0,1.892
indonesian_content_2365,tahun berapakah Li Baoyu dilairkan?,id,0.295,0.111,0.0,0.5,0.778,0.176,0,1.86
indonesian_content_6782,Dimana letak daerah Jepara ?,id,0.0,0.222,0.0,0.0,0.667,0.059,0,0.948
indonesian_polar_224,apakah homoseksualitas di thailand di legalkan?,id,0.408,0.5,0.0,0.75,0.286,0.4,1,2.343
indonesian_content_5227,Dari mana kata gilda berasal ?,id,0.138,0.111,0.0,0.333,0.467,0.118,0,1.167
indonesian_polar_222,Apakah Seni Jaranan menggunakan musik latar?,id,0.197,0.25,0.0,0.75,0.762,0.4,1,2.359
indonesian_polar_231,apakah Indonesia terlibat dalam Perang Dunia II?,id,0.096,0.5,0.0,0.75,0.375,0.5,1,2.221
indonesian_polar_3,Apakah ular sanca termasuk hewan yang dilindungi?,id,0.217,0.5,0.5,0.5,0.583,0.5,1,2.8
indonesian_polar_146,apakah Minangkabau suku yang berasal dari Pulau Sumatra?,id,0.074,0.75,0.5,0.5,0.444,0.6,1,2.868
indonesian_polar_331,Apakah buah melinjo baik untuk kesehatan ?,id,0.197,0.25,0.0,1.0,0.524,0.4,1,2.371
indonesian_content_303,dimanakah Abdullah Said dilahirkan?,id,0.184,0.111,0.0,0.333,0.733,0.118,0,1.48
indonesian_content_1782,berapakah luas negara palestina di tahun 2009?,id,0.105,0.111,0.0,0.0,0.5,0.294,0,1.01
indonesian_content_4675,dimanakah Konstantinus Agung dilahirkan?,id,0.184,0.111,0.0,0.333,0.733,0.118,0,1.48
indonesian_polar_37,apakah Edmontosaurus pemakan tumbuhan?,id,0.021,0.25,0.0,0.0,0.667,0.2,1,1.138
indonesian_polar_111,Apakah pemerintah menyediakan pekerjaan bagi peserta transmigrasi di daerah tujuan ?,id,0.127,0.75,0.0,0.75,0.545,0.8,1,2.972
indonesian_content_10737,berapa lamakah Perjalanan Nabi Muhammad SAW ke Tai'f?,id,0.105,0.333,0.0,0.0,0.833,0.294,0,1.566
indonesian_content_386,Dimana kekaisaran Jepang dibentuk?,id,0.184,0.111,0.0,0.333,1.0,0.059,0,1.687
indonesian_content_11438,kapan teknologi nuklir pertama kali diciptakan?,id,0.258,0.111,0.0,0.5,1.0,0.176,0,2.045
indonesian_polar_58,apakah WWE sebuah pertunjukan Gulat?,id,0.084,0.25,0.0,0.0,0.444,0.3,1,1.079
indonesian_polar_232,apakah ada standar pisau yang di gunakan dalam seni Lempar pisau?,id,0.107,1.0,0.5,0.625,0.444,0.9,1,3.577
indonesian_polar_227,Apakah wabah demam Zika dapat menyebabkan kematian?,id,0.458,0.25,0.0,0.75,0.583,0.5,1,2.541
indonesian_content_1387,Bagaimanakah sistem pemerintahan di Lebanon ?,id,0.111,0.111,0.0,0.0,0.556,0.176,0,0.954
indonesian_polar_22,Apakah Enzim restriksi bersifat asam?,id,0.253,0.25,0.0,0.75,0.722,0.3,1,2.275
indonesian_content_9069,Siapa raja pertama Kekaisaran Persia?,id,0.046,0.222,0.0,0.0,0.733,0.118,0,1.119
indonesian_content_2384,Berapa luas provinsi Aceh?,id,0.0,0.111,0.0,0.0,1.0,0.059,0,1.17
indonesian_polar_135,apakah ada cacing pipih yang hidup di air?,id,0.127,0.75,0.5,0.5,0.444,0.6,1,2.921
indonesian_polar_426,Apakah kota Atambua masih ada?,id,0.422,0.25,0.0,0.75,0.722,0.3,1,2.444
indonesian_content_3778,Mengapa badan terasa sakit pada saat PMS?,id,0.092,0.111,0.0,0.667,0.81,0.235,0,1.915
indonesian_polar_369,Apakah Raymond IV pernah menikah?,id,0.422,0.25,0.0,0.75,0.444,0.3,1,2.166
indonesian_content_3689,Kapan Bandara Juanda dibangun ?,id,0.184,0.111,0.0,0.333,1.0,0.059,0,1.687
indonesian_content_3463,Berasal dari manakah grup musik Bee Gees?,id,0.132,0.222,0.0,0.333,0.5,0.294,0,1.481
indonesian_polar_278,apakah MSDM mencakup ilmu komunikasi?,id,0.084,0.25,0.0,0.75,0.722,0.3,1,2.107
indonesian_polar_238,apakah Mahabharata dari kepercayaan Hindu?,id,0.084,0.25,0.0,0.0,0.444,0.3,1,1.079
indonesian_content_99,Siapa pendiri Gereja Asiria Timur?,id,0.0,0.333,0.0,0.0,0.733,0.118,0,1.184
indonesian_content_8777,siapakah sutradara dari serial animasi Phineas dan Ferb?,id,0.069,0.556,0.0,0.0,0.407,0.353,0,1.385
