unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,lexical_density,n_tokens,question_type,complexity_score
en_polar_442,Can rabbits and chickens live together?,en,0.007,-0.034,0.0,0.667,2.079,1,2.719
en_polar_302,Do you have a tel # for Mike?,en,-0.479,-0.034,0.0,0.375,2.303,1,2.165
en_content_30,So does anyone know what the difference is?,en,-0.487,-0.199,1.0,0.375,2.303,0,2.992
en_polar_526,I personally provided the request on four separate occasions and they claim there is a glitch in their systems ?,en,0.14,1.966,1.0,0.474,3.045,1,6.625
en_content_19,Who is artist Gunther Uecker;explain?,en,0.056,-1.199,0.0,0.667,2.197,0,1.721
en_content_94,Can you recommend where these companies each fit within the new organization?,en,0.02,-0.199,1.0,0.5,2.639,0,3.96
en_polar_459,In the United States?,en,-0.193,-2.034,0.0,0.5,1.792,1,0.065
en_polar_472,and will these antibiotics help?,en,0.057,-1.034,0.0,0.4,1.946,1,1.369
en_polar_455,Royal Caribbean or Carnival cruise?,en,-0.443,-0.034,0.0,0.8,1.946,1,2.269
en_content_275,"My Snake's meal is TOO big, what can I do?",en,-0.244,-0.199,0.0,0.455,2.639,0,2.651
en_content_132,Which do you prefer?,en,-0.344,-2.199,0.0,0.25,1.792,0,-0.501
en_content_335,"After you are elected in 2004, what will your memoirs say about you, what will the title be, and what will the main theme say?",en,0.864,-0.199,1.0,0.28,3.401,0,5.346
en_content_3,why do you think i should get one of those?,en,-0.566,0.801,1.0,0.3,2.485,0,4.02
en_polar_73,surprise romantic cheap date night san francisco?,en,-0.36,-1.034,0.0,1.0,2.197,1,1.803
en_content_352,"Your father never listens to me, what can I say?",en,-0.122,-1.199,0.0,0.4,2.565,0,1.644
en_polar_401,And do you get charged for it?,en,-0.027,-1.034,0.0,0.143,2.197,1,1.279
en_polar_496,2. Have we kept up with partial water changes?,en,0.182,-1.034,0.0,0.444,2.485,1,2.077
en_content_37,what is a good slogan for an Argentinian restaurant?,en,-0.094,-0.199,0.0,0.444,2.398,0,2.549
en_polar_347,Is there any cure for mouse poison?,en,-0.36,-0.034,0.0,0.571,2.197,1,2.374
en_content_219,How do I take care of my newborn baby fish?,en,0.212,-1.199,0.0,0.6,2.485,0,2.098
en_polar_464,Should I just settle and book on line?,en,-0.622,-0.034,0.0,0.5,2.303,1,2.147
en_polar_341,my new OLYMPUS X940 DIGITAL CAMERA...?,en,0.807,-2.034,0.0,0.833,2.197,1,1.803
en_content_116,What about 7:00 at the office or breakfast meeting at 7:00?,en,-0.244,0.801,0.0,0.273,2.565,0,3.395
en_content_61,Where can I go on a first date (adults)?,en,0.406,-1.199,0.0,0.556,2.565,0,2.328
en_content_38,Which Compact System Camera Should I Get...?,en,-0.511,-0.199,0.0,0.571,2.303,0,2.164
en_content_8,What's going on with the UBS weather position?,en,0.156,-1.199,0.0,0.444,2.398,0,1.799
en_polar_84,Name of specific Hibachi restaurant in Chicago?,en,-0.027,-0.034,0.0,0.714,2.197,1,2.85
en_polar_453,"I've stayed in a more expensive hotel there, but you can check some travelguides or tripadvisor?",en,0.682,0.966,0.0,0.471,2.996,1,5.115
en_polar_478,Have I just fallen victim in a cultural trap?,en,0.057,-1.034,0.0,0.556,2.398,1,1.977
en_polar_481,*gasps* So I wouldn't make a good prostitute?,en,0.557,-1.034,0.0,0.556,2.565,1,2.644
en_polar_358,If you can?,en,-0.693,-2.034,0.0,0.0,1.609,1,-1.118
en_content_138,"Thinking about that, what's your title?",en,-0.344,-0.199,1.0,0.286,2.303,0,3.046
en_content_367,"What is the nearest National Park to Birmingham, UK?",en,-0.219,-0.199,0.0,0.556,2.485,0,2.623
en_polar_392,Do I need a protein skimmer or any other equipment?,en,-0.082,-0.034,0.0,0.5,2.485,1,2.869
en_content_395,whose better looking ?,en,-0.344,-2.199,0.0,0.5,1.792,0,-0.251
en_content_195,Blue Planet: Who's afraid of Big Bad Wolf?,en,-0.094,-0.199,0.0,0.667,2.485,0,2.859
en_polar_283,Do you think we need to do more?,en,-0.765,-0.034,2.0,0.5,2.303,1,4.004
en_content_14,Which wonderful contact of mine is thumbs upping all my best answers ^^?,en,0.073,-0.199,0.0,0.462,2.708,0,3.044
en_content_331,"Hmmm, she says, Then why are you calling here, we don't go past broad?",en,0.656,-0.199,0.0,0.467,2.996,0,3.92
