unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens
fi_content_0,Mitä minä puhun?,finnish,content,1.5,1.0,0,2.0,0.3333333333333333,4
fi_content_1,Mitä minä ihan oikeasti puhun?,finnish,content,2.25,2.0,0,3.0,0.6,6
fi_content_2,Mitä tästä sanoisi enää?,finnish,content,1.3333333333333333,1.0,0,3.0,0.5,5
fi_content_3,"- Opettaja, missä sä oikein olet töissä?",finnish,content,3.2,1.0,0,0,0.5,9
fi_content_4,Miksi talvella pitää käyttää koko ajan ihan tylsiä kenkiä?,finnish,content,2.0,3.0,0,4.0,0.8888888888888888,10
fi_content_5,"Mitä saadaan, kun purkitetaan sata naista?",finnish,content,1.6,3.0,1.0,2.0,0.5,8
fi_content_6,Miksi sitten takerrumme tavaroihin?,finnish,content,1.3333333333333333,1.0,0,3.0,1.0,5
fi_content_7,Mitä jos uudistuisimme kevään kynnyksellä juuri näin?,finnish,content,1.8333333333333333,2.0,0,4.0,0.7142857142857143,8
fi_content_8,Mikä seksuaalinen itsetunto?,finnish,content,1.5,1.0,0,0,0.6666666666666666,4
fi_content_9,Onko kenellekään tullut koskaan mieli kysyä itseltään ”Miksi minun pitäisi haluta seksiä?”,finnish,content,2.090909090909091,3.0,1.0,3.0,0.5833333333333334,15
fi_content_10,”Mitä minun tulisi tuntea seksin aikana?”,finnish,content,1.8,3.0,1.0,2.0,0.6666666666666666,9
fi_content_11,”Pitäisikö minun tietää mitä kumppani tuntee tai mitä hän haluaa?”,finnish,content,2.111111111111111,3.0,1.0,2.6666666666666665,0.4,13
fi_content_12,Miten sitten saavuttaisimme tämän seksuaalisen itseluottamuksen?,finnish,content,1.8,2.0,0,3.0,0.8333333333333334,7
fi_content_13,"Ovatko he niitä, jotka ottavat sen jonka saavat tai eivät ota ketään, kun eivät ole varmoja, kuka on se oikea, eivätkä osaa viestittää mitään oikein tai ollenkaan?",finnish,content,2.1538461538461537,8.0,1.25,2.0,0.3333333333333333,32
fi_content_14,Miksi emme pidä seksuaalielämäämme usein kovinkaan hyvänä?,finnish,content,1.8333333333333333,2.0,0,4.0,0.8571428571428571,8
fi_content_15,"Miksi emme hae itsellemme sitä nautintoa, jota kaipaamme?",finnish,content,1.7142857142857142,3.0,1.0,2.0,0.5,10
fi_content_16,"Miksi emme kehitä taitojamme seksin alueella, jotta pystyisimme tyydyttämään kumppanimme?",finnish,content,1.7777777777777777,3.0,2.0,2.0,0.8,12
fi_content_17,"Miksi tyydymme vähään ja odotamme, että se paranisi itsestään sitten joskus?",finnish,content,1.8,4.0,1.0,3.0,0.7272727272727273,13
fi_content_18,Miksi meidän pitäisi sitten osata olla niin vapaita seksuaalisesti?,finnish,content,2.125,2.0,1.0,4.0,0.6666666666666666,10
fi_content_19,Kuinka se on mahdollista?,finnish,content,2.0,1.0,0,0,0.5,5
fi_content_20,"En kuitenkaan ymmärrä, miksi joku ei maksaisi kymmentä tai viittä euroa kuussa järjettömän suuresta, mobiilista musiikkikirjastosta?",finnish,content,2.6666666666666665,5.0,1.0,3.0,0.625,19
fi_content_21,Kuinka paljon ihmiset oikeasti sitten olisivat valmiita maksamaan tästä huvista?,finnish,content,2.3333333333333335,3.0,1.0,2.0,0.8,11
fi_content_22,Ai miten kiersin bannit?,finnish,content,1.3333333333333333,1.0,0,3.0,0.75,5
fi_content_23,- ... Mutta miten ne ei ole vieläkään saanut rakennettua sitä Lepuskin tornia?,finnish,content,2.8,3.0,1.0,3.0,0.5454545454545454,14
fi_content_24,Nimittäin miksi olisin tästä toiselle naiselle tästä vihainen?,finnish,content,3.7142857142857144,2.0,0,0,0.5,9
fi_content_25,MIES: No miten siinä nyt pronssia varmasti muka saisi?,finnish,content,4.625,2.0,0,0.0,0.7777777777777778,11
fi_content_26,PIKKUVAIMO: Mitä sä naurat?,finnish,content,2.3333333333333335,2.0,0,2.0,0.5,6
fi_content_27,"Tämä setti toimi, sillä siinä vaiheessa kun avaimet oli vaihdettu, uskalsin jo kysyä, että ”mitä sä musta ajattelit, kun ekan kerran näit?”.",finnish,content,3.0476190476190474,6.0,3.0,3.0,0.5454545454545454,30
fi_content_28,Mikä on puheenjohtajavaltio Alankomaiden strategia?,finnish,content,1.75,3.0,0,0,0.6,6
fi_content_29,"Miksi ne valtiot, joiden oletetaan hyväksyneen direktiivit neuvostossa, ovat sitten kuitenkin vastahakoisia soveltamaan niitä?",finnish,content,3.230769230769231,4.0,1.5,1.6666666666666667,0.7142857142857143,17
fi_content_30,"Mitä tapahtuu, jos itäeurooppalaiset ja keskieurooppalaiset vallan keskukset kerran siirtyvät?",finnish,content,3.111111111111111,5.0,1.0,2.5,0.7,12
fi_content_31,Milloin ryhdymme neuvottelemaan siitä?,finnish,content,1.0,2.0,1.0,1.5,0.75,5
fi_content_32,Mitä teemme valmistellaksemme asiaa?,finnish,content,1.0,2.0,1.0,1.5,0.75,5
fi_content_33,Mitä teemme sen lisäksi antaaksemme Ukrainan osallistua Eurooppa-konferenssiin?,finnish,content,1.4285714285714286,3.0,2.0,2.0,0.625,9
fi_content_34,"Miten komissio suhtautuu siihen, mitkä ovat sen näkemykset asiasta?",finnish,content,1.625,3.0,0,4.0,0.5555555555555556,11
fi_content_35,"Voiko komissio selvittää, miten se valvoo tämän säädöksen täytäntöönpanon onnistumista?",finnish,content,1.8888888888888888,5.0,1.0,2.5,0.7,12
fi_content_36,"Miksi minun täytyi elää kylmyydessä, miksi minä en koskaan edes elänyt?",finnish,content,3.0,2.0,0,4.0,0.6363636363636364,13
fi_content_37,"Ei hän voi tietää, miten voisi, jos sinäkään et tiedä?",finnish,content,2.3333333333333335,3.0,1.0,2.0,0.3,13
fi_content_38,"Miksi katsoessani niitä, näen vain tyhjän lumisen jalkakäytävän, sen, jota pitkin sinä et saavu?",finnish,content,2.6153846153846154,5.0,1.0,2.0,0.5714285714285714,18
fi_content_39,"Miten hän osaisi kertoa, että sama kohina tuntui hänen suonissaan?",finnish,content,1.8888888888888888,4.0,2.0,2.3333333333333335,0.6,12
fi_content_40,"Miten hän selittäisi, että hengitti samaan tahtiin sen kanssa?",finnish,content,1.5,4.0,1.0,2.5,0.4444444444444444,11
fi_content_41,"Miten mies voisikaan tietää, ettei Pekulla enää edes ole puhelintaan?",finnish,content,2.3,2.0,0,3.0,0.6363636363636364,13
fi_content_42,"On vain yksi, miksi?",finnish,content,2.3333333333333335,2.0,0,2.0,0.75,6
fi_content_43,"Mitä sinulla nyt voisi hätänä olla, vakavasti, terveellä nuorella ihmisellä?",finnish,content,3.3333333333333335,2.0,0,0,0.6,13
fi_content_44,Miten sitä enää jaksaa?,finnish,content,2.0,1.0,0,3.0,1.0,5
fi_content_45,Kuka tätä ikinä näkee paitsi me?,finnish,content,1.8,2.0,0,4.0,0.3333333333333333,7
fi_content_46,"Miksi pitää kiinni kenestäkään, kun myöhemmin pakotetaan kuitenkin päästämään irti?",finnish,content,1.8888888888888888,3.0,2.0,3.0,0.8,12
fi_content_47,”Kuka muka pakottaa?,finnish,content,1.5,1.0,0,2.0,0.6666666666666666,5
fi_content_48,Miten joku voi täälläkin asua?,finnish,content,2.5,1.0,0,3.0,0.6,6
fi_content_49,"Tulipa tällänen väli stoori kirjotettua kesken matikan tunnin, kertokaa mitä ootte mieltä ja että pitäskö tälle seurata jatkoa? :DD",finnish,content,3.7777777777777777,4.0,1.0,2.6,0.631578947368421,21
fi_content_50,"Miten selität Espanjan kesäillan sille, joka ei sitä tiedä?",finnish,content,2.25,3.0,1.0,2.5,0.5555555555555556,11
fi_content_51,"""Kuinka voit tehdä meille näin kaiken yhdessä viettämämme ajan jälkeen?""",finnish,content,2.0,3.0,1.0,2.5,0.6,13
fi_content_52,"”Miksi Carla sitten sanoo, että se on maanpäällinen Helvetti?”",finnish,content,2.75,2.0,1.0,4.0,0.6666666666666666,13
fi_content_53,Mitä hän muka Luvatusta Maasta tietäisi?,finnish,content,2.8,2.0,1.0,2.0,0.6666666666666666,7
fi_content_54,"Miksi Jumalat olisivat sinne matkalla, ellei se olisi paratiisi?”",finnish,content,2.888888888888889,2.0,1.0,0,0.5,13
fi_content_55,"”Tietävätköhän Jumalat nyt, mitä ovat tekemässä?”",finnish,content,2.4,2.0,1.0,2.0,0.6666666666666666,10
fi_content_56,Tuntuu kuin matkalla olisi aikaa ajatella koko elämä; mitä minä teen jos saan sen kiinni ennen ulko-ovea?,finnish,content,2.1875,5.0,1.0,2.5,0.5882352941176471,19
fi_content_57,Mitä jos se alkaa kysymään enemmän tyttöystävästä jota minulla ei koskaan ollut?,finnish,content,1.7272727272727273,4.0,1.0,3.0,0.4166666666666667,13
fi_content_58,Mikä sen nimi olisi?,finnish,content,2.0,2.0,0,0,0.25,5
fi_content_59,Oliko hän varmasti tietoinen mitä teki?,finnish,content,1.8,2.0,1.0,1.0,0.5,7
fi_content_60,Miksi hän käveli taas?,finnish,content,1.3333333333333333,1.0,0,3.0,0.75,5
