unique_id,text,language,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
fi_polar_66,"Onko henkilöstä annettu etsintäkuulutus, koska hänellä on laiton ase?",fi,0.336,0.0,0.8,0.556,2.485,1,4.177
fi_polar_101,Olisiko se iltalenkin jälkeen peiton tuominen sohvalle yhdessä iltateen tai viinilasillisen kanssa?,fi,0.336,0.0,0.0,0.583,2.639,1,3.558
fi_content_67,Mitä muuta tänne ruotsinpuolelle kuuluu?,fi,-0.743,0.0,0.4,0.6,1.946,0,2.203
fi_polar_61,Onko enkeli tyttö vai poika?,fi,-0.664,0.0,0.0,0.6,1.946,1,1.882
fi_content_81,Missä laatikossa niiden papereiden piti olla?,fi,-0.743,0.0,0.0,0.333,2.079,0,1.669
fi_content_138,"Junan ovet piippaavat kuin aikapommi, tarkastaja on vihollinen Tikkurilassa, vaaraton Puistolassa, kuka tietää miksi?",fi,0.257,0.0,0.5,0.786,2.944,0,4.487
fi_polar_77,"”Kuulostaa kivalta, mutta eikö tuo ole aika kallista?”",fi,-0.664,0.0,0.4,0.5,2.565,1,2.801
fi_polar_104,"Juhlaseksiä, arkiseksiä - onko niillä eroa?",fi,-0.664,1.0,0.0,0.6,2.197,1,3.133
fi_polar_11,Sanoinko jo jotain tästä ravaamisesta? :D,fi,-0.664,0.0,0.8,0.5,2.079,1,2.715
fi_content_41,"Miten mies voisikaan tietää, ettei Pekulla enää edes ole puhelintaan?",fi,-0.743,0.0,0.6,0.636,2.639,0,3.132
fi_content_60,Miksi hän käveli taas?,fi,-1.743,0.0,0.6,0.75,1.792,0,1.399
fi_content_145,Miksi esitän näin paljon kysymyksiä nyt?,fi,0.257,0.0,0.6,1.0,2.079,0,3.936
fi_content_18,Miksi meidän pitäisi sitten osata olla niin vapaita seksuaalisesti?,fi,-0.743,1.0,0.8,0.667,2.398,0,4.122
fi_polar_117,"""Eikö sinustakin?"" kysyit kolme vuotta sitten.",fi,0.336,0.0,0.3,0.5,2.398,1,3.534
fi_content_28,Mikä on puheenjohtajavaltio Alankomaiden strategia?,fi,0.257,0.0,0.0,0.6,1.946,0,2.803
fi_polar_86,Söivätkö ritarit muuta kuin lihaa?,fi,0.336,0.0,0.4,0.6,1.946,1,3.282
fi_polar_84,"− Kokevatko kreikkalaiset, että isot EU-valtiot tulevat ja pakottavat heidät tekemään muutoksia?",fi,1.336,1.0,0.45,0.727,2.708,1,6.221
fi_content_99,"Ensinnäkin sen sijaan, että työntekijöitä komennettaisiin milloin mihinkin projektiin, saa usein kuulla kysymystä ”mitä haluaisit tehdä?”, ja työntekijän toiveita myös oikeasti kuunnellaan.",fi,2.257,1.0,0.533,0.727,3.401,0,7.918
fi_polar_102,"Olisiko se, että itse tulee sinne peiton alle, kainaloon, vain alusvaatteisillaan?",fi,1.336,1.0,0.5,0.727,2.773,1,6.336
