unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,question_type,complexity_score
indonesian_polar_265,Apakah istilah Boys' Love hanya ditujukan pada wanita?,id,0.709,0.518,0.0,1.0,0.778,1,3.005
indonesian_content_1413,Kapan Uni Soviet memulai industri pembuatan nuklir ?,id,-0.136,0.219,0.0,0.5,1.0,0,1.583
indonesian_content_9093,dimanakah Mojokerto ?,id,-0.136,-1.781,0.0,0.0,0.667,0,-1.25
indonesian_content_4481,Siapakah tokoh villain dalam Harry Potter ?,id,-0.136,0.219,0.0,0.0,0.571,0,0.654
indonesian_content_5762,Siapa penguasa pertama Mesopotamia?,id,-0.303,-0.781,0.0,0.0,0.75,0,-0.334
indonesian_polar_29,Apakah lagenda Robin Hood berasal dari Nottingham?,id,0.209,0.518,0.0,0.75,0.75,1,2.227
indonesian_content_10900,Berapakah UMR Jakarta tahun 2018 ?,id,-0.236,-0.781,0.0,0.0,0.667,0,-0.35
indonesian_content_5738,Kapan Kongres Fasis Internasional diadakan?,id,0.614,0.219,0.0,0.333,1.0,0,2.166
indonesian_content_7437,kapankah Deforestasi pertama kali terjadi di malaysia?,id,0.364,-0.781,0.0,0.667,0.75,0,1.0
indonesian_polar_357,apakah mayoritas Iran adalah Syi'ah?,id,0.209,-0.482,0.0,0.0,0.714,1,0.441
indonesian_polar_45,Apakah Islam Nusantara mempertimbangkan unsur budaya Indonesia dalam merumuskan fikih?,id,0.009,0.518,1.0,0.75,0.818,1,3.095
indonesian_polar_198,Adakah Flash disk termasuk teknologi Informasi?,id,-0.124,0.518,1.0,0.5,0.857,1,2.751
indonesian_polar_411,Apakah kenosis terdapat di dalam alkitab?,id,0.043,-0.482,0.0,0.75,0.571,1,0.882
indonesian_content_2606,Berapa populasi Roma tahun 2017?,id,-0.386,-0.781,0.0,0.0,0.8,0,-0.367
indonesian_content_6050,siapakah pendiri merek ban dunlop?,id,-0.436,1.219,0.0,0.0,0.667,0,1.45
indonesian_content_2532,Berapakah populasi penduduk Kampung Naga tahun 2010 ?,id,-0.065,0.219,0.0,0.0,0.75,0,0.904
indonesian_content_4574,Kapan Determinisme biologis pertama diterapkan?,id,0.864,-0.781,0.0,0.333,1.0,0,1.416
indonesian_content_3247,Apa yang dimaksud dengan Zaman Viking Eropa?,id,-0.303,1.219,1.0,0.333,0.571,0,2.82
indonesian_content_2365,tahun berapakah Li Baoyu dilairkan?,id,0.964,-0.781,0.0,0.5,0.833,0,1.516
indonesian_content_6782,Dimana letak daerah Jepara ?,id,-0.636,0.219,0.0,0.0,0.75,0,0.333
indonesian_polar_224,apakah homoseksualitas di thailand di legalkan?,id,0.376,0.518,0.0,0.75,0.571,1,2.215
indonesian_content_5227,Dari mana kata gilda berasal ?,id,0.114,-0.781,0.0,0.333,0.6,0,0.266
indonesian_polar_222,Apakah Seni Jaranan menggunakan musik latar?,id,-0.124,-0.482,0.0,0.75,0.857,1,1.001
indonesian_polar_231,apakah Indonesia terlibat dalam Perang Dunia II?,id,-0.362,0.518,0.0,0.75,0.625,1,1.531
indonesian_polar_3,Apakah ular sanca termasuk hewan yang dilindungi?,id,-0.076,0.518,1.0,0.5,0.75,1,2.692
indonesian_polar_146,apakah Minangkabau suku yang berasal dari Pulau Sumatra?,id,-0.416,1.518,1.0,0.5,0.667,1,3.269
indonesian_polar_331,Apakah buah melinjo baik untuk kesehatan ?,id,-0.124,-0.482,0.0,1.0,0.714,1,1.108
indonesian_content_303,dimanakah Abdullah Said dilahirkan?,id,0.364,-0.781,0.0,0.333,0.8,0,0.716
indonesian_content_1782,berapakah luas negara palestina di tahun 2009?,id,-0.065,-0.781,0.0,0.0,0.625,0,-0.221
indonesian_content_4675,dimanakah Konstantinus Agung dilahirkan?,id,0.364,-0.781,0.0,0.333,0.8,0,0.716
indonesian_polar_37,apakah Edmontosaurus pemakan tumbuhan?,id,-0.541,-0.482,0.0,0.0,0.8,1,-0.223
indonesian_polar_111,Apakah pemerintah menyediakan pekerjaan bagi peserta transmigrasi di daerah tujuan ?,id,-0.291,1.518,0.0,0.75,0.727,1,2.704
indonesian_content_10737,berapa lamakah Perjalanan Nabi Muhammad SAW ke Tai'f?,id,-0.065,1.219,0.0,0.0,0.875,0,2.029
indonesian_content_386,Dimana kekaisaran Jepang dibentuk?,id,0.364,-0.781,0.0,0.333,1.0,0,0.916
indonesian_content_11438,kapan teknologi nuklir pertama kali diciptakan?,id,0.764,-0.781,0.0,0.5,1.0,0,1.483
indonesian_polar_58,apakah WWE sebuah pertunjukan Gulat?,id,-0.391,-0.482,0.0,0.0,0.667,1,-0.206
indonesian_polar_232,apakah ada standar pisau yang di gunakan dalam seni Lempar pisau?,id,-0.336,2.518,1.0,0.625,0.667,1,4.474
indonesian_polar_227,Apakah wabah demam Zika dapat menyebabkan kematian?,id,0.495,-0.482,0.0,0.75,0.75,1,1.513
indonesian_content_1387,Bagaimanakah sistem pemerintahan di Lebanon ?,id,-0.036,-0.781,0.0,0.0,0.667,0,-0.15
indonesian_polar_22,Apakah Enzim restriksi bersifat asam?,id,0.009,-0.482,0.0,0.75,0.833,1,1.11
indonesian_content_9069,Siapa raja pertama Kekaisaran Persia?,id,-0.386,0.219,0.0,0.0,0.8,0,0.633
indonesian_content_2384,Berapa luas provinsi Aceh?,id,-0.636,-0.781,0.0,0.0,1.0,0,-0.417
indonesian_polar_135,apakah ada cacing pipih yang hidup di air?,id,-0.291,1.518,1.0,0.5,0.667,1,3.394
indonesian_polar_426,Apakah kota Atambua masih ada?,id,0.409,-0.482,0.0,0.75,0.833,1,1.51
indonesian_content_3778,Mengapa badan terasa sakit pada saat PMS?,id,-0.136,-0.781,0.0,0.667,0.857,0,0.607
indonesian_polar_369,Apakah Raymond IV pernah menikah?,id,0.409,-0.482,0.0,0.75,0.667,1,1.344
indonesian_content_3689,Kapan Bandara Juanda dibangun ?,id,0.364,-0.781,0.0,0.333,1.0,0,0.916
indonesian_content_3463,Berasal dari manakah grup musik Bee Gees?,id,0.078,0.219,0.0,0.333,0.625,0,1.255
indonesian_polar_278,apakah MSDM mencakup ilmu komunikasi?,id,-0.391,-0.482,0.0,0.75,0.833,1,0.71
indonesian_polar_238,apakah Mahabharata dari kepercayaan Hindu?,id,-0.391,-0.482,0.0,0.0,0.667,1,-0.206
indonesian_content_99,Siapa pendiri Gereja Asiria Timur?,id,-0.636,1.219,0.0,0.0,0.8,0,1.383
indonesian_content_8777,siapakah sutradara dari serial animasi Phineas dan Ferb?,id,-0.261,3.219,0.0,0.0,0.556,0,3.514
indonesian_polar_401,Apakah Learning Management System memerlukan jaringan internet?,id,0.209,-0.482,0.0,0.75,0.875,1,1.352
indonesian_content_8507,Ada berapa dewa yang dipercaya oleh masyrakat Hindu ?,id,-0.208,1.219,1.0,0.25,0.75,0,3.011
indonesian_content_9759,Berapa jenis Asteroid?,id,-0.636,-1.781,0.0,0.0,1.0,0,-1.417
indonesian_content_6925,siapakah karakter utama pada Naamkarann ?,id,-0.036,0.219,0.0,0.0,0.5,0,0.683
indonesian_content_10017,Kapan Adobe Illustrator dirilis?,id,0.364,-0.781,0.0,0.333,1.0,0,0.916
indonesian_polar_375,apakah ospek di indonesia pernah memakan korban?,id,0.495,0.518,0.0,1.0,0.75,1,2.763
indonesian_polar_33,apakah Teori modernisasi adalah teori dari Ilmu sosial?,id,0.084,-0.482,0.0,0.0,0.667,1,0.269
indonesian_content_3199,Dimanakah Formula Satu pertama diadakan ?,id,0.764,-0.781,0.0,0.333,0.667,0,0.983
indonesian_content_4795,berapakah luas Tivoli ?,id,-0.303,-0.781,0.0,0.0,0.75,0,-0.334
indonesian_content_1950,siapakah orang tua Saleh Partaonan Daulay?,id,-0.303,1.219,0.0,0.0,0.714,0,1.63
indonesian_polar_220,Apakah penyakit Herpes bisa disembuhkan ?,id,0.409,-0.482,0.0,0.5,0.667,1,1.094
indonesian_content_5027,Kapan musik pop-punk masuk ke Indonesia?,id,0.164,-0.781,0.0,0.5,0.833,0,0.716
indonesian_polar_108,Apakah internet sudah digunakan sebagai medium pembelajaran di sekolah dasar?,id,-0.091,0.518,0.0,0.75,0.636,1,1.813
indonesian_content_2516,Kapan agama kristen masuk ke kota Medan ?,id,0.03,-0.781,0.0,0.5,0.857,0,0.606
indonesian_polar_419,Apakah sampah yang tidak dikelola penyebab utama banjir?,id,-0.166,1.518,1.0,0.75,0.556,1,3.658
indonesian_content_11810,Berapa jumlah siswa SMK Negeri 1 Cikampek tahun pertama didirikan?,id,1.03,1.219,0.0,0.167,0.9,0,3.316
indonesian_content_7948,kapankah Serikat Yesus didirikan?,id,0.364,-0.781,0.0,0.333,0.8,0,0.716
indonesian_polar_210,Apakah Myanmar dulunya disebut Burma ?,id,0.209,0.518,0.0,0.75,0.714,1,2.191
indonesian_polar_422,apakah sastra Jawa Kuno ditulis menggunakan Sanskerta?,id,0.066,0.518,1.0,0.5,0.875,1,2.959
indonesian_content_7363,berapakah umur Konstantinus Agung saat dia meninggal?,id,0.221,-0.781,1.0,0.333,0.625,0,1.398
indonesian_content_4616,Berapakah suhu planet Mars ?,id,-0.386,-0.781,0.0,0.0,0.6,0,-0.567
