unique_id,text,language,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
en_polar_442,Can rabbits and chickens live together?,en,-0.034,0.0,0.333,0.667,2.079,1,3.045
en_polar_302,Do you have a tel # for Mike?,en,-0.034,0.0,0.333,0.375,2.303,1,2.977
en_content_30,So does anyone know what the difference is?,en,-0.199,1.0,0.5,0.375,2.303,0,3.979
en_polar_526,I personally provided the request on four separate occasions and they claim there is a glitch in their systems ?,en,1.966,1.0,0.556,0.474,3.045,1,7.041
en_content_19,Who is artist Gunther Uecker;explain?,en,-1.199,0.0,0.0,0.667,2.197,0,1.665
en_content_94,Can you recommend where these companies each fit within the new organization?,en,-0.199,1.0,0.5,0.5,2.639,0,4.44
en_polar_459,In the United States?,en,-2.034,0.0,0.0,0.5,1.792,1,0.258
en_polar_472,and will these antibiotics help?,en,-1.034,0.0,0.333,0.4,1.946,1,1.645
en_polar_455,Royal Caribbean or Carnival cruise?,en,-0.034,0.0,0.0,0.8,1.946,1,2.712
en_content_275,"My Snake's meal is TOO big, what can I do?",en,-0.199,0.0,0.333,0.455,2.639,0,3.228
en_content_132,Which do you prefer?,en,-2.199,0.0,0.333,0.25,1.792,0,0.176
en_content_335,"After you are elected in 2004, what will your memoirs say about you, what will the title be, and what will the main theme say?",en,-0.199,1.0,0.722,0.28,3.401,0,5.204
en_content_3,why do you think i should get one of those?,en,0.801,1.0,0.417,0.3,2.485,0,5.003
en_polar_73,surprise romantic cheap date night san francisco?,en,-1.034,0.0,0.0,1.0,2.197,1,2.163
en_content_352,"Your father never listens to me, what can I say?",en,-1.199,0.0,0.5,0.4,2.565,0,2.266
en_polar_401,And do you get charged for it?,en,-1.034,0.0,0.667,0.143,2.197,1,1.973
en_polar_496,2. Have we kept up with partial water changes?,en,-1.034,0.0,0.667,0.444,2.485,1,2.562
en_content_37,what is a good slogan for an Argentinian restaurant?,en,-0.199,0.0,0.0,0.444,2.398,0,2.643
en_polar_347,Is there any cure for mouse poison?,en,-0.034,0.0,0.333,0.571,2.197,1,3.067
en_content_219,How do I take care of my newborn baby fish?,en,-1.199,0.0,0.667,0.6,2.485,0,2.553
en_polar_464,Should I just settle and book on line?,en,-0.034,0.0,0.417,0.5,2.303,1,3.186
en_polar_341,my new OLYMPUS X940 DIGITAL CAMERA...?,en,-2.034,0.0,0.0,0.833,2.197,1,0.996
en_content_116,What about 7:00 at the office or breakfast meeting at 7:00?,en,0.801,0.0,0.0,0.273,2.565,0,3.639
en_content_61,Where can I go on a first date (adults)?,en,-1.199,0.0,0.667,0.556,2.565,0,2.589
en_content_38,Which Compact System Camera Should I Get...?,en,-0.199,0.0,0.333,0.571,2.303,0,3.008
en_content_8,What's going on with the UBS weather position?,en,-1.199,0.0,0.5,0.444,2.398,0,2.143
en_polar_84,Name of specific Hibachi restaurant in Chicago?,en,-0.034,0.0,0.0,0.714,2.197,1,2.877
en_polar_453,"I've stayed in a more expensive hotel there, but you can check some travelguides or tripadvisor?",en,0.966,0.0,0.583,0.471,2.996,1,5.016
en_polar_478,Have I just fallen victim in a cultural trap?,en,-1.034,0.0,0.667,0.556,2.398,1,2.587
en_polar_481,*gasps* So I wouldn't make a good prostitute?,en,-1.034,0.0,0.417,0.556,2.565,1,2.504
en_polar_358,If you can?,en,-2.034,0.0,0.0,0.0,1.609,1,-0.425
en_content_138,"Thinking about that, what's your title?",en,-0.199,1.0,0.167,0.286,2.303,0,3.557
en_content_367,"What is the nearest National Park to Birmingham, UK?",en,-0.199,0.0,0.0,0.556,2.485,0,2.842
en_polar_392,Do I need a protein skimmer or any other equipment?,en,-0.034,0.0,0.333,0.5,2.485,1,3.284
en_content_395,whose better looking ?,en,-2.199,0.0,0.0,0.5,1.792,0,0.093
en_content_195,Blue Planet: Who's afraid of Big Bad Wolf?,en,-0.199,0.0,0.0,0.667,2.485,0,2.953
en_polar_283,Do you think we need to do more?,en,-0.034,2.0,0.333,0.5,2.303,1,5.102
en_content_14,Which wonderful contact of mine is thumbs upping all my best answers ^^?,en,-0.199,0.0,0.667,0.462,2.708,0,3.638
en_content_331,"Hmmm, she says, Then why are you calling here, we don't go past broad?",en,-0.199,0.0,0.222,0.467,2.996,0,3.486
en_content_270,what are some unique customs in ireland?,en,-0.199,0.0,0.0,0.429,2.197,0,2.427
en_content_24,how do you mold silicone or rubber into a mermaid tail?,en,-0.199,0.0,0.667,0.545,2.565,0,3.578
en_content_305,When you feed him how many pinkies do you feed him?,en,-0.199,1.0,0.583,0.545,2.565,0,4.494
en_content_177,What are you doing to the least of the people?,en,-0.199,0.0,0.5,0.3,2.485,0,3.086
en_content_152,What do I need to do?,en,-1.199,1.0,0.333,0.333,2.079,0,2.546
en_polar_323,Has the disaster affected the way other countries view the US?,en,0.966,1.0,0.333,0.636,2.565,1,5.5
en_polar_497,3. Is there too much mineral in the water?,en,-0.034,0.0,0.5,0.556,2.485,1,3.507
en_content_358,Is this how your clients usually evaluate these properties?,en,-0.199,1.0,0.5,0.556,2.398,0,4.255
en_polar_96,That he didn’t show up for duty in Alabama?,en,-1.034,0.0,1.0,0.3,2.485,1,2.751
en_polar_278,Are we ready to execute?,en,-1.034,1.0,0.167,0.4,1.946,1,2.479
en_content_181,I say why not?,en,-1.199,0.0,0.333,0.5,1.792,0,1.426
en_content_251,What are good places to eat brunch at? ?,en,-1.199,1.0,0.5,0.5,2.398,0,3.199
en_content_300,I have tryed to give him water but he wont take it.. what should i do?,en,-1.199,1.0,0.542,0.294,2.996,0,3.633
en_polar_567,Have you had any knowledgement about pearl pigment.?,en,-0.034,0.0,0.333,0.5,2.303,1,3.102
en_polar_228,"With regard to our annual review of this list of laws we need to comply with, do we not want to add the Canadian provinces new ""eligible swap participant"" equivalant rules?",en,3.966,1.5,0.417,0.548,3.584,1,10.015
en_content_262,What could be the issue and can I try some home remedies first?,en,-0.199,0.0,0.667,0.385,2.708,0,3.561
en_polar_422,Please help with my cats bladder issue?,en,-0.034,0.0,0.333,0.5,2.303,1,3.102
en_polar_200,"Ben Taub hospital is located at 1504 Taub Loop, Houston, Texas, phone number: 713-793-2000.?",en,-0.034,0.0,0.667,0.714,2.996,1,4.343
en_polar_569,cos ill be going to baguio alone and i have tight?,en,-1.034,0.0,0.667,0.417,2.639,1,2.689
en_content_204,"We have the technology; if you are going to spend billions of dollars touting ""FREEDOM"" why not spend those billions making all of us free?",en,2.801,2.0,0.472,0.52,3.401,0,9.194
en_polar_370,The Canadian Regenesis actress Mayko Nguyen has Japanese connection or is it her fake name?,en,-0.034,0.0,0.5,0.667,2.833,1,3.966
en_polar_173,Are either of you familiar with this project?,en,-0.034,0.0,0.0,0.25,2.303,1,2.519
en_content_185,You who like the tough talk of Tough on Crime?,en,1.801,1.0,0.333,0.5,2.485,0,6.119
en_content_298,what are you having problems with?,en,-0.199,0.0,0.333,0.333,2.079,0,2.546
en_content_171,"Where is the ""simple"" explanation of the transportation piece?",en,-0.199,0.0,0.0,0.556,2.565,0,2.922
en_content_370,I have hundreds of VHS movies lying around... what should I do with them?,en,-0.199,1.0,0.389,0.5,2.833,0,4.523
en_polar_147,Is that Microwave that you gave Dan really expensive?,en,-0.034,1.0,0.5,0.556,2.398,1,4.42
en_polar_110,Does this reappropriation lead to or originate from the same place?,en,-1.034,0.0,0.5,0.455,2.565,1,2.486
en_content_310,What is the best time of year?,en,-0.199,0.0,0.0,0.429,2.197,0,2.427
en_polar_204,Just wanted to know were we stand on the ETA and PA for Argentina?,en,1.966,2.0,0.389,0.571,2.773,1,7.699
en_polar_463,Is there any tricks I could use?,en,-0.034,1.0,0.25,0.429,2.197,1,3.842
en_polar_474,Did your vet take radiographs (x-rays)?,en,-0.034,0.0,0.333,0.714,2.485,1,3.498
en_content_75,"so, enemy, what's your point?",en,-2.199,0.0,0.0,0.5,2.303,0,0.604
en_content_67,"""Can you name the general who is in charge of Pakistan?""",en,0.801,1.0,0.333,0.364,2.708,0,5.206
en_content_398,how can you get wifi anywhere 24/7 on your apple ipod 8gb?,en,-1.199,0.0,1.0,0.5,2.833,0,3.134
en_content_59,Which airlines should I look into and when should I buy my ticket?,en,-0.199,0.0,0.583,0.385,2.708,0,3.477
en_content_105,"Do we have a sense for how many we can reach, how many we can't and where they are?",en,1.801,1.0,0.583,0.4,3.135,0,6.919
