unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,n_tokens,question_type,complexity_score
ru_content_196,Как можно купить это?,ru,-1.045,-0.955,1.0,0.25,1.792,0,1.042
ru_content_478,Единственными насущными вопросами были: как противостоять влиянию ночи?,ru,-0.474,0.045,0.0,0.333,2.398,0,2.302
ru_polar_134,"Мне отправляют антидепрессант, будут ли в сдэк проверять содержимое?",ru,0.211,-0.603,0.0,0.6,2.485,1,2.693
ru_content_684,Что это и как от него избавиться?,ru,0.621,0.045,0.0,0.5,2.197,0,3.363
ru_polar_121,"В интернете это написано, но правда ли это?",ru,-0.021,-0.603,0.0,0.6,2.398,1,2.374
ru_polar_162,"Подскажите, у кошки болит лапа, хромает, есть ли на снимке отклонения?",ru,0.236,0.397,0.0,0.4,2.773,1,3.806
ru_content_621,Что помогло Гарри получить зелье Удачи?,ru,-0.845,0.045,1.0,0.333,2.079,0,2.612
ru_content_473,"Во время первого раза почти все даже взрослые женщины обычно не испытывают оргазм, что уж говорить о 13 летней?",ru,0.177,0.045,0.0,0.667,3.091,0,3.98
ru_content_162,А как же защита персональных данных?,ru,-0.645,0.045,0.0,0.0,2.079,0,1.479
ru_polar_188,И есть ли у вас знакомые?,ru,-0.164,-1.603,0.0,0.8,2.079,1,1.112
ru_polar_16,Отмечались ли случаи заражения бешенством от белки?,ru,-0.664,0.397,0.0,0.4,2.197,1,2.33
ru_polar_52,"Подскажите, будут ли проблемы с этим, или сейчас можно спокойно съездить туда-назад без всякий самоизоляций?",ru,0.236,0.397,1.0,0.533,3.045,1,5.211
ru_polar_59,"Могут ли у меня отобрать гражданство, если буду более года отсутвовать?",ru,0.836,-0.603,1.0,0.467,2.639,1,4.339
ru_content_377,И почему друзей разрешается иметь только до десяти тысяч включительно?,ru,0.066,0.045,1.0,0.417,2.485,0,4.013
ru_polar_136,"Если просто разбавить водой, останется ли цвет на одежде?",ru,-0.289,-1.603,1.0,0.7,2.485,1,2.293
ru_content_371,"Вот теперь, спустя ещё месяц стояния в шкафу, мне стало интересно: ""А что собственно за субстанция у меня поселилась?""",ru,0.955,2.045,0.0,0.5,3.258,0,6.758
