unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
english_polar_0,Is Creole a pidgin of French?,en,polar,-0.332,-0.529,0.0,0.0,0.5,2.079,0.0,-0.083,1
english_polar_1,Does plastic decompose at all?,en,polar,-0.632,-0.529,0.0,0.333,0.4,1.946,0.0,-0.083,1
english_polar_2,Can you tour The Château de Brest?,en,polar,0.035,0.471,0.0,0.333,0.571,2.197,0.0,-0.083,1
english_polar_3,Does Valdosta State have a lacrosse team?,en,polar,-0.299,-0.529,0.0,0.333,0.714,2.197,0.0,-0.083,1
english_polar_4,Was there a year 0?,en,polar,-0.632,-0.529,0.0,0.333,0.4,1.946,0.0,-0.083,1
english_polar_5,Can you prevent traumatic brain injury?,en,polar,-0.332,-0.529,0.0,0.333,0.667,2.079,0.0,-0.083,1
english_polar_6,Have the Colorado Rockies won a title?,en,polar,-0.299,-0.529,0.0,0.333,0.571,2.197,0.0,-0.083,1
english_polar_7,Does China own Singapore?,en,polar,-0.799,-1.529,0.0,0.333,0.75,1.792,0.0,-0.083,1
english_polar_8,Do The Rough Riders have a special patch?,en,polar,-0.132,-0.529,0.0,0.333,0.625,2.303,0.0,-0.083,1
english_polar_9,Are steam locomotives more powerful than diesel?,en,polar,-0.299,-0.529,0.0,0.0,0.714,2.197,0.0,-0.083,1
english_polar_10,Can the DC character Nightwing fly?,en,polar,0.068,-0.529,0.0,0.167,0.667,2.079,0.0,-0.083,1
english_polar_11,Did Camminetz hold an aristocratic position before being a military official?,en,polar,0.568,-0.529,1.0,0.5,0.545,2.565,3.932,0.917,1
english_polar_12,Does Belgium have a mayor?,en,polar,-0.632,-0.529,0.0,0.333,0.6,1.946,0.0,-0.083,1
english_polar_13,Is the USS Hobson still in use?,en,polar,0.368,-0.529,0.0,0.0,0.571,2.197,0.0,-0.083,1
english_polar_14,Are wolves good pets?,en,polar,-0.132,-1.529,0.0,0.0,0.75,1.792,0.0,-0.083,1
english_polar_15,Are relics considered icons?,en,polar,-0.799,-1.529,0.0,0.5,0.75,1.792,0.0,-0.083,1
english_polar_16,Did Lindsay Wagner audition for her role in The Bionic Woman?,en,polar,0.068,0.471,0.0,0.333,0.545,2.565,0.0,-0.083,1
english_polar_17,Do any of the developers from GTA V work on Red Dead Redemption?,en,polar,0.785,1.471,0.0,0.333,0.462,2.708,0.0,-0.083,1
english_polar_18,Did the Stackhouse books get made into a show?,en,polar,-0.007,-0.529,0.0,0.5,0.444,2.398,0.0,-0.083,1
english_polar_19,Are all the Clamp series connected?,en,polar,0.268,-0.529,0.0,0.333,0.5,2.079,0.0,-0.083,1
english_polar_20,Can you over-water a cactus?,en,polar,0.268,-0.529,0.0,0.5,0.5,2.197,0.0,-0.083,1
english_polar_21,Does Descent: FreeSpace – The Great War have a second game?,en,polar,1.201,-0.529,0.0,0.667,0.7,2.639,0.0,-0.083,1
english_polar_22,Is there a difference between personal and social identity?,en,polar,0.368,2.471,0.0,0.333,0.556,2.398,0.0,-0.083,1
english_polar_23,Does The Metropolitan Police Department have any awards?,en,polar,0.011,-0.529,0.0,0.333,0.625,2.303,0.0,-0.083,1
english_polar_24,Is there an evil spiderman?,en,polar,-0.132,-0.529,0.0,0.333,0.6,1.946,0.0,-0.083,1
english_polar_25,Is Abi Branning still a character on EastEnders?,en,polar,0.154,-0.529,0.0,0.0,0.625,2.303,0.0,-0.083,1
english_polar_26,Does the Audi S4 come with manual transmission option?,en,polar,-0.007,0.471,0.0,0.333,0.667,2.398,0.0,-0.083,1
english_polar_27,Is there a language other than Spanish spoken in Spain?,en,polar,-0.354,1.471,1.0,0.25,0.6,2.485,3.932,0.917,1
english_polar_28,Do the Taensa still exist?,en,polar,-0.132,-0.529,0.0,0.333,0.6,1.946,0.0,-0.083,1
english_polar_29,Are mules sterile?,en,polar,-0.632,-1.529,0.0,0.0,0.667,1.609,0.0,-0.083,1
english_polar_30,Do jelly fish have nervous systems?,en,polar,-0.532,-0.529,0.0,0.333,0.833,2.079,0.0,-0.083,1
english_polar_31,Does hemp contain THC?,en,polar,-0.799,-1.529,0.0,0.333,0.75,1.792,0.0,-0.083,1
english_polar_32,Is Canada part of the Common Wealth?,en,polar,0.035,-0.529,0.0,0.0,0.571,2.197,0.0,-0.083,1
english_polar_33,Did the Equal Pay Act pass?,en,polar,0.068,0.471,0.0,0.167,0.667,2.079,0.0,-0.083,1
english_polar_34,Is there a cure for agnosia?,en,polar,-0.532,0.471,0.0,0.333,0.5,2.079,0.0,-0.083,1
english_polar_35,Is Indonesia a democracy?,en,polar,-0.132,-1.529,0.0,0.0,0.5,1.792,0.0,-0.083,1
english_polar_36,Is general anaesthetic dangerous?,en,polar,-0.465,-0.529,0.0,0.0,0.75,1.792,0.0,-0.083,1
