unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
ar_content_0,ويعود الصائم، بعد افطاره الشهي، الى حيث تستقبله، في كل الفضائيات العربية، مشاهد المآسي التي تجري في فلسطين، والمجازر التي يرتكبها العدو الصهيوني ضد شعبنا العربي المسلم في هذه الارض العربية المغتصبة والمدماة... فماذا يفعل؟,arabic,content,3.4285714285714284,10.0,1.0,3.0,0.5348837209302325,52,100.0,5.0
ar_content_1,"فهلا اقلع المسلمون عن ""بدعة مآدب الافطار"" هذه، واكتفوا بالعادي من الافطار، ووفروا من اموالهم بعض الفرح للمليون جائع، في الضفة الغربية وغزة، أولئك الذين لم يعرفوا منذ اعوام للفرح طعما ولا للعيد بهجة؟",arabic,content,3.255813953488372,7.0,1.0,2.75,0.4318181818181818,51,100.0,4.0
ar_content_2,"و""الوفد"" تسأل الحكومة المصرية أين الحقيقة في هذه التصريحات المعلنة يوم 16/2 الحالي من جانب إسرائيل بشأن الغاز الطبيعي؟!",arabic,content,2.5238095238095237,8.0,0,3.0,0.6363636363636364,27,0,1.0
ar_content_3,فإذن أين يكمن الخلاف؟!,arabic,content,1.75,2.0,0,3.0,0.6,7,0,1.0
ar_content_4,"ألا يحق لأي فلسطيني أن يعرف الضمانات قبل أن يوافق على الهدنة، خاصة أن شارون يعلن مع بداية الحوار الفلسطيني ـ الفلسطيني في القاهرة أن إسرائيل ليست طرفاً في أي هدنة، وأن هذه الهدنة ""شأن فلسطيني داخلي""؟!",arabic,content,2.736842105263158,5.0,2.0,4.0,0.5897435897435898,46,80.0,5.0
ar_content_5,قبل الإقدام على خطوات يعلن ـ هو نفسه ـ أنها تتناقض تماماً مع قرارات الشرعية الدولية والمبدأ الذي انطلقت منه مسيرة مدريد؟,arabic,content,1.9130434782608696,6.0,1.0,3.3333333333333335,0.5,27,66.66666666666667,3.0
ar_content_6,حتى لا يعاني شعب مصر من تأخر وصول القمح الروماني إلى موانينا؟!,arabic,content,1.5833333333333333,4.0,0,4.0,0.6153846153846154,15,0.0,1.0
ar_content_7,ماذا لو تحقق ذلك؟..,arabic,content,1.0,2.0,1.0,1.0,0.25,7,100.0,1.0
ar_content_8,أليس هذا أفضل من أن نزرع القمح في رومانيا؟!,arabic,content,1.8888888888888888,3.0,1.0,4.0,0.3,12,50.0,2.0
ar_content_9,ما هي طبيعة المحكمة الخاصة التي شكلها مجلس الحكم لمحاكمة صدام حسين وأعضاء النظام السابق؟,arabic,content,1.411764705882353,9.0,1.0,3.0,0.5555555555555556,20,100.0,1.0
ar_content_10,إذن هي محكمة خاصة؟,arabic,content,1.3333333333333333,1.0,0,0,0.75,6,0,0.0
ar_content_11,ما هي التهم التي ستوجه إلى صدام حسين وأعضاء قيادته؟,arabic,content,1.6666666666666667,5.0,1.0,3.0,0.3076923076923077,15,100.0,1.0
ar_content_12,أين سيكون مقر المحكمة؟,arabic,content,1.25,2.0,0,2.0,0.6,7,0.0,1.0
ar_content_13,ـ لأسباب أمنية سيتم التكتم على موقعها حتى يعلن عنها؟,arabic,content,1.8333333333333333,3.0,1.0,3.0,0.46153846153846156,15,50.0,2.0
ar_content_14,ربما أم مؤكد؟,arabic,content,1.5,2.0,0,0,0.3333333333333333,5,0,0.0
ar_content_15,وهل ستكون المحكمة علنية؟,arabic,content,1.8,2.0,0,3.0,0.5,8,0,1.0
ar_content_16,متى سيحال صدام حسين وأعضاء نظامه إلى المحكمة؟,arabic,content,2.0,4.0,0,4.0,0.36363636363636365,13,0.0,1.0
ar_content_17,ما هي آلية إحالتهم إلى المحكمة؟,arabic,content,1.5,3.0,0,0,0.42857142857142855,9,0,0.0
ar_content_18,ماذا سيرتدي صدام حسين في المحكمة؟,arabic,content,1.8333333333333333,2.0,0,3.0,0.2857142857142857,9,0.0,1.0
ar_content_19,وفي السجن ماذا سيرتدي؟,arabic,content,2.4,3.0,0,2.0,0.3333333333333333,8,0,1.0
ar_content_20,تعني أنه لا يرتدي الملابس الخاصة بالسجن؟,arabic,content,2.0,4.0,1.0,2.5,0.5555555555555556,11,50.0,2.0
ar_content_21,ما هو الوقت الذي ستستغرقه هذه المحاكمات؟,arabic,content,1.75,3.0,1.0,3.0,0.3333333333333333,11,100.0,1.0
ar_content_22,كيف تنظر إلى صدام حسين؟,arabic,content,1.75,2.0,0,2.0,0.2,7,0.0,1.0
ar_content_23,بالرغم مما عاناه الشعب العراقي من نظامهم؟,arabic,content,1.8,3.0,1.0,3.0,0.45454545454545453,13,100.0,1.0
ar_content_24,ومتى سيتم تسليمهم إليكم؟,arabic,content,1.8571428571428572,3.0,0,3.0,0.25,10,0,1.0
ar_content_25,متى بدأت مهنتك كقاض؟,arabic,content,1.6,2.0,0,3.0,0.5,8,0.0,1.0
ar_content_26,"وماذا عن المكتبات؟. عن هذا السؤال اجاب ستيف ريجيو المسؤول عن مكتبة ""بارنيساندنوبل.كوم"" الاميركية على شبكة الانترنت بالقول ""خلال 20 عاما، ستدخل مكتبة ما وتلقم المؤلفات التى تريد على كتابك الالكتروني"".",arabic,content,2.7222222222222223,7.0,1.0,2.5,0.43243243243243246,46,100.0,4.0
ar_content_27,ماذا حصل في الحزب الديموقراطي التقدمي؟,arabic,content,1.4,2.0,0,2.0,0.6666666666666666,7,0.0,1.0
ar_content_28,لماذا لم تنطلق الحركة التجارية بعد؟,arabic,content,1.6,2.0,0,4.0,0.5,7,0.0,1.0
ar_content_29,فهل يستطيع شيراك اقناع بوش بضرورة التحرك وممارسة الضغوط المطلوبة، لكي توافق اسرائيل على تطبيق توصيات لجنة ميتشل الأميركية؟,arabic,content,1.6666666666666667,9.0,1.0,3.0,0.5909090909090909,24,100.0,2.0
ar_content_30,كيف يمكن الدولة ان تقيم حواراً انقاذيا تقريبا مع الدول والمؤسسات الغريبة، وهي لا تقيم حوار - الحد الادنى من التفاهم مع بعض القوى اللبنانية؟,arabic,content,2.88,6.0,1.0,3.6666666666666665,0.5769230769230769,29,66.66666666666667,3.0
ar_content_31,وكيف يمكنها ان تعزز الثقة بلبنان واوضاعه الاقتصادية، التي تستحق الدعم لانها تملك عناصر استعادة العافية والازدهار، وهي تقضي على آخر معالم الثقة بامكان التوصل داخليا الى ما يعيد توفير المنعة الى الوحدة الوطنية التي هي القاعدة الوحيدة للعافية والازدهار؟,arabic,content,2.56,15.0,1.25,2.3333333333333335,0.5686274509803921,54,100.0,6.0
