unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens
en_polar_0,Does anybody use it for anything else?,english,polar,1.5,2.0,0,3.0,0.2857142857142857,8
en_polar_1,Is that a money maker?,english,polar,2.5,1.0,0,0,0.4,6
en_polar_2,But will diplomacy work?,english,polar,2.0,1.0,0,2.0,0.5,5
en_polar_3,And can anyone use military pressure without proof?,english,polar,2.0,2.0,0,4.0,0.5,9
en_polar_4,Wtf is this?,english,polar,1.5,1.0,0,0,0.0,4
en_polar_5,"This is the organization that bombed our Marine barracks in 1983, took Americans hostage throughout the 80's and now they should be considered a legitimate organization?",english,polar,3.2,4.0,1.0,4.0,0.46153846153846156,28
en_polar_6,want to go to dinner with me before you have your 'matt time'?,english,polar,2.4166666666666665,4.0,2.0,2.6666666666666665,0.46153846153846156,16
en_polar_7,did you hook up with that blonde chick saturday night?,english,polar,2.5555555555555554,2.0,0,4.0,0.5,11
en_polar_8,are you lying?,english,polar,1.5,1.0,0,1.0,0.3333333333333333,4
en_polar_9,is it for guitar?,english,polar,2.0,1.0,0,0,0.25,5
en_polar_10,We have this report?,english,polar,1.3333333333333333,2.0,0,2.0,0.5,5
en_polar_11,Have you seen the materials from the press conference that he launched today?,english,polar,1.9166666666666667,4.0,1.0,2.5,0.46153846153846156,14
en_polar_12,Can you pass this along to Elizabeth to ensure Sanders is on board as well?,english,polar,2.142857142857143,4.0,2.0,3.5,0.5333333333333333,16
en_polar_13,By using collateral to pay these bills are we not keeping required levels available?,english,polar,2.3076923076923075,4.0,2.0,2.5,0.5714285714285714,15
en_polar_14,Are you free for lunch some day this week?,english,polar,1.75,3.0,0,0,0.4444444444444444,10
en_polar_15,"Also, I have an extra ticket for the Comets game on Sat. you said you wanted to go?",english,polar,2.411764705882353,4.0,2.0,2.25,0.5555555555555556,20
en_polar_16,Could one of you please email me a copy of the standard template you use for Enfolio gas purchase agreements?,english,polar,2.3684210526315788,6.0,1.0,3.0,0.45,21
en_polar_17,Today is good 12:30 ?,english,polar,1.3333333333333333,2.0,1.0,0,0.5,5
en_polar_18,Are you free for lunch some day this week?,english,polar,1.75,3.0,0,0,0.4444444444444444,10
en_polar_19,"Also, I have an extra ticket for the Comets game on Sat. you said you wanted to go?",english,polar,2.411764705882353,4.0,2.0,2.25,0.5555555555555556,20
en_polar_20,Today is good 12:30 ?,english,polar,1.3333333333333333,2.0,1.0,0,0.5,5
en_polar_21,I wish I had the capital to open my own shop?,english,polar,1.6,5.0,1.0,2.0,0.5454545454545454,12
en_polar_22,I'll ask around?,english,polar,1.3333333333333333,1.0,0,2.0,0.5,5
en_polar_23,you guys have any job opening for ex natural gas traders that made their now almost defunctc ompany over 40 million in the last two years?,english,polar,2.88,6.0,1.0,3.0,0.5769230769230769,27
en_polar_24,"Attached are clean and blacklined drafts of the Enron guaranties to be made in support of EPMI's obligations under the Indian Mesa II Renewable Energy Purchase Agreement (""PPA"") and Green Premium Sharing Agreement (""GSPA"").?",english,polar,3.176470588235294,7.0,1.0,2.3333333333333335,0.6285714285714286,44
en_polar_25,Do you have any current info on deal status?,english,polar,1.875,3.0,0,2.0,0.5555555555555556,10
en_polar_26,Are you going to be able to make the power VAR meeting on Thursday?,english,polar,1.8461538461538463,5.0,2.0,2.0,0.5,15
en_polar_27,Did you have a chance to take a look at the resume I sent you?,english,polar,1.5714285714285714,6.0,1.0,2.0,0.4,16
en_polar_28,Any feedback from Rick Buy?,english,polar,1.25,2.0,0,0,0.6,6
