unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,n_tokens,question_type,complexity_score
en_polar_442,Can rabbits and chickens live together?,en,0.007,-0.034,0.0,0.333,2.079,1,2.385
en_polar_302,Do you have a tel # for Mike?,en,-0.479,-0.034,0.0,0.333,2.303,1,2.123
en_content_376,What is the dress code for females at Del Frisco's Philadelphia?,en,-0.344,-0.199,0.0,0.0,2.639,0,2.096
en_polar_526,I personally provided the request on four separate occasions and they claim there is a glitch in their systems ?,en,0.14,1.966,1.0,0.556,3.045,1,6.707
en_content_165,How are you making out on the revised version of the LOC?,en,-0.162,-0.199,0.0,0.333,2.639,0,2.611
en_content_156,Have you decided who will be assisting tax-wise for these two countries?,en,0.239,-0.199,1.0,0.417,2.773,0,4.23
en_polar_459,In the United States?,en,-0.193,-2.034,0.0,0.0,1.792,1,-0.435
en_polar_472,and will these antibiotics help?,en,0.057,-1.034,0.0,0.333,1.946,1,1.302
en_polar_455,Royal Caribbean or Carnival cruise?,en,-0.443,-0.034,0.0,0.0,1.946,1,1.469
en_content_147,"What correlation are you assuming, 15% flat for twenty years?",en,-0.444,-0.199,0.0,0.5,2.639,0,2.496
en_content_116,What about 7:00 at the office or breakfast meeting at 7:00?,en,-0.244,0.801,0.0,0.0,2.565,0,3.122
en_content_208,"Besides from Pacquiao, what else is The Philipines famous for?",en,0.656,-1.199,0.0,0.0,2.565,0,2.022
en_content_253,What are some fun things I could do while in Japan?,en,-0.344,0.801,1.0,0.333,2.565,0,4.355
en_polar_73,surprise romantic cheap date night san francisco?,en,-0.36,-1.034,0.0,0.0,2.197,1,0.803
en_content_89,"If mistaken, how did those reports first come about?",en,0.406,-1.199,0.0,0.833,2.485,0,2.525
en_polar_401,And do you get charged for it?,en,-0.027,-1.034,0.0,0.667,2.197,1,1.803
en_polar_496,2. Have we kept up with partial water changes?,en,0.182,-1.034,0.0,0.667,2.485,1,2.3
en_content_154,What do you think?,en,-0.344,-2.199,0.0,0.333,1.792,0,-0.418
en_polar_347,Is there any cure for mouse poison?,en,-0.36,-0.034,0.0,0.333,2.197,1,2.136
en_content_358,Is this how your clients usually evaluate these properties?,en,-0.594,-0.199,1.0,0.5,2.398,0,3.105
en_polar_464,Should I just settle and book on line?,en,-0.622,-0.034,0.0,0.417,2.303,1,2.064
en_polar_341,my new OLYMPUS X940 DIGITAL CAMERA...?,en,0.807,-2.034,0.0,0.0,2.197,1,0.97
en_content_362,What influenced Picasso's cubism style of painting?,en,-0.487,-0.199,0.0,0.333,2.303,0,1.95
en_content_206,What manner of maniac would undertake such a dangerous course?,en,-0.233,-0.199,0.0,0.333,2.485,0,2.386
en_content_395,whose better looking ?,en,-0.344,-2.199,0.0,0.0,1.792,0,-0.751
en_content_348,What's going on dude?,en,-0.844,-2.199,0.0,0.5,1.946,0,-0.597
en_polar_84,Name of specific Hibachi restaurant in Chicago?,en,-0.027,-0.034,0.0,0.0,2.197,1,2.136
en_polar_453,"I've stayed in a more expensive hotel there, but you can check some travelguides or tripadvisor?",en,0.682,0.966,0.0,0.583,2.996,1,5.227
en_polar_478,Have I just fallen victim in a cultural trap?,en,0.057,-1.034,0.0,0.667,2.398,1,2.088
en_polar_481,*gasps* So I wouldn't make a good prostitute?,en,0.557,-1.034,0.0,0.417,2.565,1,2.505
en_polar_358,If you can?,en,-0.693,-2.034,0.0,0.0,1.609,1,-1.118
en_content_286,What countries are the best to travel to?,en,-0.915,-0.199,1.0,0.333,2.303,0,2.522
en_content_299,What to feed my dog after gastroenteritis?,en,-0.511,-1.199,0.0,0.667,2.197,0,1.154
en_polar_392,Do I need a protein skimmer or any other equipment?,en,-0.082,-0.034,0.0,0.333,2.485,1,2.702
en_content_24,how do you mold silicone or rubber into a mermaid tail?,en,-0.044,-0.199,0.0,0.667,2.565,0,2.989
en_content_295,How do I train him to feel comfortable in his crate?,en,-0.444,-0.199,1.0,0.583,2.565,0,3.505
en_polar_283,Do you think we need to do more?,en,-0.765,-0.034,2.0,0.333,2.303,1,3.837
