experiment_type,language,task,submetric,control_index,layer_index,metric,value
probe,ar,complexity,,,1,mse,0.0339929051697254
probe,ar,complexity,,mean_control,1,mse,0.07072425882021581
probe,ar,complexity,,,2,mse,0.0333805195987224
probe,ar,complexity,,mean_control,2,mse,0.0653669287761052
probe,ar,complexity,,,3,mse,0.0306976158171892
probe,ar,complexity,,mean_control,3,mse,0.06585095822811124
probe,ar,complexity,,,4,mse,0.0301980506628751
probe,ar,complexity,,mean_control,4,mse,0.06670870135227837
probe,ar,complexity,,,5,mse,0.0347760245203971
probe,ar,complexity,,mean_control,5,mse,0.0584786546727021
probe,ar,complexity,,,6,mse,0.0347245000302791
probe,ar,complexity,,mean_control,6,mse,0.05659847706556317
probe,ar,complexity,,,7,mse,0.0376363806426525
probe,ar,complexity,,mean_control,7,mse,0.05768291031320883
probe,ar,complexity,,,8,mse,0.0317660756409168
probe,ar,complexity,,mean_control,8,mse,0.05568142483631763
probe,ar,complexity,,,9,mse,0.0356102660298347
probe,ar,complexity,,mean_control,9,mse,0.059470634907484
probe,ar,complexity,,,10,mse,0.0420287624001503
probe,ar,complexity,,mean_control,10,mse,0.06522005548079803
probe,ar,complexity,,,11,mse,0.0406727008521556
probe,ar,complexity,,mean_control,11,mse,0.06118077412247653
probe,ar,complexity,,,12,mse,0.0573121793568134
probe,ar,complexity,,mean_control,12,mse,0.060830568273862164
probe,ar,question_type,,,1,accuracy,0.8571428571428571
probe,ar,question_type,,mean_control,1,accuracy,0.7142857142857143
probe,ar,question_type,,,2,accuracy,0.8571428571428571
probe,ar,question_type,,mean_control,2,accuracy,0.7142857142857143
probe,ar,question_type,,,3,accuracy,0.7662337662337663
probe,ar,question_type,,mean_control,3,accuracy,0.7142857142857143
probe,ar,question_type,,,4,accuracy,0.7792207792207793
probe,ar,question_type,,mean_control,4,accuracy,0.7142857142857143
probe,ar,question_type,,,5,accuracy,0.7272727272727273
probe,ar,question_type,,mean_control,5,accuracy,0.7142857142857143
probe,ar,question_type,,,6,accuracy,0.7662337662337663
probe,ar,question_type,,mean_control,6,accuracy,0.7142857142857143
probe,ar,question_type,,,7,accuracy,0.7662337662337663
probe,ar,question_type,,mean_control,7,accuracy,0.7142857142857143
probe,ar,question_type,,,8,accuracy,0.7662337662337663
probe,ar,question_type,,mean_control,8,accuracy,0.7142857142857143
probe,ar,question_type,,,9,accuracy,0.7792207792207793
probe,ar,question_type,,mean_control,9,accuracy,0.7142857142857143
probe,ar,question_type,,,10,accuracy,0.7142857142857143
probe,ar,question_type,,mean_control,10,accuracy,0.7142857142857143
probe,ar,question_type,,,11,accuracy,0.6753246753246753
probe,ar,question_type,,mean_control,11,accuracy,0.7142857142857143
probe,ar,question_type,,,12,accuracy,0.6233766233766234
probe,ar,question_type,,mean_control,12,accuracy,0.7142857142857143
probe,ar,single_submetric,avg_links_len,,1,mse,0.0541920587420463
probe,ar,single_submetric,avg_links_len,mean_control,1,mse,0.0751538028319676
probe,ar,single_submetric,avg_max_depth,,1,mse,0.0327126942574977
probe,ar,single_submetric,avg_max_depth,mean_control,1,mse,0.06132602070768667
probe,ar,single_submetric,avg_subordinate_chain_len,,1,mse,0.0736229494214057
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,1,mse,0.08436092734336849
probe,ar,single_submetric,avg_verb_edges,,1,mse,0.1025013029575347
probe,ar,single_submetric,avg_verb_edges,mean_control,1,mse,0.1327913552522659
probe,ar,single_submetric,lexical_density,,1,mse,0.0579299628734588
probe,ar,single_submetric,lexical_density,mean_control,1,mse,0.0638356059789657
probe,ar,single_submetric,n_tokens,,1,mse,0.0423019863665103
probe,ar,single_submetric,n_tokens,mean_control,1,mse,0.08845237642526622
probe,ar,single_submetric,avg_links_len,,2,mse,0.0596032403409481
probe,ar,single_submetric,avg_links_len,mean_control,2,mse,0.08854684482018145
probe,ar,single_submetric,avg_max_depth,,2,mse,0.0380634814500808
probe,ar,single_submetric,avg_max_depth,mean_control,2,mse,0.06372167915105813
probe,ar,single_submetric,avg_subordinate_chain_len,,2,mse,0.0786594524979591
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,2,mse,0.08812966694434476
probe,ar,single_submetric,avg_verb_edges,,2,mse,0.1162541508674621
probe,ar,single_submetric,avg_verb_edges,mean_control,2,mse,0.15052025516827897
probe,ar,single_submetric,lexical_density,,2,mse,0.0576712191104888
probe,ar,single_submetric,lexical_density,mean_control,2,mse,0.06014207378029816
probe,ar,single_submetric,n_tokens,,2,mse,0.0482051484286785
probe,ar,single_submetric,n_tokens,mean_control,2,mse,0.09151983509461083
probe,ar,single_submetric,avg_links_len,,3,mse,0.058368232101202
probe,ar,single_submetric,avg_links_len,mean_control,3,mse,0.08087161928415297
probe,ar,single_submetric,avg_max_depth,,3,mse,0.035520065575838
probe,ar,single_submetric,avg_max_depth,mean_control,3,mse,0.06176950782537457
probe,ar,single_submetric,avg_subordinate_chain_len,,3,mse,0.0795598626136779
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,3,mse,0.09149530033270514
probe,ar,single_submetric,avg_verb_edges,,3,mse,0.1182584762573242
probe,ar,single_submetric,avg_verb_edges,mean_control,3,mse,0.16428955396016431
probe,ar,single_submetric,lexical_density,,3,mse,0.0544430054724216
probe,ar,single_submetric,lexical_density,mean_control,3,mse,0.060674083729584966
probe,ar,single_submetric,n_tokens,,3,mse,0.044227086007595
probe,ar,single_submetric,n_tokens,mean_control,3,mse,0.08820208658774686
probe,ar,single_submetric,avg_links_len,,4,mse,0.0556356646120548
probe,ar,single_submetric,avg_links_len,mean_control,4,mse,0.07852695633967714
probe,ar,single_submetric,avg_max_depth,,4,mse,0.0318708792328834
probe,ar,single_submetric,avg_max_depth,mean_control,4,mse,0.062160231173038434
probe,ar,single_submetric,avg_subordinate_chain_len,,4,mse,0.0792729556560516
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,4,mse,0.0906597425540288
probe,ar,single_submetric,avg_verb_edges,,4,mse,0.1192727908492088
probe,ar,single_submetric,avg_verb_edges,mean_control,4,mse,0.17192519207795456
probe,ar,single_submetric,lexical_density,,4,mse,0.0602209530770778
probe,ar,single_submetric,lexical_density,mean_control,4,mse,0.0631613085667292
probe,ar,single_submetric,n_tokens,,4,mse,0.0369752086699008
probe,ar,single_submetric,n_tokens,mean_control,4,mse,0.0911248003443082
probe,ar,single_submetric,avg_links_len,,5,mse,0.0499861389398574
probe,ar,single_submetric,avg_links_len,mean_control,5,mse,0.0768873716394106
probe,ar,single_submetric,avg_max_depth,,5,mse,0.0314974449574947
probe,ar,single_submetric,avg_max_depth,mean_control,5,mse,0.055989727377891506
probe,ar,single_submetric,avg_subordinate_chain_len,,5,mse,0.0715144947171211
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,5,mse,0.08263070136308666
probe,ar,single_submetric,avg_verb_edges,,5,mse,0.1048231497406959
probe,ar,single_submetric,avg_verb_edges,mean_control,5,mse,0.15066429475943244
probe,ar,single_submetric,lexical_density,,5,mse,0.0648190528154373
probe,ar,single_submetric,lexical_density,mean_control,5,mse,0.06351942569017406
probe,ar,single_submetric,n_tokens,,5,mse,0.0388262346386909
probe,ar,single_submetric,n_tokens,mean_control,5,mse,0.08276853462060287
probe,ar,single_submetric,avg_links_len,,6,mse,0.0451874695718288
probe,ar,single_submetric,avg_links_len,mean_control,6,mse,0.0775142063697179
probe,ar,single_submetric,avg_max_depth,,6,mse,0.027670407667756
probe,ar,single_submetric,avg_max_depth,mean_control,6,mse,0.053246463338533966
probe,ar,single_submetric,avg_subordinate_chain_len,,6,mse,0.069061666727066
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,6,mse,0.07833705345789588
probe,ar,single_submetric,avg_verb_edges,,6,mse,0.108236014842987
probe,ar,single_submetric,avg_verb_edges,mean_control,6,mse,0.15115500489870703
probe,ar,single_submetric,lexical_density,,6,mse,0.0642499700188636
probe,ar,single_submetric,lexical_density,mean_control,6,mse,0.06302957112590467
probe,ar,single_submetric,n_tokens,,6,mse,0.0402470976114273
probe,ar,single_submetric,n_tokens,mean_control,6,mse,0.07990303883949913
probe,ar,single_submetric,avg_links_len,,7,mse,0.0497259311378002
probe,ar,single_submetric,avg_links_len,mean_control,7,mse,0.07325951009988783
probe,ar,single_submetric,avg_max_depth,,7,mse,0.034372866153717
probe,ar,single_submetric,avg_max_depth,mean_control,7,mse,0.05372617269555727
probe,ar,single_submetric,avg_subordinate_chain_len,,7,mse,0.071516640484333
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,7,mse,0.07798652847607927
probe,ar,single_submetric,avg_verb_edges,,7,mse,0.140143021941185
probe,ar,single_submetric,avg_verb_edges,mean_control,7,mse,0.14157925049463904
probe,ar,single_submetric,lexical_density,,7,mse,0.0569449514150619
probe,ar,single_submetric,lexical_density,mean_control,7,mse,0.06028753767410907
probe,ar,single_submetric,n_tokens,,7,mse,0.0479598566889762
probe,ar,single_submetric,n_tokens,mean_control,7,mse,0.07847718894481653
probe,ar,single_submetric,avg_links_len,,8,mse,0.0491503216326236
probe,ar,single_submetric,avg_links_len,mean_control,8,mse,0.07191319515307742
probe,ar,single_submetric,avg_max_depth,,8,mse,0.0326920375227928
probe,ar,single_submetric,avg_max_depth,mean_control,8,mse,0.058275710791349376
probe,ar,single_submetric,avg_subordinate_chain_len,,8,mse,0.0733271539211273
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,8,mse,0.0802803536256154
probe,ar,single_submetric,avg_verb_edges,,8,mse,0.1071120426058769
probe,ar,single_submetric,avg_verb_edges,mean_control,8,mse,0.1538916279872258
probe,ar,single_submetric,lexical_density,,8,mse,0.0610712021589279
probe,ar,single_submetric,lexical_density,mean_control,8,mse,0.06315421809752776
probe,ar,single_submetric,n_tokens,,8,mse,0.0420018248260021
probe,ar,single_submetric,n_tokens,mean_control,8,mse,0.07823997239271796
probe,ar,single_submetric,avg_links_len,,9,mse,0.0542670227587223
probe,ar,single_submetric,avg_links_len,mean_control,9,mse,0.07461280127366383
probe,ar,single_submetric,avg_max_depth,,9,mse,0.0390464551746845
probe,ar,single_submetric,avg_max_depth,mean_control,9,mse,0.05627502997716263
probe,ar,single_submetric,avg_subordinate_chain_len,,9,mse,0.074073925614357
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,9,mse,0.08231069147586821
probe,ar,single_submetric,avg_verb_edges,,9,mse,0.1125178486108779
probe,ar,single_submetric,avg_verb_edges,mean_control,9,mse,0.15782800316810605
probe,ar,single_submetric,lexical_density,,9,mse,0.0569748431444168
probe,ar,single_submetric,lexical_density,mean_control,9,mse,0.05909477670987443
probe,ar,single_submetric,n_tokens,,9,mse,0.049804713577032
probe,ar,single_submetric,n_tokens,mean_control,9,mse,0.0806017393867174
probe,ar,single_submetric,avg_links_len,,10,mse,0.0550507940351963
probe,ar,single_submetric,avg_links_len,mean_control,10,mse,0.09617079049348827
probe,ar,single_submetric,avg_max_depth,,10,mse,0.0369412451982498
probe,ar,single_submetric,avg_max_depth,mean_control,10,mse,0.05786412954330441
probe,ar,single_submetric,avg_subordinate_chain_len,,10,mse,0.0745473429560661
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,10,mse,0.08477035661538436
probe,ar,single_submetric,avg_verb_edges,,10,mse,0.1084993034601211
probe,ar,single_submetric,avg_verb_edges,mean_control,10,mse,0.15381086369355518
probe,ar,single_submetric,lexical_density,,10,mse,0.0602357313036918
probe,ar,single_submetric,lexical_density,mean_control,10,mse,0.061252895742654766
probe,ar,single_submetric,n_tokens,,10,mse,0.0518261343240737
probe,ar,single_submetric,n_tokens,mean_control,10,mse,0.08246036867300667
probe,ar,single_submetric,avg_links_len,,11,mse,0.0566312372684478
probe,ar,single_submetric,avg_links_len,mean_control,11,mse,0.08788116276264184
probe,ar,single_submetric,avg_max_depth,,11,mse,0.0391818471252918
probe,ar,single_submetric,avg_max_depth,mean_control,11,mse,0.06338227167725557
probe,ar,single_submetric,avg_subordinate_chain_len,,11,mse,0.0799664482474327
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,11,mse,0.08978065848350521
probe,ar,single_submetric,avg_verb_edges,,11,mse,0.108644351363182
probe,ar,single_submetric,avg_verb_edges,mean_control,11,mse,0.1537712564071019
probe,ar,single_submetric,lexical_density,,11,mse,0.0598114505410194
probe,ar,single_submetric,lexical_density,mean_control,11,mse,0.06141820674141241
probe,ar,single_submetric,n_tokens,,11,mse,0.0548338703811168
probe,ar,single_submetric,n_tokens,mean_control,11,mse,0.10493126263221099
probe,ar,single_submetric,avg_links_len,,12,mse,0.0725904628634452
probe,ar,single_submetric,avg_links_len,mean_control,12,mse,0.06408392886320746
probe,ar,single_submetric,avg_max_depth,,12,mse,0.0533448942005634
probe,ar,single_submetric,avg_max_depth,mean_control,12,mse,0.056076463311910574
probe,ar,single_submetric,avg_subordinate_chain_len,,12,mse,0.0796591192483902
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,12,mse,0.07677307724952694
probe,ar,single_submetric,avg_verb_edges,,12,mse,0.1112304404377937
probe,ar,single_submetric,avg_verb_edges,mean_control,12,mse,0.11910620828469594
probe,ar,single_submetric,lexical_density,,12,mse,0.0570369139313697
probe,ar,single_submetric,lexical_density,mean_control,12,mse,0.06019173686703041
probe,ar,single_submetric,n_tokens,,12,mse,0.0787296742200851
probe,ar,single_submetric,n_tokens,mean_control,12,mse,0.0796923960248629
probe,en,complexity,,,1,mse,0.0165211483836174
probe,en,complexity,,mean_control,1,mse,0.04811714837948477
probe,en,complexity,,,2,mse,0.0181737840175628
probe,en,complexity,,mean_control,2,mse,0.04696744928757343
probe,en,complexity,,,3,mse,0.0223008263856172
probe,en,complexity,,mean_control,3,mse,0.04948123668630917
probe,en,complexity,,,4,mse,0.0203608497977256
probe,en,complexity,,mean_control,4,mse,0.0491721282402674
probe,en,complexity,,,5,mse,0.0199049226939678
probe,en,complexity,,mean_control,5,mse,0.04549311349789297
probe,en,complexity,,,6,mse,0.0172489937394857
probe,en,complexity,,mean_control,6,mse,0.04547428215543423
probe,en,complexity,,,7,mse,0.032355424016714
probe,en,complexity,,mean_control,7,mse,0.04388802374402676
probe,en,complexity,,,8,mse,0.0196378510445356
probe,en,complexity,,mean_control,8,mse,0.04340375587344167
probe,en,complexity,,,9,mse,0.0230465866625309
probe,en,complexity,,mean_control,9,mse,0.0478251439829667
probe,en,complexity,,,10,mse,0.0362035520374774
probe,en,complexity,,mean_control,10,mse,0.0449302233755588
probe,en,complexity,,,11,mse,0.0382068902254104
probe,en,complexity,,mean_control,11,mse,0.04834204788009323
probe,en,complexity,,,12,mse,0.0435507521033287
probe,en,complexity,,mean_control,12,mse,0.04476555064320561
probe,en,question_type,,,1,accuracy,0.9363636363636364
probe,en,question_type,,mean_control,1,accuracy,0.5454545454545454
probe,en,question_type,,,2,accuracy,0.8545454545454545
probe,en,question_type,,mean_control,2,accuracy,0.5
probe,en,question_type,,,3,accuracy,0.9090909090909092
probe,en,question_type,,mean_control,3,accuracy,0.5
probe,en,question_type,,,4,accuracy,0.9545454545454546
probe,en,question_type,,mean_control,4,accuracy,0.5
probe,en,question_type,,,5,accuracy,0.9727272727272728
probe,en,question_type,,mean_control,5,accuracy,0.5
probe,en,question_type,,,6,accuracy,0.9636363636363636
probe,en,question_type,,mean_control,6,accuracy,0.5333333333333333
