unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
russian_polar_476,Умеет ли Пикачу разговаривать?,ru,polar,0.063,-0.48,1.0,0.25,0.75,1.792,3.932,1.127,1
russian_polar_1005,Незнайка носил шляпу?,ru,polar,-0.604,-1.48,0.0,0.333,1.0,1.609,0.0,0.127,1
russian_polar_367,По,ru,polar,-1.604,-2.48,0.0,0.0,0.0,0.693,0.0,-0.873,1
russian_polar_371,Убийц Оксаны Макар осудили?,ru,polar,0.063,0.52,0.0,0.167,1.0,1.792,0.0,0.127,1
russian_polar_1285,О́стров Вра́нгеля - обитаемый?,ru,polar,0.396,-0.48,0.0,0.0,1.0,1.792,0.0,-0.873,1
russian_polar_883,Пишут фэнтези в России?,ru,polar,0.063,-0.48,0.0,0.333,0.75,1.792,0.0,0.127,1
russian_polar_1413,Можно давать Парацетамо́л детям?,ru,polar,-0.27,-0.48,1.0,0.25,1.0,1.792,3.932,1.127,1
russian_polar_1297,AKB48 выступала в России?,ru,polar,-0.27,-0.48,0.0,0.333,0.5,1.792,0.0,0.127,1
russian_polar_331,Является ли Палестина королевством?,ru,polar,0.396,-1.48,0.0,0.5,0.75,1.792,0.0,0.127,1
russian_polar_645,Пишут на языке дот?,ru,polar,-0.27,-0.48,0.0,0.167,0.75,1.792,0.0,0.127,1
russian_polar_1308,Ха́фез аль-А́сад посещал Россию?,ru,polar,-0.27,-0.48,0.0,0.333,1.0,1.792,0.0,0.127,1
russian_polar_1365,Верил в Бога Ньютон?,ru,polar,0.396,-0.48,0.0,0.333,0.75,1.792,0.0,0.127,1
russian_polar_721,Был ли оправдан Сухово-Кобылин?,ru,polar,-0.27,-1.48,0.0,0.5,0.5,1.792,0.0,0.127,1
russian_polar_615,Был ли Сталин диктатором?,ru,polar,0.396,-1.48,0.0,0.0,0.5,1.792,0.0,0.127,1
russian_polar_1300,Финляндия член НАТО?,ru,polar,-0.604,-1.48,0.0,0.0,1.0,1.609,0.0,-0.873,1
russian_polar_1640,Ницше изучал теологию?,ru,polar,-0.604,-1.48,0.0,0.333,1.0,1.609,0.0,0.127,1
russian_polar_1603,Sepultura выступала в России?,ru,polar,-0.27,-0.48,0.0,0.333,0.5,1.792,0.0,0.127,1
russian_polar_1590,Можно ли спать стоя?,ru,polar,-0.27,-0.48,2.0,0.167,0.75,1.792,4.215,2.127,1
russian_polar_72,Христо́дулос Цига́нтес посещал Россию?,ru,polar,-0.27,-0.48,0.0,0.333,1.0,1.792,0.0,0.127,1
russian_polar_1400,Сталин курил трубку?,ru,polar,-0.604,-1.48,0.0,0.333,1.0,1.609,0.0,0.127,1
russian_polar_81,Был ли Достоевский женат?,ru,polar,0.396,-1.48,0.0,0.0,0.5,1.792,0.0,0.127,1
russian_polar_1057,Октя́брьской револю́ции?,ru,polar,-0.604,-1.48,0.0,0.0,1.0,1.386,0.0,-0.873,1
russian_polar_70,Выступала Megadeth в России?,ru,polar,0.063,-0.48,0.0,0.333,0.5,1.792,0.0,0.127,1
russian_polar_153,Есть вода на Юпитере?,ru,polar,-0.27,0.52,0.0,0.167,0.75,1.792,0.0,0.127,1
russian_polar_1729,Ферна́н Гонса́лес был женат?,ru,polar,0.063,-0.48,0.0,0.0,0.75,1.792,0.0,0.127,1
russian_polar_235,Есть в Науру столица?,ru,polar,0.396,-0.48,0.0,0.333,0.75,1.792,0.0,0.127,1
russian_polar_1539,M2,ru,polar,-1.604,-2.48,0.0,0.0,0.0,0.693,0.0,-0.873,1
russian_polar_949,Был Иоа́нн Кроншта́дтский женат?,ru,polar,0.396,-0.48,0.0,0.0,0.75,1.792,0.0,0.127,1
russian_polar_877,Египта?,ru,polar,-1.604,-2.48,0.0,0.0,1.0,1.099,0.0,-0.873,1
russian_polar_1158,Россия признала Геноци́д армя́н?,ru,polar,-0.604,-0.48,0.0,0.333,1.0,1.792,0.0,0.127,1
russian_polar_1344,Габапентином лечат невралгию?,ru,polar,-0.604,-1.48,0.0,0.333,1.0,1.609,0.0,0.127,1
russian_polar_1390,Куют алюминиевые сплавы?,ru,polar,-0.104,-0.48,0.0,0.167,1.0,1.609,0.0,0.127,1
russian_polar_266,Разрешены гей-парады в России?,ru,polar,-0.27,0.52,0.0,0.167,0.75,1.792,0.0,0.127,1
russian_polar_1020,Излечима ли атаксия телеангиэктазия?,ru,polar,0.396,-1.48,0.0,0.0,0.75,1.792,0.0,-0.873,1
russian_polar_1441,Есть Экстреми́зм в России?,ru,polar,0.063,-0.48,0.0,0.333,0.75,1.792,0.0,0.127,1
russian_polar_571,Была Кондоли́за Райс замужем?,ru,polar,0.396,-0.48,0.0,0.0,0.75,1.792,0.0,0.127,1
russian_polar_1705,Те́рские казаки носили бурки?,ru,polar,-0.604,-0.48,0.0,0.333,1.0,1.792,0.0,0.127,1
russian_polar_1077,Ри́чард Макла́рен Нэш женат?,ru,polar,0.396,-0.48,0.0,0.0,1.0,1.792,0.0,-0.873,1
russian_polar_1271,Был Александр Македонский женат?,ru,polar,0.396,-0.48,0.0,0.0,0.75,1.792,0.0,0.127,1
russian_polar_123,Терми́ты водятся в России?,ru,polar,-0.27,-0.48,0.0,0.333,0.75,1.792,0.0,0.127,1
russian_polar_59,Поставлялся М46 на экспорт?,ru,polar,0.063,-0.48,0.0,0.333,0.75,1.792,0.0,0.127,1
russian_polar_841,Излечима ли акатизи́я?,ru,polar,-0.104,-1.48,0.0,0.0,0.667,1.609,0.0,-0.873,1
russian_polar_1616,Принцесса Карабу была замужем?,ru,polar,0.063,-0.48,0.0,0.0,0.75,1.792,0.0,0.127,1
russian_polar_919,Может женщина стать масоном?,ru,polar,-0.27,-0.48,1.0,0.25,1.0,1.792,3.932,1.127,1
russian_polar_1670,Эрик Рэ́дфорд пишет музыку?,ru,polar,-0.27,-0.48,0.0,0.333,1.0,1.792,0.0,0.127,1
russian_polar_766,Есть в Которе горы?,ru,polar,0.396,-0.48,0.0,0.333,0.75,1.792,0.0,0.127,1
russian_polar_1048,Сталинизм - это утопия?,ru,polar,0.396,-1.48,0.0,0.0,0.667,1.792,0.0,-0.873,1
russian_polar_706,Росиия демократическое государство?,ru,polar,-0.104,-1.48,0.0,0.0,1.0,1.609,0.0,-0.873,1
russian_polar_1720,Умирают ли от пневмонии?,ru,polar,0.063,-0.48,0.0,0.333,0.5,1.792,0.0,0.127,1
russian_polar_831,Птероза́вр был хищником?,ru,polar,-0.104,-1.48,0.0,0.0,0.667,1.609,0.0,0.127,1
russian_polar_490,У гусеницы есть глаза?,ru,polar,-0.27,-1.48,0.0,0.0,0.5,1.792,0.0,0.127,1
russian_polar_149,Белое движение потерпело поражение?,ru,polar,-0.604,-0.48,0.0,0.333,1.0,1.792,0.0,0.127,1
russian_polar_689,Был Царь Сау́л женат?,ru,polar,0.396,-0.48,0.0,0.0,0.75,1.792,0.0,0.127,1
russian_polar_526,Лантано́иды применяют в медицине?,ru,polar,-0.27,-0.48,0.0,0.333,0.75,1.792,0.0,0.127,1
russian_polar_223,Основал ли потомок,ru,polar,-0.104,-1.48,0.0,0.333,0.667,1.386,0.0,0.127,1
russian_polar_1515,Съедобны ли цветы шиповника?,ru,polar,-0.27,-0.48,0.0,0.0,0.75,1.792,0.0,-0.873,1
russian_polar_227,Изучал Рене Генон суфизм?,ru,polar,0.063,-0.48,0.0,0.333,1.0,1.792,0.0,0.127,1
russian_polar_551,Есть Климово в Белоруссии?,ru,polar,0.063,-0.48,0.0,0.333,0.75,1.792,0.0,0.127,1
russian_polar_1199,Христа источником христианской этики?,ru,polar,-0.27,-0.48,0.0,0.0,1.0,1.792,0.0,-0.873,1
