sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,Milloin Charles Fort syntyi?,finnish,content,2.0,2.0,0,2.0,1.0,5,0.0,1.0
2,Mitä on altruismi?,finnish,content,1.5,1.0,0,0,0.3333333333333333,4,0.0,1.0
3,Mikä oli Wilhelm Wagner viimeinen sävellys?,finnish,content,2.2,3.0,0,0,0.6666666666666666,7,0.0,1.0
4,Missä Harz sijaitsee?,finnish,content,1.5,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
5,Miten paljon täysikasvuinen ahma painaa?,finnish,content,1.5,2.0,0,2.0,1.0,6,0.0,1.0
6,Milloin Leonid Brežnev kuoli?,finnish,content,2.0,2.0,0,2.0,1.0,5,0.0,1.0
7,Kuka valmentaa Kiekko-Espoon joukkuetta?,finnish,content,1.3333333333333333,2.0,0,2.0,0.75,5,0.0,1.0
8,Missä nykyisessä valtiossa sijaitsee muinainen Pohjois-Traakia?,finnish,content,1.4,2.0,0,2.0,0.8333333333333334,7,0.0,1.0
9,Milloin Hopeanuoli manga on aloitettu julkaisemaan?,finnish,content,2.0,3.0,1.0,2.0,0.8333333333333334,7,50.0,2.0
10,Minä vuonna HMS Ramillies -laiva romutettiin?,finnish,content,1.8,3.0,0,2.0,0.8333333333333334,7,0.0,1.0
11,Mikä oli ensimmäinen Turtles elokuva?,finnish,content,2.0,2.0,0,0,0.6,6,0.0,1.0
12,MInkä värisiä ovat safiirit?,finnish,content,1.3333333333333333,1.0,0,0,0.5,5,0.0,1.0
13,Kuka keksi releen?,finnish,content,1.0,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
14,Kuka Frank Mir on?,finnish,content,1.6666666666666667,2.0,0,0,0.5,5,0.0,1.0
15,Mitä tarkoittaa puritaani?,finnish,content,1.0,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
16,Montako kuuta Saturnuksella on?,finnish,content,1.0,2.0,0,0,0.5,5,0,0.0
17,Mikä maa antoi naisille ensimmäiseksi äänioikeuden?,finnish,content,1.6,2.0,0,4.0,0.8333333333333334,7,0.0,1.0
18,Kuinka vanha on iäkkäin vietnamilainen vuonna 2018?,finnish,content,1.8333333333333333,2.0,0,0,0.7142857142857143,8,0.0,1.0
19,Mitkä kaksi vesistöä Lempäälän kanava yhdistää?,finnish,content,1.6,2.0,0,2.0,0.6666666666666666,7,0.0,1.0
20,Milloin luuttu keksittiin?,finnish,content,1.5,1.0,1.0,1.0,1.0,4,50.0,2.0
21,Kuka on löytänyt parasympatomimeetit?,finnish,content,1.3333333333333333,1.0,0,2.0,0.5,5,0.0,1.0
22,Milloin Kiina on perustettu?,finnish,content,2.0,1.0,0,3.0,0.75,5,0.0,1.0
23,Mikä on Gibraltarin pinta-ala?,finnish,content,1.6666666666666667,2.0,0,0,0.5,5,0.0,1.0
24,Mikä on Antestorin kuunnelluin kappale?,finnish,content,1.75,3.0,0,1.0,0.6,6,0.0,2.0
25,Kuka perusti Valkeakosken naiskaartin?,finnish,content,1.3333333333333333,2.0,0,2.0,0.75,5,0.0,1.0
26,Milloin Nancy Spungen syntyi?,finnish,content,2.0,2.0,0,2.0,1.0,5,0.0,1.0
27,Mikä on Texasin väkiluku?,finnish,content,1.6666666666666667,2.0,0,0,0.5,5,0.0,1.0
28,Mikä on sähkömagneettinen kenttä?,finnish,content,1.6666666666666667,2.0,0,0,0.5,5,0.0,1.0
29,Kuka Ben Parker on Marvelin sarjakuvamaailmassa?,finnish,content,1.8,2.0,0,0,0.6666666666666666,7,0.0,1.0
30,Mitä voivodi tarkoittaa?,finnish,content,1.5,1.0,0,1.0,0.3333333333333333,4,0.0,1.0
31,Miksi Venäjällä on ollut valtionpankin konttori Helsingissä?,finnish,content,2.3333333333333335,2.0,0,0,0.7142857142857143,8,0,0.0
32,Missä Jean Sibelius syntyi?,finnish,content,2.0,2.0,0,2.0,0.75,5,0.0,1.0
33,Montako perustaja jäsentä oli The Clash yhtyeessä?,finnish,content,2.0,3.0,0,0,0.7142857142857143,8,0.0,1.0
34,Milloin pokemon sarja julkaistiin ensimmäisen kerran?,finnish,content,1.6,2.0,0,3.0,1.0,7,0.0,1.0
35,Milloin Markian Popov syntyi?,finnish,content,2.0,2.0,0,2.0,1.0,5,0.0,1.0
36,Kuinka pitkä Ruhnu on?,finnish,content,1.3333333333333333,1.0,0,0,0.75,5,0.0,1.0
37,Minä vuonna DC Comics on perustettu?,finnish,content,2.0,2.0,0,3.0,0.6666666666666666,7,0.0,1.0
38,Missä 2004 iso tsunami iski?,finnish,content,1.75,2.0,0,2.0,0.6,6,0.0,1.0
39,Kuinka pitkä Indus joki on?,finnish,content,1.25,2.0,0,0,0.8,6,0,0.0
40,Mitä tiekirkko tarkoittaa?,finnish,content,1.5,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
41,Minä vuonna Volkswagen Transporter T3 tuotiin markkinoille?,finnish,content,2.6666666666666665,2.0,0,4.0,0.8571428571428571,8,0.0,1.0
42,Miten kauan Ruben Oskar Auervaara ehti huijata?,finnish,content,2.0,2.0,1.0,1.5,1.0,8,50.0,2.0
43,Montako elokuvaa Alfred Hitchcock ohjasi?,finnish,content,1.75,2.0,0,2.0,0.8,6,0.0,1.0
44,Miten korkea on Eiffel-torni?,finnish,content,1.3333333333333333,1.0,0,0,0.75,5,0.0,1.0
45,Missä oli Suomen ensimmäinen kirkko?,finnish,content,1.75,3.0,0,0,0.6,6,0.0,1.0
46,Missä Yksi lensi yli käenpesän -elokuva on kuvattu?,finnish,content,2.0,3.0,0,2.5,0.5,9,0.0,2.0
47,Mikä kausi alkoi kivikauden loppuessa?,finnish,content,1.25,2.0,1.0,1.5,0.8,6,50.0,2.0
48,Kuka perusti Suomen valtion?,finnish,content,1.3333333333333333,2.0,0,2.0,0.75,5,0.0,1.0
49,Kuinka pitkä Miekojärvi on?,finnish,content,1.3333333333333333,1.0,0,0,0.75,5,0.0,1.0
50,Milloin Suomen selviytyjät alkoi?,finnish,content,1.6666666666666667,2.0,0,2.0,1.0,5,0.0,1.0
51,Minä vuonna teollistuminen alkoi?,finnish,content,2.0,1.0,0,3.0,0.75,5,0.0,1.0
52,Mihin mineraalivillaa käytetään?,finnish,content,1.5,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
53,Mikä oli Bysantin valtakunnan pääkaupunki?,finnish,content,1.75,3.0,0,0,0.6,6,0.0,1.0
54,Milloin ensimmäinen Super Mario peli julkaistiin?,finnish,content,2.4,3.0,0,2.0,1.0,7,0.0,1.0
55,Kuka omistaa Kampin?,finnish,content,1.0,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
56,Milloin Kalevala on kirjoitettu?,finnish,content,2.0,1.0,0,3.0,0.75,5,0.0,1.0
57,Mitä Peter Benenson on opiskellut?,finnish,content,2.25,2.0,0,2.0,0.6,6,0.0,1.0
58,Mitä nimitystä käytettiin Suomessa aiemmin psykiatriasta?,finnish,content,1.6,2.0,0,4.0,0.8333333333333334,7,0.0,1.0
59,Milloin Isis erosi Al-Qaidasta?,finnish,content,1.3333333333333333,1.0,0,3.0,1.0,5,0.0,1.0
60,Mikä on Norjan korkein kohta?,finnish,content,1.75,3.0,0,0,0.6,6,0.0,1.0
61,Montako vakoojaa Suomessa on paljastunut ja tuomittu?,finnish,content,1.6666666666666667,2.0,0,2.0,0.5714285714285714,8,0.0,2.0
62,Milloin Aistien valtakunta -elokuvan ensiesitys oli Suomen televisiossa Yle TV2-kanavalla?,finnish,content,2.0,4.0,0,0,0.9,11,0.0,1.0
63,Milloin Cosa Nostra on perustettu?,finnish,content,2.25,2.0,0,3.0,0.8,6,0.0,1.0
64,Missä sijaitsi Auto Unionin ensimmäinen pääkonttori?,finnish,content,1.8,4.0,0,2.0,0.8333333333333334,7,0.0,1.0
65,Kuinka monta vuotta vankeutta taposta voi saada?,finnish,content,1.8333333333333333,3.0,0,2.0,0.7142857142857143,8,0.0,1.0
66,Mikä on maailman vanhin uskonto jota harjoitetaan vieläkin?,finnish,content,1.5714285714285714,3.0,1.0,2.0,0.625,9,50.0,2.0
67,Missä Wade Barrett aloitti showpaini uransa?,finnish,content,1.8,2.0,0,3.0,0.8333333333333334,7,0.0,1.0
68,Mitkä olivat Viipurin taistelun Suomalaisten tappiot?,finnish,content,1.8,4.0,0,0,0.6666666666666666,7,0.0,1.0
69,Miten määritellään tulovirta?,finnish,content,1.0,1.0,0,2.0,1.0,4,0.0,1.0
70,Miksi Johan Erik Jorpes muutti Ruotsiin?,finnish,content,2.2,2.0,0,3.0,1.0,7,0.0,1.0
71,Montako ajoneuvoluokkaa EU:ssa on käytössä?,finnish,content,1.5,2.0,0,0,0.6,6,0.0,1.0
72,Mikä oli Peter Lairdin ensimmäinen sarjakuva?,finnish,content,2.0,4.0,0,0,0.6666666666666666,7,0.0,1.0
73,Mihin Karl Adam Nils Gabriel Hård af Segerstad menehtyi?,finnish,content,4.5,2.0,0,2.0,0.8888888888888888,10,0.0,1.0
74,Minkä nimisiä ovat Yhdysvaltojen ydinkäyttöiset lentotukialukset?,finnish,content,1.8,2.0,0,0,0.6666666666666666,7,0.0,1.0
75,Minä vuonna Columbinen verilöyly tapahtui?,finnish,content,2.25,2.0,0,3.0,0.8,6,0.0,1.0
76,Ketkä keksivät tupakoinnin?,finnish,content,1.0,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
77,Mikä maa kuluttaa eniten banaaneja?,finnish,content,1.25,2.0,0,3.0,0.8,6,0.0,1.0
78,Miksi huippukokoukset on aloitettu?,finnish,content,2.0,1.0,0,3.0,0.75,5,0.0,1.0
79,Kuka Mortimer Folchart on?,finnish,content,1.6666666666666667,2.0,0,0,0.5,5,0.0,1.0
80,Kuka kehitti XML-kielen?,finnish,content,1.0,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
81,Kuka on kehittänyt Occamin partaveitsen?,finnish,content,1.5,2.0,0,2.0,0.6,6,0.0,1.0
82,Montako primetime Emmy palkintoa televisiosarja,finnish,content,1.25,3.0,0,0,0.8,5,0,0.0
83,Lost voitti?,finnish,content,1.0,1.0,0,1.0,1.0,3,0.0,1.0
84,Kuinka monta kertaa Jari-Matti Latvala on voittanut rallikisan?,finnish,content,1.7142857142857142,3.0,0,3.0,0.75,9,0.0,1.0
85,Minä vuonna Repin-instituutti on perustettu?,finnish,content,1.75,2.0,0,3.0,0.6,6,0.0,1.0
86,Mikä on Namibian väkiluku?,finnish,content,1.6666666666666667,2.0,0,0,0.5,5,0.0,1.0
87,Mitä ihmisaalto tarkoittaa?,finnish,content,1.5,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
88,Mikä on yleisin uskonto Arabien keskuudessa?,finnish,content,1.4,3.0,0,0,0.5,7,0.0,1.0
89,Kuka on suunnitellut Kallion kirkon rakennuksen?,finnish,content,1.6,3.0,0,2.0,0.6666666666666666,7,0.0,1.0
90,Missä Kolumbian sisällissota alkoi?,finnish,content,1.6666666666666667,2.0,0,2.0,0.75,5,0.0,1.0
91,Milloin Kasaarien kaanikunta perustettiin?,finnish,content,1.6666666666666667,2.0,0,2.0,1.0,5,0.0,1.0
92,Kuka Attila oli?,finnish,content,1.5,1.0,0,0,0.3333333333333333,4,0.0,1.0
93,Mistä nimitys markka tulee?,finnish,content,2.0,1.0,0,3.0,0.75,5,0.0,1.0
94,Miten pitkä on Kordillieerit?,finnish,content,1.3333333333333333,1.0,0,0,0.75,5,0.0,1.0
95,Mikä on Boltzmannin vakio?,finnish,content,1.6666666666666667,2.0,0,0,0.5,5,0.0,1.0
96,Milloin New York,finnish,content,1.0,1.0,0,0,1.0,3,0,0.0
97,Mets perustettiin?,finnish,content,1.0,1.0,0,1.0,1.0,3,0.0,1.0
