unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,question_type,complexity_score
fi_polar_66,"Onko henkilöstä annettu etsintäkuulutus, koska hänellä on laiton ase?",fi,-0.258,0.336,0.0,0.8,0.556,1,1.434
fi_polar_101,Olisiko se iltalenkin jälkeen peiton tuominen sohvalle yhdessä iltateen tai viinilasillisen kanssa?,fi,0.265,0.336,0.0,0.0,0.583,1,1.184
fi_content_67,Mitä muuta tänne ruotsinpuolelle kuuluu?,fi,-0.621,-0.743,0.0,0.4,0.6,0,-0.364
fi_polar_61,Onko enkeli tyttö vai poika?,fi,-0.508,-0.664,0.0,0.0,0.6,1,-0.572
fi_content_81,Missä laatikossa niiden papereiden piti olla?,fi,0.079,-0.743,0.0,0.0,0.333,0,-0.331
fi_content_138,"Junan ovet piippaavat kuin aikapommi, tarkastaja on vihollinen Tikkurilassa, vaaraton Puistolassa, kuka tietää miksi?",fi,0.033,0.257,0.0,0.5,0.786,0,1.576
fi_polar_77,"”Kuulostaa kivalta, mutta eikö tuo ole aika kallista?”",fi,1.421,-0.664,0.0,0.4,0.5,1,1.657
fi_polar_104,"Juhlaseksiä, arkiseksiä - onko niillä eroa?",fi,0.242,-0.664,1.0,0.0,0.6,1,1.178
fi_polar_11,Sanoinko jo jotain tästä ravaamisesta? :D,fi,0.792,-0.664,0.0,0.8,0.5,1,1.428
fi_content_41,"Miten mies voisikaan tietää, ettei Pekulla enää edes ole puhelintaan?",fi,0.179,-0.743,0.0,0.6,0.636,0,0.672
fi_content_60,Miksi hän käveli taas?,fi,-0.787,-1.743,0.0,0.6,0.75,0,-1.18
fi_content_145,Miksi esitän näin paljon kysymyksiä nyt?,fi,-0.121,0.257,0.0,0.6,1.0,0,1.736
fi_content_18,Miksi meidän pitäisi sitten osata olla niin vapaita seksuaalisesti?,fi,0.004,-0.743,1.0,0.8,0.667,0,1.728
fi_polar_117,"""Eikö sinustakin?"" kysyit kolme vuotta sitten.",fi,-0.208,0.336,0.0,0.3,0.5,1,0.928
fi_content_28,Mikä on puheenjohtajavaltio Alankomaiden strategia?,fi,-0.371,0.257,0.0,0.0,0.6,0,0.486
fi_polar_86,Söivätkö ritarit muuta kuin lihaa?,fi,-0.508,0.336,0.0,0.4,0.6,1,0.828
fi_polar_84,"− Kokevatko kreikkalaiset, että isot EU-valtiot tulevat ja pakottavat heidät tekemään muutoksia?",fi,-0.108,1.336,1.0,0.45,0.727,1,3.405
fi_content_99,"Ensinnäkin sen sijaan, että työntekijöitä komennettaisiin milloin mihinkin projektiin, saa usein kuulla kysymystä ”mitä haluaisit tehdä?”, ja työntekijän toiveita myös oikeasti kuunnellaan.",fi,1.356,2.257,1.0,0.533,0.727,0,5.873
fi_polar_102,"Olisiko se, että itse tulee sinne peiton alle, kainaloon, vain alusvaatteisillaan?",fi,0.392,1.336,1.0,0.5,0.727,1,3.955
fi_content_134,Miten saada nainen nauttimaan arkiseksistä?,fi,-0.871,-0.743,1.0,0.4,1.0,0,0.786
fi_polar_14,"Ovatko naiset siis todella mustasukkaisia toisistaan, vaan yrittävätkö he vain selvitä kuolaavien käpyaivojensa kanssa minimaalisella häpeän määrällä?",fi,0.117,1.336,1.0,0.4,0.706,1,3.559
fi_polar_53,Onko Granfeltilta tilattu tutkimustulos vai tutkimustyö?,fi,-0.608,0.336,0.0,0.4,0.667,1,0.795
fi_content_44,Miten sitä enää jaksaa?,fi,-0.121,-1.743,0.0,0.6,1.0,0,-0.264
fi_content_61,"Jos roolit ovat toisinpäin, ajattelee ""Mitä vittua?""",fi,-0.287,-0.743,1.0,0.4,0.571,0,0.941
fi_content_55,"”Tietävätköhän Jumalat nyt, mitä ovat tekemässä?”",fi,0.279,-0.743,1.0,0.4,0.667,0,1.603
fi_content_88,"Kysyipä joku epähienotunteisesti, että miten lienee sosialidemokraattien laita?",fi,0.022,0.257,1.0,0.6,0.75,0,2.629
fi_polar_80,Onko tosiaan näin?,fi,-0.508,-1.664,0.0,0.0,0.667,1,-1.505
fi_polar_59,Taruako lienee vai totta?,fi,-0.341,-0.664,0.0,0.0,0.5,1,-0.505
fi_polar_15,Mutta uskaltaako se mennä yksin jossain metroasemalla poistamaan oksennukseensa sammuneen nistin?,fi,-0.208,2.336,1.5,0.4,0.727,1,4.755
fi_polar_93,Onko kaikki se odottaminen sitten tarpeellista?,fi,0.192,-0.664,0.0,0.0,0.5,1,0.028
fi_polar_63,Vieläkö Bosniaan pystyy antamaan avustusta?,fi,-0.508,-0.664,1.0,0.4,1.0,1,1.228
