unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
arabic_content_0,ما هي المسألة الشرقية ؟,arabic,content,-0.01,2.00,0.00,0.00,0.50,1.79,0.00,0.00
arabic_content_1,كم تبعد بيت لحم على القدس؟,arabic,content,0.25,2.00,0.00,0.50,0.67,2.08,0.00,1.00
arabic_content_2,ما كان أول موديل صنعته شركة فورد؟,arabic,content,-0.06,5.00,1.00,0.33,0.50,2.30,4.62,2.00
arabic_content_3,متى ظهرت جماعة الاخوان المسلمين في سوريا؟,arabic,content,0.32,3.00,0.00,0.50,0.57,2.20,0.00,1.00
arabic_content_4,متى تاسست السلفية الجهادبة في مصر ؟,arabic,content,0.25,2.00,0.00,0.50,0.50,2.08,0.00,1.00
arabic_content_5,من هو ريتشارد دوكينز؟,arabic,content,-0.01,2.00,0.00,0.00,0.00,1.79,0.00,0.00
arabic_content_6,متى تم إعتماد قانون حرية الهوية الجندرية في ولاية أريزونا ؟,arabic,content,0.10,5.00,0.00,0.33,0.70,2.48,0.00,1.00
arabic_content_7,إلى من تعود ملكية إقليم جبل طارق؟,arabic,content,-0.35,5.00,1.00,0.17,0.43,2.20,4.62,1.00
arabic_content_8,متى إنتهت حرب نورماندي ؟,arabic,content,-0.35,2.00,0.00,0.33,0.50,1.79,0.00,1.00
arabic_content_9,ما هي ضريبة الدخل ؟,arabic,content,-0.01,2.00,0.00,0.00,0.50,1.79,0.00,0.00
arabic_content_10,ماهي وظيفة الهايبوثالامس ؟,arabic,content,-0.35,2.00,0.00,0.00,0.67,1.61,0.00,0.00
arabic_content_11,متى بدأت سياسة الطفل الواحد في الصين؟,arabic,content,0.32,3.00,0.00,0.50,0.71,2.20,0.00,1.00
arabic_content_12,ما هي أكبر المقاطعات الكندية؟,arabic,content,-0.10,3.00,0.00,0.00,0.60,1.95,0.00,0.00
arabic_content_13,كم دولة يضم الشرق الأوسط؟,arabic,content,-0.35,3.00,1.00,0.17,0.80,1.95,4.62,1.00
arabic_content_14,ما هو الدوبامين ؟,arabic,content,0.15,2.00,0.00,0.00,0.33,1.61,0.00,0.00
arabic_content_15,ما اللغات الرسمية لليونيسكو؟,arabic,content,-0.01,2.00,0.00,0.00,0.50,1.79,0.00,0.00
arabic_content_16,من هي المغنية العربية التي قامت بأداء شارة مسلسل الرسوم المتحركة (حكايات عالمية) لأول مرة؟,arabic,content,0.65,7.00,1.00,0.50,0.75,3.00,4.62,1.00
arabic_content_17,متى أصدرت أغنية كاتيوشا الروسية؟,arabic,content,-0.10,2.00,0.00,0.33,0.60,1.95,0.00,1.00
