unique_id,text,language,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
ar_content_41,غير أن هذا ممكن، في أي بلد، إلا في مصر، التي يقال فيها الوزير، ولا يستقيل، دون أن يعرف أحد لماذا؟!,ar,0.905,1.0,0.667,0.435,3.434,0,6.441
ar_polar_5, هل تم تعيين القضاة؟,ar,-2.625,0.0,0.4,0.75,1.946,1,0.471
ar_content_42,ماذا سيفعل عندما سيعود إليها باسم الانتقام؟,ar,-1.095,1.0,0.5,0.364,2.565,0,3.334
ar_content_6,حتى لا يعاني شعب مصر من تأخر وصول القمح الروماني إلى موانينا؟!,ar,-1.095,0.0,0.8,0.615,2.773,0,3.093
ar_content_62,"وماذا عن الأحزاب في ماذا, في الحقوق التاريخية؟",ar,-2.095,0.0,0.0,0.333,2.485,0,0.723
ar_content_58,أم أنها تكلفة قياسية أو تعرفة مسبقة الدفع؟,ar,-2.095,0.0,0.0,0.556,2.398,0,0.859
ar_content_46,"وأشار إلى أن ""عصبة الأمم المتحدة اعترفت قبل نحو 70 عاماً بملكية حائط البراق للمسلمين باعتباره وقفاً إسلامياً وجزءاً من الأقصى، ثم يأتي هؤلاء ليسلموه لليهود ويطلقون عليه زوراً وبهتاناً اسم حائط المبكى؟"".",ar,3.905,3.0,0.44,0.533,3.932,0,11.81
ar_polar_16,وقال للمذيع بلغة عتاب: هل فهمت كلامي ولا لسه؟,ar,-0.625,1.0,0.6,0.429,2.833,1,4.237
ar_polar_20,هل بات حقهم الإلهي بارتداء عباءة أفضل فريقٍ في العالم غير مضمون؟,ar,1.375,0.0,0.6,0.643,2.773,1,5.391
ar_content_15, وهل ستكون المحكمة علنية؟,ar,-3.095,0.0,0.6,0.5,2.197,0,0.202
ar_content_14, ربما أم مؤكد؟,ar,-3.095,0.0,0.0,0.333,1.792,0,-0.97
ar_content_60,من يمكن أن يلوم من يتيح المجال لغليندا كي تؤدي بهذا الشكل الرائع؟,ar,0.905,1.5,0.45,0.533,2.833,0,6.221
ar_content_51,"وطالب الحزب بتنظيم مسابقة مصرية تتضمن الأسئلة التالية: ""كم عدد المدرسين المصريين الذين ساهموا في محو أمية الشعب الكويتي قبل اكتشاف النفط وبعده؟",ar,2.905,1.0,0.4,0.667,3.434,0,8.406
ar_polar_14,"ولولا قوة شخصية الريحاني، وفرضه نفسه ""بطريركا"" على وسطه وبيئته، لكان غرق في تفاهات الناس العاديين الذين خشيهم جبران (وهو على حق) في رسالته الى ذلك الـ ""منصور"" صديقه (هل من يعرف من هو؟).",ar,5.375,1.0,0.55,0.348,4.078,1,11.351
ar_content_55,فأين ذلك كله مما تعانيه البشرية اليوم من ويلات وحروب؟..,ar,0.905,1.0,1.0,0.357,2.89,0,6.152
ar_polar_7, هل سيقف صدام حسين في قصف الاتهام؟,ar,-2.625,0.0,0.6,0.25,2.398,1,0.623
ar_content_49,وإذا كنا لا نريد للحوار الفلسطيني أن ينتهي لهذه النتيجة، فإن الفصائل الأثنتى عشرة ليس عليها سوى التفكير في إجابة سؤال واحد فقط هو: كيف تتحول أحرف كتابة البيانات الختامية إلى فعل حقيقي على أرض الواقع؟,ar,3.905,1.0,0.667,0.488,3.807,0,9.867
ar_polar_22,هل تقرع المنبه الخاص بك؟,ar,-0.625,0.0,0.4,0.5,2.079,1,2.354
ar_content_36,"وانتهى مرشد ""الإخوان"" إلى القول ""علينا أن نسأل أنفسنا كم حققنا على مستوى النفس وعلى مستوى الأسرة وعلى مستوى المجتمع؟",ar,2.905,0.0,0.4,0.32,3.401,0,7.026
ar_content_33,فما الذي دفع بهما الى قول ما قالاه؟,ar,0.905,1.0,0.3,0.273,2.565,0,5.043
ar_content_54,"وتساءل: ""أين دعوة المسيح الآن من سيل الهجوم على الإيمان وتحقير أهله وكيل الاتهامات لهم وتزيين الإلحاد والدفاع عنه؟""",ar,1.905,0.0,0.2,0.5,3.434,0,6.039
ar_content_30,كيف يمكن الدولة ان تقيم حواراً انقاذيا تقريبا مع الدول والمؤسسات الغريبة، وهي لا تقيم حوار - الحد الادنى من التفاهم مع بعض القوى اللبنانية؟,ar,0.905,1.0,0.733,0.577,3.401,0,6.616
ar_content_5,قبل الإقدام على خطوات يعلن ـ هو نفسه ـ أنها تتناقض تماماً مع قرارات الشرعية الدولية والمبدأ الذي انطلقت منه مسيرة مدريد؟,ar,0.905,1.0,0.667,0.5,3.332,0,6.404
ar_content_25, متى بدأت مهنتك كقاض؟,ar,-3.095,0.0,0.6,0.5,2.197,0,0.202
ar_content_8,أليس هذا أفضل من أن نزرع القمح في رومانيا؟!,ar,-2.095,1.0,0.8,0.3,2.565,0,2.57
ar_polar_3, هل حدد القانون عدد القضاة؟,ar,-2.625,0.0,0.6,0.8,2.079,1,0.854
ar_content_20, تعني أنه لا يرتدي الملابس الخاصة بالسجن؟,ar,-1.095,1.0,0.5,0.556,2.485,0,3.446
ar_content_61,ما هي القيود التي من شأنها منع التعبير عن المعتقدات الدينية في الشركات الخاصة؟,ar,-0.095,0.0,0.0,0.533,2.833,0,3.271
ar_content_1,"فهلا اقلع المسلمون عن ""بدعة مآدب الافطار"" هذه، واكتفوا بالعادي من الافطار، ووفروا من اموالهم بعض الفرح للمليون جائع، في الضفة الغربية وغزة، أولئك الذين لم يعرفوا منذ اعوام للفرح طعما ولا للعيد بهجة؟",ar,1.905,1.0,0.55,0.432,3.951,0,7.838
ar_polar_10, هل زرتم أنتم أو أي من القضاة صدام حسين أو أياً من أعضاء نظامه؟,ar,3.375,0.0,0.4,0.4,2.89,1,7.065
ar_polar_0,هل تتعمق الأزمة السياسية والاقتصادية في لبنان؟,ar,-0.625,0.0,0.2,0.625,2.303,1,2.503
ar_content_0,ويعود الصائم، بعد افطاره الشهي، الى حيث تستقبله، في كل الفضائيات العربية، مشاهد المآسي التي تجري في فلسطين، والمجازر التي يرتكبها العدو الصهيوني ضد شعبنا العربي المسلم في هذه الارض العربية المغتصبة والمدماة... فماذا يفعل؟,ar,4.905,1.0,0.6,0.535,3.97,0,11.01
ar_content_57,وماذا عن وضع أستراليا؟,ar,-3.095,0.0,0.0,0.4,1.946,0,-0.749
ar_content_9, ما هي طبيعة المحكمة الخاصة التي شكلها مجلس الحكم لمحاكمة صدام حسين وأعضاء النظام السابق؟,ar,3.905,1.0,0.6,0.556,3.045,0,9.106
ar_polar_8, هل تتوقع أن يحكم صدام حسين بالإعدام؟,ar,-1.625,0.0,0.4,0.25,2.398,1,1.423
ar_content_43,إذا وصفوني بالخيانة فهل تستبعد أن أقول إنهم جهلاء؟,ar,-2.095,1.0,0.6,0.308,2.708,0,2.521
ar_content_22, كيف تنظر إلى صدام حسين؟,ar,-3.095,0.0,0.4,0.2,2.079,0,-0.416
ar_polar_12,"هل هناك في هذه ""اللحظة"" مشروع تغييري آخر في المنطقة؟",ar,-2.625,0.0,0.0,0.4,2.639,1,0.414
ar_content_47,وإذا كان الدولار قد انخفض بنسبة 20% مقابل العملات الأوروبية الأخرى وخاصة اليورو والإسترليني فإن السؤال الذي يدور الآن ما أثر هذا الانخفاض على السوق المصري؟,ar,1.905,1.5,0.467,0.531,3.526,0,7.929
ar_content_3,فإذن أين يكمن الخلاف؟!,ar,-3.095,0.0,0.6,0.6,2.079,0,0.184
ar_content_52,وكم عدد العمال المصريين الذين ساهموا في بناء الكويت وتعميرها فتحولت من صحراء جرداء إلى ما هي عليه الآن؟,ar,1.905,1.0,0.5,0.458,3.258,0,7.121
ar_content_13,ـ لأسباب أمنية سيتم التكتم على موقعها حتى يعلن عنها؟,ar,-2.095,1.0,0.6,0.462,2.773,0,2.74
ar_content_34,وقال سليمان الجندي ـ صاحب شركة صرافة ـ من الأفضل إغلاق أبواب الشركات والبحث عن مجال آخر للعمل خاصة أن مجال الصرافة أصبح جريمة في نظر الحكومة وتتم محاصرته بكل هذه القوانين والقرارات التي تهدف لإغلاق المزيد من الشركات؟!,ar,8.905,1.0,0.55,0.622,3.912,0,14.989
ar_content_24, ومتى سيتم تسليمهم إليكم؟,ar,-2.095,0.0,0.6,0.25,2.398,0,1.153
ar_polar_6, هل ستكون أنت ضمن القضاة باعتبارك قاضياً وعضواً في مجلس الحكم؟,ar,-1.625,0.0,1.0,0.467,2.89,1,2.732
ar_polar_17,هل تشهد سيناء حرباً جديدة بين مصر وإسرائيل؟,ar,0.375,0.0,0.4,0.667,2.398,1,3.84
ar_polar_11,ما دام لا خلاف بين أميركا وسوريا حول لبنان هل يُعقل أن يراهن مسيحيون على واشنطن؟,ar,0.375,1.0,0.333,0.353,2.944,1,5.005
ar_polar_1,هل دفعت الخلافات العائلية الشيخ إلى الانتحار؟,ar,-2.625,0.0,0.8,0.714,2.197,1,1.086
ar_content_39,"صديقة قريبة منه باغتته حين أخبرها بإشهاره إسلامه قبل أيام بقولها""حقيقي؟",ar,-1.095,1.0,0.8,0.4,3.135,0,4.24
ar_content_45,"ترتيبات للقاء بين مبارك وشارون بعد ""تقارب"" مصري ـ إسرائيلي؟",ar,-1.095,0.0,0.0,0.455,2.773,0,2.133
ar_content_2,"و""الوفد"" تسأل الحكومة المصرية أين الحقيقة في هذه التصريحات المعلنة يوم 16/2 الحالي من جانب إسرائيل بشأن الغاز الطبيعي؟!",ar,2.905,0.0,0.6,0.636,3.332,0,7.473
ar_content_16, متى سيحال صدام حسين وأعضاء نظامه إلى المحكمة؟,ar,-1.095,0.0,0.8,0.364,2.639,0,2.708
ar_content_59,من أين تستمد كل هذه الطاقة؟ أو ذلك الصوت الذي يخرج قوياً بحيث يحدث موجة صادمة؟,ar,0.905,2.0,0.467,0.529,2.996,0,6.897
ar_polar_13,"هل لا تزال ""الوطنية العربية"" قادرة على الخروج من رجعيتها الحالية كمجرد قوة دفاع عن اوضاع قائمة مفلسة... لكي يكون ممكنا مواجهة السياسة الاميركية بما هو قادر على كسر وحدانية مشروعها التغييري؟",ar,3.375,1.0,0.8,0.472,3.761,1,9.408
ar_content_11, ما هي التهم التي ستوجه إلى صدام حسين وأعضاء قيادته؟,ar,-0.095,1.0,0.6,0.308,2.773,0,4.586
ar_content_26,"وماذا عن المكتبات؟. عن هذا السؤال اجاب ستيف ريجيو المسؤول عن مكتبة ""بارنيساندنوبل.كوم"" الاميركية على شبكة الانترنت بالقول ""خلال 20 عاما، ستدخل مكتبة ما وتلقم المؤلفات التى تريد على كتابك الالكتروني"".",ar,1.905,1.0,0.5,0.432,3.85,0,7.687
ar_content_10, إذن هي محكمة خاصة؟,ar,-4.095,0.0,0.0,0.75,1.946,0,-1.399
ar_content_28,لماذا لم تنطلق الحركة التجارية بعد؟,ar,-3.095,0.0,0.8,0.5,2.079,0,0.284
ar_content_12, أين سيكون مقر المحكمة؟,ar,-3.095,0.0,0.4,0.6,2.079,0,-0.016
ar_polar_9, هل ستشارك الأمم المتحدة في محاكمات صدام حسين وبقية أعضاء النظام السابق؟,ar,1.375,0.0,0.6,0.571,2.833,1,5.379
ar_content_21, ما هو الوقت الذي ستستغرقه هذه المحاكمات؟,ar,-2.095,1.0,0.6,0.333,2.485,0,2.323
ar_content_17, ما هي آلية إحالتهم إلى المحكمة؟,ar,-2.095,0.0,0.0,0.429,2.303,0,0.637
ar_polar_21,هل المسلسل الثاني ناجحٌ حتى الآن؟,ar,-2.625,0.0,0.0,0.667,2.079,1,0.121
ar_polar_2,رئيس الجمعية موافق وقسم هام من الاعضاء رافضون والاختلاف محوره هذه المرة قضية التطبيع وتداعياتها المعقدة المحمولة على اجنحة متعددة بين السياسي والثقافي والفكري والعلمي مشدودة الى الاشكال الحارق الوحيد: هل نقبل باسرائيل ام نصمد على خط القطيعة؟,ar,6.375,0.0,0.0,0.596,3.912,1,10.883
ar_content_53,وكم عدد جنود الجيش المصري الذين ساهموا في تحرير الكويت؟,ar,0.905,1.0,0.4,0.636,2.565,0,5.506
ar_content_40,ما معنى هذا الكلام؟,ar,-2.095,0.0,0.0,0.5,1.792,0,0.197
ar_polar_4, هل سيكون القضاة عراقيين؟,ar,-3.625,0.0,0.6,0.6,2.079,1,-0.346
ar_content_37,لحرب شرق أوسطية؟,ar,-3.095,0.0,0.0,0.75,1.792,0,-0.553
ar_content_56,من بوسعه إيقاف منتخب أستراليا هذا؟,ar,-1.095,0.0,0.0,0.5,2.303,0,1.708
ar_polar_23,هل يسمح للعاملين بإبقاء أغراض دينية على مكاتبهم؟,ar,-1.625,0.0,0.6,0.545,2.565,1,2.085
ar_content_48,وهل سيمتد هذا التأثير على الاحتياطي النقدي الدولاري في البنك المركزي المصري؟,ar,-1.095,0.0,0.6,0.571,2.773,0,2.849
ar_content_35,"وتساءل الشاب في الرسالة التي بثها موقع ""الإخوان"" على الإنترنت تحت عنوان ""من شاب مقهور إلى المرشد العام: متى تظهر القوة الحقيقية للإخوان في الميدان؟",ar,2.905,1.0,0.733,0.607,3.526,0,8.771
ar_polar_15,وأبدى شيخ الأزهر دهشته ممن يقولون إنه لا يؤمن بالرأي الآخر وقال: إن بابي مفتوح يدخله العامل والشحات وإنني قلت لمكتبي: لا تمنعوا أحداً من الدخول، وقال ساخراً من هؤلاء: هل هناك حرية رأي أكثر من ذلك؟,ar,3.375,2.0,0.533,0.451,4.043,1,10.402
ar_content_27,ماذا حصل في الحزب الديموقراطي التقدمي؟,ar,-3.095,0.0,0.4,0.667,2.079,0,0.051
ar_content_29,فهل يستطيع شيراك اقناع بوش بضرورة التحرك وممارسة الضغوط المطلوبة، لكي توافق اسرائيل على تطبيق توصيات لجنة ميتشل الأميركية؟,ar,3.905,1.0,0.6,0.591,3.219,0,9.315
ar_content_38,"تحت هذا العنوان نشرت جريدة ""الاتحاد"" تحقيقاً مطولاً جاء فيه: لماذا نشرت إسرائيل خارطة لدمشق ما أسمته مراكز ومكاتب لمنظمات فلسطينية في قلب العاصمة السورية؟",ar,0.905,1.5,0.6,0.633,3.555,0,7.193
ar_content_32,اذاً، انتصرت السلطة او هكذا تعتقد. انتصرت على المعارضة؟ لا، بل هي على الدولة انتصرت. فمع انتهاء ما بدا فصلاً من معركتها مع المعارضة، بات جلياً ان مفهوم الدولة سقط، بل ان الممارسات الدؤوبة للسلطة ومحاسيبها قد اسقطته.,ar,2.905,1.0,0.45,0.523,3.97,0,8.848
