unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,question_type,complexity_score
japanese_content_6504,『テッド神父』を放送した国はどこ？,ja,-0.09,0.81,1.0,0.167,0.444,0,2.331
japanese_polar_827,ベースジャンピングで死者が出たことはある？,ja,-0.199,-0.553,1.0,0.3,0.556,1,1.104
japanese_polar_282,ゴリラはサル？,ja,-0.616,-0.553,0.0,0.0,0.5,1,-0.669
japanese_polar_848,研修医は医師免許を持たない？,ja,-0.235,-0.553,0.0,0.4,0.625,1,0.237
japanese_polar_680,ダルマザメに目はある？,ja,0.051,-0.553,0.0,0.4,0.6,1,0.498
japanese_polar_895,大韓民国と北朝鮮の言語は同じですか？,ja,-0.449,1.447,0.0,0.0,0.545,1,1.543
japanese_content_2929,バロックの先駆者は誰,ja,-0.365,-0.19,0.0,0.0,0.5,0,-0.055
japanese_polar_191,鍼灸師に資格はあるか？,ja,-0.282,-0.553,0.0,0.6,0.571,1,0.336
japanese_content_6460,立川反戦ビラ配布事件の容疑者の政治思想は何？,ja,-0.049,0.81,0.0,0.0,0.692,0,1.453
japanese_polar_267,コンピュータゲームに依存性はある？,ja,-0.116,-0.553,0.0,0.4,0.714,1,0.445
japanese_polar_1012,岡山市では路面電車が走っていますか？,ja,0.142,-0.553,1.0,0.4,0.5,1,1.489
japanese_polar_312,マーベル・コミックのミュータントは人間？,ja,-0.52,0.447,0.0,0.0,0.5,1,0.427
japanese_polar_27,ロバート・オウエンは政治家にはならなかった？,ja,0.051,-0.553,0.0,0.4,0.455,1,0.353
japanese_content_4547,メアリー・マーガレット・オライリーの大学の専攻は何？,ja,0.135,-0.19,0.0,0.0,0.455,0,0.4
japanese_polar_799,アトラスはゲーム会社？,ja,-0.282,-0.553,0.0,0.0,0.75,1,-0.085
japanese_content_1522,オパビニアの化石を初めて発見したのは誰？,ja,0.335,0.81,1.0,0.667,0.364,0,3.176
japanese_content_6634,ロナルド・フィッシャーの出身はどこ,ja,-0.465,-0.19,0.0,0.0,0.429,0,-0.226
japanese_content_5965,グリーンランドに初めて住み始めた人類は何？,ja,-0.299,0.81,2.0,0.25,0.6,0,3.361
japanese_polar_1146,飛騨川バス転落事故、災害警報は出ていた？,ja,-0.149,0.447,1.0,0.2,0.727,1,2.225
japanese_content_3200,ビスカヤ県ドゥランゴの主要産業は何,ja,-0.632,-0.19,0.0,0.0,0.714,0,-0.108
japanese_content_1711,魚雷艇が日本に導入されたのはいつ,ja,0.935,-0.19,1.0,0.667,0.273,0,2.685
japanese_polar_1352,大連市には空港がありますか？,ja,-0.074,-0.553,0.0,0.6,0.444,1,0.417
japanese_content_5432,エンジンとモーターの違いは何,ja,-0.465,0.81,0.0,0.0,0.429,0,0.774
japanese_polar_488,ゴリラは集団生活をする？,ja,0.051,-0.553,0.0,0.4,0.667,1,0.565
japanese_content_5347,ウォシュレットが開発されたのはいつ？,ja,1.035,-0.19,1.0,0.5,0.222,0,2.567
japanese_polar_321,運動能力向上薬物は合法ですか？,ja,-0.235,-0.553,0.0,0.0,0.625,1,-0.163
japanese_polar_160,猫は雑食？,ja,-0.449,-0.553,0.0,0.0,0.667,1,-0.335
japanese_content_12,心は心臓にあると広く信じられていた理由は何,ja,0.677,0.81,1.5,0.278,0.467,0,3.732
japanese_polar_700,既読スルーという言葉はインスタントメッセンジャーのＬＩＮＥにのみ使用されるか？,ja,0.118,1.447,1.0,0.3,0.5,1,3.365
japanese_polar_751,鉄道の運転手になるには資格が必要ですか？,ja,-0.116,1.447,1.0,0.6,0.462,1,3.393
japanese_content_1070,カーボベルデ共和国の首都はどこ,ja,-0.465,-0.19,0.0,0.0,0.571,0,-0.084
japanese_polar_399,ボノボは、性行為を生殖の目的以外でも行う？,ja,1.134,0.447,0.0,0.6,0.615,1,2.796
japanese_content_2660,アポプラストの名称の由来は何？,ja,-0.465,0.81,0.0,0.0,0.429,0,0.774
japanese_content_1645,文学と知性社の創業者は誰？,ja,-0.34,0.81,0.0,0.0,0.556,0,1.026
japanese_content_6588,ルイジアナ州の主要産業は何？,ja,-0.465,-0.19,0.0,0.0,0.571,0,-0.084
japanese_content_4698,ブリティッシュ・コロンビア州の州都はどこ,ja,-0.251,-0.19,0.0,0.0,0.5,0,0.059
japanese_polar_168,ヒンドゥー法でカースト制度が決められている？,ja,-0.282,-0.553,1.0,0.3,0.6,1,1.065
japanese_polar_302,アダム・スミスは小さな政府を提唱した？,ja,-0.171,-0.553,0.0,0.4,0.5,1,0.176
japanese_polar_1061,米国愛国者法では移民に対しての対処が明記されていますか？,ja,0.84,1.447,1.0,0.267,0.45,1,4.004
japanese_polar_545,上野 裕一郎は大迫傑の高校の先輩？,ja,0.051,0.447,0.0,0.0,0.667,1,1.165
japanese_polar_1242,『アンドレイ・ルブリョフ』は映画の賞を受賞しましたか？,ja,0.384,0.447,0.0,0.6,0.385,1,1.816
japanese_polar_477,コカインに依存性はある？,ja,0.051,-0.553,0.0,0.4,0.667,1,0.565
japanese_content_3808,中国が初めて一つの国に統合されたのはいつ,ja,1.106,0.81,1.0,0.833,0.333,0,4.082
japanese_polar_452,GHQ民政局長のコートニー・ホイットニーは、軍人ですか？,ja,-0.149,0.447,0.0,0.0,0.545,1,0.843
japanese_polar_835,海馬がなくても記憶はできる？,ja,0.051,0.447,0.0,0.4,0.5,1,1.398
japanese_content_6476,微分幾何学の先駆者は誰？,ja,-0.394,-0.19,0.0,0.0,0.625,0,0.041
japanese_content_6682,オリンピック中継がテレビで始まったのはいつ,ja,0.146,-0.19,1.0,0.667,0.4,0,2.023
japanese_content_1175,現存する最古の銃剣は何？,ja,-0.132,-0.19,1.0,0.0,0.429,0,1.107
japanese_content_6030,アイルランドにキリスト教が伝来したのはいつ？,ja,0.535,-0.19,1.0,0.667,0.364,0,2.376
japanese_polar_936,武田信玄は戦死した？,ja,-0.549,-0.553,0.0,0.2,0.5,1,-0.402
japanese_content_2782,神楽師の役割は何,ja,-0.565,-0.19,0.0,0.0,0.5,0,-0.255
japanese_content_263,フェロセンを発見したのは誰？,ja,0.606,-0.19,1.0,0.5,0.25,0,2.166
japanese_content_3461,『スターゲイト アトランティス』の脚本担当はだれ,ja,-0.108,-1.19,0.0,0.0,0.625,0,-0.673
japanese_polar_1021,マヨン山は20世紀に噴火した？,ja,-0.199,-0.553,0.0,0.4,0.444,1,0.092
japanese_content_5665,カンザス州に初めて人類が到達したのはいつ,ja,0.58,-0.19,1.0,0.833,0.417,0,2.64
japanese_content_206,国境なき医師団の創設者は誰,ja,-0.465,0.81,0.0,0.0,0.667,0,1.012
japanese_polar_1338,長いナイフの夜事件により死者は出た？,ja,-0.249,0.447,1.0,0.2,0.636,1,2.034
japanese_content_3258,GNUの創始者は誰？,ja,-0.365,-0.19,0.0,0.0,0.5,0,-0.055
japanese_polar_498,空手家に引退はある？,ja,-0.149,-0.553,0.0,0.4,0.667,1,0.365
japanese_polar_787,ガス式のライターはある？,ja,-0.549,0.447,0.0,0.2,0.667,1,0.765
japanese_content_6295,ヘリコプターを発明したのは誰,ja,0.606,-1.19,0.0,0.667,0.25,0,0.333
japanese_polar_657,髪の色は遺伝子で決定する？,ja,-0.199,0.447,0.0,0.4,0.556,1,1.204
japanese_polar_1128,近江天保一揆で死者は出た？,ja,-0.235,-0.553,0.0,0.4,0.625,1,0.237
japanese_content_1410,世界における脱毛の起源はいつ,ja,0.285,-0.19,1.0,0.0,0.444,0,1.539
japanese_content_226,星野 長太郎の出身地はどこ,ja,-0.132,-1.19,0.0,0.0,0.571,0,-0.751
japanese_polar_637,柔道は日本が発祥地ですか？,ja,0.051,-0.553,0.0,0.0,0.5,1,-0.002
japanese_content_938,アルバロ・ウリベ・ベレスの父親の職業は何,ja,0.135,-0.19,0.0,0.0,0.455,0,0.4
japanese_polar_491,FCM1Aは実際に使用された？,ja,0.051,-0.553,0.0,0.4,0.455,1,0.353
japanese_content_1648,マイケル・ムアコックの小説でメルニボネが登場する作品は何？,ja,-0.196,1.81,1.0,0.333,0.5,0,3.447
japanese_polar_953,消防や警察などの公的機関も実業団チームを持つ？,ja,0.051,1.447,0.0,0.4,0.615,1,2.513
japanese_polar_86,ジャガー・ルクルトは工場を持つ？,ja,-0.116,-0.553,0.0,0.4,0.571,1,0.302
japanese_polar_1278,DNAの中にアミノ酸は含まれていますか？,ja,0.218,0.447,1.0,0.4,0.462,1,2.527
japanese_content_4629,ロングイェールビーンの最盛期はいつ？,ja,-0.394,-0.19,0.0,0.0,0.625,0,0.041
japanese_polar_1169,勾留は、刑務所にされますか？,ja,0.176,-0.553,0.0,0.6,0.444,1,0.667
japanese_content_4433,シリコンナイツの創始者は誰,ja,-0.365,-0.19,0.0,0.0,0.5,0,-0.055
japanese_content_431,大日本帝国陸軍が製造した中で最大の揚陸艦は何？,ja,0.101,0.81,1.0,0.167,0.562,0,2.64
japanese_content_5520,カレンダーが誕生したのはいつ,ja,0.606,-0.19,1.0,0.5,0.25,0,2.166
japanese_content_997,『パフューム ある人殺しの物語』の主人公の職業は何？,ja,-0.238,1.81,1.0,0.0,0.583,0,3.155
japanese_content_2303,パキスタンの最大宗教は何,ja,-0.365,-1.19,0.0,0.0,0.5,0,-1.055
japanese_content_2511,ボルカー・ルールを作ったのは誰,ja,0.035,-0.19,1.0,0.5,0.333,0,1.678
japanese_polar_542,『ラブ♥シャッフル』は恋愛ドラマ？,ja,0.051,-0.553,0.0,0.0,0.833,1,0.331
japanese_content_2631,ブリーロンの初代市長はだれ,ja,-0.365,-1.19,0.0,0.0,0.5,0,-1.055
