unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
russian_polar_351,Иоа́нн Тобо́льский был поэтом?,ru,-0.255,-0.5,0.0,0.0,0.75,1.792,1,1.787
russian_polar_641,Обязательно ли психиатрическое обследование в России при приеме на работу учителем?,ru,0.278,0.5,0.0,0.0,0.636,2.565,1,3.98
russian_polar_342,Последний конфликт»?,ru,-0.922,-1.5,0.0,0.0,1.0,1.609,1,0.188
russian_polar_1102,M3 поставлялся на экспорт?,ru,-0.588,-0.5,0.0,0.4,0.5,1.792,1,1.603
russian_content_4285,Сколько людей живет в древнем селе Лахич в 2019 году?,ru,0.533,-0.51,0.0,0.5,0.7,2.485,0,3.709
russian_polar_1587,Есть древесная ширина?,ru,-0.422,-0.5,0.0,0.2,1.0,1.609,1,1.888
russian_content_11693,Кем был отец Ива́на Алексе́евича Бу́нина?,ru,-0.178,0.49,0.0,0.0,0.667,2.079,0,3.059
russian_polar_1232,Захватил ли голод 1932 года Белоруссию?,ru,0.278,0.5,0.0,0.6,0.833,2.079,1,4.291
russian_polar_1095,Есть ли пустыня в Азербайджане?,ru,0.078,-0.5,0.0,0.6,0.6,1.946,1,2.724
russian_content_1867,Сколько раз Белая акула напала на человека в 2018?,ru,0.172,-0.51,0.0,0.667,0.667,2.398,0,3.394
russian_polar_291,Названа ли теорема по физике в честь Ама́лия Э́мми Нётер?,ru,-0.033,0.5,0.0,0.6,0.7,2.485,1,4.252
russian_polar_762,В Переделкине жил Борис Пастернак?,ru,-0.922,-0.5,0.0,0.4,0.8,1.946,1,1.724
russian_content_5530,Когда был написан роман Жюля Верна «20 000 льё под водой»?,ru,0.122,1.49,0.0,0.5,0.636,2.708,0,5.457
russian_polar_1179,К Нейролептическим экстрапирамидным расстройствам относится паралич?,ru,-0.322,-0.5,0.0,0.4,0.833,2.079,1,2.491
russian_polar_1493,Граф Влади́мир Алекса́ндрович Соллогу́б писал водевили?,ru,-0.122,0.5,0.0,0.4,1.0,2.079,1,3.858
russian_content_9935,Как зовут посла России в Аргентине на март 2019?,ru,0.297,0.49,0.0,0.5,0.778,2.398,0,4.463
russian_content_12560,В каком году была основана Рязань?,ru,-0.178,-0.51,0.0,0.5,0.5,2.079,0,2.392
