unique_id,text,language,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
id_polar_209,Ingin menikmati foto di layar yang lebih besar?,id,0.638,0.0,0.167,0.625,2.303,1,3.733
id_polar_219,Apakah hubungan Rado Habeahan dan Intan berlangsung dengan mulus?,id,0.638,0.0,0.667,0.7,2.485,1,4.49
id_content_116,- Apa yang Disebut Berpikir?,id,-1.226,2.0,0.2,0.5,1.946,0,3.42
id_polar_108,"Ia bertanya, “Bisakah kita membuat sebuah mobil mewah terbaik di dunia?” Pertanyaan Eiji ini membuat Toyota memulai sebuah proyek super - rahasia yang diberi kode F1 (“Flagship” (Unggulan) + “No. 1 vehicle” (Mobil No. 1)).",id,6.638,1.333,0.4,0.657,3.989,1,13.017
id_content_144,"Pada saat itu, ia mempertanyakan apa arti MASOVU?",id,-0.226,0.0,0.6,0.5,2.398,0,3.272
id_content_180,"Lalu, mengapa para pengembang menggunakan nama ``Catfiz''?",id,-1.226,0.0,0.8,0.714,2.485,0,2.773
id_polar_213,Konstankah interval PR?,id,-1.362,0.0,0.0,0.75,1.792,1,1.18
id_polar_40,``Apakah engkau memperhatikan hamba-Ku Ayub?,id,-1.362,0.0,0.5,0.571,2.303,1,2.012
id_polar_39,Apakah yang engkau serukan kepada kami?,id,-0.362,1.0,0.5,0.143,2.197,1,3.478
id_content_149,Namun apa yang terjadi?,id,-1.226,1.0,0.2,0.5,1.792,0,2.266
id_content_221,"Jika aku tidak menangis untuknya, lalu siapa lagi?",id,-1.226,0.0,1.0,0.222,2.485,0,2.481
id_content_3,Siapakah sebenarnya gadis yang mirip si Cemong?,id,-0.226,0.0,0.0,0.5,2.303,0,2.577
id_content_111,"Sekarang, siapa yang menolak Partai Komunis ini?",id,-0.226,1.0,0.4,0.571,2.303,0,4.048
id_polar_98,Apa urusan NU?,id,-1.362,0.0,0.0,0.667,1.609,1,0.914
id_content_131,Sampai kapankah Aladin sanggup mempertahankan lampu ajaib tersebut di tangannya?,id,-1.226,0.0,1.0,0.583,2.639,0,2.996
id_polar_84,Apakah Azzam mampu menyelamatkan rumah tangga Husna dan Ilyas?,id,0.638,0.0,0.5,0.7,2.485,1,4.323
id_polar_4,Apa nama lembaga yang akan melayani radio-radio ini?,id,-0.362,1.0,0.333,0.5,2.303,1,3.774
id_content_269,Kan kamu yang bilang? - Bukankah kamu yang bilang demikian?,id,-0.226,1.0,0.3,0.2,2.639,0,3.913
id_polar_178,"Pergilah masak segera, apa digaduhkan masak nasi ransom?",id,-0.362,1.0,0.333,0.778,2.485,1,4.234
id_content_123,"Kenapa marah, kenapa murka?",id,-1.226,0.0,0.3,1.0,1.946,0,2.02
id_polar_235,"Bisakah Superboy mendapati cinta, menyembuhkan penyakit adiknya dan sekaligus menyelamatkan jakarta dari kejahatan?",id,0.638,0.0,0.556,0.667,2.89,1,4.751
id_polar_206,"Lalu, ia juga mengasuh siaran kuis lain seperti Herkent u deze melodie?",id,0.638,0.0,0.0,0.75,2.708,1,4.096
id_content_174,Bagaimana kalau pemberian lain sebagai hadiah untukmu?,id,-0.226,0.0,0.0,0.5,2.303,0,2.577
id_content_258,``Mengapa tidak memakai piano?,id,-2.226,0.0,0.6,0.75,1.946,0,1.07
id_content_160,``Mengapakah kamu tidak mau menyembah Allah SWT?,id,-1.226,0.0,0.8,0.5,2.398,0,2.472
id_content_18,"Pak Douw, anda telah berusaha untuk maju menjadi Bupati, bagaimana kalau seandainya nanti anda gagal mendapatkan dukungan dan tidak terpilih di PILKADA Nabire?",id,0.774,1.5,0.6,0.652,3.296,0,6.822
id_polar_25,Bau apakah yang tercium olehku?,id,-0.362,1.0,0.333,0.429,2.197,1,3.597
id_polar_120,Kemudian muridnya itu bertanya: ``Didaerah mana Mama ingin mendirikan Pesantren itu?,id,-0.362,1.0,0.583,0.417,2.773,1,4.411
id_polar_96,"Bukankah kami ini dianggapnya sebagai orang asing, karena ia telah menjual kami?",id,-1.362,1.0,0.667,0.286,2.833,1,3.424
id_polar_251,"Engkau telah berzinah dengan banyak kekasih, dan mau kembali kepada-Ku?",id,-0.362,0.0,0.417,0.364,2.639,1,3.058
id_polar_225,Adakah gelombang P?,id,-1.362,0.0,0.333,0.75,1.792,1,1.513
id_content_56,Apa arti globalisasi buat Lippo?,id,-1.226,0.0,0.0,0.6,1.946,0,1.32
id_content_25,"Namun, apa saja yang ditata oleh pemerintah kolonial selanjutnya?",id,0.774,1.0,0.4,0.667,2.485,0,5.326
id_polar_260,Apakah Maria ini ``isteri'' atau ``putri'' Klopas?,id,-0.362,0.0,0.0,0.5,2.639,1,2.777
id_content_271,Bagaimanakah kisah selanjutnya?,id,-1.226,0.0,0.0,0.75,1.792,0,1.316
id_content_13,Kemana impian jiwa muda ini membawa mereka?,id,-0.226,0.0,0.6,0.714,2.197,0,3.285
id_polar_135,``Kalau begitu kamu memang bermaksud membohongiku?,id,-1.362,1.0,0.5,0.571,2.303,1,3.012
id_content_246,"Jadi Abah Buyut sendiri merupakan sebuah misteri terpisah, darimana beliau belajar Maenpo ini, apakah hasil perenungan sendiri atau ada yang mengajari?",id,2.774,1.0,0.44,0.591,3.258,0,8.063
id_content_256,(C) Di mana kita saat ini?,id,-0.226,0.0,0.0,0.333,2.303,0,2.41
id_content_21,"Bila kita menggunakan semua ini untuk melawan musuh, musuh mana yang tak akan kalah?",id,-0.226,1.0,0.6,0.357,2.833,0,4.564
id_content_27,Apa yang herus dilakukan Winnie?,id,-1.226,1.0,0.6,0.6,1.946,0,2.92
id_content_216,Isteri yang cakap siapakah akan mendapatkannya?,id,-0.226,0.0,0.6,0.375,2.303,0,3.052
id_content_33,"Maka kata Pak Belalang, dari mana datang dan apakah hajat?",id,-0.226,1.0,0.5,0.545,2.639,0,4.458
id_content_255,Yaksa: Siapakah yang benar-benar berbahagia?,id,-0.226,1.0,0.4,0.5,2.197,0,3.871
id_polar_18,Apakah SAFIRA akan berhasil dengan segala rencana liciknya?,id,-0.362,0.0,0.5,0.5,2.485,1,3.123
id_polar_27,"Mayumi Thyme adalah karakter pendukung dalam Shuffle!, dan salah satu tokoh utama dalam Really?",id,-0.362,0.0,0.0,0.643,2.89,1,3.171
id_content_119,Bagaimana pula jika peristiwa ``kehabisan cita'' dalam hidup pasangan suami-istri?,id,-0.226,1.0,0.4,0.8,2.639,0,4.613
id_polar_106,Akankah Niki dan Gio dapat bersatu di tengah begitu banyak pertentangan diantara mereka?,id,-0.362,0.0,0.833,0.5,2.773,1,3.744
id_polar_258,Alternatif apa lagi selain itu?,id,-2.362,0.0,0.0,0.4,1.946,1,-0.016
id_content_268,Di manakah harta raja itu sekarang?,id,-1.226,0.0,0.0,0.429,2.197,0,1.4
id_content_107,Maka bagaimana sebuah sistem prosesor tunggal dapat menjalankan multi-proses?,id,-0.226,0.0,0.8,0.667,2.398,0,3.639
id_content_220,"Allahku, Allahku, mengapa Engkau meninggalkan aku?",id,-1.226,0.0,1.0,0.5,2.485,0,2.759
id_polar_139,Apa pengaruhnya terhadap konflik cinta segitiga Cinta-Dante-Cahaya?,id,1.638,0.0,0.0,0.625,2.303,1,4.566
id_polar_111,Lalu berkatalah Yakub kepada Laban: ``Apakah yang kauperbuat terhadap aku ini?,id,0.638,1.0,0.583,0.308,2.833,1,5.362
id_content_39,Berfirmanlah TUHAN kepada Samuel: ``Berapa lama lagi engkau berdukacita karena Saul?,id,-0.226,1.0,0.7,0.583,2.773,0,4.83
id_polar_19,Begitu mudahkah semua itu berdiri di kompleks Regina Pacis?,id,-0.362,0.0,0.5,0.6,2.485,1,3.223
id_polar_150,Mereka berkata kepada Nabi Yunus: ``Apakah kata-kata yang engkau ucapkan itu dan kedustaan apakah yang engkau anjurkan kepada kami tentang agama barumu itu?,id,2.638,1.0,0.556,0.385,3.401,1,7.98
id_polar_34,Apakah layak sesuatu disebut pengasih akan tetapi sebenarnya merupakan penghukum atau penyiksa?,id,0.638,0.0,0.667,0.615,2.708,1,4.628
id_content_114,Bagaimanakah cara Sultan dan Atikah mengatasi semua rintangan yang menghadang hubungan cinta mereka?,id,0.774,1.0,0.5,0.6,2.833,0,5.707
id_polar_57,Sejauh mana ilmu berupaya mencapai perubahan sosial?,id,-0.362,1.0,0.333,0.714,2.197,1,3.882
id_polar_56,Akankah dia masih mengingat Ibu dan kampung halamannya?,id,0.638,0.0,0.667,0.5,2.485,1,4.29
id_content_223,"Berapa perkiraan omzet penjualan dari seorang marketing yang memiliki pengalaman kerjanya 3,5 tahun?",id,1.774,1.0,0.4,0.643,2.773,0,6.59
id_content_188,Mengapa Ibu Pertiwi belum juga bisa menjadi mercusuar dunia?,id,-1.226,0.0,1.0,0.778,2.398,0,2.95
id_content_49,Mengapa Indonesia tidak mampu berbuat seperti negara-negara tesebut?,id,-1.226,0.0,0.8,0.5,2.303,0,2.377
id_content_117,Fadil bilang apa benar Kamila belum ditemukan?,id,-0.226,1.0,0.2,0.857,2.197,0,4.028
id_polar_31,"Ketika ditangkap dan dihadirkannya dalam tenda sang Sheik, dan ditanyai soal namanya, ia menjawabnya dengan kalimat: ``Namaku?",id,1.638,1.0,0.542,0.476,3.296,1,6.952
id_polar_114,"Kemudian ia kembali bertanya, apakah mungkin membangkitkan Islam kembali?",id,-1.362,1.0,0.389,0.6,2.565,1,3.192
id_content_80,"Kalo Nadya sakit, siapa yang akan mengurus mereka?",id,-1.226,1.0,0.4,0.375,2.398,0,2.947
id_polar_12,Dia lalu bertanya apakah negeri kita pernah berperang?,id,-0.362,1.0,0.5,0.667,2.398,1,4.203
id_polar_88,Apakah kita semua harus berbalik dan semuanya mendengarkan dia?,id,-0.362,0.0,0.5,0.273,2.565,1,2.976
