unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type,complexity_score
id_polar_0,Dibintangi oleh sepuluh orang pemain utama yang didapat melalui proses audisi dan masa karantina dalam acara AAdC?,id,polar,-0.294,2.709,1.0,0.25,0.647,2.944,3.932,0.442,1,0.662
id_polar_1,``Apabila di kemudian hari anak-anakmu bertanya kepada ayahnya: Apakah arti batu-batu ini?,id,polar,0.089,0.709,0.0,0.833,0.467,2.944,0.0,-0.558,1,-0.48
id_polar_2,Dia terdiam lama kemudian berkata ``Apakah dia itu nabi yang pernah kamu katakan pada kami yang akan membenarkan kebenaran dakwah para nabi terdahulu?,id,polar,0.409,1.709,1.0,0.458,0.5,3.296,4.331,2.442,1,1.443
id_polar_3,yang merupakan drama sempalan dari drama televisi Megutan tte Mahou Tsukaeru no?,id,polar,-0.709,3.709,0.0,0.333,0.833,2.639,0.0,-0.558,1,-0.754
id_polar_4,Apa nama lembaga yang akan melayani radio-radio ini?,id,polar,-0.268,-0.291,1.0,0.333,0.5,2.303,4.615,-0.558,1,0.441
id_polar_5,Akankah Mat Bunglon dan Dul Bajing berhasil mendapatkan patung yang diinginkannya?,id,polar,0.518,0.709,1.0,0.333,0.615,2.708,4.215,1.442,1,1.086
id_polar_6,Akankah kebahagian mereka terwujud?,id,polar,0.518,-1.291,0.0,0.333,0.4,1.946,0.0,-0.558,1,-0.732
id_polar_7,Mau tau rute yang dilalui angkutan di jakarta lewat SMS?,id,polar,-0.204,0.709,1.0,0.417,0.6,2.485,3.932,0.442,1,0.607
id_polar_8,"Ditanya mengenainya Minogue menjawab, ``Saya pikir BB adalah seorang simbol sex, bukan?",id,polar,0.351,0.709,1.0,0.389,0.538,2.89,4.215,2.442,1,1.307
id_polar_9,Apakah orang-orang yang telah engkau tangkap dengan pedang dan panahmu itu harus engkau bunuh?,id,polar,1.418,1.709,1.0,0.5,0.375,2.89,3.932,0.442,1,1.026
id_polar_10,Apa hubungannya dengan masa lalu Bunga?,id,polar,-0.315,-1.291,0.0,0.0,0.571,2.197,0.0,-1.558,1,-1.119
id_polar_11,Erlangga yang angkuh dan dicintai mati-matian oleh Janet?,id,polar,-0.411,0.709,0.0,0.5,0.625,2.303,0.0,-0.558,1,-0.772
id_polar_12,Dia lalu bertanya apakah negeri kita pernah berperang?,id,polar,0.518,-0.291,1.0,0.5,0.667,2.398,3.932,0.442,1,0.781
