unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type,complexity_score
ko_polar_0,유리나 도자기 같은 것은 부분에 따라 온도 차가 심하면 곧 깨지지 않는가?,ko,polar,0.109,0.591,0.0,0.5,0.667,2.639,0.0,-1.086,1,-0.513
ko_polar_1,그것 때문에 배달원의 월급을 밀리게 하면 되겠느냐?,ko,polar,-0.573,-0.409,1.0,0.25,0.714,2.197,3.932,-0.086,1,0.11
ko_polar_2,여자가 두꺼운 안경을 쓰면 남보기에 좋겠니?,ko,polar,-0.473,-1.409,0.0,0.0,0.833,2.079,0.0,-2.086,1,-1.287
ko_polar_3,자녀를 위해서 젖은 앞치마로 반평생을 사시지 않았느냐?,ko,polar,-0.406,-1.409,1.0,0.25,0.714,2.197,3.932,-0.086,1,-0.034
ko_polar_4,너희 집은 음식점이 아니잖니?,ko,polar,-0.739,-1.409,0.0,0.333,0.75,1.792,0.0,-1.086,1,-1.167
ko_polar_5,네가 받을 때 기뻐하지 않았느냐?,ko,polar,-1.073,-0.409,1.0,0.167,0.6,1.946,3.932,-0.086,1,-0.054
ko_polar_6,기왕이면 다홍치마가 아니니?,ko,polar,-0.573,-2.409,0.0,0.0,1.0,1.609,0.0,-2.086,1,-1.53
ko_polar_7,그 마음의 자세가 예쁘지 않느냐?,ko,polar,-1.073,-0.409,0.0,0.0,0.6,1.946,0.0,-2.086,1,-1.281
ko_polar_8,하지만 구더기 무서워서 장 못 담그겠습니까?,ko,polar,0.327,-1.409,0.0,0.667,0.667,2.079,0.0,-1.086,1,-0.889
ko_polar_9,민주화를 열망하는 국민의 한 사람으로서 과연 이래도 괜찮겠습니까?,ko,polar,-0.501,0.591,1.0,0.167,0.875,2.303,4.615,-1.086,1,0.273
ko_polar_10,정말 이래서 되겠습니까?,ko,polar,-0.573,-2.409,0.0,0.333,0.667,1.609,0.0,-1.086,1,-1.357
ko_polar_11,우리 정부의 능력으로는 도저히 할 수 없는 일도 해낼 수 있다고 말도 안되는 헛소리를 하는 사람이 대통령이 돼서 되겠습니까?,ko,polar,-0.239,4.591,1.0,0.25,0.895,3.045,4.394,3.914,1,1.982
ko_polar_12,개혁의 깃발 아래 모인 깨끗한 장관들의 재산목록이 복부인의 재산목록과 별로 다를 것이 없어서 되겠습니까?,ko,polar,-0.534,6.591,1.0,0.167,0.857,2.773,3.932,-0.086,1,1.438
ko_polar_13,우리나라 국회의원들이 이래서 되겠습니까?,ko,polar,-1.073,-0.409,0.0,0.167,0.75,1.792,0.0,-1.086,1,-1.08
ko_polar_14,수권정당임을 자부하는 제1야당이 이래서 되겠습니까?,ko,polar,-1.073,0.591,1.0,0.167,0.6,1.946,3.932,-0.086,1,0.119
ko_polar_15,타락한 선거에는 아예 참여조차 하지 않는 것이 옳은 일이겠습니까?,ko,polar,-0.448,0.591,1.0,0.278,0.889,2.398,4.215,0.914,1,0.597
ko_polar_16,여러분은 지난 1년 동안 가난하고 헐벗고 굶주린 우리의 이웃에게 따뜻한 사랑을 나누어 주신 적이 있습니까?,ko,polar,1.142,1.591,1.0,0.167,0.667,2.833,4.615,0.914,1,1.131
ko_polar_17,우리 사회의 안녕과 질서를 지키기 위해서 부름을 받고 존재하야 하는 경찰이 이래서 되겠습니까?,ko,polar,-0.489,5.591,1.0,0.222,0.538,2.708,3.932,0.914,1,1.389
ko_polar_18,그렇다고 멀쩡한 아내와 어린 두 아들을 권총으로 쏴 죽인 후에 자살을 해야 직성이 풀린단 말입니까?,ko,polar,0.642,3.591,1.0,0.389,0.667,2.833,4.215,0.914,1,1.36
ko_polar_19,이와 같이 오늘날 우리 주변에는 작은 것을 소홀히 여기고 작은 일에 충성하지 못하는 모습들이 곳곳에서 드러나고 있습니까?,ko,polar,1.677,1.591,1.0,0.389,0.706,2.944,3.932,0.914,1,1.17
ko_polar_20,정말 이래서 되겠습니까?,ko,polar,-0.573,-2.409,0.0,0.333,0.667,1.609,0.0,-1.086,1,-1.357
ko_polar_21,도대체 이게 어찌된 일입니까?,ko,polar,-0.739,-1.409,1.0,0.25,0.75,1.792,3.932,-0.086,1,-0.155
ko_polar_22,여러분이 지금까지 살아온 삶이 주는 자의 삶이었습니까?,ko,polar,-0.573,-0.409,1.0,0.222,0.857,2.197,4.215,0.914,1,0.352
ko_polar_23,받는 자의 삶이었습니까?,ko,polar,-1.073,-1.409,1.0,0.083,1.0,1.609,3.932,-0.086,1,-0.23
ko_polar_24,세계 각국이 간통죄를 없앤다고 우리마저 그래서 되겠습니까?,ko,polar,-0.573,-0.409,0.0,0.333,0.857,2.197,0.0,-0.086,1,-0.703
ko_polar_25,비평의 기술방식에 따라 비평은 어떠한 방식으로 기술할 것인가?,ko,polar,-0.358,-0.409,1.0,0.222,0.875,2.303,3.932,0.914,1,0.362
ko_polar_26,조개껍질을 연구하는 이유는 그 생물을 추정해 보려는 것뿐이 아닌가?,ko,polar,-0.323,0.591,1.5,0.167,1.0,2.398,4.615,0.914,1,0.774
ko_polar_27,그렇다면 생산의 물질적 조건들이 노동자들 자신들의 집단적 소유로 대표되는 사회주의 단계에서 소비재의 분배 또는 교환은 어떠한 변화를 겪게 되는가?,ko,polar,0.872,2.591,1.0,0.292,0.895,3.045,4.215,1.914,1,1.459
ko_polar_28,그렇다면 사회주의적 생산에서는 어떠한 변화를 겪게 되는가?,ko,polar,-0.073,-1.409,1.0,0.222,0.857,2.197,3.932,0.914,1,0.217
ko_polar_29,그렇다면 사회주의 단계에서는 어떠한가?,ko,polar,-0.406,-1.409,0.0,0.0,0.75,1.792,0.0,-2.086,1,-1.34
ko_polar_30,그것은 사회의 공적 기관으로서 사회로부터 발생하였으나 그 위에 올라서서 사회와는 더욱 더 멀어져 가는 권력이 아니던가?,ko,polar,0.394,2.591,1.0,0.25,0.75,2.89,4.615,-0.086,1,1.041
ko_polar_31,그러나 역사과정 속에서 두가지 혁명의 개별적이고 특수한 요소들이 서로 뒤엉키게 된다는 것을 부정할 수 있겠는가?,ko,polar,0.57,1.591,1.0,0.333,0.8,2.833,3.932,0.914,1,0.966
ko_polar_32,유럽에서는 민주주의 혁명의 시기에 사회주의를 수립하려는 수 많은 사회주의 운동 및 기도들이 있지 않았는가?,ko,polar,0.697,2.591,1.0,0.333,0.857,2.773,4.615,-1.086,1,0.933
ko_polar_33,하지만 이러한 사실이 사회주의적 과제를 민주주의 혁명의 과제로 혼동하거나 종속시킬 수 있는 논고가 될 여지는 조금도 없지 않은가?,ko,polar,0.574,3.591,1.0,0.167,0.833,2.996,4.615,0.914,1,1.436
ko_polar_34,어떠한 계급과 어떠한 계급과의 평등이냐?,ko,polar,-0.323,-0.409,0.0,0.056,0.8,1.946,0.0,0.914,1,-0.589
ko_polar_35,스탈린은 오류가 없는가?,ko,polar,-0.573,-2.409,0.0,0.0,1.0,1.609,0.0,-2.086,1,-1.53
ko_polar_36,인민은 오류가 없는가?,ko,polar,-0.573,-2.409,0.0,0.0,1.0,1.609,0.0,-2.086,1,-1.53
ko_polar_37,그러나 브레히트는 오유가 없는가?,ko,polar,-0.073,-2.409,0.0,0.0,0.75,1.792,0.0,-2.086,1,-1.455
ko_polar_38,그런데 그렇게 선언된 지 4년이 지난 1941년 브레히트는 소련의 유혈테러 통치에 대해 시를 쓰고 있지 않은가?,ko,polar,0.661,1.591,1.0,0.444,0.625,2.89,4.215,0.914,1,1.03
ko_polar_39,오죽하면 그리스의 천지 창조 신화에서 스스로 낳은 아기를 차례로 입 속으로 집어삼키는 가이아라는 이름의 여신이 그려져 있겠습니까?,ko,polar,0.865,3.591,1.0,0.333,0.882,2.944,3.932,-0.086,1,1.224
ko_polar_40,아이들이 유일하게 이야기를 재미있게 듣고 즐기는 기회였으므로 당연하지 않겠습니까?,ko,polar,-0.448,-0.409,1.0,0.25,0.444,2.398,4.615,-0.086,1,0.238
ko_polar_41,재미있지 않습니까?,ko,polar,-1.073,-2.409,0.0,0.0,0.5,1.386,0.0,-2.086,1,-1.741
