unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
fi_polar_0,Onko ammatillinen uskottavuuteni noin pientä..?,fi,polar,-0.069,-0.707,0.0,0.0,0.8,2.079,0.0,-0.871,1
fi_polar_1,"- Opettaja, onko sulla olemassa koti?",fi,polar,-0.319,-1.707,0.0,0.0,0.4,2.197,0.0,-1.871,1
fi_polar_2,Eikö olekin kivaa?,fi,polar,-0.569,-1.707,0.0,0.0,0.333,1.609,0.0,-0.871,1
fi_polar_3,Vai onko vaatekerrosten määrä asennekysymys?,fi,polar,0.181,-0.707,0.0,0.0,0.6,1.946,0.0,-0.871,1
fi_polar_4,”Osaanko nauttia seksistä?”,fi,polar,-1.069,-0.707,1.0,0.2,1.0,1.946,3.932,0.129,1
fi_polar_5,Osaavatko ihmiset lukea toistensa silmistä tällaista itseluottamusta?,fi,polar,-0.236,0.293,1.0,0.4,0.857,2.197,3.932,0.129,1
fi_polar_6,"Osaako mies ilmaista käytöksellään, että hän on varma taidoistaan tyydyttää nainen?",fi,polar,-0.169,2.293,1.5,0.333,0.727,2.639,4.331,2.129,1
fi_polar_7,Osaako nainen lukea miehen käytöksestä tämän?,fi,polar,-0.269,0.293,1.0,0.4,0.833,2.079,3.932,0.129,1
fi_polar_8,"Entä viestivätkö naisen silmät miehelle, että ”uskon sinun kykyihisi, ota minut, saat minut hulluksi himosta?”",fi,polar,0.431,1.293,1.0,0.55,0.733,3.091,3.932,2.129,1
fi_polar_9,"Kahlaavatko he läpi elämän tietämättä, minkälaista seksiä itse haluavat, tai minkälaista seksiä kumppani haluaa, jos eivät osaa lukea sitä toistensa silmistä ja eleistä?",fi,polar,0.795,2.293,2.0,0.5,0.652,3.332,4.394,4.129,1
fi_polar_10,"Voimmeko syyttää vanhempiamme siitä, ettemme ole seksuaalisesti kehittyneet vapaiksi, osaaviksi ja vastaanottavaisiksi?",fi,polar,0.264,2.293,1.0,0.5,0.538,2.833,3.932,0.129,1
fi_polar_11,Sanoinko jo jotain tästä ravaamisesta? :D,fi,polar,0.731,-0.707,0.0,0.8,0.5,2.079,0.0,-0.871,1
fi_polar_12,"Nää käy myös töihin, kuulostaako tutulta tää lemppariperustelu?",fi,polar,-0.212,0.293,0.0,0.5,0.75,2.398,0.0,0.129,1
fi_polar_13,Tekeekö netti meistä tyhmiä?,fi,polar,-0.069,-1.707,0.0,0.6,0.75,1.792,0.0,-0.871,1
fi_polar_14,"Ovatko naiset siis todella mustasukkaisia toisistaan, vaan yrittävätkö he vain selvitä kuolaavien käpyaivojensa kanssa minimaalisella häpeän määrällä?",fi,polar,0.056,1.293,1.0,0.4,0.706,2.996,4.215,2.129,1
fi_polar_15,Mutta uskaltaako se mennä yksin jossain metroasemalla poistamaan oksennukseensa sammuneen nistin?,fi,polar,-0.269,2.293,1.5,0.4,0.727,2.565,4.331,2.129,1
fi_polar_16,"PIKKUVAIMO: Jos me voitetaan tämä, niin saadaanko varmasti mitali?",fi,polar,0.431,0.293,1.0,0.7,0.667,2.565,4.615,0.129,1
fi_polar_17,PIKKUVAIMO: Saadaanko sitten varmasti pronssia?,fi,polar,-0.069,-0.707,0.0,0.6,1.0,2.079,0.0,-0.871,1
fi_polar_18,"(DE) Arvoisa puhemies, voisitteko pyytää hakemaan teknikon?",fi,polar,0.098,-0.707,1.0,0.4,0.857,2.485,3.932,0.129,1
fi_polar_19,Annammeko tämän jatkua sanomatta mitään?,fi,polar,-0.319,-0.707,1.0,0.267,0.6,1.946,4.215,1.129,1
fi_polar_20,"Mielestäni tämä keskustelu tiivistyy seuraavaan kysymykseen: uskommeko, että Göteborgin pöytäkirja oli paras tulos, jonka jäsenvaltioiden voidaan odottaa realistisesti saavuttavan?",fi,polar,0.542,3.293,3.0,0.4,0.737,3.178,4.331,3.129,1
fi_polar_21,Oliko Helsingissä tehty päätös sittenkin hätiköity?,fi,polar,-0.069,0.293,1.0,0.4,0.833,2.079,3.932,0.129,1
fi_polar_22,"Muistatko sinä ne kerrat, kun lahkeet olivat polviin asti märät kauppareissun jäljiltä?",fi,polar,0.658,1.293,1.0,0.4,0.583,2.708,3.932,0.129,1
fi_polar_23,"Luulitko sinä, että kiinnostuisin Jonesta, kiinnostuisin niin, että kävelisin hänen kanssaan teidän vierellänne?",fi,polar,-0.319,3.293,1.5,0.45,0.462,2.89,4.331,2.129,1
fi_polar_24,"Palasin, kaipasitko minua?",fi,polar,-0.569,-0.707,0.0,0.2,0.667,1.792,0.0,0.129,1
fi_polar_25,Tarvitsevatko ne jotain?,fi,polar,-0.569,-1.707,0.0,0.4,0.333,1.609,0.0,-0.871,1
fi_polar_26,Pitäisikö niistä olla jotenkin erityisen huolissaan juuri siksi?,fi,polar,0.502,-0.707,0.0,0.0,0.625,2.303,0.0,-0.871,1
fi_polar_27,Olenko minä se väärin pukeutunut?,fi,polar,0.431,-1.707,0.0,0.8,0.4,1.946,0.0,-0.871,1
fi_polar_28,"Vai voiko tosiaan pitää paikkansa, että minun neljäs olohuoneeni, jonne tulen arki-iltana juomaan teetä ja pelaamaan lautapelejä kavereiden kanssa, on jollekin laittautumisen, aloittelun ja jatkojen väliin jäävä bilepaikka?",fi,polar,3.005,4.293,2.0,0.52,0.643,3.526,4.394,4.129,1
fi_polar_29,Pitäisikö minun mennä sisälle johonkin taloista?,fi,polar,-0.669,-0.707,0.0,0.4,0.333,2.079,0.0,-0.871,1
fi_polar_30,Toisiko Se tällä kertaa mukanaan siunauksen vai tuhon?,fi,polar,0.36,0.293,0.0,0.8,0.625,2.303,0.0,-0.871,1
fi_polar_31,"Kääntäisikö Se mahtavan Ahterinsa Nielun kansalle, ja siunaisi sitä ruskealla sukkulalla ja kultaisella sateella, vai laskisiko Se alas kauhistuttavan Kätensä mukanaan sininen kaikentuhoava tulva?",fi,polar,1.018,1.293,0.0,0.867,0.708,3.332,0.0,1.129,1
fi_polar_32,Tässäkö se muka oli?,fi,polar,-0.069,-1.707,0.0,0.0,0.25,1.792,0.0,-0.871,1
fi_polar_33,Mutta sopeutuivatko ne Marsin olosuhteisiin?,fi,polar,-0.569,-0.707,0.0,0.6,0.6,1.946,0.0,-0.871,1
fi_polar_34,Vai oliko se tanga-naisia?,fi,polar,-0.069,-1.707,0.0,0.0,0.25,1.792,0.0,-0.871,1
fi_polar_35,Menikö se ylös vai alas?,fi,polar,-0.569,0.293,0.0,0.4,0.6,1.946,0.0,-0.871,1
fi_polar_36,Urheiluosastolle vai ulko-ovelle?,fi,polar,-0.569,-0.707,0.0,0.0,0.667,1.609,0.0,-1.871,1
fi_polar_37,Hetken hän tuijotti alas (kuolemaan?) ja mietti onko tämä koko paska vaivan arvoista.,fi,polar,0.514,1.293,1.0,0.6,0.692,2.89,3.932,1.129,1
fi_polar_38,"""Eikö ole kaunis päivä?""",fi,polar,-0.736,-0.707,0.0,0.2,0.75,2.079,0.0,-0.871,1
fi_polar_39,Oliko tämä unta vai todellisuutta?,fi,polar,-0.569,-0.707,0.0,0.0,0.4,1.946,0.0,-0.871,1
fi_polar_40,Onko sulla joku toinen?,fi,polar,-0.736,-0.707,0.0,0.0,0.0,1.792,0.0,-1.871,1
fi_polar_41,- Jos minä lähen nyt pois enkä tuu enää koskaan takas nii lähettekö isin mukaan vai jäättekö äidin luo?,fi,polar,0.049,1.293,1.0,0.65,0.667,3.045,3.932,2.129,1
fi_polar_42,Pitäisikö heidän nyt oikeasti ryhtyä keksimään joitain ihan uusia huippujuttuja?,fi,polar,0.153,1.293,1.0,0.5,0.7,2.485,3.932,0.129,1
fi_polar_43,– Semmoisen paperisenko?,fi,polar,-1.069,-1.707,0.0,0.0,1.0,1.609,0.0,-1.871,1
fi_polar_44,- Eikö se ole selvää?  parrakas ryöväri ärähti.,fi,polar,-0.069,0.293,0.0,0.2,0.571,2.398,0.0,0.129,1
fi_polar_45,- Piilotitko veneen hyvin?  Juho kysyi.,fi,polar,0.181,-0.707,0.0,0.4,1.0,2.197,0.0,0.129,1
fi_polar_46,- Haluatteko tupakkia?,fi,polar,-1.069,-1.707,0.0,0.2,1.0,1.609,0.0,-0.871,1
fi_polar_47,Vai haluavatko kruunun miehet viedä ne veroina?,fi,polar,-0.402,-0.707,1.0,0.5,0.714,2.197,3.932,0.129,1
fi_polar_48,Entä olinko jo ostanut jotain jouluruokia?,fi,polar,-0.269,-0.707,0.0,0.6,0.667,2.079,0.0,-0.871,1
fi_polar_49,Onko sinulla töitä?,fi,polar,-1.069,-1.707,0.0,0.0,0.333,1.609,0.0,-1.871,1
fi_polar_50,Onko tämän asian tiimoilta tullut teille valituksia?,fi,polar,-0.236,-0.707,0.0,0.6,0.429,2.197,0.0,-0.871,1
fi_polar_51,Ja sinäkö olet edelleen varma että se oli vahinko?,fi,polar,0.431,-0.707,1.0,0.0,0.333,2.398,3.932,0.129,1
fi_polar_52,Porvoostako he tulevat?,fi,polar,-0.569,-1.707,0.0,0.4,0.667,1.609,0.0,-0.871,1
fi_polar_53,Onko Granfeltilta tilattu tutkimustulos vai tutkimustyö?,fi,polar,-0.669,0.293,0.0,0.4,0.667,2.079,0.0,-0.871,1
fi_polar_54,Ettäkö kaikki kylähulluiksi?,fi,polar,-1.069,-1.707,0.0,0.0,0.333,1.609,0.0,-1.871,1
fi_polar_55,Tulevatko he Porvoosta?,fi,polar,-0.569,-1.707,0.0,0.4,0.667,1.609,0.0,-0.871,1
fi_polar_56,Miks ei ne pane lapselle nimeksi Mikko?,fi,polar,-0.069,-1.707,0.0,1.0,0.714,2.197,0.0,-0.871,1
fi_polar_57,Suostutteko keskustapuolueen uudeksi puheenjohtajaksi?,fi,polar,-0.069,-0.707,0.0,0.2,1.0,1.792,0.0,-0.871,1
fi_polar_58,Söitkö sinä jo?,fi,polar,-0.569,-1.707,0.0,0.4,0.667,1.609,0.0,-0.871,1
fi_polar_59,Taruako lienee vai totta?,fi,polar,-0.402,-0.707,0.0,0.0,0.5,1.792,0.0,-0.871,1
fi_polar_60,Leikitäänkö nyt kotia?,fi,polar,-0.569,-1.707,0.0,0.4,1.0,1.609,0.0,-0.871,1
fi_polar_61,Onko enkeli tyttö vai poika?,fi,polar,-0.569,-0.707,0.0,0.0,0.6,1.946,0.0,-0.871,1
fi_polar_62,Tulisiko tästä yhtään mitään?,fi,polar,-0.402,-0.707,0.0,0.4,0.5,1.792,0.0,-0.871,1
fi_polar_63,Vieläkö Bosniaan pystyy antamaan avustusta?,fi,polar,-0.569,-0.707,1.0,0.4,1.0,1.946,3.932,0.129,1
fi_polar_64,Tuleeko hän varmasti?,fi,polar,-0.569,-1.707,0.0,0.4,0.667,1.609,0.0,-0.871,1
fi_polar_65,annetaanko koneiden jyskyttää puoliteholla kunnes teknikko on lennätetty paikalle?,fi,polar,-0.069,0.293,2.0,0.533,0.778,2.398,4.215,1.129,1
fi_polar_66,"Onko henkilöstä annettu etsintäkuulutus, koska hänellä on laiton ase?",fi,polar,-0.319,0.293,0.0,0.8,0.556,2.485,0.0,-0.871,1
fi_polar_67,Onko sinne pitkä matka?,fi,polar,-0.069,-0.707,0.0,0.2,1.0,1.792,0.0,-0.871,1
fi_polar_68,Voiko pukua käyttää häissä tai lakkiaisissa?,fi,polar,-0.669,0.293,0.0,0.4,0.667,2.079,0.0,-0.871,1
fi_polar_69,Voiko äiti olla omin päin ottanut sen käyttöönsä?,fi,polar,0.502,-0.707,0.0,0.8,0.625,2.303,0.0,-0.871,1
fi_polar_70,Varastoitko ruokaa pahan päivän varalta?,fi,polar,-0.569,-0.707,0.0,0.4,0.8,1.946,0.0,-0.871,1
fi_polar_71,Onko onni ollut tänään myötä?,fi,polar,0.431,-1.707,0.0,0.0,0.6,1.946,0.0,-0.871,1
fi_polar_72,"Näinkö se alkaa, kivikuume?",fi,polar,-0.069,-0.707,0.0,0.4,0.75,1.946,0.0,-0.871,1
