unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens
id_content_0,Bagaimana sejarah berdirinya SMAN 1 Pekanbaru yang sudah berusia setengah abad itu?,indonesian,content,2.0,3.0,1.0,2.0,0.5384615384615384,14
id_content_1,Siapa dapat memastikan apakah sebuah kenyataan itu sesungguhnya impian dan sebuah impian itu justru sesungguhnya kenyataan?,indonesian,content,2.125,4.0,0,2.0,0.5294117647058824,18
id_content_2,Kamila bertanya kenapa Eyang Tini menyuruhnya naik mobil?,indonesian,content,1.875,3.0,2.0,2.3333333333333335,0.8888888888888888,10
id_content_3,Siapakah sebenarnya gadis yang mirip si Cemong?,indonesian,content,1.8571428571428572,3.0,0,0,0.5,9
id_content_4,Dan bagaimanakah kamu lihat keadaannya sekarang?,indonesian,content,1.8571428571428572,2.0,0,4.0,0.5,9
id_content_5,"Jika bukan dirinya yang akan membantu Zhong memakamkan (dan menghormati) abu ayahnya, siapa lagi yang akan menolong?",indonesian,content,2.611111111111111,7.0,1.3333333333333333,1.5,0.42105263157894735,23
id_content_6,"Bagaimana nasib Maya, Naomy dan Ryan?",indonesian,content,1.8,3.0,0,0,0.8333333333333334,8
id_content_7,"Bagaimana Kayla menghadapi Rita sebagai madunya, sementara dirinya semakin lama menjadi semakin sehat?",indonesian,content,2.4285714285714284,3.0,1.0,4.0,0.6666666666666666,17
id_content_8,Bagaimana kisah selanjutnya?,indonesian,content,1.0,1.0,0,0,1.0,4
id_content_9,Bagaimana persahabatannya dengan Aldo?,indonesian,content,1.5,2.0,0,0,0.6,6
id_content_10,Bagaimana manusia sebagai individu dapat masuk ke dalam suatu hubungan dengan Allah?,indonesian,content,2.3636363636363638,3.0,0,3.0,0.5,13
id_content_11,"Jika Tuhan itu fana 'atau mati, bagaimana nasib ciptaan-Nya seperti manusia?",indonesian,content,2.090909090909091,4.0,0,0,0.5833333333333334,15
id_content_12,"Selain itu, apa yang dapat kita pelajari dari pria yang disebut bapak pendidikan modern?",indonesian,content,1.8461538461538463,6.0,1.0,2.5,0.42857142857142855,16
id_content_13,Kemana impian jiwa muda ini membawa mereka?,indonesian,content,2.3333333333333335,3.0,0,3.0,0.7142857142857143,8
id_content_14,Bagaimana dengan ramalan Florence tentang akan terjadinya pasang tertinggi tersebut?,indonesian,content,2.1,2.0,0,5.0,0.5454545454545454,12
id_content_15,"Aku selalu bertanya, siapakah diriku sebenarnya di dalam hari-harimu, Viola?",indonesian,content,2.0833333333333335,3.0,0,3.0,0.38461538461538464,16
id_content_16,Lalu siapa yang akan memperhatikan nasib rakyat kita?,indonesian,content,1.4285714285714286,4.0,1.0,2.0,0.375,9
id_content_17,Sesudah itu aku bertanya kepadanya: Anak siapakah engkau?,indonesian,content,1.7777777777777777,3.0,0,4.0,0.2,12
id_content_18,"Pak Douw, anda telah berusaha untuk maju menjadi Bupati, bagaimana kalau seandainya nanti anda gagal mendapatkan dukungan dan tidak terpilih di PILKADA Nabire?",indonesian,content,2.5,4.0,1.5,3.0,0.6521739130434783,26
id_content_19,Lalu apa yang menentukan suatu campuran akan menghasilkan efek kacang Brasil atau kebalikannya?,indonesian,content,1.6153846153846154,5.0,2.0,2.0,0.5714285714285714,15
id_content_20,Bagaimana caranya mereka menukarkan jiwa mereka kembali?,indonesian,content,2.142857142857143,2.0,1.0,2.0,0.625,9
id_content_21,"Bila kita menggunakan semua ini untuk melawan musuh, musuh mana yang tak akan kalah?",indonesian,content,2.3076923076923075,3.0,1.0,3.0,0.35714285714285715,16
id_content_22,"Permasalahan yang dihadapi ketika itu adalah: siapa yang akan menggantikan Nabi Muhammad, dan sebesar apa kekuasaan yang akan didapatkannya?",indonesian,content,2.6315789473684212,4.0,1.0,1.6666666666666667,0.35,23
id_content_23,Bagaimana kita tahu bahwa 7 ditambah 8 selalu ada 15?,indonesian,content,1.6666666666666667,3.0,2.0,3.0,0.5,11
id_content_24,Dan siapakah yang lebih mengampuni dosa selain Allah?,indonesian,content,1.625,4.0,1.0,3.0,0.4444444444444444,10
id_content_25,"Namun, apa saja yang ditata oleh pemerintah kolonial selanjutnya?",indonesian,content,1.5,4.0,1.0,2.0,0.6666666666666666,11
id_content_26,"``Tetapi Andreas menjawab dan berkata kepada saudara-saudaranya, 'Apa pendapat kalian tentang apa yang baru saja dikatakannya itu?",indonesian,content,2.0,5.0,1.0,3.6666666666666665,0.47368421052631576,23
id_content_27,Apa yang herus dilakukan Winnie?,indonesian,content,1.75,2.0,1.0,3.0,0.6,6
id_content_28,Apa saja 3 ranah berbeda warna itu?,indonesian,content,1.5,3.0,0,0,0.5714285714285714,8
id_content_29,Bagaimana King bisa tertarik pada bisnis perhotelan dan pijat kesehatan?,indonesian,content,1.6666666666666667,3.0,0,3.0,0.7,11
id_content_30,"Siapa yang akan mengira bahwa Argentina, sebuah negara yang terisolir akan pergi berperang melawan pelanggan terbesarnya dalam ekspor hasil pertanian -- Inggris?",indonesian,content,2.5714285714285716,7.0,2.0,1.75,0.5454545454545454,25
id_content_31,Siapakah pendusta itu?,indonesian,content,1.3333333333333333,2.0,0,0,0.25,5
id_content_32,Mengapa diletakkan di perbatasan?,indonesian,content,1.3333333333333333,2.0,0,2.0,0.75,5
id_content_33,"Maka kata Pak Belalang, dari mana datang dan apakah hajat?",indonesian,content,2.1,3.0,1.0,2.5,0.5454545454545454,13
id_content_34,Bagaimana pasangan ini bertahan hidup di tengah pertikaian antara manusia dan fangire?,indonesian,content,1.6363636363636365,5.0,0,4.0,0.6666666666666666,13
id_content_35,Bagaimanakah kisah selanjutnya?,indonesian,content,1.3333333333333333,2.0,0,0,0.75,5
id_content_36,"Mereka memang berbeda, tetapi bagaimanakah bisa dikenali?",indonesian,content,2.5714285714285716,3.0,0,2.0,0.5,10
id_content_37,Siapakah yang dapat mengatakan kepada manusia apa yang akan terjadi di bawah matahari sesudah dia?,indonesian,content,1.8666666666666667,7.0,1.0,2.5,0.3125,17
id_content_38,Lalu bagaimana dengan kisah cinta Mutia dan Fadel?,indonesian,content,1.2857142857142858,5.0,0,0,0.625,9
id_content_39,Berfirmanlah TUHAN kepada Samuel: ``Berapa lama lagi engkau berdukacita karena Saul?,indonesian,content,2.5454545454545454,3.0,1.0,3.5,0.5833333333333334,15
id_content_40,Kenapa Harus Inul?,indonesian,content,1.0,1.0,0,2.0,1.0,4
id_content_41,Kenapa para penambang menggunakan tembakau kunyah?,indonesian,content,1.4,2.0,0,1.5,0.8333333333333334,7
id_content_42,Bagaimana dengan Bu Acih yang juga telanjur sayang kepada Sinar?,indonesian,content,2.6666666666666665,3.0,0,3.0,0.7,11
id_content_43,"Ratu percaya hal tersebut dan setuju, tapi apa yang harus dilakukan?",indonesian,content,2.2,3.0,1.0,2.0,0.45454545454545453,13
id_content_44,Tetapi Ia berkata kepada mereka: ``Berapa banyak roti yang ada padamu?,indonesian,content,2.0,6.0,1.0,2.5,0.5,15
id_content_45,Bagaimana jugakah reaksi Rendra jika mengetahui hal tersebut?,indonesian,content,2.375,2.0,0,5.0,0.6666666666666666,10
id_content_46,"Bagaimana pula kisah cinta segitiga antara Hafizah, Samsul dan Bambang?",indonesian,content,1.8888888888888888,3.0,0,0,0.8,12
id_content_47,Bagaimana akhir kisah cinta Gaby dan Popo?,indonesian,content,1.3333333333333333,4.0,0,0,0.8571428571428571,8
id_content_48,"Berkata Ibrahim kepada Namrud itu: ``Jika demikian halnya, mengapa kamu sembah patung-patung itu, yang tidak dapat berkata, tidak dapat melihat dan tidak dapat mendengar, tidak dapat membawa manfaat atau menolak mudharat, bahkan tidak dapat menolong dirinya dari kehancuran dan kebinasaan?",indonesian,content,2.951219512195122,7.0,1.0,3.125,0.40476190476190477,50
id_content_49,Mengapa Indonesia tidak mampu berbuat seperti negara-negara tesebut?,indonesian,content,2.0,2.0,0,4.0,0.5,9
id_content_50,"Bila anjing-anjing itu ada di dekat kita, tidakkah kita mencium baunya?",indonesian,content,2.25,3.0,1.0,3.5,0.38461538461538464,15
id_content_51,Bagaimana kelanjutan dari kisah cinta MAT PEI-AISAH?,indonesian,content,1.1666666666666667,4.0,0,0,0.8571428571428571,8
id_content_52,Yang menjadi masalah kemudian: bagaimana menghubungkan tuntutan politis dan ilmiah di atas?,indonesian,content,1.8181818181818181,5.0,1.0,2.5,0.75,14
id_content_53,Siapakah yang menolong kita dari tangan Allah yang maha dahsyat ini?,indonesian,content,1.6363636363636365,5.0,1.0,3.0,0.4166666666666667,13
id_content_54,"Persoalan berikutnya, bagaimana menentukan mana pelaku dan mana korban?",indonesian,content,1.875,4.0,1.0,2.0,0.6666666666666666,11
id_content_55,"Dan kalau seseorang mengkritik Raja, saya ingin tahu mengapa?",indonesian,content,2.625,2.0,1.0,3.5,0.4444444444444444,11
id_content_56,Apa arti globalisasi buat Lippo?,indonesian,content,1.75,2.0,0,0,0.6,6
id_content_57,Apa arti semua ini?,indonesian,content,1.3333333333333333,2.0,0,0,0.25,5
id_content_58,Apa yang membuatnya melakukan pembunuhan dengan darah dingin?,indonesian,content,1.375,5.0,2.0,2.0,0.5555555555555556,10
id_content_59,Mengapa Kanade ada lebih dulu di dunia Afterlife?,indonesian,content,1.7142857142857142,2.0,0,4.0,0.875,9
id_content_60,"Pada kesempatan yang ke-4, berkatalah perempuan itu kepadanya: ``Bagaimana mungkin engkau berkata: Aku cinta kepadamu, padahal hatimu tidak tertuju kepadaku?",indonesian,content,2.375,5.0,1.0,3.5,0.52,31
id_content_61,Kenapa harus smada?,indonesian,content,1.5,1.0,0,0,0.6666666666666666,4
id_content_62,Dan siapa yang tinju?,indonesian,content,1.3333333333333333,2.0,1.0,1.0,0.25,5
id_content_63,Bagaimanakah dengan umur kita?,indonesian,content,1.5,2.0,0,0,0.4,6
id_content_64,Makanan pertama apa yang dimakan orang di surga?,indonesian,content,1.8571428571428572,3.0,1.0,3.0,0.625,9
id_content_65,Apa yang akan terjadi dengan Popo dan Nando?,indonesian,content,1.7142857142857142,4.0,1.0,2.0,0.375,9
id_content_66,Bagaimanakah Ia melakukan-Nya?,indonesian,content,1.5,2.0,0,3.0,0.4,6
id_content_67,"Jika memang ada niat baik untuk membantu dari pihak Wu, mengapa Sun Quan merahasiakan pasukan itu?",indonesian,content,2.2666666666666666,4.0,2.0,3.3333333333333335,0.75,18
id_content_68,"Apa yang ia lakukan, dan mengapa ia melakukannya?",indonesian,content,2.125,3.0,1.0,2.0,0.3333333333333333,11
id_content_69,Bagaimana bisa kita tidak mengungkapkan kesedihan yang mendalam akan semua hal ini?,indonesian,content,1.8181818181818181,4.0,1.0,3.5,0.5,13
id_content_70,"Khidir menjawab salamnya dan bertanya, ``Dari mana datangnya kesejahteraan di bumi yang tidak mempunyai kesejahteraan?",indonesian,content,2.0,5.0,1.0,2.75,0.5294117647058824,20
id_content_71,Dimana letak pikiran?,indonesian,content,1.0,2.0,0,0,0.6666666666666666,4
id_content_72,"``Hai Muhammad, mengapa kamu mengharamkan apa yang Allah menghalalkannya bagimu; kamu mencari kesenangan hati istri-istrimu?",indonesian,content,2.0588235294117645,5.0,1.0,3.6666666666666665,0.5,22
id_content_73,Siapakah pencipta bumi ini?,indonesian,content,1.5,2.0,0,0,0.4,6
id_content_74,Bagaimanakah kelanjutan kisah para remaja yang masih di bawah umur ini?,indonesian,content,2.0,4.0,0,0,0.5833333333333334,13
