sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,2018년에 북극에 마을이 있니?,korean,polar,2.0,1.0,0,0,1.0,5,0,0.0
2,로마의 면적은 서울시의 2배인가요?,korean,polar,1.3333333333333333,2.0,0,2.0,1.0,5,0.0,1.0
3,현대의 물리학이 고찰할 수 있는 최초의 우주는 대폭발 이후 10−43초 부터인가요?,korean,polar,1.7,4.0,1.0,2.5,1.0,12,50.0,2.0
4,치즈인더트랩 만화 첫 발매일은 언젠가요?,korean,polar,1.25,3.0,0,1.0,0.8,6,0.0,1.0
5,무한은 공식이 있을까?,korean,polar,1.5,1.0,0,0,1.0,4,0,0.0
6,그리니치 빌리지는 로어맨해튼의 서쪽 지역에 위치해 있나요?,korean,polar,1.8333333333333333,2.0,0,2.0,0.8571428571428571,8,0.0,1.0
7,포클랜드 제도 수도는 어딘가요?,korean,polar,1.0,3.0,0,1.0,1.0,5,0.0,1.0
8,페르시아인은 이란계인가요?,korean,polar,1.0,1.0,0,1.0,1.0,3,0.0,1.0
9,현대 자동차 자회사는 어딘가요?,korean,polar,1.3333333333333333,2.0,0,1.0,1.0,5,0.0,1.0
10,양자 색역학의 역사는 1960년대 초부터 시작했나요?,korean,polar,1.4,3.0,0,2.0,1.0,7,0.0,1.0
11,호조 소운 사망일은 언젠가요?,korean,polar,1.3333333333333333,3.0,0,1.0,1.0,5,0.0,1.0
12,한국에서는 배아줄기세포를 만들기 위해 생명체로 자랄 수 있는 배아를 이용하는 행위를 금지하고 있나요?,korean,polar,2.0833333333333335,7.0,1.0,1.75,0.8461538461538461,14,75.0,4.0
13,송강호 생일은 언젠가요?,korean,polar,1.0,2.0,0,1.0,1.0,4,0.0,1.0
14,신청년 창립주는 누군가요?,korean,polar,1.0,2.0,0,1.0,1.0,4,0.0,1.0
15,리투아니아는 발트 3국 가운데 가장 인구가 넓나요?,korean,polar,2.3333333333333335,3.0,0,4.0,1.0,8,0.0,1.0
16,도솔가는 고대 시가 중 최초의 정형시인가요?,korean,polar,2.0,3.0,0,3.0,1.0,7,0.0,1.0
17,그래미상 첫 시상 연도는 언젠가요?,korean,polar,1.5,3.0,0,1.0,0.8,6,0.0,1.0
18,남성호르몬과 여성호르몬의 차이가 있는가?,korean,polar,1.3333333333333333,3.0,0,0,0.75,5,0,0.0
19,"대법원의 판례공보 인용은, 미국, 독일과 같은 방식을 사용하나요?",korean,polar,2.857142857142857,3.0,0,2.0,0.875,11,0.0,1.0
20,성부란 어떠한걸 뜻하는가?,korean,polar,1.5,1.0,1.0,1.0,1.0,4,50.0,2.0
21,무슬림은 유일하게 알라를 믿나요?,korean,polar,1.6666666666666667,2.0,0,2.0,0.75,5,0.0,1.0
22,제2차 세계 대전 동안 라디오를 갖는 것이 합법적인가?,korean,polar,1.1428571428571428,6.0,1.0,1.5,0.875,9,50.0,2.0
23,파리는 프랑스의 경제 중심지인가요?,korean,polar,2.0,1.0,0,3.0,1.0,5,0.0,1.0
24,양산시는 경상남도에 속해있나요?,korean,polar,1.5,1.0,0,2.0,1.0,4,0.0,1.0
25,쿠바 혁명의 결과에서 쿠바 공산화를 이루었나요?,korean,polar,1.4,3.0,0,2.0,1.0,7,0.0,1.0
26,"상시 4륜구동(full-time 4WD, 풀 타임 4WD)는 항상 4륜으로 주행하는 것으로 전/후륜의 동력비율을 가변적으로 조절하도록 되어 있는 방식인가요?",korean,polar,2.888888888888889,4.0,1.0,2.0,0.6842105263157895,22,66.66666666666667,3.0
27,박동진은 독립운동가였는가?,korean,polar,1.0,1.0,0,1.0,1.0,3,0.0,1.0
28,거성은 광도가 10배에서 수천 배 사이인가요?,korean,polar,2.8,2.0,0,4.0,0.8333333333333334,7,0.0,1.0
29,셀주크 제국은 어찌하여 멸망하였는가?,korean,polar,1.3333333333333333,2.0,0,2.0,0.75,5,0.0,1.0
30,고대 근동 지방에서는 세계지도를 만들었나요?,korean,polar,1.25,3.0,0,2.0,1.0,6,0.0,1.0
31,DNA를 바꿀 수 있을까?,korean,polar,1.0,2.0,0,2.0,1.0,5,0.0,1.0
32,대한민국 제 5대 대통령은 누군가요?,korean,polar,1.5,3.0,0,1.0,1.0,6,0.0,1.0
33,한국의 첫 방송국 설립연도는 언젠가요?,korean,polar,1.5,3.0,0,1.0,0.8,6,0.0,1.0
34,생물의 유전 정보가 담겨 있는 것은 DNA인가요?,korean,polar,1.3333333333333333,4.0,1.0,1.0,0.8571428571428571,8,50.0,2.0
35,태국의 수도는 어딘가요?,korean,polar,1.0,2.0,0,1.0,1.0,4,0.0,1.0
36,한국의 세계 최초 고등학교는 어딘가요?,korean,polar,1.5,3.0,0,1.0,1.0,6,0.0,1.0
37,말레이시아에서는 사형제도가 시행되고 있는가?,korean,polar,1.3333333333333333,1.0,0,2.0,0.75,5,0.0,1.0
38,청나라 패망일은 언젠가요?,korean,polar,1.0,2.0,0,1.0,1.0,4,0.0,1.0
39,도마뱀은 난생을 하는 동물인가요?,korean,polar,1.6666666666666667,2.0,1.0,1.5,1.0,5,50.0,2.0
