unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
indonesian_polar_0,Apakah Melissa Brannen telah ditemukan ?,indonesian,polar,0.41,2.00,0.00,0.50,0.67,2.08,0.00,1.00
indonesian_polar_1,Apakah Bosun sama dengan Nahkoda kapal?,indonesian,polar,-0.29,2.00,0.00,0.00,0.71,2.20,0.00,0.00
indonesian_polar_2,Apakah Baladewa seorang manusia?,indonesian,polar,-0.29,3.00,0.00,0.00,0.40,1.95,0.00,0.00
indonesian_polar_3,Apakah ular sanca termasuk hewan yang dilindungi?,indonesian,polar,-0.08,3.00,1.00,0.50,0.75,2.30,3.93,2.00
indonesian_polar_4,apakah Plato hidup di zaman yang sama dengan Aristoteles?,indonesian,polar,-0.01,3.00,0.00,0.75,0.60,2.48,0.00,1.00
indonesian_polar_5,Apakah perakam ketikan dapat menyebabkan pencurian kata sandi?,indonesian,polar,0.08,3.00,0.00,1.00,0.78,2.40,0.00,1.00
indonesian_polar_6,Apaakh kaset menggunakan pita magnetik?,indonesian,polar,-0.54,2.00,0.00,0.75,1.00,1.95,0.00,1.00
indonesian_polar_7,Adakah monyet termasuk hominini?,indonesian,polar,-0.04,2.00,1.00,0.50,0.80,1.95,3.93,2.00
indonesian_polar_8,"apakah Joseph Patrick ""Joe"" Kennedy masih hidup?",indonesian,polar,1.07,2.00,1.00,0.25,0.88,2.48,4.62,1.00
indonesian_polar_9,apakah ganja mengandung zat adiktif?,indonesian,polar,-0.39,2.00,0.00,0.75,0.83,2.08,0.00,1.00
indonesian_polar_10,Apakah serial pokemon berasal dari komik ?,indonesian,polar,0.04,2.00,0.00,0.75,0.71,2.20,0.00,1.00
indonesian_polar_11,apakah Spam termasuk tindakan kriminal?,indonesian,polar,-0.39,2.00,0.00,0.75,0.83,2.08,0.00,1.00
